PGEL IN Equity,price,volume,mc,pe,bm,div
2011-09-30,30.37,1233985130.0,4984.2025,,,0.0
2011-10-31,21.6,125381560.0,3545.489,,,0.0
2011-11-30,19.14,14993990.0,3141.6972,,,0.0
2011-12-31,14.44,13787890.0,2370.2251,,,0.0
2012-01-31,17.1,11450870.0,2806.0247,,,0.0
2012-02-29,20.7,10712230.0,3397.7603,,,0.0
2012-03-31,20.2,6159790.0,3314.8681,,,0.0
2012-04-30,19.93,560780.0,3270.5495,,,0.0
2012-05-31,18.08,2763480.0,2966.8849,,,0.0
2012-06-30,16.75,1574230.0,2749.3954,,,0.0
2012-07-31,14.18,1510300.0,2328.3686,,,0.0
2012-08-31,15.7,8720210.0,2577.0452,,,0.0
2012-09-30,22.32,15556250.0,3663.672,,,0.0
2012-10-31,25.38,49180140.0,4165.1289,,,0.0
2012-11-30,27.1,36024040.0,4448.2755,,,0.0
2012-12-31,35.97,38142630.0,5904.224,,,0.0
2013-01-31,36.29,34253110.0,5955.9291,,,0.0
2013-02-28,19.67,25440120.0,3227.8723,,,0.0
2013-03-31,8.22,10489980.0,1349.2555,,0.9468,0.0
2013-04-30,8.14,2270580.0,1335.3034,,0.937,0.0
2013-05-31,5.87,5847410.0,962.6987,,0.6755,0.0
2013-06-30,7.07,9515780.0,1160.4934,,0.8143,0.0
2013-07-31,8.46,11013190.0,1388.6526,,0.9744,0.0
2013-08-31,10.77,1272370.0,1767.8237,,1.2405,0.0
2013-09-30,14.31,5722370.0,2348.8911,,1.6483,0.0
2013-10-31,15.25,7034410.0,2503.1858,,1.7565,0.0
2013-11-30,17.4,3977830.0,2855.2733,,2.0036,0.0
2013-12-31,22.73,9395350.0,3730.1573,,2.6175,0.0
2014-01-31,18.9,6255990.0,3101.4883,,2.1764,0.0
2014-02-28,17.97,2172920.0,2948.835,,2.0693,0.0
2014-03-31,14.08,25922190.0,2311.1381,,1.8875,0.0
2014-04-30,13.98,3671590.0,2293.9031,,1.8734,0.0
2014-05-31,14.86,3543790.0,2439.1699,,1.9921,0.0
2014-06-30,15.12,2966650.0,2481.8472,,2.0269,0.0
2014-07-31,13.08,5014330.0,2146.9948,,1.7534,0.0
2014-08-31,11.65,9835350.0,1912.2698,,1.5617,0.0
2014-09-30,9.94,6421240.0,1631.5847,,1.3325,0.0
2014-10-31,8.48,5562230.0,1391.9355,,1.1368,0.0
2014-11-30,10.75,7424080.0,1764.5408,,1.4411,0.0
2014-12-31,7.49,2240110.0,1228.6129,,1.0034,0.0
2015-01-31,8.37,16561720.0,1373.8797,,1.122,0.0
2015-02-28,10.61,33769210.0,1740.7047,,1.4217,0.0
2015-03-31,9.47,18584380.0,1554.4374,,1.3184,0.0
2015-04-30,13.48,20875320.0,2212.6521,,1.8767,0.0
2015-05-31,11.25,16136900.0,1846.6125,,1.5662,0.0
2015-06-30,10.11,19519590.0,1659.4891,,1.4075,0.0
2015-07-31,11.97,14762120.0,1963.975,,1.6658,0.0
