LTFOODS IN Equity,price,volume,mc,pe,bm,div
2006-12-31,4.73,289888100.0,1053.3662,,,0.0
2007-01-31,5.14,115982780.0,1144.6728,,,0.0
2007-02-28,4.28,61882170.0,953.1517,,,0.0
2007-03-31,4.58,41438390.0,1018.8479,3.5863,0.8479,0.0
2007-04-30,5.17,33672770.0,1150.2403,4.0488,0.9572,0.0
2007-05-31,4.64,35256530.0,1032.2098,3.6333,0.859,0.0
2007-06-30,4.43,16933060.0,986.5565,3.4726,0.821,0.1
2007-07-31,4.3,20510670.0,956.4922,3.3668,0.796,0.1
2007-08-31,4.05,7856470.0,900.8174,3.1708,0.7497,0.1
2007-09-30,4.44,24624740.0,987.6745,3.4765,0.8219,0.1
2007-10-31,4.43,24806450.0,986.561,3.4726,0.821,0.1
2007-11-30,6.71,84999520.0,1493.2035,5.256,1.2426,0.1
2007-12-31,9.82,51242000.0,2185.8005,7.6939,1.819,0.1
2008-01-31,6.51,24417480.0,1448.6635,5.0992,1.2056,0.1
2008-02-29,6.55,10242720.0,1458.685,5.1345,1.2139,0.1
2008-03-31,5.42,11685320.0,1207.034,3.6726,0.8097,0.1
2008-04-30,5.86,4056470.0,1303.9085,3.9674,0.8746,0.1
2008-05-31,5.53,5765610.0,1230.4175,3.7438,0.8253,0.1
2008-06-30,4.54,5880940.0,1011.058,3.0763,0.6782,0.1
2008-07-31,6.15,6341510.0,1370.7185,4.1707,0.9195,0.1
2008-08-31,5.48,4048610.0,1219.2825,3.7099,0.8179,0.15
2008-09-30,4.71,2355920.0,1047.8035,3.1881,0.7029,0.15
2008-10-31,3.83,3936210.0,852.941,2.5952,0.5721,0.15
2008-11-30,3.75,2663770.0,835.125,2.541,0.5602,0.15
2008-12-31,3.17,2055420.0,704.8455,2.1446,0.4728,0.15
2009-01-31,2.92,9365270.0,650.284,1.9786,0.4362,0.15
2009-02-28,2.9,10395400.0,644.7165,1.9617,0.4325,0.15
2009-03-31,2.89,6389110.0,643.603,2.1318,0.3615,0.15
2009-04-30,3.11,22930070.0,692.597,2.2941,0.389,0.15
2009-05-31,3.89,12547090.0,865.1895,2.8658,0.486,0.15
2009-06-30,4.02,22191750.0,895.254,2.9654,0.5029,0.15
2009-07-31,4.6,10361080.0,1024.42,3.3932,0.5754,0.15
2009-08-31,6.05,74692270.0,1346.2215,4.4591,0.7562,0.15
2009-09-30,7.63,221894400.0,1699.201,5.6283,0.9544,0.1
2009-10-31,5.88,70744470.0,1308.3625,4.3337,0.7349,0.1
2009-11-30,5.65,30801910.0,1259.3685,4.1714,0.7074,0.1
2009-12-31,6.83,165760220.0,1521.041,5.0381,0.8544,0.1
2010-01-31,5.57,33783280.0,1239.3255,4.105,0.6961,0.1
2010-02-28,5.88,122711680.0,1535.762,4.3374,0.7355,0.1
2010-03-31,5.88,28445090.0,1535.762,5.2108,0.6372,0.1
2010-04-30,6.68,66174030.0,1743.4032,5.9153,0.7233,0.1
2010-05-31,5.69,20184370.0,1486.137,5.0424,0.6166,0.1
2010-06-30,6.05,18629190.0,1580.1632,5.3615,0.6556,0.1
2010-07-31,5.76,15011370.0,1503.114,5.1,0.6236,0.1
2010-08-31,5.28,26025560.0,1379.0516,4.6791,0.5722,0.1
2010-09-30,6.47,138403530.0,1689.8605,5.7337,0.7011,0.15
2010-10-31,6.4,117200910.0,1672.8836,5.6761,0.6941,0.15
2010-11-30,6.35,174001400.0,1658.5184,5.6273,0.6881,0.15
2010-12-31,6.3,54889770.0,1645.4592,5.583,0.6827,0.15
2011-01-31,5.53,24137120.0,1443.0416,4.8962,0.5987,0.15
2011-02-28,4.37,11290410.0,1140.0682,3.8682,0.473,0.15
2011-03-31,4.87,50318360.0,1271.9661,5.0466,0.5007,0.15
2011-04-30,5.21,40343430.0,1359.4627,5.3938,0.5351,0.15
2011-05-31,5.27,74315000.0,1375.1338,5.456,0.5413,0.15
2011-06-30,5.0,38833590.0,1304.6141,5.1762,0.5135,0.15
2011-07-31,5.0,26777920.0,1304.6141,5.1762,0.5135,0.15
2011-08-31,4.39,10807350.0,1145.2919,4.544,0.4508,0.15
2011-09-30,4.4,14955740.0,1149.2096,4.5596,0.4523,0.1
2011-10-31,4.89,7677040.0,1277.1898,5.0674,0.5027,0.1
2011-11-30,4.14,12163480.0,1081.3018,4.2902,0.4256,0.1
2011-12-31,3.87,7635890.0,1009.4762,4.0052,0.3973,0.1
2012-01-31,4.24,12542750.0,1107.4202,4.3938,0.4359,0.1
2012-02-29,4.56,25642800.0,1192.305,4.7306,0.4693,0.1
2012-03-31,3.81,12716550.0,995.1111,3.8549,0.3906,0.1
2012-04-30,3.89,17375690.0,1016.0058,,0.3988,0.1
2012-05-31,3.49,6572490.0,910.2263,,0.3573,0.1
2012-06-30,3.92,6587570.0,1023.8413,,0.4019,0.1
2012-07-31,4.53,27180860.0,1181.8576,,0.4639,0.1
2012-08-31,4.29,10021220.0,1119.1735,,0.4393,0.1
2012-09-30,5.2,13952510.0,1356.8509,,0.5326,0.1
2012-10-31,6.02,31998090.0,1572.3277,,0.6171,0.0
2012-11-30,5.8,9063870.0,1514.8672,,0.5946,0.0
2012-12-31,5.98,6163180.0,1561.8804,,0.613,0.0
2013-01-31,5.54,6306510.0,1446.9594,,0.5679,0.0
2013-02-28,5.24,15173060.0,1367.2983,,0.5367,0.0
2013-03-31,4.7,3456270.0,1229.9148,2.1911,0.3958,0.0
2013-04-30,5.65,6852710.0,1478.5146,2.634,0.4758,0.0
2013-05-31,5.82,3993150.0,1521.6924,2.711,0.4897,0.0
2013-06-30,6.99,32051320.0,1829.1709,3.2587,0.5886,0.0
2013-07-31,6.42,14412420.0,1684.7246,2.993,0.5406,0.0
2013-08-31,6.94,10071290.0,1819.8699,3.2331,0.584,0.0
2013-09-30,7.14,4589090.0,1876.0113,3.3287,0.6012,0.2
2013-10-31,7.81,12658870.0,2052.0516,3.641,0.6577,0.2
2013-11-30,7.8,11218440.0,2049.4241,3.6364,0.6568,0.2
2013-12-31,8.15,14086940.0,2142.5918,3.7972,0.6859,0.2
2014-01-31,8.23,21904470.0,2164.9516,3.8368,0.693,0.2
2014-02-28,8.45,10269920.0,2222.8239,3.9394,0.7115,0.2
2014-03-31,9.05,4162180.0,2380.6576,3.0349,0.609,0.2
2014-04-30,10.21,22739300.0,2685.8027,3.4239,0.687,0.2
2014-05-31,11.74,13219180.0,3098.7748,3.937,0.79,0.2
2014-06-30,12.42,15267050.0,3276.9412,4.1633,0.8354,0.2
2014-07-31,11.02,9846370.0,2908.7307,3.6955,0.7415,0.2
2014-08-31,11.74,15291080.0,3098.7748,3.937,0.79,0.2
2014-09-30,11.85,15268420.0,3127.8094,3.9738,0.7974,0.225
2014-10-31,11.58,2429270.0,3055.2231,3.8816,0.7789,0.225
2014-11-30,10.93,4824570.0,2884.9752,3.6653,0.7355,0.225
2014-12-31,11.2,6188600.0,2954.922,3.7542,0.7533,0.225
2015-01-31,11.65,3411780.0,3073.6996,3.9051,0.7836,0.225
2015-02-28,11.12,2079070.0,2935.1241,3.729,0.7483,0.225
2015-03-31,9.93,3040760.0,2625.5181,3.613,0.5674,0.225
2015-04-30,11.6,9689830.0,3067.2929,4.221,0.6629,0.225
2015-05-31,14.29,10072790.0,3778.8943,5.2002,0.8167,0.225
2015-06-30,16.41,13163410.0,4341.0329,5.9738,0.9382,0.225
2015-07-31,19.64,10488740.0,5195.4837,7.1496,1.1228,0.225
2015-08-31,17.97,5945050.0,4753.7088,6.5417,1.0273,0.225
2015-09-30,18.85,4876150.0,4986.5004,6.862,1.0776,0.2
2015-10-31,23.35,10516610.0,6175.5889,8.4984,1.3346,0.2
2015-11-30,28.71,32676190.0,7593.5009,10.4496,1.641,0.2
2015-12-31,26.46,5849780.0,6999.618,9.6323,1.5127,0.2
2016-01-31,24.66,4023380.0,6523.4535,8.9771,1.4098,0.2
2016-02-29,18.3,2102820.0,4841.0056,6.6618,1.0462,0.2
2016-03-31,22.6,9728350.0,6025.8803,8.3566,1.1226,0.2
2016-04-30,23.34,1887840.0,6223.1879,8.6302,1.1594,0.2
2016-05-31,23.1,10271690.0,6157.863,8.5396,1.1472,0.2
2016-06-30,24.88,8067680.0,6633.8009,9.1997,1.2359,0.2
2016-07-31,29.71,27178900.0,7920.2997,10.9838,1.4756,0.2
2016-08-31,29.17,5171090.0,7776.3185,10.7841,1.4487,0.2
2016-09-30,26.56,2495410.0,7080.4093,9.819,1.3191,0.15
2016-10-31,27.09,1523030.0,7223.0574,10.0168,1.3457,0.15
2016-11-30,26.48,3381680.0,7059.0788,9.7894,1.3151,0.15
2016-12-31,28.49,11221720.0,7596.342,10.5345,1.4152,0.15
2017-01-31,44.4,61910870.0,11838.455,16.4174,2.2055,0.15
2017-02-28,54.35,39039593.0,14491.4419,20.0965,2.6998,0.15
2017-03-31,65.8,19097261.0,17544.3768,14.9545,2.6386,0.15
2017-04-30,65.35,14249284.0,17424.3925,14.8523,2.6206,0.15
2017-05-31,71.0,27645235.0,18930.8625,16.1364,2.8472,0.15
2017-06-30,67.05,19789950.0,17885.2376,15.2386,2.6888,0.15
2017-07-31,69.95,16133505.0,18658.7975,15.8977,2.8051,0.15
2017-08-31,64.0,7461341.0,17071.666,14.5455,2.5665,0.15
2017-09-30,63.35,16977581.0,16898.2819,14.3977,2.5404,0.15
2017-10-31,68.3,14882968.0,18218.6686,15.5227,2.7389,0.15
2017-11-30,70.25,25921663.0,18738.8204,15.9659,2.8171,0.15
2017-12-31,91.1,105404016.0,29137.859,20.7045,3.6532,0.15
2018-01-31,90.5,82751512.0,28945.9521,20.5682,3.6291,0.15
2018-02-28,93.45,36823004.0,29889.4947,21.2386,3.7474,0.15
2018-03-31,85.0,16549153.0,27186.8063,17.7083,2.305,0.15
2018-04-30,91.25,21723240.0,29185.8362,19.0104,2.4745,0.15
2018-05-31,71.5,23961725.0,22868.9018,14.8958,1.9389,0.15
2018-06-30,60.15,17670420.0,19238.6635,12.5313,1.6312,0.15
2018-07-31,59.25,16580654.0,18950.8032,12.3438,1.6068,0.15
2018-08-31,55.35,22815288.0,17703.4086,11.5313,1.501,0.15
2018-09-30,45.5,31645019.0,14552.9375,9.4792,1.2339,0.15
2018-10-31,35.95,20834289.0,11498.4198,7.4896,0.9749,0.15
2018-11-30,41.55,28870996.0,13289.5506,8.6563,1.1268,0.15
2018-12-31,41.95,12839540.0,13417.4885,8.7396,1.1376,0.15
2019-01-31,38.65,26886583.0,12362.0007,8.0521,1.0481,0.15
2019-02-28,32.5,11301063.0,10394.9554,6.7708,0.8813,0.15
2019-03-31,39.2,41443719.0,12537.9154,9.899,0.9433,0.15
2019-04-30,34.4,13905622.0,11002.6604,8.6869,0.8278,0.15
2019-05-31,29.55,19337829.0,9451.4132,7.4621,0.7111,0.15
2019-06-30,24.9,19767623.0,7964.135,6.2879,0.5992,0.15
2019-07-31,18.65,11449188.0,5965.1051,4.7096,0.4488,0.15
2019-08-31,22.9,17336815.0,7324.4455,5.7828,0.5511,0.15
2019-09-30,26.35,13186784.0,8427.91,6.654,0.6341,0.15
2019-10-31,25.9,17476052.0,8283.9798,6.5404,0.6233,0.15
2019-11-30,23.2,14124959.0,7420.3989,5.8586,0.5583,0.15
2019-12-31,22.6,19514413.0,7228.492,5.7071,0.5439,0.15
2020-01-31,26.7,35727405.0,8539.8556,6.7424,0.6425,0.15
2020-02-29,23.9,25150063.0,7644.2902,6.0354,0.5751,0.65
2020-03-31,19.95,29535224.0,6380.9034,3.4575,0.4308,0.65
2020-04-30,21.85,20154943.0,6988.6084,3.7868,0.4718,0.65
2020-05-31,26.25,19386519.0,8395.9255,4.5494,0.5668,0.65
2020-06-30,41.6,97774654.0,13305.5428,7.2097,0.8982,0.65
2020-07-31,52.3,68446464.0,16727.882,9.0641,1.1292,0.65
2020-08-31,56.05,49838149.0,17927.2999,9.714,1.2102,0.65
2020-09-30,54.15,24996413.0,17319.5948,9.3847,1.1692,0.5
2020-10-31,53.15,28983816.0,16999.7498,9.2114,1.1476,0.5
2020-11-30,52.4,32746676.0,16759.8662,9.0815,1.1314,1.0
2020-12-31,57.2,75501328.0,18295.1211,9.9133,1.235,1.0
2021-01-31,54.25,25798377.0,17351.579,9.4021,1.1713,1.0
2021-02-28,52.7,22326253.0,16855.8196,9.1334,1.1379,1.0
2021-03-31,58.5,87403665.0,18710.9193,6.8261,1.0659,1.0
2021-04-30,72.55,89634781.0,23204.7384,8.4656,1.3218,1.0
2021-05-31,75.05,110096215.0,24004.3504,8.7573,1.3674,1.0
2021-06-30,73.95,50314345.0,23652.5211,8.6289,1.3473,1.0
2021-07-31,75.95,66911333.0,24292.211,8.8623,1.3838,1.0
2021-08-31,67.2,26660091.0,21493.5692,7.8413,1.2244,1.0
2021-09-30,72.05,55867038.0,23044.8164,8.4072,1.3127,1.0
2021-10-31,69.5,34174724.0,22229.2122,8.1097,1.2663,1.0
2021-11-30,63.35,21643488.0,20262.1668,7.3921,1.1542,1.0
2021-12-31,74.95,81939369.0,23972.3663,8.7456,1.3656,1.0
2022-01-31,71.35,46184850.0,22820.9251,8.3256,1.3,1.0
2022-02-28,62.65,19831506.0,20038.2755,7.3104,1.1415,1.0
2022-03-31,78.1,38206400.0,24979.8773,8.5542,1.2505,1.0
2022-04-30,87.2,146633017.0,27890.4648,9.5509,1.3962,1.0
2022-05-31,80.6,68731920.0,25779.4893,8.828,1.2905,1.0
2022-06-30,75.5,22513736.0,24148.2809,8.2694,1.2089,1.0
2022-07-31,90.95,39689274.0,29089.8827,9.9617,1.4562,1.0
2022-08-31,95.15,71765206.0,30433.2308,10.4217,1.5235,1.0
2022-09-30,116.1,138484815.0,37133.979,12.7163,1.8589,1.0
2022-10-31,126.55,80267207.0,40476.3569,13.8609,2.0262,1.0
2022-11-30,114.55,45292029.0,36638.2195,12.5465,1.8341,1.0
2022-12-31,115.55,39589699.0,36958.0643,12.6561,1.8501,1.0
2023-01-31,115.3,18171501.0,36878.1031,12.6287,1.8461,1.0
2023-02-28,96.55,19420017.0,30881.0135,10.575,1.5459,1.0
2023-03-31,96.5,18429706.0,30865.0213,7.6709,1.2154,1.0
2023-04-30,110.7,25885813.0,38440.9009,8.7997,1.3943,0.5
2023-05-31,114.6,30999934.0,39795.1874,9.1097,1.4434,0.5
2023-06-30,131.7,49876709.0,45733.2127,10.469,1.6588,0.5
2023-07-31,180.65,65470061.0,62731.2443,14.3601,2.2753,0.5
2023-08-31,165.4,32755729.0,57435.6369,13.1479,2.0832,1.0
2023-09-30,166.35,33658785.0,57765.5272,13.2234,2.0952,1.5
2023-10-31,164.95,31600059.0,57279.3731,13.1121,2.0776,1.5
2023-11-30,217.45,59048093.0,75510.1527,17.2854,2.7388,1.0
2023-12-31,203.2,31855481.0,70561.7982,16.1526,2.5593,1.0
2024-01-31,197.0,23403270.0,68408.83,15.6598,2.4812,1.0
2024-02-29,179.65,20947058.0,62383.9914,14.2806,2.2627,1.0
2024-03-31,187.65,50139066.0,65162.0149,10.9801,1.9327,1.0
2024-04-30,215.75,28242642.0,74919.8227,12.6243,2.2221,1.0
2024-05-31,205.45,24312716.0,71343.1173,12.0217,2.116,1.0
2024-06-30,256.24,32262514.0,88980.0944,14.9936,2.6391,1.0
2024-07-31,292.9,41450564.0,101710.3873,17.1387,3.0167,1.0
2024-08-31,379.4,30507632.0,131747.767,22.2001,3.9075,1.0
2024-09-30,398.55,40689674.0,138397.6608,23.3207,4.1048,1.5
2024-10-31,390.2,25535754.0,135498.0987,22.8321,4.0188,1.5
