DABUR IN Equity,price,volume,mc,pe,bm,div
2005-08-31,25.58,74285160.0,43996.0475,28.2575,12.0807,0.4167
2005-09-30,27.2,61655244.0,46776.2537,30.0432,12.8441,0.4167
2005-10-31,27.86,148449108.0,47908.3996,30.7703,13.155,0.5
2005-11-30,28.95,88936842.0,49785.7553,31.9761,13.6704,0.5
2005-12-31,35.15,124191900.0,60454.7798,38.8242,16.5981,0.5
2006-01-31,39.42,132035610.0,67793.0556,43.5368,18.6129,0.5
2006-02-28,36.8,89160873.0,63292.6286,40.6466,17.3773,0.5
2006-03-31,41.33,167745768.0,71089.5466,31.3641,14.3021,0.5
2006-04-30,53.02,102410658.0,89349.2407,40.2295,18.3447,0.5
2006-05-31,44.97,153670455.0,77338.5471,34.1211,15.5593,0.5
2006-06-30,47.43,129008940.0,81580.9878,35.9928,16.4128,0.5833
2006-07-31,43.95,87571809.0,75639.3368,33.3497,15.2075,0.5833
2006-08-31,45.48,56497965.0,78278.2519,34.5132,15.738,0.5833
2006-09-30,45.6,54508083.0,78479.0389,34.6017,15.7784,0.5833
2006-10-31,50.95,69128193.0,87740.1448,38.6613,17.6296,0.5833
2006-11-30,49.38,87578334.0,85042.2143,37.4725,17.0875,0.6667
2006-12-31,48.97,41147943.0,84324.6796,37.1563,16.9433,0.6667
2007-01-31,49.45,103844824.0,85166.4215,37.5231,17.1106,0.6667
2007-02-28,48.85,42043126.0,84133.0574,37.0678,16.903,0.6667
2007-03-31,47.5,49393198.0,81807.9883,29.0303,17.0933,0.7083
2007-04-30,47.6,44387044.0,82146.5367,29.0915,17.1293,0.7083
2007-05-31,49.95,62209546.0,86202.0905,30.5277,17.975,0.7083
2007-06-30,51.43,47995820.0,88851.9794,31.4292,18.5058,0.7083
2007-07-31,52.33,59114280.0,90406.997,31.9792,18.8296,0.7083
2007-08-31,50.5,30707944.0,87253.7668,30.8638,18.1729,0.7083
2007-09-30,52.93,49420202.0,91455.143,32.3459,19.0456,0.7083
2007-10-31,53.33,132047072.0,92146.3486,32.5904,19.1895,0.75
2007-11-30,55.43,64602516.0,95775.1781,33.8738,19.9452,0.75
2007-12-31,57.1,55601232.0,98671.4138,34.8975,20.548,0.75
2008-01-31,46.15,75553916.0,79749.3238,28.2053,16.6075,0.75
2008-02-29,49.9,34476058.0,86229.4964,30.4971,17.957,0.75
2008-03-31,55.4,31558734.0,95733.7495,28.7474,15.5016,0.75
2008-04-30,53.43,29720674.0,92320.8586,27.7225,14.9489,0.75
2008-05-31,48.53,57621308.0,83853.4331,25.1799,13.5778,0.375
2008-06-30,39.53,27770196.0,68375.2779,20.5098,11.0595,1.125
2008-07-31,45.2,25052726.0,78192.6012,23.4545,12.6475,1.125
2008-08-31,45.73,28173004.0,79100.8117,23.727,12.7944,1.125
2008-09-30,45.55,42944500.0,78808.4393,23.6362,12.7454,1.125
2008-10-31,40.8,27882496.0,70590.2007,21.1714,11.4163,1.125
2008-11-30,40.98,42461838.0,70892.9773,21.2622,11.4653,1.125
2008-12-31,42.0,37758500.0,72666.3831,21.794,11.7521,1.125
2009-01-31,43.98,21677622.0,76083.4332,22.8189,12.3047,1.125
2009-02-28,45.58,18629154.0,78851.6764,23.6491,12.7524,1.125
2009-03-31,49.6,18962484.0,85815.5381,21.8985,10.4806,1.125
2009-04-30,51.85,32432954.0,89708.38,22.8918,10.956,1.125
2009-05-31,55.23,56444450.0,95547.643,24.3819,11.6691,1.125
2009-06-30,62.85,63209424.0,108793.3116,27.7483,13.2803,1.0
2009-07-31,68.83,37880036.0,119136.033,30.3863,14.5428,1.0
2009-08-31,62.43,31694198.0,108057.6369,27.5607,13.1905,1.0
2009-09-30,71.2,36485340.0,123284.7382,31.4349,15.0447,1.0
2009-10-31,76.05,28498804.0,131682.6452,33.5762,16.0695,0.875
2009-11-30,78.88,50255450.0,136574.2096,34.8234,16.6664,0.875
2009-12-31,79.4,20875920.0,137485.8977,35.0552,16.7774,0.875
2010-01-31,80.4,32071216.0,139217.4582,35.4967,16.9887,0.875
2010-02-28,84.63,31819986.0,146533.3009,37.362,17.8814,0.875
2010-03-31,79.4,24362650.0,137772.6275,27.3793,14.7289,0.875
2010-04-30,90.15,27757662.0,156425.7225,31.0862,16.723,0.875
2010-05-31,92.7,22553800.0,160850.4102,31.9655,17.1961,0.875
2010-06-30,105.3,25900870.0,182914.7507,36.3103,19.5334,0.875
2010-07-31,98.83,70002506.0,171707.4845,34.0776,18.3323,0.875
2010-08-31,104.63,45523770.0,182074.6652,36.0776,19.4082,1.0
2010-09-30,108.0,44492594.0,187998.1655,37.2414,20.0343,1.0
2010-10-31,99.75,33605946.0,173637.1945,34.3966,18.5039,1.0
2010-11-30,93.6,46214255.0,162931.7435,32.2759,17.363,1.125
2010-12-31,100.25,40400673.0,174507.5564,34.569,18.5966,1.125
2011-01-31,93.7,50085245.0,163105.8158,32.3103,17.3816,1.125
2011-02-28,99.75,34173244.0,173637.1945,34.3966,18.5039,1.125
2011-03-31,96.1,18273863.0,167283.5528,29.3884,12.025,1.125
2011-04-30,101.15,36516368.0,176074.2078,30.9327,12.6569,1.125
2011-05-31,117.6,77948076.0,204709.1136,35.9633,14.7153,1.125
2011-06-30,114.0,34566590.0,198442.5359,34.8624,14.2649,1.15
2011-07-31,104.05,24016620.0,181122.3321,31.8196,13.0198,1.15
2011-08-31,110.75,21853803.0,192896.0816,33.8685,13.8582,1.15
2011-09-30,103.0,35367828.0,179397.7102,31.4985,12.8884,1.15
2011-10-31,101.3,24943158.0,176469.3855,30.9786,12.6757,1.15
2011-11-30,95.3,24372690.0,166017.1021,29.1437,11.9249,1.2
2011-12-31,99.45,23159060.0,173246.5981,30.4128,12.4442,1.2
2012-01-31,94.2,38950659.0,164105.2542,28.8073,11.7873,1.2
2012-02-29,104.05,46906749.0,181265.6041,31.8196,13.0198,1.2
2012-03-31,106.6,19339409.0,185707.9485,28.8108,10.8147,1.2
2012-04-30,111.85,19058659.0,194853.9778,30.2297,11.3473,1.2
2012-05-31,104.3,34570064.0,181701.1166,28.1892,10.5814,1.2
2012-06-30,114.55,33509678.0,199557.6501,30.9595,11.6212,1.3
2012-07-31,119.3,24264291.0,207913.4973,32.2432,12.1031,1.3
2012-08-31,122.55,25290187.0,213595.001,33.1216,12.4328,1.3
2012-09-30,128.0,31071269.0,223093.9219,34.5946,12.9858,1.3
2012-10-31,124.35,29337748.0,216732.2593,33.6081,12.6155,1.4
2012-11-30,128.05,18095367.0,223181.0679,34.6081,12.9908,1.4
2012-12-31,128.9,20329735.0,224662.551,34.8378,13.0771,1.4
2013-01-31,132.7,24535702.0,231287.4823,35.8649,13.4626,1.4
2013-02-28,126.4,22167706.0,220306.9914,34.1622,12.8234,1.4
2013-03-31,136.95,17467865.0,238694.9563,31.2671,11.3924,1.4
2013-04-30,147.8,31055260.0,257605.8017,33.7443,12.295,1.4
2013-05-31,156.35,32457387.0,272507.8964,35.6963,13.0062,1.4
2013-06-30,155.4,28611861.0,270852.0891,35.4795,12.9272,1.5
2013-07-31,161.4,43020678.0,281422.1783,36.8493,13.4263,1.5
2013-08-31,163.1,46838362.0,284386.3524,37.2374,13.5677,1.5
2013-09-30,169.5,27596015.0,295576.3222,38.6986,14.1001,1.5
2013-10-31,178.65,30097475.0,311532.2122,40.7877,14.8613,1.5
2013-11-30,165.65,46309594.0,288862.6417,37.8196,13.7799,1.6
2013-12-31,170.35,27894882.0,297058.5633,38.8927,14.1708,1.6
2014-01-31,172.0,44744479.0,299935.855,39.2694,14.3081,1.6
2014-02-28,173.45,18604079.0,302464.384,39.6005,14.4287,1.6
2014-03-31,179.65,25156234.0,313276.0253,34.2844,11.7952,1.6
2014-04-30,179.25,22467267.0,312578.5,34.208,11.7689,1.6
2014-05-31,188.45,38669037.0,328621.5806,35.9637,12.373,1.6
2014-06-30,187.5,23430711.0,329296.6461,35.7824,12.3106,1.75
2014-07-31,207.25,31483149.0,363982.5595,39.5515,13.6073,1.75
2014-08-31,232.6,55587260.0,408503.4661,44.3893,15.2717,1.75
2014-09-30,222.15,40919051.0,390175.669,42.395,14.5856,2.25
2014-10-31,226.5,32217266.0,397815.8408,43.2252,14.8712,2.25
2014-11-30,240.9,27442909.0,423107.4439,45.9733,15.8167,2.25
2014-12-31,233.75,19485123.0,410584.6713,44.6088,15.3472,2.25
2015-01-31,256.25,29093033.0,450106.1905,48.9027,16.8245,2.25
2015-02-28,263.6,25515186.0,463016.5534,50.3053,17.3071,2.25
2015-03-31,265.55,29202338.0,466441.7517,43.676,13.9044,2.25
2015-04-30,251.9,22125802.0,442465.3635,41.4309,13.1896,2.25
2015-05-31,269.85,24694363.0,474077.8954,44.3832,14.1295,2.25
2015-06-30,280.1,27277568.0,492085.3011,46.0691,14.6662,2.0
2015-07-31,293.3,26764308.0,515275.326,48.2401,15.3574,2.0
2015-08-31,273.05,32379502.0,479699.7197,44.9095,14.2971,2.0
2015-09-30,276.0,37382183.0,484882.3389,45.3947,14.4515,2.0
2015-10-31,269.75,30378375.0,473902.2134,44.3668,14.1243,2.0
2015-11-30,272.55,24275272.0,479453.9437,44.8273,14.2709,2.0
2015-12-31,276.95,19962892.0,487194.1651,45.551,14.5013,2.0
2016-01-31,250.65,37012705.0,440928.7506,41.2253,13.1242,2.0
2016-02-29,237.15,22078027.0,417180.344,39.0049,12.4173,2.0
2016-03-31,249.9,29491946.0,439609.3947,35.0983,10.5406,2.0
2016-04-30,275.8,24718793.0,485171.1527,38.736,11.6331,2.0
2016-05-31,289.7,34136422.0,509623.2159,40.6882,12.2194,2.0
2016-06-30,308.65,32526384.0,542958.9423,43.3497,13.0187,2.25
2016-07-31,303.6,32177308.0,534075.2791,42.6404,12.8057,2.25
2016-08-31,290.6,37478750.0,511206.443,40.8146,12.2574,2.25
2016-09-30,271.2,23163745.0,477079.103,38.0899,11.4391,2.25
2016-10-31,292.05,44899228.0,513757.1978,41.0183,12.3185,2.25
2016-11-30,283.55,35547834.0,498804.4973,39.8244,11.96,2.25
2016-12-31,278.15,19631161.0,489966.9292,39.066,11.7322,2.25
2017-01-31,276.0,21617191.0,486179.6602,38.764,11.6415,2.25
2017-02-28,276.9,25447688.0,487765.0286,38.8904,11.6795,2.25
2017-03-31,277.35,41453146.0,488557.7128,38.2552,10.0788,2.25
2017-04-30,286.75,20718553.0,505116.0056,39.5517,10.4204,2.25
2017-05-31,279.95,67411210.0,493137.6662,38.6138,10.1733,2.25
2017-06-30,292.1,36056103.0,514540.1403,40.2897,10.6148,2.25
2017-07-31,310.0,30636968.0,546071.3574,42.7586,11.2653,2.25
2017-08-31,315.1,25281322.0,555055.112,43.4621,11.4506,2.25
2017-09-30,305.0,22343798.0,537263.7549,42.069,11.0836,2.25
2017-10-31,332.85,21602642.0,586322.101,45.9103,12.0956,2.25
2017-11-30,344.3,32652814.0,606491.5109,47.4897,12.5117,2.25
2017-12-31,349.7,20752968.0,616003.7216,48.2345,12.7079,2.25
2018-01-31,355.6,28154545.0,626396.6926,49.0483,12.9223,2.25
2018-02-28,325.05,28511652.0,572582.2418,44.8345,11.8122,2.25
2018-03-31,328.4,58742019.0,578483.3355,42.7048,10.1372,2.25
2018-04-30,369.4,24379762.0,650705.6764,48.0364,11.4028,2.25
2018-05-31,383.3,38399183.0,675190.8115,49.844,11.8319,2.25
2018-06-30,391.45,30691951.0,691404.2076,50.9038,12.0835,2.25
2018-07-31,421.55,74852751.0,744568.7667,54.8179,13.0126,7.5
2018-08-31,478.75,81994648.0,845599.0916,62.2562,14.7783,7.5
2018-09-30,426.9,65363699.0,754018.2813,55.5137,13.1778,7.5
2018-10-31,384.75,72682425.0,679570.236,50.0325,11.8767,7.5
2018-11-30,409.1,73804744.0,722578.7746,53.199,12.6283,7.5
2018-12-31,430.65,64236002.0,760641.7729,56.0013,13.2935,7.5
2019-01-31,443.65,59243186.0,783615.0647,57.6918,13.6948,7.5
2019-02-28,438.05,40627883.0,773723.8343,56.9636,13.522,7.5
2019-03-31,408.8,52974367.0,722059.8184,50.0367,12.8214,7.5
2019-04-30,398.1,45005511.0,703160.5032,48.7271,12.4858,7.5
2019-05-31,395.95,80302971.0,699362.9773,48.4639,12.4184,7.5
2019-06-30,400.5,37195309.0,707399.602,49.0208,12.5611,7.5
2019-07-31,426.45,64037512.0,753560.8913,52.1971,13.375,2.5
2019-08-31,448.8,35022545.0,793054.5856,54.9327,14.0759,2.75
2019-09-30,447.25,41709477.0,790315.6493,54.743,14.0273,2.75
2019-10-31,461.95,28621231.0,816295.1649,56.5422,14.4884,2.75
2019-11-30,459.1,48276047.0,811259.0328,56.1934,14.399,2.9
2019-12-31,458.4,34091723.0,810022.0881,56.1077,14.377,2.9
2020-01-31,495.75,45411025.0,876021.9245,60.6793,15.5484,2.9
2020-02-29,496.1,48977832.0,876640.3968,60.7222,15.5594,2.9
2020-03-31,450.05,74302854.0,795267.1046,55.0183,12.039,2.9
2020-04-30,489.3,68712317.0,864624.3624,59.8166,13.089,2.9
2020-05-31,466.45,78395468.0,824246.9524,57.0232,12.4777,2.9
2020-06-30,465.95,87521232.0,823363.4205,56.9621,12.4643,2.9
2020-07-31,513.55,86869310.0,907475.6617,62.7812,13.7377,2.9
2020-08-31,474.6,70130978.0,838813.7352,58.0196,12.6957,3.0
2020-09-30,510.55,63358575.0,902352.1966,62.4144,13.6574,3.0
2020-10-31,511.45,74300362.0,903947.2188,62.5244,13.6815,3.0
2020-11-30,499.8,94964688.0,883356.7699,61.1002,13.3698,3.35
2020-12-31,534.0,96116872.0,943802.5513,65.2812,14.2847,3.35
2021-01-31,514.55,63351552.0,909426.2224,62.9034,13.7644,3.35
2021-02-28,503.1,91785088.0,889189.2576,61.5037,13.4581,3.35
2021-03-31,540.5,45149563.0,955293.4238,56.4196,12.4654,3.35
2021-04-30,538.05,48565197.0,950963.2316,56.1639,12.4089,3.35
2021-05-31,540.45,61874391.0,955205.0526,56.4144,12.4643,3.35
2021-06-30,568.75,50520984.0,1005465.575,59.3685,13.117,3.35
2021-07-31,600.7,41934341.0,1061948.472,62.7035,13.8538,4.75
2021-08-31,621.5,74588637.0,1098719.786,64.8747,14.3335,4.75
2021-09-30,617.05,40700100.0,1090855.843,64.4102,14.2309,4.75
2021-10-31,585.85,44607812.0,1035698.721,61.1534,13.5113,4.75
2021-11-30,594.95,51730043.0,1051786.215,62.1033,13.7212,5.5
2021-12-31,580.05,28903440.0,1025445.153,60.548,13.3776,5.5
2022-01-31,536.75,32409084.0,948896.9673,56.0282,12.379,5.5
2022-02-28,563.35,38152704.0,995921.9497,58.8048,12.9924,5.5
2022-03-31,536.2,50279101.0,947924.6462,54.4919,11.31,5.5
2022-04-30,556.7,36981328.0,984165.7041,56.5752,11.7424,5.5
2022-05-31,519.0,50145271.0,917517.5147,52.7439,10.9472,5.5
2022-06-30,495.95,43137137.0,878688.4317,50.4014,10.461,5.5
2022-07-31,584.1,36137773.0,1034866.242,59.3598,12.3203,5.2
2022-08-31,583.6,35399121.0,1033980.379,59.3089,12.3098,5.2
2022-09-30,572.95,30840802.0,1015131.877,58.2266,12.0852,5.2
2022-10-31,554.7,49565708.0,982797.1935,56.372,11.7002,5.2
2022-11-30,588.35,45779255.0,1042417.034,59.7917,12.41,5.2
2022-12-31,561.45,69312880.0,994756.5969,57.0579,11.8426,5.2
2023-01-31,557.75,34922538.0,988201.072,56.6819,11.7645,5.2
2023-02-28,532.6,38420160.0,943641.2209,54.126,11.2341,5.2
2023-03-31,544.9,30283436.0,965433.9115,56.5249,10.759,5.2
2023-04-30,532.9,43310748.0,944172.75,55.2801,10.5221,5.2
2023-05-31,555.4,55990053.0,984188.0563,57.6141,10.9663,5.2
2023-06-30,572.95,38040985.0,1015287.265,59.4346,11.3129,5.2
2023-07-31,575.6,33629196.0,1019983.157,59.7095,11.3652,5.2
2023-08-31,553.1,47356261.0,980112.3765,57.3755,10.9209,5.2
2023-09-30,551.6,27242275.0,977454.3245,57.2199,10.8913,5.2
2023-10-31,528.9,40276563.0,937229.1375,54.8651,10.4431,5.2
2023-11-30,538.05,32077356.0,953444.4594,55.8143,10.6238,5.45
2023-12-31,557.2,52354390.0,987378.9663,57.8008,11.0019,5.45
2024-01-31,539.6,44623687.0,956191.1166,55.9751,10.6544,5.45
2024-02-29,538.15,44155901.0,953622.875,55.8247,10.6257,5.45
2024-03-31,523.15,29471585.0,927042.2876,50.3029,9.396,5.45
2024-04-30,507.75,57296047.0,899752.8845,48.8221,9.1195,5.45
2024-05-31,545.1,95318388.0,966086.9338,52.4135,9.7903,5.45
2024-06-30,600.7,104727793.0,1064627.447,57.7596,10.7889,5.45
2024-07-31,635.7,68861757.0,1126658.345,61.125,11.4175,5.5
2024-08-31,637.15,56256904.0,1129228.196,61.2644,11.4435,5.5
2024-09-30,625.2,57156334.0,1108049.075,60.1154,11.2289,5.5
2024-10-31,540.0,76949024.0,957048.1457,51.9231,9.6987,5.5
2024-11-30,527.15,41130154.0,934275.8644,50.6875,9.4679,5.5
2024-12-31,507.0,59646743.0,898563.7167,48.75,9.106,5.5
2025-01-31,529.85,59621209.0,939061.1149,50.9471,9.5164,5.5
2025-02-28,493.3,45094471.0,874284.5937,47.4327,8.8599,5.5
2025-03-31,506.5,42192708.0,897679.1946,50.8024,8.3113,5.5
2025-04-30,487.75,52985431.0,864448.2274,48.9218,8.0036,5.5
2025-05-31,482.95,55854884.0,855941.0998,48.4403,7.9249,5.5
2025-06-30,485.25,50298161.0,860683.156,48.671,7.9626,5.5
2025-07-31,529.0,62889196.0,938282.101,53.0592,8.6805,8.0
2025-08-31,521.1,55786842.0,924269.9486,52.2668,8.5509,8.0
2025-09-30,491.3,78276507.0,871413.9815,49.2778,8.0619,8.0
2025-10-31,487.55,57956369.0,864762.6434,48.9017,8.0004,8.0
2025-11-30,517.4,49292485.0,917707.295,51.8957,8.4902,8.0
2025-12-31,503.6,29371527.0,893230.3706,50.5115,8.2637,8.0
2026-01-31,506.6,51457652.0,898551.4411,50.8124,8.313,8.0
2026-02-28,518.5,34125220.0,919658.3542,52.006,8.5082,8.0
2026-03-31,487.5,4911049.0,864673.9589,48.8967,7.9995,8.0
