DABUR IN Equity,price,volume,mc,pe,bm,div
1995-01-31,5.08,,8695.2452,,,0.0
1995-02-28,4.92,,8410.1552,,,0.0
1995-03-31,4.83,,8267.6102,,,0.0
1995-04-30,4.08,,6984.7052,,,0.0
1995-05-31,4.23,,7241.2862,,,0.0
1995-06-30,3.7,,6328.9982,,,0.0
1995-07-31,4.25,,7269.7952,,,0.0
1995-08-31,3.58,,6129.4352,,,0.05
1995-09-30,3.63,,6214.9622,,,0.05
1995-10-31,3.77,,6443.0342,,,0.05
1995-11-30,3.67,,6271.9802,,,0.05
1995-12-31,3.87,,6614.0882,,,0.05
1996-01-31,3.77,,6443.0342,,,0.05
1996-02-29,4.25,,7269.7952,,,0.05
1996-03-31,4.17,,7127.2502,,,0.05
1996-04-30,4.21,,7198.5227,,,0.05
1996-05-31,3.9,408000.0,6671.1062,,,0.05
1996-06-30,4.0,3852000.0,6842.1602,,,0.05
1996-07-31,3.8,6204000.0,6500.0522,,,0.05
1996-08-31,3.63,1068000.0,6214.9622,,,0.05
1996-09-30,3.98,19934100.0,6799.3967,,,0.05
1996-10-31,4.0,5642400.0,6842.1602,,,0.05
1996-11-30,3.77,13861200.0,6450.1614,,,0.05
1996-12-31,4.13,6555240.0,7070.2322,,,0.05
1997-01-31,4.28,4658220.0,7326.8132,,,0.05
1997-02-28,4.4,7380600.0,7526.3762,,,0.05
1997-03-31,4.03,2841000.0,6899.1782,,,0.05
1997-04-30,4.28,6829200.0,7319.6859,,,0.05
1997-05-31,4.02,1929600.0,6877.7964,,,0.05
1997-06-30,3.98,2120100.0,6813.6512,,,0.05
1997-07-31,4.47,9258600.0,7640.4122,,,0.05
1997-08-31,3.54,15600000.0,6051.0354,,,0.05
1997-09-30,3.99,10592400.0,6827.9057,,,0.05
1997-10-31,3.78,2943000.0,6557.0702,,,0.05
1997-11-30,3.73,7014000.0,6371.7617,,,0.05
1997-12-31,3.42,16692000.0,5844.3452,,,0.05
1998-01-31,3.28,15792900.0,5610.5714,,,0.05
1998-02-28,3.39,26424000.0,5807.2835,,,0.05
1998-03-31,4.15,206061240.0,7095.8903,,,0.05
1998-04-30,5.71,165287700.0,9764.3328,,,0.05
1998-05-31,5.08,68044440.0,8695.2452,,,0.05
1998-06-30,4.14,36249240.0,7087.3376,,,0.05
1998-07-31,4.83,45068700.0,8256.2066,,,0.0583
1998-08-31,4.94,120510000.0,8450.0678,,,0.0583
1998-09-30,5.33,81168000.0,9122.8802,,,0.0583
1998-10-31,5.41,44217000.0,9251.1708,,,0.0583
1998-11-30,5.9,54438000.0,10085.059,,,0.0583
1998-12-31,7.1,172302900.0,12144.8343,,,0.0667
1999-01-31,9.61,175322400.0,16435.4389,,,0.0667
1999-02-28,10.2,147912300.0,17454.6357,,,0.0667
1999-03-31,10.87,101481300.0,18587.8685,,,0.0667
1999-04-30,10.15,90930000.0,17361.9815,,,0.0667
1999-05-31,10.02,72708360.0,17143.8876,,,0.0667
1999-06-30,9.8,28395540.0,16763.2925,,,0.0667
1999-07-31,13.34,49260360.0,22821.4551,,,0.0667
1999-08-31,15.25,35175480.0,26085.7357,,,0.0833
1999-09-30,19.31,24924300.0,33027.6774,,,0.0833
1999-10-31,15.58,34932780.0,26655.9157,,,0.0833
1999-11-30,15.17,15853920.0,25943.1907,,,0.0833
1999-12-31,19.67,31021740.0,33640.6209,,,0.0833
2000-01-31,25.0,37920780.0,42763.5012,,,0.1333
2000-02-29,16.15,24668460.0,27625.2218,,,0.1333
2000-03-31,13.65,29169660.0,23355.9989,,,0.1333
2000-04-30,10.92,16676400.0,18681.5823,,,0.25
2000-05-31,12.38,17248320.0,21167.9331,,,0.25
2000-06-30,10.88,16503540.0,18610.6757,,,0.25
2000-07-31,14.01,51384300.0,23956.1134,,,0.25
2000-08-31,11.4,31841880.0,19501.2337,,,0.25
2000-09-30,9.98,34980840.0,17074.0966,,,0.25
2000-10-31,10.28,19018740.0,17597.4569,,,0.25
2000-11-30,12.03,34296174.0,20583.4625,,,0.25
2000-12-31,11.28,26037858.0,19309.0429,,,0.25
2001-01-31,11.08,26909382.0,18952.5243,,,0.25
2001-02-28,11.76,56557776.0,20121.9051,,,0.25
2001-03-31,10.15,35826714.0,17369.5821,,,0.25
2001-04-30,11.62,11118408.0,19879.4725,,,0.25
2001-05-31,12.38,11544828.0,21177.1999,,,0.1667
2001-06-30,10.28,9596658.0,17597.754,,,0.1667
2001-07-31,9.84,2879808.0,16841.9347,,,0.1667
2001-08-31,9.38,4585860.0,16057.594,,,0.1667
2001-09-30,9.67,7454928.0,16542.4592,,,0.1667
2001-10-31,9.8,7410426.0,16770.631,,,0.1667
2001-11-30,11.29,32874162.0,19342.0089,,,0.1667
2001-12-31,11.32,24355080.0,19384.8325,,,0.1667
2002-01-31,10.76,6731742.0,18433.9892,,,0.1667
2002-02-28,9.88,6088848.0,16934.7104,,,0.1667
2002-03-31,9.27,10873446.0,15878.9989,22.9707,4.0367,0.0833
2002-04-30,9.65,8897910.0,16535.864,23.9209,4.2037,0.0833
2002-05-31,8.58,8952276.0,14693.7859,21.2562,3.7354,0.0833
2002-06-30,8.53,10328100.0,14608.1078,21.1322,3.7136,0.0833
2002-07-31,7.68,20061288.0,13151.5809,19.0252,3.3434,0.0833
2002-08-31,7.97,3922572.0,13651.3696,19.7482,3.4704,0.0833
2002-09-30,7.63,1897398.0,13065.9029,18.9013,3.3216,0.0833
2002-10-31,7.37,1856904.0,12623.233,18.2609,3.209,0.0833
2002-11-30,7.44,3655560.0,12751.75,18.4468,3.2417,0.0833
2002-12-31,7.31,4111074.0,12523.2752,18.1163,3.1836,0.0833
2003-01-31,7.54,54984108.0,12923.1061,18.6947,3.2853,0.0833
2003-02-28,7.31,8295090.0,12523.2752,18.1163,3.1836,0.0833
2003-03-31,5.98,6124734.0,10258.425,11.0632,2.4624,0.0833
2003-04-30,6.16,3041646.0,10558.4625,11.3867,2.5345,0.0833
2003-05-31,7.47,21710046.0,12801.6,13.8058,3.0729,0.0833
2003-06-30,7.96,17395518.0,13644.5625,14.7149,3.2752,0.0833
2003-07-31,9.46,33162642.0,16216.3125,17.4884,3.8926,0.2333
2003-08-31,10.79,24967260.0,18502.3125,19.9538,4.4413,0.2333
2003-09-30,10.23,9829440.0,17545.05,18.9214,4.2115,0.2333
2003-10-31,10.8,17166354.0,18516.6,19.9692,4.4447,0.2333
2003-11-30,11.27,20358780.0,19316.7,20.832,4.6368,0.25
2003-12-31,14.73,49981068.0,25290.1093,27.2265,6.0601,0.25
2004-01-31,13.99,26254632.0,24030.6132,25.8705,5.7583,0.25
2004-02-29,13.48,6431664.0,23143.2409,24.9152,5.5456,0.25
2004-03-31,13.11,10972212.0,22513.4929,20.598,7.8694,0.25
2004-04-30,13.48,8785608.0,23157.5534,21.1873,8.0945,0.25
2004-05-31,12.02,23520732.0,20638.5612,18.8826,7.214,0.25
2004-06-30,10.41,19641192.0,17878.7481,16.3553,6.2485,0.3333
2004-07-31,11.36,20590434.0,19510.5954,17.8481,6.8188,0.3333
2004-08-31,11.48,13636986.0,19725.3122,18.0445,6.8938,0.3333
2004-09-30,12.15,19289454.0,20870.4682,19.0921,7.2941,0.3333
2004-10-31,13.42,34028250.0,23046.2646,21.0825,8.0545,0.3333
2004-11-30,14.59,21543084.0,25064.6021,22.9289,8.7599,0.4
2004-12-31,15.49,20665410.0,26622.7119,24.3431,9.3002,0.4
2005-01-31,16.89,99453282.0,29028.6374,26.543,10.1407,0.4
2005-02-28,19.28,83326272.0,33138.7602,30.3012,11.5765,0.4
2005-03-31,18.51,65976750.0,31806.9086,20.443,8.7398,0.4
2005-04-30,19.38,53221554.0,33296.2911,21.4002,9.149,0.4
2005-05-31,21.44,46044690.0,36847.8955,23.6829,10.1249,0.4
2005-06-30,21.89,74119008.0,37629.4381,24.18,10.3374,0.4167
2005-07-31,24.23,121384248.0,41654.5131,26.7664,11.4432,0.4167
