ANGELONE IN Equity,price,volume,mc,pe,bm,div
2020-10-31,35.34,390679120.0,28903.6505,30.8872,4.3014,0.0
2020-11-30,35.78,117827460.0,29267.6557,31.2762,4.3556,0.415
2020-12-31,33.81,67013790.0,27653.8375,29.5498,4.1152,0.415
2021-01-31,34.25,62313310.0,28020.6371,29.9388,4.1693,0.415
2021-02-28,33.08,33536020.0,27063.4357,28.9161,4.0269,0.415
2021-03-31,29.12,31409810.0,23827.8791,7.5148,2.1068,0.415
2021-04-30,37.03,85631680.0,30300.3559,9.5561,2.6791,1.165
2021-05-31,75.71,339897770.0,62177.9792,19.5381,5.4776,1.165
2021-06-30,85.81,139399390.0,70682.0806,22.1445,6.2083,1.165
2021-07-31,118.73,207054880.0,97816.0102,30.6387,8.5897,1.68
2021-08-31,120.74,85545240.0,99689.7392,31.1587,8.7355,1.68
2021-09-30,132.28,87030620.0,109213.6844,34.1355,9.57,1.68
2021-10-31,124.35,225719080.0,102670.3584,32.0903,8.9967,2.25
2021-11-30,101.43,84041970.0,83906.9399,26.1742,7.338,1.835
2021-12-31,118.21,98875160.0,97852.5399,30.5045,8.5521,1.835
2022-01-31,139.49,220255390.0,115472.7025,35.9974,10.092,2.535
2022-02-28,133.53,87924620.0,110641.2515,34.4594,9.6608,2.535
2022-03-31,153.68,203062470.0,127333.141,20.2871,8.0368,2.535
2022-04-30,194.92,315188530.0,161648.5068,25.732,10.1938,2.485
2022-05-31,147.55,284617670.0,122572.9145,19.4785,7.7165,2.71
2022-06-30,120.62,180509510.0,100201.7226,15.9234,6.3081,2.71
2022-07-31,136.68,141150350.0,113869.345,18.0436,7.148,2.96
2022-08-31,130.73,95921330.0,108915.7882,17.2581,6.8368,2.96
2022-09-30,136.2,143185460.0,113473.0388,17.9802,7.1229,2.96
2022-10-31,160.27,165344010.0,133526.5236,21.1571,8.3814,3.29
2022-11-30,159.72,69625210.0,133141.235,21.0845,8.3527,3.29
2022-12-31,131.14,85882670.0,109328.6395,17.3116,6.858,3.29
2023-01-31,122.76,76221420.0,102346.3133,16.2059,6.42,3.55
2023-02-28,101.96,55015410.0,85042.4456,13.4594,5.332,3.55
2023-03-31,116.29,146571330.0,97004.6458,10.8769,4.4877,4.51
2023-04-30,123.01,88792160.0,102610.4524,11.5055,4.7471,3.81
2023-05-31,134.55,86961490.0,112733.6782,12.5854,5.1926,3.585
2023-06-30,171.88,133293170.0,144068.7899,16.0771,6.6333,3.985
2023-07-31,154.11,169797770.0,129174.082,14.4149,5.9475,4.145
2023-08-31,186.99,134825700.0,156822.8087,17.4899,7.2162,4.145
2023-09-30,185.07,104191840.0,155212.5202,17.3104,7.1421,4.145
2023-10-31,258.2,285462830.0,216608.9179,24.1507,9.9644,4.515
2023-11-30,306.73,236925090.0,257351.4768,28.69,11.8373,4.515
2023-12-31,348.78,151452420.0,292779.1856,32.6237,13.4603,4.515
2024-01-31,328.54,138800870.0,275806.624,30.7301,12.679,4.825
2024-02-29,278.27,63017850.0,233626.9268,26.0284,10.7391,4.825
2024-03-31,304.5,104421520.0,255804.9325,22.6866,8.4185,3.865
2024-04-30,278.66,121597690.0,250516.045,20.7614,7.7041,3.865
2024-05-31,246.73,100131500.0,222200.133,18.3825,6.8213,3.865
2024-06-30,260.2,95758500.0,234330.9472,19.3861,7.1937,3.465
2024-07-31,216.62,278727040.0,195144.2295,16.1388,5.9887,2.54
2024-08-31,258.64,427800970.0,233060.7057,19.2695,7.1505,2.54
2024-09-30,256.17,189607330.0,230898.6066,19.0858,7.0823,2.54
2024-10-31,305.16,885713420.0,275104.7733,22.7358,8.4368,1.27
2024-11-30,289.71,239244950.0,261260.1072,21.5847,8.0096,1.27
2024-12-31,293.17,386873420.0,264575.9684,21.8421,8.1051,1.27
2025-01-31,234.61,424755470.0,211737.2869,17.4795,6.4863,1.1
2025-02-28,216.92,235105000.0,195814.7496,16.1612,5.997,1.1
2025-03-31,231.32,281194550.0,208832.7305,17.787,3.7156,2.2
2025-04-30,231.23,317812150.0,208786.9018,17.7801,3.7141,2.2
2025-05-31,303.56,314354140.0,274503.0638,23.3418,4.876,4.8
2025-06-30,292.28,226895390.0,264447.0086,22.4744,4.6948,4.8
2025-07-31,260.09,295470900.0,235500.4958,19.9992,4.1777,4.8
2025-08-31,220.98,197867200.0,200292.2236,16.9919,3.5495,4.8
2025-09-30,213.25,194876550.0,193350.7596,16.3975,3.4253,4.8
2025-10-31,249.24,224438010.0,226102.8713,19.1649,4.0034,4.8
2025-11-30,270.38,171068640.0,245525.9917,20.7905,4.343,4.8
2025-12-31,234.4,177335360.0,212927.4106,18.0238,3.7651,4.8
2026-01-31,254.09,221567020.0,230854.6866,19.5379,4.0813,6.0
2026-02-28,233.2,246369362.0,211991.6633,17.9316,3.7458,6.0
2026-03-31,224.87,18620868.0,204419.2294,17.291,3.612,4.9
