SBICARD IN Equity,price,volume,mc,pe,bm,div
2020-03-31,618.65,133233049.0,580885.6206,46.3408,10.8755,0.0
2020-04-30,599.15,109739355.0,562575.9631,44.8801,10.5327,0.0
2020-05-31,538.85,48018024.0,505956.8684,40.3633,9.4727,1.0
2020-06-30,630.25,63755776.0,591777.5194,47.2097,11.0794,1.0
2020-07-31,726.85,70044065.0,682480.7457,54.4457,12.7776,1.0
2020-08-31,807.8,47396631.0,758489.2982,60.5094,14.2007,1.0
2020-09-30,847.6,36029004.0,795859.7786,63.4906,14.9003,1.0
2020-10-31,799.75,45482488.0,752185.259,59.9064,14.0592,1.0
2020-11-30,799.3,32959612.0,751762.0226,59.8727,14.0512,1.0
2020-12-31,851.05,29972570.0,800434.2166,63.7491,14.961,1.0
2021-01-31,986.05,48341283.0,927405.1574,73.8614,17.3342,1.0
2021-02-28,1068.6,27438485.0,1005045.537,80.0449,18.7854,1.0
2021-03-31,928.25,109964231.0,873042.7842,88.5735,13.8534,1.0
2021-04-30,984.2,49126858.0,926057.4234,93.9122,14.6884,1.0
2021-05-31,1045.0,59715797.0,983374.3906,99.7137,15.5958,1.0
2021-06-30,970.4,124386551.0,913193.7827,92.5954,14.4824,1.0
2021-07-31,1036.75,48138382.0,975632.3994,98.9265,15.4726,0.0
2021-08-31,1140.55,27475252.0,1073313.27,108.8311,17.0218,0.0
2021-09-30,1029.6,85233655.0,969055.5035,98.2443,15.3659,0.0
2021-10-31,1055.1,36807792.0,994554.035,100.6775,15.7465,0.0
2021-11-30,950.5,29857192.0,896086.2028,90.6966,14.1854,0.0
2021-12-31,928.15,60037933.0,875327.6275,88.5639,13.8519,0.0
2022-01-31,879.5,27073792.0,829467.9178,83.9218,13.1258,0.0
2022-02-28,785.55,25039172.0,740887.3497,74.9571,11.7237,0.0
2022-03-31,851.7,28284012.0,803300.0089,49.6329,10.3616,2.5
2022-04-30,830.85,90863033.0,783634.8625,48.4178,10.1079,2.5
2022-05-31,780.0,37104833.0,735729.9214,45.4545,9.4893,2.5
2022-06-30,768.25,31215768.0,724661.1383,44.7698,9.3463,2.5
2022-07-31,939.25,37536429.0,885986.4606,54.7348,11.4267,2.5
2022-08-31,922.2,39148529.0,869903.342,53.7413,11.2192,2.5
2022-09-30,913.5,27788751.0,861740.5547,53.2343,11.1134,2.5
2022-10-31,826.65,29157717.0,779811.5266,48.1731,10.0568,2.5
2022-11-30,824.25,29823663.0,779325.9014,48.0332,10.0276,2.5
2022-12-31,795.5,24056435.0,752304.4606,46.3578,9.6778,2.5
2023-01-31,722.85,29527525.0,683754.2161,42.1241,8.794,2.5
2023-02-28,750.45,16653247.0,709861.4532,43.7325,9.1298,2.5
2023-03-31,740.2,17262563.0,700284.2627,30.9448,7.1239,2.5
2023-04-30,772.25,15954344.0,730605.9469,32.2847,7.4324,2.5
2023-05-31,916.95,35393255.0,867653.7126,38.334,8.825,2.5
2023-06-30,847.2,21930628.0,801756.2759,35.4181,8.1537,2.5
2023-07-31,855.35,27812897.0,809565.731,35.7588,8.2321,2.5
2023-08-31,816.55,25847400.0,772949.1361,34.1367,7.8587,2.5
2023-09-30,791.1,28030033.0,748858.0755,33.0727,7.6138,2.5
2023-10-31,746.15,28485950.0,708723.1376,31.1936,7.1812,2.5
2023-11-30,739.15,40753158.0,702074.2574,30.9009,7.1138,2.5
2023-12-31,759.65,43931349.0,722242.7974,31.7579,7.3111,2.5
2024-01-31,715.35,48380001.0,680139.2705,29.9059,6.8847,2.5
2024-02-29,719.65,35453998.0,684227.6173,30.0857,6.9261,2.5
2024-03-31,682.55,31643304.0,649083.5626,26.8826,5.3714,2.5
2024-04-30,728.3,46277305.0,692592.266,28.6845,5.7315,2.5
2024-05-31,692.1,20278551.0,658167.1115,27.2588,5.4466,2.5
2024-06-30,724.6,26002307.0,689132.6661,28.5388,5.7023,2.5
2024-07-31,726.85,39024135.0,691293.2496,28.6274,5.72,2.5
2024-08-31,723.2,26100673.0,687890.6814,28.4837,5.6913,2.5
2024-09-30,773.7,67174213.0,735995.8767,30.4726,6.0887,2.5
2024-10-31,688.4,39709559.0,654852.7356,27.113,5.4175,2.5
2024-11-30,700.6,16611559.0,666483.7744,27.5935,5.5135,2.5
2024-12-31,663.85,16504954.0,631555.6585,26.1461,5.2243,2.5
2025-01-31,778.2,42335003.0,740342.8688,30.6499,6.1241,2.5
2025-02-28,838.8,50472737.0,797995.6966,33.0366,6.601,2.5
2025-03-31,881.1,24666656.0,838237.9689,43.727,6.0823,2.5
2025-04-30,873.55,28743971.0,831057.8672,43.3524,6.0301,2.5
2025-05-31,921.05,19998936.0,876280.6184,45.7097,6.358,2.5
2025-06-30,953.1,36681391.0,906860.6432,47.3002,6.5793,2.5
2025-07-31,807.4,30930860.0,768263.4682,40.0695,5.5735,2.5
2025-08-31,803.5,13995258.0,764552.5102,39.8759,5.5466,2.5
2025-09-30,876.95,23301936.0,834456.8651,43.5211,6.0536,2.5
2025-10-31,878.65,26281555.0,836077.2144,43.6055,6.0654,2.5
2025-11-30,880.15,24562856.0,837504.5356,43.6799,6.0757,2.5
2025-12-31,861.7,26551383.0,819974.2456,42.7643,5.9483,2.5
2026-01-31,753.55,27179087.0,717061.1498,37.397,5.2018,2.5
2026-02-28,774.4,28555089.0,736907.8081,38.4318,5.3457,2.5
2026-03-31,730.75,4472608.0,695371.1012,36.2655,5.0444,2.5
