JKBK IN Equity,price,volume,mc,pe,bm,div
1998-08-31,2.95,295000.0,,,,0.0
1998-09-30,2.67,94000.0,,,,0.0
1998-10-31,2.5,116000.0,,,,0.0
1998-11-30,2.25,92000.0,,,,0.0
1998-12-31,1.9,57000.0,,,,0.0
1999-01-31,2.03,100000.0,,,,0.0
1999-02-28,2.3,38000.0,,,,0.0
1999-03-31,2.89,1374000.0,,,,0.0
1999-04-30,2.38,540000.0,,,,0.0
1999-05-31,2.59,442000.0,,,,0.0
1999-06-30,2.8,1561000.0,,,,0.3
1999-07-31,3.08,1393000.0,,,,0.3
1999-08-31,3.19,2252090.0,,,,0.3
1999-09-30,2.89,937000.0,,,,0.3
1999-10-31,3.31,2322000.0,,,,0.3
1999-11-30,3.26,494000.0,,,,0.3
1999-12-31,3.55,1597000.0,,,,0.3
2000-01-31,3.76,1869000.0,,,,0.3
2000-02-29,3.5,2570000.0,,,,0.3
2000-03-31,3.52,1166000.0,,,,0.3
2000-04-30,3.21,743000.0,,,,0.3
2000-05-31,3.18,564000.0,1539.8623,,,0.35
2000-06-30,3.17,443550.0,1537.4373,,,0.35
2000-07-31,3.2,198400.0,1554.4122,,,0.35
2000-08-31,2.96,134900.0,1433.1632,,,0.35
2000-09-30,2.86,248100.0,1387.0885,,,0.35
2000-10-31,2.91,244010.0,1411.3383,,,0.35
2000-11-30,3.2,537470.0,1554.4122,,,0.35
2000-12-31,3.43,5189190.0,1663.5363,,,0.35
2001-01-31,3.69,1227470.0,1789.6352,,,0.35
2001-02-28,4.15,3649430.0,2012.7334,,,0.35
2001-03-31,3.71,1557160.0,1799.3351,,,0.35
2001-04-30,3.98,1146630.0,1930.2841,,,0.35
2001-05-31,4.34,2636430.0,2104.8826,,,0.4
2001-06-30,4.25,1098600.0,2061.233,,,0.4
2001-07-31,5.24,9758850.0,2538.954,,,0.4
2001-08-31,4.41,4014740.0,2138.8323,,,0.4
2001-09-30,4.05,1337380.0,1964.2338,,,0.4
2001-10-31,4.38,883990.0,2121.8575,,,0.4
2001-11-30,4.59,2109470.0,2226.1316,,,0.4
2001-12-31,4.29,1424900.0,2080.6328,,,0.4
2002-01-31,4.8,1818910.0,2327.9808,,,0.4
2002-02-28,6.79,11096650.0,3293.1228,,,0.4
2002-03-31,7.31,11410230.0,3545.3207,,,0.4
2002-04-30,8.57,6767620.0,4158.8407,,,0.0
2002-05-31,7.96,10443360.0,3860.5681,,,0.5
2002-06-30,8.8,3370320.0,4267.9648,,,0.5
2002-07-31,8.2,10351680.0,3974.5422,,,0.5
2002-08-31,9.1,3046140.0,4413.4636,,,0.5
2002-09-30,9.1,1607610.0,4411.0386,,,0.5
2002-10-31,8.32,1365240.0,4037.5917,,,0.5
2002-11-30,8.3,1346400.0,4025.4668,,,0.5
2002-12-31,9.73,5430640.0,4716.586,,,0.5
2003-01-31,11.92,18282380.0,5781.1523,,,0.5
2003-02-28,12.12,10329370.0,5878.1515,,,0.5
2003-03-31,11.4,4979310.0,5526.5294,,,0.5
2003-04-30,14.78,7687360.0,7168.2408,,,0.5
2003-05-31,21.2,71044120.0,10281.9151,,,0.6
2003-06-30,21.14,29083780.0,10250.3903,,,0.6
2003-07-31,21.87,37429710.0,10606.8624,,,0.6
2003-08-31,21.68,12753600.0,10512.2882,,,0.6
2003-09-30,24.79,17303720.0,12023.0507,,,0.6
2003-10-31,27.74,25533610.0,13451.3639,,,0.6
2003-11-30,25.37,4446040.0,12304.3484,,,0.6
2003-12-31,38.34,13563610.0,18592.3215,,,0.6
2004-01-31,39.53,12002620.0,19169.4667,,,0.6
2004-02-29,49.71,15592900.0,24109.1509,,,0.6
2004-03-31,49.51,6707770.0,24012.1517,,,0.6
2004-04-30,50.51,8223600.0,24494.7227,,,0.5
2004-05-31,35.88,16465800.0,17399.2313,,,0.5
2004-06-30,27.18,6256220.0,13179.7662,,,1.0
2004-07-31,27.88,6242000.0,13521.6883,,,1.0
2004-08-31,23.27,6312440.0,11283.4318,,,1.0
2004-09-30,26.18,16021460.0,12697.1951,,,1.0
2004-10-31,25.12,2823900.0,12183.0994,,,1.0
2004-11-30,27.69,7591900.0,13429.5391,,,1.0
2004-12-31,38.37,12593110.0,18609.2963,,,1.0
2005-01-31,33.11,35878230.0,16055.7924,,,1.0
2005-02-28,36.09,15365180.0,17503.5054,,,1.0
2005-03-31,36.31,40779570.0,17607.7796,,,1.0
2005-04-30,36.17,16717010.0,17542.3051,,,1.0
2005-05-31,33.77,24710300.0,16375.8898,,,0.8
2005-06-30,36.67,15130370.0,17782.3781,,,0.8
2005-07-31,44.96,35299110.0,21802.9949,,,0.8
2005-08-31,42.36,10122510.0,20546.8553,,,0.8
2005-09-30,45.36,7592060.0,22001.8433,,,0.8
2005-10-31,44.06,17347870.0,21366.4985,,,0.8
2005-11-30,46.74,16206090.0,22668.7128,,,0.8
2005-12-31,48.69,21945390.0,23614.455,,,0.8
2006-01-31,52.85,17480510.0,25632.0383,,,0.8
2006-02-28,51.19,26636930.0,24824.52,,,0.8
2006-03-31,45.08,15962250.0,21853.7468,,,0.8
2006-04-30,46.46,27402040.0,22173.6997,,,0.8
2006-05-31,38.65,11721550.0,18736.6308,,,0.8
2006-06-30,38.18,7392750.0,18508.7856,,,0.8
2006-07-31,38.98,18082270.0,18894.1833,,,0.0
2006-08-31,42.94,8681970.0,20816.3241,,,0.8
2006-09-30,44.91,22183090.0,21771.3347,,,0.8
2006-10-31,46.5,55127530.0,22542.1302,,,0.8
2006-11-30,53.01,30661130.0,25695.6045,,,0.8
2006-12-31,61.98,23635120.0,30044.0541,,,0.8
2007-01-31,68.65,13197090.0,33277.5167,,,0.8
2007-02-28,63.13,4955980.0,30603.9716,,,0.8
2007-03-31,64.32,3981040.0,31178.4323,,,0.8
2007-04-30,73.48,6233060.0,35621.4134,,,0.8
2007-05-31,63.76,10070140.0,30909.3811,,,1.15
2007-06-30,67.48,7051860.0,32712.8184,,,1.15
2007-07-31,69.06,4253440.0,33478.7676,,,1.15
2007-08-31,66.62,13257040.0,32295.9093,,,1.15
2007-09-30,78.26,7001890.0,37938.8833,,,1.15
2007-10-31,77.36,4837040.0,37505.0052,,,1.15
2007-11-30,72.34,2008740.0,35068.9857,,,1.15
2007-12-31,85.7,5792990.0,41543.2226,,,1.15
2008-01-31,75.63,6712510.0,36663.9119,,,1.15
2008-02-29,72.48,3240570.0,35136.8549,,,1.15
2008-03-31,67.85,2813610.0,32894.7473,,,1.15
2008-04-30,66.3,5875630.0,32138.4905,,,1.15
2008-05-31,64.21,3602920.0,31127.7242,,,1.15
2008-06-30,52.97,1835740.0,25676.373,,,1.15
2008-07-31,49.81,5172260.0,24146.8921,,,1.55
2008-08-31,50.98,15513720.0,24714.0847,,,1.55
2008-09-30,44.74,3087290.0,21689.0575,,,1.55
2008-10-31,38.01,1326300.0,18426.488,,,1.55
2008-11-30,30.1,2572340.0,14591.8782,,,1.55
2008-12-31,35.47,6238070.0,17195.1468,,,1.55
2009-01-31,29.14,2060500.0,14124.0655,,,1.55
2009-02-28,23.64,4448250.0,11460.1994,,,1.55
2009-03-31,31.48,8481010.0,15260.8746,,,1.55
2009-04-30,31.89,8945110.0,15459.6344,,,1.55
2009-05-31,49.07,11138600.0,23785.731,,,1.55
2009-06-30,49.97,7036190.0,24222.033,,,1.55
2009-07-31,45.63,14713270.0,22120.5117,,,1.55
2009-08-31,59.93,46375330.0,29052.8658,,,1.55
2009-09-30,58.24,5225660.0,28233.5876,,0.9822,1.69
2009-10-31,56.72,11089050.0,27496.722,,0.9566,1.69
2009-11-30,61.99,5788100.0,30049.0887,,1.0454,1.69
2009-12-31,58.05,15355820.0,28141.4794,,0.962,1.69
2010-01-31,58.98,7644340.0,28589.9009,,,1.69
2010-02-28,62.2,12665220.0,30150.8925,,,1.69
2010-03-31,68.17,9502370.0,33047.453,,,1.69
2010-04-30,75.63,8935700.0,36661.488,,,1.69
2010-05-31,75.24,5787830.0,36474.8477,,,1.69
2010-06-30,83.26,5001270.0,40360.3594,,,1.69
2010-07-31,77.19,10087360.0,37417.7448,,,2.2
2010-08-31,76.95,47794260.0,37301.3976,,,2.2
2010-09-30,80.52,45614350.0,39034.4861,,1.2969,2.2
2010-10-31,91.05,43687300.0,44136.7957,,1.4665,2.2
2010-11-30,84.0,20757340.0,40719.0966,,1.3529,2.2
2010-12-31,78.25,10091650.0,37934.0355,,1.2604,2.2
2011-01-31,73.58,8262390.0,35670.1129,,1.1852,2.2
2011-02-28,75.53,8728030.0,36613.01,,1.2165,2.2
2011-03-31,87.4,11933990.0,42369.7726,,1.4078,2.2
2011-04-30,80.73,6906380.0,39136.2899,,1.3003,2.2
2011-05-31,80.41,4604940.0,38981.1603,,1.2952,2.2
2011-06-30,84.02,9973510.0,40728.7922,,1.1128,2.6
2011-07-31,86.7,6579340.0,42030.4266,,1.1483,2.6
2011-08-31,78.67,8632290.0,38137.6431,,1.042,2.6
2011-09-30,80.23,7834180.0,38893.8999,,1.0075,2.6
2011-10-31,84.25,4706380.0,40842.7155,,1.058,2.6
2011-11-30,75.16,2464830.0,36438.4892,,0.9439,2.6
2011-12-31,67.56,5378870.0,32751.7372,,0.8042,2.6
2012-01-31,82.95,5947600.0,40212.5015,,0.9873,2.6
2012-02-29,86.49,8973500.0,41926.1989,,1.0294,2.6
2012-03-31,91.9,7707770.0,44551.0968,,1.0939,2.6
2012-04-30,94.11,6516350.0,45622.4561,,1.1202,2.6
2012-05-31,92.86,9590040.0,45016.4837,,1.1053,2.6
2012-06-30,98.83,8805850.0,47910.6082,,1.1044,2.6
2012-07-31,91.49,8320240.0,44349.9139,,1.0223,3.35
2012-08-31,91.98,12656780.0,44589.879,,1.0278,3.35
2012-09-30,93.27,13191550.0,45215.2426,,0.9813,3.35
2012-10-31,122.46,22095750.0,59363.4911,,1.2884,3.35
2012-11-30,137.54,30137720.0,66678.7849,,1.4471,3.35
2012-12-31,129.47,14504720.0,62764.2026,,1.2817,3.35
2013-01-31,137.01,17255570.0,66419.4317,,1.3563,3.35
2013-02-28,126.23,13772790.0,61193.528,,1.2496,3.35
2013-03-31,119.17,7897060.0,57770.9894,,1.1797,3.35
2013-04-30,136.27,11026670.0,66060.6929,,1.349,3.35
2013-05-31,122.32,14767610.0,59298.04,,1.2109,3.35
2013-06-30,122.63,10660650.0,59445.905,,1.1495,5.0
2013-07-31,112.18,18404890.0,54384.8225,,1.0517,5.0
2013-08-31,111.56,19234480.0,54079.4154,,1.0458,5.0
2013-09-30,113.87,13435150.0,55199.2496,,1.0084,5.0
