SAILIFE IN Equity,price,volume,mc,pe,bm,div
2024-12-31,751.2,101444295.0,156241.7342,,,0.0
2025-01-31,656.8,19599540.0,136607.5226,,,0.0
2025-02-28,689.9,10789438.0,143491.9761,,,0.0
2025-03-31,760.85,8341122.0,158332.4201,93.5785,7.4503,0.0
2025-04-30,696.8,16445759.0,145223.1463,85.7009,6.8231,0.0
2025-05-31,756.95,12609114.0,157794.205,93.0989,7.4121,0.0
2025-06-30,773.5,33754997.0,161263.5644,95.1344,7.5742,0.0
2025-07-31,808.45,22265585.0,168550.134,99.433,7.9164,0.0
2025-08-31,824.7,70779902.0,172234.4237,101.4316,8.0755,0.0
2025-09-30,860.7,15754773.0,180100.5558,105.8593,8.428,0.0
2025-10-31,918.2,7986322.0,192664.4663,112.9314,8.9911,0.0
2025-11-30,884.4,6998361.0,185875.587,108.7742,8.6601,0.0
2025-12-31,908.4,5445552.0,191882.1096,111.726,8.8951,0.0
2026-01-31,835.15,9168552.0,176409.4494,102.7169,8.1779,0.0
2026-02-28,998.25,18302161.0,211258.4167,122.7769,9.7749,0.0
2026-03-31,1058.6,3180403.0,224030.2076,130.1994,10.3659,0.0
