BHEL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,9.5,,34878.2992,,,0.0
1995-02-28,8.67,,31818.7993,,,0.0
1995-03-31,7.67,,28147.3994,,,0.0
1995-04-30,7.17,,26311.6994,,,0.0
1995-05-31,8.07,,29615.9593,,,0.0
1995-06-30,8.07,,29615.9593,,,0.0
1995-07-31,7.33,,26923.5994,,,0.0
1995-08-31,6.93,,25455.0394,,,0.0
1995-09-30,7.07,,25944.5594,,,0.1
1995-10-31,6.33,,23252.1995,,,0.1
1995-11-30,5.33,,19580.7996,,,0.1
1995-12-31,5.87,,21538.8795,,,0.1
1996-01-31,5.2,3000000.0,19103.5176,,,0.1
1996-02-29,7.33,3979500.0,26923.5994,,,0.1
1996-03-31,8.04,17799000.0,29530.2933,,,0.1
1996-04-30,11.99,10579500.0,44007.847,,,0.1
1996-05-31,11.9,3010500.0,43689.659,,,0.1
1996-06-30,11.99,4579500.0,44007.847,,,0.1
1996-07-31,11.47,12090000.0,42098.7191,,,0.1
1996-08-31,11.67,14481000.0,42857.475,,,0.1333
1996-09-30,11.9,62632500.0,43677.421,,,0.1333
1996-10-31,12.28,26055000.0,45097.029,,,0.1333
1996-11-30,12.94,11371500.0,47507.9149,,,0.1333
1996-12-31,14.12,49866000.0,50408.3209,,,0.1333
1997-01-31,15.03,38400000.0,55168.9028,,,0.1333
1997-02-28,16.95,11724000.0,62242.4666,,,0.1333
1997-03-31,19.71,29898000.0,72363.2924,,,0.1333
1997-04-30,26.45,69333000.0,97096.2898,,,0.1333
1997-05-31,27.86,74268000.0,102272.9637,,,0.1333
1997-06-30,25.61,98362500.0,94036.7899,,,0.1333
1997-07-31,28.45,24921000.0,104451.3277,,,0.1333
1997-08-31,25.67,29616000.0,94232.5979,,,0.1333
1997-09-30,24.17,93291000.0,88725.498,,,0.1333
1997-10-31,25.02,53178750.0,94293.7879,,,0.1333
1997-11-30,22.68,76050900.0,83279.5881,,,0.1333
1997-12-31,23.13,79647750.0,84931.7181,,,0.1333
1998-01-31,18.0,96366150.0,66085.1985,,,0.1333
1998-02-28,21.33,86335500.0,78323.1982,,,0.1333
1998-03-31,24.0,97136250.0,88113.598,,,0.1333
1998-04-30,26.2,194843550.0,96190.6778,,,0.1333
1998-05-31,24.03,78879300.0,88235.978,,,0.1333
1998-06-30,16.73,117856320.0,61434.7586,,,0.1333
1998-07-31,14.37,253151250.0,52745.7788,,,0.1333
1998-08-31,15.33,189366600.0,56270.3227,,,0.1667
1998-09-30,18.75,221175570.0,68826.5105,,,0.1667
1998-10-31,15.77,188850630.0,57885.7387,,,0.1667
1998-11-30,15.61,125773950.0,57322.7907,,,0.1667
1998-12-31,17.51,121176750.0,64273.9746,,,0.1667
1999-01-31,17.15,142937550.0,62976.7466,,,0.1667
1999-02-28,16.37,136073100.0,60113.0547,,,0.1667
1999-03-31,15.83,328095690.0,58130.4987,,,0.1667
1999-04-30,11.3,231765105.0,41486.8191,,,0.1667
1999-05-31,13.59,208005375.0,49906.5629,,,0.1667
1999-06-30,16.4,315790020.0,60210.9586,,,0.1667
1999-07-31,17.07,182078850.0,62658.5586,,,0.1667
1999-08-31,21.13,224841210.0,77588.9183,,,0.1667
1999-09-30,18.2,112126440.0,66819.4785,,,0.1667
1999-10-31,17.87,99840165.0,65595.6785,,,0.1667
1999-11-30,16.1,68292510.0,59109.5387,,,0.1667
1999-12-31,14.0,113808330.0,51399.5988,,,0.1667
2000-01-31,11.59,178304145.0,42563.763,,,0.1667
2000-02-29,9.61,445276080.0,35269.9152,,,0.1667
2000-03-31,8.33,267912360.0,30594.9993,,,0.1667
2000-04-30,6.69,395780190.0,24549.4274,,,0.1667
2000-05-31,8.08,310268100.0,29664.9113,,,0.1
2000-06-30,8.9,313864560.0,32663.2213,,,0.1
2000-07-31,7.92,209552355.0,29089.7253,,,0.1
2000-08-31,8.85,115605975.0,32479.6513,,,0.2
2000-09-30,6.93,133778070.0,25455.0394,,,0.2
2000-10-31,6.84,101904285.0,25100.1374,,,0.2
2000-11-30,8.56,464423085.0,31439.4213,,,0.2
2000-12-31,10.9,565185435.0,40018.2591,,,0.2
2001-01-31,11.17,775942905.0,40997.2991,,,0.2
2001-02-28,10.79,811466250.0,39614.4051,,,0.2
2001-03-31,9.47,209451720.0,34755.9192,,,0.2
2001-04-30,10.49,133102020.0,38512.9851,,,0.2
2001-05-31,12.54,177498690.0,46051.593,,,0.2
2001-06-30,11.76,108032280.0,43175.663,,,0.2
2001-07-31,10.26,56312850.0,37680.8012,,,0.2
2001-08-31,10.25,49745385.0,37631.8492,,,0.2
2001-09-30,7.97,64118415.0,29261.0573,,,0.2
2001-10-31,8.65,68976450.0,31769.8473,,,0.2
2001-11-30,9.74,117743655.0,35771.6732,,,0.2
2001-12-31,9.37,79729290.0,34413.2552,,,0.2
2002-01-31,9.85,79277940.0,36175.5272,,,0.2
2002-02-28,11.21,323554680.0,41156.3931,,,0.2
2002-03-31,11.26,139168860.0,41327.7251,,,0.2
2002-04-30,11.17,171382275.0,41009.5371,,,0.2
2002-05-31,10.17,119780700.0,37338.1372,,,0.2
2002-06-30,11.84,81010365.0,43469.375,,,0.2
2002-07-31,11.62,84500415.0,42661.667,,,0.2
2002-08-31,11.81,60527790.0,43371.471,,,0.2
2002-09-30,10.64,52085715.0,39075.9331,,,0.2667
2002-10-31,9.97,52903545.0,36591.6192,,,0.2667
2002-11-30,10.99,71083740.0,40348.6851,,,0.2667
2002-12-31,11.51,40134990.0,42245.5751,,,0.2667
2003-01-31,11.88,93590460.0,43628.469,,,0.2667
2003-02-28,14.0,144840855.0,51411.8368,,,0.2667
2003-03-31,14.89,107029425.0,54679.3828,,,0.2667
2003-04-30,15.31,93221835.0,56209.1327,,,0.2667
2003-05-31,17.11,57611790.0,62817.6526,,,0.2667
2003-06-30,17.93,75279480.0,65828.2005,,,0.2667
2003-07-31,17.58,78993975.0,64530.9726,,,0.2667
2003-08-31,23.41,106234380.0,85935.2341,,,0.2667
2003-09-30,26.94,96031515.0,98895.2758,,,0.2667
2003-10-31,32.1,83496825.0,117851.9374,,,0.2667
2003-11-30,29.74,60476535.0,109187.4335,,,0.2667
2003-12-31,33.86,80407470.0,124325.8392,,,0.2667
2004-01-31,34.18,70540500.0,125500.6872,,,0.2667
2004-02-29,38.73,88141035.0,142181.0808,,,0.2667
2004-03-31,40.3,104275080.0,147957.4167,,,0.2
2004-04-30,39.09,86672970.0,143515.0228,,,0.2
2004-05-31,29.01,125550750.0,106495.0736,,,0.2
2004-06-30,33.46,148406130.0,122832.8032,,,0.2
2004-07-31,36.31,73192335.0,133308.531,,,0.2
2004-08-31,36.79,58763520.0,135083.041,,,0.2
2004-09-30,38.26,66916365.0,140479.9988,,,0.4
2004-10-31,41.66,38167695.0,152962.7586,,,0.4
2004-11-30,41.34,22226025.0,151775.6726,,,0.4
2004-12-31,51.33,42531090.0,188440.7198,,,0.4333
2005-01-31,50.15,133285725.0,184132.9439,,,0.4333
2005-02-28,57.21,151696185.0,210040.7893,,,0.4333
2005-03-31,51.09,159361770.0,187584.0598,,,0.4333
2005-04-30,52.83,104431875.0,193947.8196,,,0.4333
2005-05-31,58.8,101578890.0,215878.3152,,,0.4333
2005-06-30,57.86,61281465.0,212439.4372,,,0.4333
2005-07-31,67.12,86674725.0,246436.6005,,,0.4333
2005-08-31,71.14,98523840.0,261183.3901,,,0.4333
2005-09-30,81.61,68090235.0,299622.9473,,,0.5333
2005-10-31,75.33,116336370.0,276566.5558,,,0.5333
2005-11-30,95.14,108180990.0,349309.2262,,,0.5333
2005-12-31,92.47,119837445.0,339494.3504,,,0.5667
2006-01-31,119.71,107655015.0,439491.0461,,,0.5667
2006-02-28,135.13,116384070.0,496128.5089,,,0.5667
2006-03-31,149.46,161533410.0,548739.6697,,,1.1333
2006-04-30,157.21,90089910.0,573668.4751,,,1.1333
2006-05-31,126.89,111273120.0,465851.6975,,,1.1333
2006-06-30,129.96,250012875.0,477147.3713,,,1.1333
2006-07-31,136.35,198798975.0,500583.1408,,,1.1333
2006-08-31,150.73,212993565.0,553402.3476,,,1.1333
2006-09-30,159.92,171461760.0,587130.2748,,,0.9667
2006-10-31,161.34,114476865.0,592343.6627,,,0.9667
2006-11-30,167.05,123331365.0,613307.3562,,,0.9667
2006-12-31,153.29,210566160.0,562788.8934,,,0.9667
2007-01-31,168.21,251217630.0,617566.1801,,,0.9667
2007-02-28,145.45,182982330.0,534017.356,,,1.5333
2007-03-31,150.76,221728260.0,553488.0136,,,0.9667
2007-04-30,165.86,223349985.0,608926.1523,,,0.9667
2007-05-31,186.55,201927840.0,684887.4166,,,0.9667
2007-06-30,205.05,133860308.0,752808.3151,,,0.9667
2007-07-31,230.4,189193823.0,845890.541,,,0.9667
2007-08-31,251.79,219070463.0,924434.0233,,,1.6333
2007-09-30,271.59,130363568.0,997127.7416,,,1.6333
2007-10-31,347.67,282539843.0,1276447.847,,,1.6333
2007-11-30,357.27,169043535.0,1311668.811,,,1.6333
2007-12-31,345.3,135398108.0,1267734.392,,,1.6333
2008-01-31,274.71,186290700.0,1008558.033,,,1.6333
2008-02-29,304.91,146725320.0,1119458.787,,,2.0
2008-03-31,274.85,165917940.0,1009072.029,,,2.0
2008-04-30,253.62,407766735.0,931140.4471,,,2.0
2008-05-31,221.74,208921733.0,814096.2483,,,2.0
2008-06-30,183.93,363988223.0,675268.3182,,,2.0
2008-07-31,224.27,385245968.0,823372.6215,,,2.0
2008-08-31,227.71,274979475.0,836026.7132,,,2.0
2008-09-30,212.17,373180643.0,778948.6825,,,2.0333
2008-10-31,172.23,466592565.0,632312.9392,,,2.0333
2008-11-30,181.28,374546625.0,665551.3771,,,2.0333
2008-12-31,181.68,340282958.0,667019.937,,,2.0333
2009-01-31,176.11,242629185.0,646558.0321,,,2.0333
2009-02-28,187.18,197188868.0,687212.6366,,,2.0333
2009-03-31,201.41,291416468.0,739444.45,23.7359,5.7239,2.0333
2009-04-30,220.76,252709545.0,810498.2152,26.0167,6.2739,2.0333
2009-05-31,290.42,253024920.0,1066247.903,34.2261,8.2536,2.0333
2009-06-30,293.87,213362010.0,1078926.562,34.6331,8.3517,2.0333
2009-07-31,297.37,186395235.0,1091776.462,35.0456,8.4512,2.0333
2009-08-31,307.93,132098340.0,1130546.415,36.2901,8.7513,2.0333
2009-09-30,310.51,142527758.0,1140018.688,36.5941,8.8247,2.2667
2009-10-31,295.71,139057433.0,1085657.462,34.8492,8.4039,2.2667
2009-11-30,299.17,130273478.0,1098360.475,35.2569,8.5022,2.2667
2009-12-31,320.44,149873070.0,1176463.42,37.764,9.1068,2.2667
2010-01-31,320.69,107900573.0,1177393.447,37.7938,9.114,2.2667
2010-02-28,313.24,82081988.0,1150029.341,36.9155,8.9021,2.5333
2010-03-31,318.75,104710538.0,1170270.901,27.0466,7.3621,2.5333
2010-04-30,332.3,86393813.0,1220006.193,28.1961,7.6749,2.5333
2010-05-31,313.79,98085908.0,1152036.281,26.6252,7.2473,2.5333
