STARHEAL IN Equity,price,volume,mc,pe,bm,div
2021-12-31,787.65,22716863.0,453310.0404,,7.1711,0.0
2022-01-31,768.0,7610155.0,442001.0296,,6.9922,0.0
2022-02-28,699.3,6933555.0,402462.6563,,6.3667,0.0
2022-03-31,710.45,6856438.0,408879.7285,,8.8606,0.0
2022-04-30,711.35,3916432.0,409397.6985,,8.8718,0.0
2022-05-31,682.8,6110187.0,392966.5404,,8.5157,0.0
2022-06-30,488.7,14607923.0,281257.6864,,6.2072,0.0
2022-07-31,747.2,34092827.0,430030.1684,,,0.0
2022-08-31,730.95,9103642.0,421128.1807,,,0.0
2022-09-30,706.25,7674763.0,407884.4822,,7.1245,0.0
2022-10-31,713.55,3316536.0,412580.1036,,7.1981,0.0
2022-11-30,642.75,7748559.0,372075.0223,,6.4839,0.0
2022-12-31,566.3,3833455.0,329403.8822,75.4061,6.1235,0.0
2023-01-31,500.45,4291179.0,291100.4288,66.6378,5.4115,0.0
2023-02-28,564.1,15407424.0,328124.192,75.1132,6.0997,0.0
2023-03-31,518.3,16093420.0,301483.3695,48.4846,5.5387,0.0
2023-04-30,591.2,5602556.0,343904.2514,55.304,6.3177,0.0
2023-05-31,538.5,28960888.0,313248.3751,50.3742,5.7545,0.0
2023-06-30,585.1,24429501.0,340518.4335,49.0034,6.0992,0.0
2023-07-31,636.4,26857264.0,370378.6435,53.2998,,0.0
2023-08-31,635.95,40404191.0,370116.7478,53.2621,,0.0
2023-09-30,600.95,13631954.0,349747.0864,48.153,5.8932,0.0
2023-10-31,580.0,5997908.0,338878.1793,46.4744,5.6878,0.0
2023-11-30,578.0,10722058.0,337709.7495,46.3141,5.6682,0.0
2023-12-31,534.75,20590844.0,312439.9456,38.75,4.9359,0.0
2024-01-31,578.85,24184389.0,338689.2286,41.9457,5.3429,0.0
2024-02-29,561.5,16234523.0,328537.6209,40.6884,5.1828,0.0
2024-03-31,543.45,27123714.0,318072.2534,37.5311,4.9823,0.0
2024-04-30,571.6,9249176.0,334547.9806,39.4751,5.2404,0.0
2024-05-31,520.6,10967860.0,304733.0715,35.953,4.7729,0.0
2024-06-30,558.65,27413340.0,327075.4601,37.2931,4.8467,0.0
2024-07-31,606.1,23901597.0,354878.7171,40.4606,,0.0
2024-08-31,628.65,30267777.0,368082.0088,41.966,,0.0
2024-09-30,607.1,25493003.0,355464.229,41.2152,5.0851,0.0
2024-10-31,503.95,22871304.0,296104.7328,34.2125,4.2211,0.0
2024-11-30,469.75,25128406.0,276009.9181,31.8907,3.9346,0.0
2024-12-31,474.95,28262109.0,279118.3011,35.3385,3.9451,0.0
2025-01-31,433.25,14357691.0,254612.0728,32.2359,3.5988,0.0
2025-02-28,375.3,22879821.0,220556.0552,27.9241,3.1174,0.0
2025-03-31,356.65,28431995.0,209619.0178,32.3639,2.9697,0.0
2025-04-30,389.8,23199927.0,229119.1617,35.3721,3.2457,0.0
2025-05-31,477.65,54230969.0,280756.2021,43.3439,3.9772,0.0
2025-06-30,422.7,39663126.0,248465.7902,42.1016,3.4863,0.0
2025-07-31,444.65,19345432.0,261385.0929,44.2878,,0.0
2025-08-31,446.85,18736881.0,262723.036,44.507,,0.0
2025-09-30,446.75,29388806.0,262666.6093,49.2558,3.5286,0.0
2025-10-31,494.4,18009208.0,290731.8612,54.5094,3.9049,0.0
2025-11-30,487.95,11320712.0,287079.5003,53.7982,3.854,0.0
2025-12-31,455.0,13591534.0,267721.4545,50.1654,3.5937,0.0
2026-01-31,469.25,19054771.0,276106.1374,51.7365,3.7063,0.0
2026-02-28,465.5,10240817.0,273899.6419,51.323,3.6767,0.0
2026-03-31,460.6,1677432.0,271016.4913,50.7828,3.638,0.0
