ACEM IN Equity,price,volume,mc,pe,bm,div
2002-10-31,20.81,11629238.0,22967.2748,13.4695,0.892,0.8
2002-11-30,21.97,9012615.0,24255.3634,14.2202,0.9417,0.8
2002-12-31,21.78,7156185.0,24042.4076,14.0951,0.9334,0.8
2003-01-31,21.05,9541463.0,24503.4581,13.6248,0.9023,0.8
2003-02-28,21.49,9694073.0,25007.8042,13.9052,0.9209,0.8
2003-03-31,21.3,14015970.0,24790.5474,13.7844,0.9129,0.8
2003-04-30,22.19,6999683.0,25830.2762,14.3626,0.9512,0.8
2003-05-31,23.62,31834455.0,27490.7385,15.2858,1.0123,0.6667
2003-06-30,27.36,32397398.0,31848.558,10.8637,2.2529,0.6667
2003-07-31,30.19,31509488.0,35146.7152,11.9888,2.4862,0.6667
2003-08-31,30.71,50483805.0,35752.024,12.1952,2.529,0.9333
2003-09-30,30.56,61837065.0,35583.0692,12.1344,2.5164,0.9333
2003-10-31,33.69,57067283.0,39231.4205,13.3785,2.7744,0.9333
2003-11-30,37.45,79788330.0,43626.9169,14.8715,3.084,0.9333
2003-12-31,40.51,99681075.0,47191.309,16.0865,3.3359,0.9333
2004-01-31,38.47,112199513.0,44892.7812,15.2765,3.1679,0.9333
2004-02-29,41.15,71480715.0,48412.5526,16.338,3.3881,0.9333
2004-03-31,39.37,94760048.0,48002.0793,15.6338,3.2421,0.9333
2004-04-30,44.35,80286375.0,54065.3287,17.6086,3.6516,1.2
2004-05-31,37.83,69201338.0,50046.951,15.0197,3.1147,1.2
2004-06-30,37.93,44867678.0,50226.3586,13.1277,2.9278,1.2
2004-07-31,37.09,39733568.0,49132.1951,12.8369,2.8629,1.2
2004-08-31,43.23,62578110.0,57275.2625,14.9645,3.3374,1.0667
2004-09-30,45.01,44966910.0,59633.3959,15.5806,3.4748,1.0667
2004-10-31,45.59,40934220.0,60401.7765,15.7813,3.5196,1.0667
2004-11-30,49.08,37093425.0,65053.6149,16.9882,3.7887,1.0667
2004-12-31,53.54,30692948.0,70965.2497,18.5319,4.133,1.0667
2005-01-31,59.9,292137548.0,79439.5279,20.7333,4.624,1.0667
2005-02-28,59.9,119276903.0,80726.1792,20.7333,4.624,1.0667
2005-03-31,53.4,88443848.0,71966.2432,18.4835,4.1222,1.0667
2005-04-30,56.1,163781085.0,75636.7141,19.418,4.3307,1.0667
2005-05-31,60.55,66503880.0,81705.2619,20.9595,4.6744,1.2
2005-06-30,59.05,91144388.0,79776.6077,15.3595,3.3244,1.2
2005-07-31,64.45,70963657.0,87072.0129,16.7641,3.6285,1.2
2005-08-31,65.45,105557795.0,88423.0139,17.0242,3.6848,1.4
2005-09-30,77.0,92319109.0,104094.845,20.0285,4.335,1.4
2005-10-31,69.45,101586799.0,93888.1426,18.0647,3.91,1.4
2005-11-30,80.65,130146117.0,109029.211,20.9779,4.5405,1.4
2005-12-31,79.9,184586484.0,108015.3002,20.7828,4.4983,1.4
2006-01-31,88.55,166459430.0,119709.0717,23.0328,4.9853,1.4
2006-02-28,88.3,126904675.0,119371.1014,22.9677,4.9712,1.4
2006-03-31,103.3,164336592.0,139649.318,26.8694,5.8157,1.4
2006-04-30,124.15,154211171.0,157303.0092,32.2927,6.9895,1.4
2006-05-31,92.8,345630002.0,125920.209,24.1382,5.2245,1.6
2006-06-30,99.45,206696084.0,135056.5234,25.868,5.5989,1.6
2006-07-31,104.5,157972350.0,141914.5973,27.1815,5.8832,1.6
2006-08-31,112.35,100065608.0,152668.8108,29.2234,6.3252,1.6
2006-09-30,116.85,62991534.0,158838.9891,30.3939,6.5785,1.6
2006-10-31,117.5,64997803.0,159722.5607,30.563,6.6151,1.0
2006-11-30,144.4,170004439.0,196467.8514,37.5599,8.1296,4.5
2006-12-31,141.05,87278099.0,191909.9061,12.605,5.4834,4.5
2007-01-31,137.3,104157626.0,187121.4637,12.2699,5.3376,4.5
2007-02-28,115.8,139199134.0,175648.5838,10.3485,4.5018,3.45
2007-03-31,106.7,245313039.0,161845.4567,9.5353,4.148,3.45
2007-04-30,117.95,166185087.0,178924.7795,10.5407,4.5853,3.45
2007-05-31,113.4,142924042.0,172022.6366,10.134,4.4085,3.45
2007-06-30,124.5,89295193.0,189332.9191,11.126,4.84,3.45
2007-07-31,131.4,118522410.0,199826.0688,11.7426,5.1082,3.45
2007-08-31,133.45,142553215.0,202965.1345,11.9258,5.1879,4.8
2007-09-30,144.5,146584599.0,219873.9482,12.9133,5.6175,4.8
2007-10-31,144.75,129425022.0,220254.3529,12.9357,5.6272,4.8
2007-11-30,149.7,46568230.0,227786.3671,13.378,5.8196,3.3
2007-12-31,147.05,27149206.0,223793.9267,12.1129,4.6168,3.3
2008-01-31,120.75,51238711.0,183768.2193,9.9465,3.7911,3.3
2008-02-29,120.95,28069028.0,184131.1381,9.9629,3.7973,2.0
2008-03-31,121.05,29536048.0,184283.3755,9.9712,3.8005,2.0
2008-04-30,113.7,36022883.0,173093.9265,9.3657,3.5697,2.0
2008-05-31,95.1,28156795.0,144788.3221,7.8336,2.9858,2.0
2008-06-30,75.95,79029363.0,115635.1637,6.2562,2.3845,2.0
2008-07-31,81.45,46164586.0,124011.0453,6.7092,2.5572,2.0
2008-08-31,80.3,24932726.0,122262.6608,6.6145,2.5211,2.2
2008-09-30,78.65,34220447.0,119750.5295,6.4786,2.4693,2.2
2008-10-31,60.95,58516441.0,92800.9433,5.0206,1.9136,2.2
2008-11-30,52.2,35099046.0,79479.3045,4.2998,1.6389,2.2
2008-12-31,70.05,48069083.0,106657.5725,7.6725,1.882,2.2
2009-01-31,70.85,36770748.0,107875.8537,7.7601,1.9035,2.2
2009-02-28,63.55,38756649.0,96760.9104,6.9606,1.7074,2.2
2009-03-31,70.6,48571196.0,107495.2049,7.7327,1.8968,2.2
2009-04-30,81.0,48258995.0,123330.1926,8.8719,2.1762,2.2
2009-05-31,91.6,69666768.0,139486.8296,10.0329,2.461,2.2
2009-06-30,87.5,76692187.0,133245.2606,9.5838,2.3508,2.2
2009-07-31,108.5,104897043.0,165230.2289,11.8839,2.915,2.2
2009-08-31,99.15,117838679.0,150991.4707,10.8598,2.6638,2.2
2009-09-30,99.65,68736936.0,151769.8451,10.9146,2.6773,2.2
2009-10-31,89.15,100270908.0,135791.4365,9.7645,2.3952,2.2
2009-11-30,92.35,84724727.0,140672.5997,10.115,2.4811,2.2
2009-12-31,104.25,53384177.0,158804.0301,13.0476,2.4559,2.2
2010-01-31,101.8,56045591.0,155071.945,12.7409,2.3982,2.2
2010-02-28,106.95,42246598.0,162960.2451,13.3855,2.5195,2.4
2010-03-31,119.85,68990791.0,182616.039,15.0,2.8234,2.4
2010-04-30,121.05,46117121.0,184499.9563,15.1502,2.8517,2.4
2010-05-31,108.85,66562937.0,165934.0918,13.6233,2.5643,2.4
2010-06-30,114.9,38271070.0,175189.8478,14.3805,2.7068,2.4
2010-07-31,117.8,42938864.0,179638.5722,14.7434,2.7751,2.4
2010-08-31,125.55,43829293.0,191456.8993,15.7134,2.9577,2.4
2010-09-30,140.6,66425062.0,214501.193,17.597,3.3123,2.4
2010-10-31,140.1,46960224.0,213841.5461,17.5344,3.3005,2.4
2010-11-30,140.85,54778339.0,215128.7571,17.6283,3.3182,2.4
2010-12-31,143.2,30235686.0,218906.8089,17.2947,2.9902,2.4
2011-01-31,126.15,28758196.0,192991.7294,15.2355,2.6341,2.4
2011-02-28,117.85,42788056.0,180293.8986,14.2331,2.4608,2.6
2011-03-31,147.4,59487457.0,225548.27,17.8019,3.0779,2.6
2011-04-30,158.2,100335559.0,242115.3091,19.1063,3.3034,2.6
2011-05-31,138.75,38706609.0,212408.5675,16.7572,2.8972,2.6
2011-06-30,133.65,38996416.0,204708.354,16.1413,2.7907,2.6
2011-07-31,129.35,42089076.0,198163.0473,15.622,2.701,2.6
2011-08-31,133.05,47077799.0,203853.9575,16.0688,2.7782,2.8
2011-09-30,148.9,53193520.0,228162.1674,17.9831,3.1092,2.8
2011-10-31,155.3,43612861.0,238017.0037,18.756,3.2428,2.8
2011-11-30,148.5,48599370.0,227652.5484,17.9348,3.1008,2.8
2011-12-31,155.35,44318406.0,238240.4135,19.3703,2.9557,2.8
2012-01-31,160.95,43587226.0,246956.7328,20.0686,3.0622,2.8
2012-02-29,160.75,92344583.0,246649.859,20.0436,3.0584,3.2
2012-03-31,172.2,53445096.0,264336.4802,21.4713,3.2762,3.2
2012-04-30,150.7,40292136.0,231423.4889,18.7905,2.8672,3.2
2012-05-31,151.25,51655946.0,232419.3501,18.8591,2.8777,3.2
2012-06-30,174.05,82299196.0,267714.778,21.702,3.3114,3.2
2012-07-31,180.45,60025937.0,277735.5248,22.5,3.4332,3.2
2012-08-31,185.3,39905520.0,285259.6462,23.1047,3.5255,3.2
2012-09-30,202.0,50220936.0,311073.8108,25.187,3.8432,3.2
2012-10-31,202.7,74675866.0,312242.6728,25.2743,3.8565,3.2
2012-11-30,208.0,30489084.0,320556.9707,25.9352,3.9574,3.2
2012-12-31,200.9,46048024.0,309676.8538,23.8882,3.5218,3.2
2013-01-31,203.9,65100223.0,314451.409,24.2449,3.5744,3.2
2013-02-28,191.55,55409584.0,295405.4311,22.7765,3.3579,3.6
2013-03-31,174.2,48133904.0,268698.6517,20.7134,3.0537,3.6
2013-04-30,186.55,38149957.0,287797.5759,22.1819,3.2702,3.6
2013-05-31,182.35,61143333.0,281386.9517,21.6825,3.1966,3.6
2013-06-30,186.85,53795597.0,288452.1737,22.2176,3.2755,3.6
2013-07-31,167.5,79032833.0,258729.7583,19.9168,2.9363,3.6
2013-08-31,171.6,78201819.0,265062.8449,20.4043,3.0081,3.6
2013-09-30,182.55,44852163.0,282023.5941,21.7063,3.2001,3.6
2013-10-31,188.35,45148554.0,291026.8918,22.396,3.3018,3.6
2013-11-30,185.35,30886070.0,286420.2101,22.0392,3.2492,3.6
2013-12-31,182.65,26381854.0,282286.6006,22.0592,2.9841,3.6
2014-01-31,159.15,29073172.0,246023.6555,19.221,2.6002,3.6
2014-02-28,168.0,40170413.0,259704.5186,20.2899,2.7447,3.6
2014-03-31,202.2,38178291.0,312654.3664,24.4203,3.3035,3.6
2014-04-30,197.75,36046376.0,305804.0568,23.8829,3.2308,3.6
2014-05-31,217.6,59909124.0,336546.2375,26.2802,3.5551,3.6
2014-06-30,220.6,56940644.0,341319.4184,26.6425,3.6041,3.6
2014-07-31,206.4,45799491.0,319502.7152,24.9275,3.3721,4.0
2014-08-31,206.3,44529971.0,319411.8069,24.9155,3.3705,4.0
2014-09-30,213.7,57697515.0,330920.6847,25.8092,3.4914,4.0
2014-10-31,227.65,30301813.0,352591.8898,27.494,3.7193,4.0
2014-11-30,229.9,28704733.0,356115.2684,27.7657,3.756,4.0
2014-12-31,228.85,39774406.0,354546.0581,23.8137,3.522,4.0
2015-01-31,248.75,41163078.0,385499.2801,25.8845,3.8282,4.0
2015-02-28,272.1,33554152.0,421685.8789,28.3143,4.1876,4.0
2015-03-31,255.3,32574316.0,395711.9459,26.5661,3.929,5.0
2015-04-30,232.4,39360306.0,360336.2851,24.1831,3.5766,5.0
2015-05-31,237.6,31918121.0,368638.8073,24.7242,3.6566,5.0
2015-06-30,229.9,34677941.0,356781.2263,23.923,3.5381,5.0
2015-07-31,232.3,44377982.0,360505.7802,24.1727,3.575,4.8
2015-08-31,207.2,66194744.0,321553.1539,21.5609,3.1888,4.8
2015-09-30,205.8,67183897.0,319380.4975,21.4152,3.1672,4.8
2015-10-31,206.95,63466444.0,321165.1795,21.5349,3.1849,4.8
2015-11-30,198.9,52299843.0,308672.405,20.6972,3.061,4.8
2015-12-31,203.05,50426888.0,315112.7794,38.9731,3.0679,4.8
2016-01-31,195.35,35083858.0,303163.169,37.4952,2.9515,4.8
2016-02-29,187.95,36184672.0,291679.1278,36.0749,2.8397,2.8
2016-03-31,232.55,66463203.0,360893.7545,44.6353,3.5136,2.8
2016-04-30,221.0,39615073.0,342969.3389,42.4184,3.3391,2.8
2016-05-31,228.4,55295921.0,354453.3801,43.8388,3.4509,2.8
2016-06-30,254.8,78390717.0,395423.473,48.906,3.8498,2.8
2016-07-31,271.25,40293673.0,420952.1863,52.0633,4.0983,2.8
2016-08-31,277.95,64543426.0,551910.0332,53.3493,4.1995,2.8
2016-09-30,251.75,45613893.0,499886.1337,48.3205,3.8037,2.8
2016-10-31,240.2,45301085.0,476951.9923,46.1036,3.6292,2.8
2016-11-30,210.8,129810276.0,418574.0216,40.4607,3.185,2.8
2016-12-31,206.3,30975894.0,409638.6179,37.0377,2.0667,2.8
2017-01-31,229.05,36000289.0,454812.0476,41.1221,2.2946,2.8
2017-02-28,229.35,40184966.0,455407.7412,41.1759,2.2976,2.8
2017-03-31,236.65,39450646.0,469902.9516,42.4865,2.3707,2.8
2017-04-30,245.9,58456577.0,488270.1703,44.1472,2.4634,2.8
2017-05-31,241.25,101355336.0,479036.9199,43.3124,2.4168,2.8
2017-06-30,246.55,55717835.0,489560.8398,44.2639,2.4699,2.8
2017-07-31,263.15,52408064.0,522522.5511,47.2442,2.6362,2.8
2017-08-31,280.35,43629997.0,556675.6497,50.3321,2.8085,2.8
2017-09-30,266.45,46588024.0,529075.1805,47.8366,2.6693,2.8
2017-10-31,281.5,37937577.0,558959.1417,50.5386,2.82,2.8
2017-11-30,262.5,50871547.0,521231.8944,47.1275,2.6297,2.8
2017-12-31,272.05,36798975.0,540194.8071,35.6086,2.6131,2.8
2018-01-31,261.8,50082875.0,519841.9427,34.267,2.5147,2.8
2018-02-28,252.35,70810769.0,501077.5735,33.0301,2.4239,2.8
2018-03-31,232.95,64835657.0,462556.0561,30.4908,2.2376,2.8
2018-04-30,250.65,33415498.0,497701.9766,32.8076,2.4076,3.6
2018-05-31,205.4,56782055.0,407851.53,26.8848,1.9729,3.6
2018-06-30,207.45,88121310.0,411922.1028,27.1531,1.9926,3.6
2018-07-31,230.7,101103676.0,458088.3543,30.1963,2.216,3.6
2018-08-31,241.35,58457376.0,479235.476,31.5903,2.3183,3.6
2018-09-30,223.55,59011055.0,443890.9909,29.2605,2.1473,3.6
2018-10-31,197.15,168841905.0,391469.9569,25.805,1.8937,2.0
2018-11-30,217.45,60591800.0,431778.555,28.462,2.0887,2.0
2018-12-31,225.1,54260542.0,446968.741,20.5196,1.998,2.0
2019-01-31,209.9,48430223.0,416786.9336,19.134,1.8631,2.0
2019-02-28,212.05,56073606.0,421056.0708,19.33,1.8822,3.5
2019-03-31,235.3,66972118.0,467222.3224,21.4494,2.0886,3.5
2019-04-30,220.5,84770719.0,437834.773,20.1003,1.9572,3.5
2019-05-31,230.6,68076937.0,457889.7898,21.021,2.0468,3.5
2019-06-30,212.85,51990369.0,422644.587,19.4029,1.8893,1.5
2019-07-31,201.9,68606282.0,400901.7717,18.4047,1.7921,1.5
2019-08-31,202.35,72325759.0,401795.3121,18.4458,1.7961,1.5
2019-09-30,203.95,63838673.0,404972.3445,18.5916,1.8103,1.5
2019-10-31,202.3,65150569.0,401696.0298,18.4412,1.7957,1.5
2019-11-30,204.65,54229489.0,406362.2961,18.6554,1.8165,1.5
2019-12-31,196.25,54679857.0,389682.8762,18.6019,1.6184,1.5
2020-01-31,204.5,88785127.0,406064.4493,19.3839,1.6865,1.5
2020-02-29,205.05,78744822.0,407156.5542,19.436,1.691,1.5
2020-03-31,155.7,132359224.0,309164.9622,14.7583,1.284,1.5
2020-04-30,171.65,114175371.0,340836.0036,16.2701,1.4156,0.0
2020-05-31,191.55,102896268.0,380350.3436,18.1564,1.5797,1.5
2020-06-30,193.6,107822286.0,384420.9163,18.3507,1.5966,1.5
2020-07-31,220.1,123844604.0,437040.5149,20.8626,1.8151,1.5
2020-08-31,210.55,76507886.0,418077.603,19.9573,1.7363,1.5
2020-09-30,217.0,80171112.0,430885.0147,20.5687,1.7895,1.5
2020-10-31,259.7,218273591.0,515672.0873,24.6161,2.1417,1.5
2020-11-30,261.05,147888492.0,518352.7084,24.7441,2.1528,17.0
2020-12-31,248.85,208881386.0,494127.8356,20.8942,2.1713,17.0
2021-01-31,243.35,147903309.0,483206.7864,20.4324,2.1233,17.0
2021-02-28,273.5,181043864.0,543073.9926,22.9639,2.3863,17.0
2021-03-31,308.85,155269390.0,613266.5543,25.932,2.6948,1.0
2021-04-30,309.05,149822371.0,613663.6834,25.9488,2.6965,1.0
2021-05-31,326.8,101464934.0,648908.8876,27.4391,2.8514,1.0
2021-06-30,340.65,66741403.0,676410.0752,28.602,2.9722,1.0
2021-07-31,411.15,116718473.0,816398.0359,34.5214,3.5874,1.0
2021-08-31,421.05,87875496.0,836055.9237,35.3526,3.6737,1.0
2021-09-30,400.2,83662034.0,794655.2206,33.602,3.4918,1.0
2021-10-31,404.8,111294651.0,803789.1887,33.9882,3.532,1.0
2021-11-30,374.6,53463382.0,743822.7028,31.4526,3.2685,1.0
2021-12-31,377.5,53006636.0,749581.0739,26.9643,2.9565,1.0
2022-01-31,365.15,59186724.0,725058.3554,26.0821,2.8598,1.0
2022-02-28,314.25,94348261.0,623989.0132,22.4464,2.4611,1.0
2022-03-31,299.25,131468732.0,594204.3348,21.375,2.3437,6.3
2022-04-30,372.2,218269148.0,739057.1542,26.5857,2.915,6.3
2022-05-31,369.4,180238382.0,733497.3476,26.3857,2.8931,6.3
2022-06-30,363.0,100683734.0,720789.2181,25.9286,2.8429,6.3
2022-07-31,374.8,66953135.0,744219.8318,26.7714,2.9353,6.3
2022-08-31,411.25,193980207.0,816596.6004,29.375,3.2208,6.3
2022-09-30,515.6,619434451.0,1023798.68,36.8286,4.0381,6.3
2022-10-31,532.95,171455354.0,1058249.625,38.0679,4.1739,6.3
2022-11-30,570.75,137307315.0,1133307.015,40.7679,4.47,6.3
2022-12-31,524.1,124549854.0,1040676.665,37.4357,4.1046,6.3
2023-01-31,401.2,306055716.0,796640.8659,28.6571,3.1421,6.3
2023-02-28,342.1,566716564.0,679289.2328,24.4357,2.6792,6.3
2023-03-31,365.55,306747224.0,725852.6135,37.7245,2.2903,6.3
2023-04-30,396.5,93880194.0,787308.3333,40.9185,2.4842,6.3
2023-05-31,423.6,161093786.0,841119.319,43.7152,2.654,0.0
2023-06-30,425.9,95049819.0,845686.303,43.9525,2.6684,0.0
2023-07-31,463.0,79636166.0,919353.741,47.7812,2.9008,2.5
2023-08-31,428.4,101808635.0,850650.4161,44.2105,2.684,2.5
2023-09-30,424.8,67037166.0,843502.0933,43.839,2.6615,2.5
2023-10-31,424.45,42929910.0,842807.1174,43.8029,2.6593,2.5
2023-11-30,439.25,50764696.0,872194.6668,45.3302,2.752,2.5
2023-12-31,520.9,117792056.0,1034322.6,53.7564,3.2636,2.5
2024-01-31,560.3,109630483.0,1112557.022,57.8225,3.5104,2.5
2024-02-29,605.9,79540212.0,1203102.444,62.5284,3.7961,2.5
2024-03-31,612.35,60762042.0,1215909.856,34.0573,3.2465,2.5
2024-04-30,619.9,65103212.0,1362339.344,34.4772,3.2866,2.5
2024-05-31,634.05,64157318.0,1561743.441,35.2642,3.3616,2.5
2024-06-30,670.25,118729161.0,1650908.511,37.2775,3.5535,2.0
2024-07-31,679.95,77826490.0,1674800.809,37.817,3.6049,2.0
2024-08-31,617.05,73477106.0,1519870.342,34.3187,3.2715,2.0
2024-09-30,632.55,43204731.0,1558048.756,35.1808,3.3536,2.0
2024-10-31,580.55,86043286.0,1429966.335,32.2887,3.0779,2.0
2024-11-30,531.5,97516529.0,1309150.129,29.5606,2.8179,2.0
2024-12-31,535.8,41897028.0,1319741.56,29.7998,2.8407,2.0
2025-01-31,512.8,65171536.0,1263089.72,28.5206,2.7188,2.0
2025-02-28,464.95,56142167.0,1145229.261,25.8593,2.4651,2.0
2025-03-31,538.35,50436409.0,1326022.524,31.6676,2.4812,2.0
2025-04-30,539.7,63368603.0,1329347.741,31.7471,2.4874,2.0
2025-05-31,553.5,57371574.0,1363338.845,32.5588,2.551,2.0
2025-06-30,577.45,50835109.0,1422330.652,33.9676,2.6614,2.0
2025-07-31,592.7,64512637.0,1459893.285,34.8647,2.7317,2.0
2025-08-31,563.2,36346875.0,1387231.143,33.1294,2.5957,2.0
2025-09-30,569.95,115787520.0,1408815.791,33.5265,2.6268,2.0
2025-10-31,565.4,33927337.0,1397568.995,33.2588,2.6058,2.0
2025-11-30,550.2,30852099.0,1359997.278,32.3647,2.5358,2.0
2025-12-31,556.35,45027486.0,1375198.992,32.7265,2.5641,2.0
2026-01-31,510.15,50132470.0,1261000.747,30.0088,2.3512,2.0
2026-02-28,500.4,36893865.0,1236900.468,29.4353,2.3063,2.0
2026-03-31,479.7,7254658.0,1185733.753,28.2176,2.2109,2.0
