ACEM IN Equity,price,volume,mc,pe,bm,div
1995-01-31,19.67,,17651.0299,,,0.2
1995-02-28,19.33,,17351.8599,,,0.2
1995-03-31,17.67,,15856.0099,,,0.2
1995-04-30,17.33,,15556.8399,,,0.2
1995-05-31,17.0,,15257.6699,,,0.2
1995-06-30,15.87,,14240.4919,,,0.2
1995-07-31,17.8,,15975.6779,,,0.2
1995-08-31,17.87,,16691.5764,,,0.2
1995-09-30,17.67,,16504.7304,,,0.2667
1995-10-31,18.13,,16940.7044,,,0.2667
1995-11-30,17.27,,16131.0384,,,0.2667
1995-12-31,18.47,,17252.1144,,,0.2667
1996-01-31,18.87,,17625.8064,,,0.2667
1996-02-29,22.13,,20677.6245,,,0.2667
1996-03-31,23.47,,21923.2645,,,0.2667
1996-04-30,23.53,,21985.5465,,,0.2667
1996-05-31,23.83,2730000.0,22265.8155,,,0.2667
1996-06-30,24.93,13221000.0,23293.4686,,,0.2667
1996-07-31,20.65,12877500.0,19291.85,,,0.2667
1996-08-31,21.63,14075235.0,23866.6517,,,0.3333
1996-09-30,19.6,26206935.0,21623.4071,,,0.3333
1996-10-31,16.4,22887075.0,18093.0549,,,0.3333
1996-11-30,14.42,48848850.0,15904.972,,,0.3333
1996-12-31,16.17,179611185.0,17835.6334,,,0.3333
1997-01-31,15.88,121459095.0,17523.0501,,,0.3333
1997-02-28,16.62,100154295.0,18332.0891,,,0.3333
1997-03-31,16.75,71090955.0,18479.1872,,,0.3333
1997-04-30,18.95,19323270.0,20906.3043,,,0.3333
1997-05-31,18.62,13764480.0,20538.5593,,,0.3333
1997-06-30,23.1,33701685.0,25484.7297,,,0.3333
1997-07-31,21.03,30177975.0,23204.7106,,,0.3333
1997-08-31,20.27,48112185.0,22363.7607,,,0.3333
1997-09-30,20.55,73414710.0,22676.412,,,0.3333
1997-10-31,19.0,12981630.0,21057.9819,,,0.3333
1997-11-30,17.88,26135835.0,19733.8119,,,0.3333
1997-12-31,18.4,15213330.0,20303.9407,,,0.3333
1998-01-31,14.13,24079770.0,15595.7805,,,0.3333
1998-02-28,16.83,23153265.0,18575.1631,,,0.3333
1998-03-31,18.23,26857065.0,20112.6717,,,0.3333
1998-04-30,20.31,31786830.0,22407.8997,,,0.3333
1998-05-31,20.02,33662865.0,22087.892,,,0.3333
1998-06-30,17.41,35196090.0,19215.1786,,,0.3333
1998-07-31,15.23,22187895.0,16809.6031,,,0.3333
1998-08-31,12.06,100867440.0,13307.9089,,,0.4
1998-09-30,13.2,145750380.0,14567.8494,,,0.4
1998-10-31,13.3,33730950.0,14678.2119,,,0.4
1998-11-30,14.64,46616430.0,16157.0693,,,0.4
1998-12-31,17.34,42270945.0,19136.8567,,,0.4
1999-01-31,16.96,36448365.0,18717.4792,,,0.4
1999-02-28,18.23,28702980.0,20122.7617,,,0.4
1999-03-31,20.0,49559865.0,22072.4991,,,0.4
1999-04-30,18.13,22357845.0,20012.3992,,,0.4
1999-05-31,19.4,49763070.0,21410.3241,,,0.4
1999-06-30,21.33,70329270.0,23543.999,,,0.4
1999-07-31,25.87,83011890.0,28547.0988,,,0.4
1999-08-31,35.4,98279895.0,39068.3234,,,0.4667
1999-09-30,32.87,41248020.0,36272.4735,,,0.4667
1999-10-31,36.0,67157055.0,39735.2607,,,0.4667
1999-11-30,38.13,29036580.0,42086.046,,,0.4667
1999-12-31,43.47,40940370.0,47972.2063,,,0.4667
2000-01-31,37.07,41671860.0,40908.8139,,,0.4667
2000-02-29,37.42,41568788.0,41298.7721,,,0.4667
2000-03-31,28.4,40399073.0,31343.8035,,,0.6333
2000-04-30,26.65,61229145.0,29416.086,,,0.6333
2000-05-31,26.01,40206795.0,28696.7313,,,0.6333
2000-06-30,26.0,38545365.0,28689.375,,,0.6333
2000-07-31,26.65,26282895.0,29402.9313,,,0.6333
2000-08-31,26.11,31555305.0,28807.075,,,0.5333
2000-09-30,20.69,32259615.0,22833.8,,,0.5333
2000-10-31,17.85,53464268.0,19700.44,,,0.5333
2000-11-30,20.47,190272180.0,22591.5053,,,0.5333
2000-12-31,21.08,218715128.0,23260.9377,,,0.5333
2001-01-31,25.23,159548723.0,27836.6187,,,0.5333
2001-02-28,25.09,193048245.0,27689.4907,,,0.5333
2001-03-31,20.55,74042775.0,22672.4257,,,0.5333
2001-04-30,23.0,51111143.0,25379.581,,,0.5333
2001-05-31,24.6,88742453.0,27145.1171,,,0.2
2001-06-30,24.71,40081553.0,27262.8195,14.3554,1.7877,0.2
2001-07-31,24.12,3701633.0,26615.4563,14.0146,1.7453,0.2
2001-08-31,21.85,4751783.0,24114.2802,12.6976,1.5813,0.2
2001-09-30,19.89,13496265.0,21951.4985,11.5587,1.4395,0.8667
2001-10-31,20.5,18212033.0,22620.9309,11.9112,1.4833,0.6667
2001-11-30,24.11,19933755.0,26600.7435,14.0068,1.7443,0.6667
2001-12-31,25.33,15195690.0,27947.6864,14.7157,1.8326,0.6667
2002-01-31,28.59,22481355.0,31545.0591,16.6099,2.0685,0.6667
2002-02-28,31.8,29070428.0,35090.9356,18.4769,2.301,0.6667
2002-03-31,26.71,16793385.0,29470.5006,15.5175,1.9325,0.6667
2002-04-30,26.47,18613725.0,29205.6634,15.3781,1.9151,0.6667
2002-05-31,26.33,15089978.0,29051.175,15.2967,1.905,0.6667
2002-06-30,27.21,10959713.0,30029.6015,17.6113,1.1663,1.2
2002-07-31,22.65,10409738.0,24990.3372,14.6559,0.9706,1.2
2002-08-31,22.0,12280185.0,24276.7479,14.2375,0.9429,0.8
2002-09-30,21.8,14159565.0,24056.0502,14.108,0.9343,0.8
