MSUMI IN Equity,price,volume,mc,pe,bm,div
2022-03-31,30.69,436851091.0,203528.8616,55.5603,18.2603,0.0
2022-04-30,33.1,526669836.0,219476.4295,59.9138,19.691,0.0
2022-05-31,31.24,215174635.0,207160.4859,56.5517,18.5861,0.0
2022-06-30,33.52,303727553.0,222318.5703,53.7405,19.7902,0.0
2022-07-31,36.81,204164570.0,244108.3165,59.0076,,0.0
2022-08-31,38.81,229113179.0,257371.6403,62.2137,,0.4048
2022-09-30,41.67,446932025.0,276319.2457,69.4444,25.2753,0.4048
2022-10-31,41.67,117865904.0,276319.2457,69.4444,25.2753,0.4048
2022-11-30,40.97,176778318.0,271677.0824,68.2778,24.8506,0.4048
2022-12-31,38.87,130353978.0,257750.5924,64.9841,23.3948,0.4048
2023-01-31,34.3,214386714.0,227466.0031,57.3487,,0.4048
2023-02-28,33.0,152489070.0,218844.8426,55.1752,,0.4048
2023-03-31,32.17,115964628.0,213318.4577,43.8636,16.033,0.4048
2023-04-30,35.83,122444532.0,237634.5513,48.8636,17.8605,0.4048
2023-05-31,38.57,229666796.0,255761.0939,52.5909,19.2229,0.4048
2023-06-30,38.47,180103148.0,255097.9277,52.7285,18.8076,0.4048
2023-07-31,39.03,291155994.0,258855.8694,53.5052,,0.4048
2023-08-31,41.4,190478856.0,274550.8026,56.7493,,0.4333
2023-09-30,42.97,154865559.0,284940.4062,54.6186,21.6415,0.4333
2023-10-31,39.97,144502866.0,265045.4205,50.8051,20.1304,0.4333
2023-11-30,41.07,150821493.0,272340.2486,52.2034,20.6845,0.4333
2023-12-31,41.17,236945163.0,273003.4148,46.7803,20.5166,0.4333
2024-01-31,43.37,356032968.0,287593.071,49.2803,,0.4333
2024-02-29,46.77,482034743.0,310140.7214,53.1439,,0.4333
2024-03-31,44.07,262743294.0,292235.2343,45.9028,17.4282,0.4333
2024-04-30,46.03,251974644.0,305277.5027,47.9514,18.206,0.4333
2024-05-31,45.1,171630806.0,299087.9516,46.9792,17.8368,0.4333
2024-06-30,50.21,481135695.0,332953.6384,50.2067,19.5533,0.4333
2024-07-31,49.24,264856820.0,326543.0319,49.24,,0.4333
2024-08-31,46.95,202745651.0,311378.6317,46.9533,,0.5333
2024-09-30,47.48,154631555.0,314871.3069,47.7987,19.4657,0.5333
2024-10-31,41.87,229798001.0,277645.5781,42.1477,17.1644,0.5333
2024-11-30,42.66,133920623.0,282906.6966,42.9463,17.4896,0.5333
2024-12-31,38.83,136438577.0,257485.326,40.7273,15.8388,0.5333
2025-01-31,37.42,269199665.0,248156.7882,39.2517,,0.5333
2025-02-28,31.33,256191038.0,207792.0728,32.8671,,0.5333
2025-03-31,34.74,168150522.0,230383.9343,38.0365,13.5656,0.3333
2025-04-30,37.17,107941914.0,246520.9783,40.7007,14.5157,0.3333
2025-05-31,38.59,146462093.0,255893.7271,42.2482,15.0676,0.3333
2025-06-30,39.81,114220739.0,264028.5657,47.776,15.643,1.1
2025-07-31,37.1,237059160.0,246034.6564,44.52,,1.1
2025-08-31,41.56,157266180.0,275611.8685,49.872,,0.5667
2025-09-30,45.71,301250170.0,303133.2654,53.358,16.4534,0.5667
2025-10-31,47.21,75888252.0,313080.7582,55.1089,16.9933,0.5667
2025-11-30,45.66,118849674.0,302801.6823,53.2996,16.4354,0.5667
2025-12-31,48.52,207330538.0,321768.2353,55.5573,17.5728,0.5667
2026-01-31,43.16,171372187.0,286222.5275,49.4198,,0.5667
2026-02-28,43.2,134255033.0,286487.794,49.4656,,0.5667
2026-03-31,41.69,17667407.0,276473.9754,47.7366,,0.2333
