IDBI IN Equity,price,volume,mc,pe,bm,div
1995-09-30,75.0,,,,,0.0
1995-10-31,67.5,,,,,0.0
1995-11-30,59.69,,,,,0.0
1995-12-31,65.0,,,,,0.0
1996-01-31,57.5,,,,,0.0
1996-02-29,69.38,,,,,0.0
1996-03-31,68.13,,,,,0.0
1996-04-30,75.0,,,,,0.0
1996-05-31,73.13,1118720.0,,,,0.0
1996-06-30,79.06,4934080.0,85146.2667,,,1.875
1996-07-31,73.28,10096320.0,78920.1563,,,1.875
1996-08-31,73.13,2709440.0,78751.8831,,,1.875
1996-09-30,70.16,1744480.0,75554.6912,,,1.875
1996-10-31,65.31,3020480.0,70338.2203,,,1.875
1996-11-30,53.13,2167200.0,57212.9065,,,1.875
1996-12-31,54.38,2114080.0,58559.0925,,,1.875
1997-01-31,59.38,2367200.0,63943.8367,,,1.875
1997-02-28,57.19,1452640.0,61588.0111,,,1.875
1997-03-31,52.81,2810880.0,56876.36,,,1.875
1997-04-30,56.25,1005440.0,60578.3716,,,1.875
1997-05-31,57.34,1739840.0,61756.2844,,,2.1875
1997-06-30,63.91,1650560.0,68823.761,,,2.1875
1997-07-31,63.28,1110400.0,68150.668,,,2.1875
1997-08-31,61.72,4587840.0,66467.9355,,,2.1875
1997-09-30,62.19,1716104.0,66972.7552,,,2.1875
1997-10-31,61.09,705920.0,66636.2087,,,2.1875
1997-11-30,52.5,1011040.0,56539.8135,,,2.1875
1997-12-31,57.81,458720.0,62261.1041,,,2.1875
1998-01-31,49.81,1049920.0,53645.5135,,,2.1875
1998-02-28,53.09,645920.0,57179.2518,,,2.1875
1998-03-31,53.47,953280.0,57583.1077,,,2.1875
1998-04-30,63.62,9937440.0,68520.8692,,,2.8125
1998-05-31,47.13,8344800.0,50751.2135,,,2.8125
1998-06-30,40.44,5137760.0,43549.1182,,,2.8125
1998-07-31,37.09,2264800.0,39948.0706,,,2.8125
1998-08-31,34.38,1017600.0,37020.116,,,2.8125
1998-09-30,31.06,2118080.0,33452.723,,,2.8125
1998-10-31,24.0,2726720.0,25846.7719,,,2.8125
1998-11-30,22.5,4406560.0,24231.3486,,,2.8125
1998-12-31,22.78,2409920.0,24534.2405,,,2.8125
1999-01-31,22.41,4092494.0,24130.3847,,,2.8125
1999-02-28,20.22,1301789.0,21774.5591,,,2.8125
1999-03-31,18.56,2533130.0,19990.8626,,,2.8125
1999-04-30,17.25,1308090.0,18577.3673,,,2.8125
1999-05-31,21.09,15844291.0,22716.8893,,,2.8125
1999-06-30,20.94,5481331.0,22548.6161,,,2.8125
1999-07-31,22.19,12966080.0,23894.8021,,,2.8125
1999-08-31,23.94,5236314.0,25779.4626,,,2.8125
1999-09-30,22.63,2591174.0,24365.9672,,,2.8125
1999-10-31,23.81,7098123.0,25644.844,,,2.8125
1999-11-30,21.94,2398198.0,23625.5649,,,2.8125
1999-12-31,22.94,9371976.0,24702.5137,,,2.8125
2000-01-31,23.94,7238888.0,25779.4626,,,2.8125
2000-02-29,27.5,9731226.0,29616.0928,,,2.8125
2000-03-31,29.38,11093242.0,31635.3718,,,2.8125
2000-04-30,22.12,4187645.0,23827.4928,,,2.8125
2000-05-31,22.5,5545582.0,24231.3486,,,2.8125
2000-06-30,23.69,5584110.0,25510.2254,,,2.8125
2000-07-31,22.47,2282506.0,24197.694,,,2.8125
2000-08-31,21.66,1295533.0,23322.6731,,,2.8125
2000-09-30,22.0,3226499.0,23692.8742,,,2.8125
2000-10-31,20.59,1356725.0,22178.4149,,,2.8125
2000-11-30,22.84,5301896.0,24601.5498,,,2.8125
2000-12-31,28.06,15097035.0,30221.8765,,,2.8125
2001-01-31,31.22,7585987.0,33620.9962,,,2.8125
2001-02-28,30.6,6035070.0,20596.6557,,,2.8125
2001-03-31,26.75,2092802.0,18005.2464,,,2.8125
2001-04-30,25.8,1387840.0,16843.0239,,,2.8125
2001-05-31,26.7,5628793.0,17430.5712,,,4.5
2001-06-30,24.65,1618038.0,16092.2689,,,4.5
2001-07-31,20.05,735257.0,13089.2492,,,4.5
2001-08-31,16.65,875716.0,10869.6259,,,4.5
2001-09-30,17.1,684781.0,11163.3996,,,4.5
2001-10-31,17.0,806482.0,11098.1165,,,4.5
2001-11-30,17.7,704509.0,11555.0978,,,4.5
2001-12-31,15.4,517229.0,10053.5879,,,4.5
2002-01-31,14.2,667287.0,9270.1914,,,4.5
2002-02-28,18.4,2891945.0,12012.0791,,,4.5
2002-03-31,16.35,1255428.0,10673.7768,,,4.5
2002-04-30,16.4,795906.0,10706.4183,,,4.5
2002-05-31,17.75,2566876.0,11587.7393,,,4.5
2002-06-30,23.05,9377444.0,15047.7403,,,1.5
2002-07-31,17.55,6697272.0,11457.1732,,,1.5
2002-08-31,18.95,2161554.0,12371.1358,,,1.5
2002-09-30,16.8,1240636.0,10967.5504,,,1.5
2002-10-31,16.5,1318767.0,10771.7013,,,1.5
2002-11-30,19.0,2519702.0,12403.7773,,,1.5
2002-12-31,21.1,5660626.0,13774.7211,,,1.5
2003-01-31,20.5,5410789.0,13383.0229,,,1.5
2003-02-28,19.0,2175485.0,12403.7773,,,1.5
2003-03-31,16.55,1769906.0,10804.3428,,,1.5
2003-04-30,17.6,1598609.0,11489.8147,,,1.5
2003-05-31,34.2,26880904.0,22326.7991,,,1.5
2003-06-30,34.05,25995423.0,22228.8746,,,1.5
2003-07-31,43.9,23590796.0,28659.2538,,,1.5
2003-08-31,37.7,13278370.0,24611.7055,,,1.5
2003-09-30,40.95,14425383.0,26733.4042,,,1.5
2003-10-31,53.25,25262582.0,34763.2179,,,1.5
2003-11-30,52.6,6888931.0,34338.8782,,,1.5
2003-12-31,62.1,24597581.0,40540.7668,,,1.5
2004-01-31,67.35,39763482.0,43968.1263,,,1.5
2004-02-29,66.55,18466719.0,43445.862,,,1.5
2004-03-31,58.1,9077341.0,37929.4453,,,1.5
2004-04-30,59.3,13579622.0,38712.8417,,,1.5
2004-05-31,36.25,16752181.0,23665.1014,,,1.5
2004-06-30,41.85,10909045.0,27320.9515,,,1.5
2004-07-31,66.95,51340157.0,43706.9942,,,1.5
2004-08-31,76.2,44773551.0,49745.6752,,,1.5
2004-09-30,90.2,67592709.0,58885.3006,,,0.0
2004-10-31,84.3,20938563.0,55033.6013,,,0.0
2004-11-30,89.7,11553755.0,58558.8854,,,0.0
2004-12-31,109.8,30609709.0,71680.7761,,,0.0
2005-01-31,110.3,94670477.0,72007.1913,,,0.0
2005-02-28,94.5,39520140.0,61692.4712,,,1.5
2005-03-31,91.15,39395079.0,59505.4894,,,1.5
2005-04-30,80.05,23221219.0,52259.0722,,,1.5
2005-05-31,93.45,53273210.0,61006.9993,,,1.5
2005-06-30,101.7,158858205.0,73487.5237,,,1.5
2005-07-31,110.95,119976565.0,80171.4921,,,1.5
2005-08-31,109.05,70337059.0,78842.1716,,,0.75
2005-09-30,123.2,117669144.0,89072.4946,,,0.75
2005-10-31,86.45,105071283.0,62502.5744,,,0.75
2005-11-30,94.8,79293411.0,68539.5494,,,0.75
2005-12-31,97.2,80533762.0,70327.4926,,,0.75
2006-01-31,90.2,76342089.0,65270.1877,,,0.75
2006-02-28,83.8,54694052.0,60639.0436,,,0.75
2006-03-31,78.3,73910398.0,56665.1757,,,0.75
2006-04-30,84.8,110271800.0,60864.2028,,,0.75
2006-05-31,70.45,117562979.0,50987.8091,,,0.75
2006-06-30,57.65,77372026.0,41723.8779,,,0.75
2006-07-31,57.3,39252262.0,41470.5672,,,1.5
2006-08-31,65.2,57437826.0,47206.0695,,,1.5
2006-09-30,82.95,155987995.0,60057.4151,,,1.5
2006-10-31,82.0,59608097.0,59370.4424,,,1.5
2006-11-30,73.8,41955469.0,53433.3981,,,1.5
2006-12-31,76.15,60442803.0,55134.8681,,,1.5
2007-01-31,101.55,177634274.0,73525.2247,,,1.5
2007-02-28,80.7,268102710.0,58429.2037,,,1.5
2007-03-31,77.6,158214717.0,56196.789,,,1.5
2007-04-30,84.5,132884027.0,61197.3147,,,1.5
2007-05-31,94.9,270938890.0,68743.4076,,,1.5
2007-06-30,118.7,325717232.0,85983.5878,,,1.5
2007-07-31,112.3,271256482.0,81347.573,,,1.5
2007-08-31,124.15,319771224.0,89931.4442,,,1.5
2007-09-30,156.45,332516083.0,113328.7839,,,1.5
2007-10-31,160.4,392698919.0,116225.8361,,,1.5
2007-11-30,163.1,284997740.0,118184.2171,,,1.5
2007-12-31,165.2,145674793.0,119717.3667,,,1.5
2008-01-31,112.1,213067691.0,81239.0972,,,1.5
2008-02-29,118.45,111853079.0,85847.2448,,,1.5
2008-03-31,89.1,110764884.0,64575.6818,,,1.5
2008-04-30,104.35,83452815.0,75631.5221,,,1.5
2008-05-31,87.4,63933743.0,63346.3827,,,1.5
2008-06-30,64.35,61030156.0,46640.0426,,,1.5
2008-07-31,74.85,65647722.0,54250.306,,,2.0
2008-08-31,83.75,88049062.0,60700.9102,,,2.0
2008-09-30,74.35,80106168.0,53888.1439,,0.5909,2.0
2008-10-31,58.5,56758295.0,42400.2137,,0.465,2.0
2008-11-30,58.05,40797758.0,42074.6393,,0.4614,2.0
2008-12-31,67.7,44472803.0,49068.9592,,0.5258,2.0
2009-01-31,57.15,41131881.0,41422.3193,,0.4439,2.0
2009-02-28,48.4,25141041.0,35080.3194,,0.3759,2.0
2009-03-31,45.4,45565382.0,32905.9194,,0.3526,2.0
2009-04-30,63.6,87738142.0,46097.5742,,0.494,2.0
2009-05-31,92.9,127352158.0,67334.3498,,0.7215,2.0
2009-06-30,109.9,369702961.0,79656.0284,,0.8311,2.0
2009-07-31,105.65,228167957.0,76575.6088,,0.799,2.5
2009-08-31,104.0,119252743.0,75379.8525,,0.7865,2.5
2009-09-30,127.45,265713993.0,92376.5597,,0.94,2.5
2009-10-31,113.95,238705752.0,82593.5111,,0.8404,2.5
2009-11-30,121.95,138942007.0,88392.0902,,0.8995,2.5
2009-12-31,127.4,156241761.0,92344.806,,0.9139,2.5
2010-01-31,121.2,124371458.0,87851.6395,,0.8695,2.5
2010-02-28,119.05,72546231.0,86295.2715,,0.854,2.5
2010-03-31,115.0,72946540.0,83359.5651,,0.825,2.5
2010-04-30,126.05,74406710.0,91371.7632,,0.9042,2.5
2010-05-31,113.8,75709242.0,82491.9211,,0.8164,2.5
2010-06-30,119.15,62857619.0,86373.016,,0.8302,2.5
2010-07-31,119.0,66075310.0,86264.2795,,0.8291,3.0
2010-08-31,121.55,87357699.0,88115.2777,,0.8469,3.0
2010-09-30,152.4,164998520.0,150028.5075,,1.0759,3.0
2010-10-31,180.6,169034254.0,177789.6881,,1.275,3.0
2010-11-30,163.5,239922544.0,160955.7808,,1.1543,3.0
2010-12-31,165.05,152976606.0,162481.6612,,1.1295,3.0
2011-01-31,141.75,126021619.0,139544.2319,,0.97,3.0
2011-02-28,131.75,101935253.0,129711.944,,0.9016,3.0
2011-03-31,142.45,73900248.0,140251.728,,0.9748,3.0
2011-04-30,143.45,76721773.0,141236.2961,,0.9817,3.0
2011-05-31,134.55,52556167.0,132478.3619,,0.9208,3.0
2011-06-30,136.35,41838140.0,134250.6477,,0.9015,3.0
2011-07-31,128.75,37107614.0,126769.1407,,0.8513,3.0
2011-08-31,110.5,46323062.0,108799.9227,,0.7306,3.0
2011-09-30,102.55,42931542.0,100972.2359,,0.6557,3.5
2011-10-31,117.0,46428841.0,115199.9181,,0.7481,3.5
2011-11-30,92.95,41755486.0,91520.4682,,0.5944,3.5
2011-12-31,77.95,44210663.0,76751.1619,,0.4859,3.5
2012-01-31,101.4,55515147.0,99840.5108,,0.632,3.5
2012-02-29,108.1,95296844.0,106437.4676,,0.6738,4.0
2012-03-31,104.7,74676106.0,103089.7582,,0.6526,4.0
2012-04-30,101.55,49313195.0,99989.927,,0.633,4.0
2012-05-31,84.95,49678752.0,108600.7665,,0.5295,4.0
