TMX IN Equity,price,volume,mc,pe,bm,div
1995-05-31,48.8,,,,,0.0
1995-06-30,51.8,,,,,0.0
1995-07-31,58.6,,,,,0.0
1995-08-31,62.6,,,,,0.0
1995-09-30,64.8,,,,,0.0
1995-10-31,63.0,,,,,0.0
1995-11-30,61.6,,,,,0.0
1995-12-31,64.0,,,,,0.0
1996-01-31,66.8,,,,,0.0
1996-02-29,67.8,,,,,0.0
1996-03-31,69.4,,,,,0.0
1996-04-30,76.0,,,,,0.0
1996-05-31,71.6,93500.0,,,,0.0
1996-06-30,80.05,895500.0,,,,0.0
1996-07-31,79.0,1980000.0,9183.75,,,0.7
1996-08-31,79.7,746000.0,9265.125,,,0.7
1996-09-30,82.9,930500.0,9637.125,,,0.7
1996-10-31,68.3,2330000.0,7939.875,,,0.7
1996-11-30,68.95,194500.0,8015.4375,,,0.7
1996-12-31,65.8,305500.0,7649.25,,,0.7
1997-01-31,64.25,2890000.0,7469.0625,,,0.7
1997-02-28,59.9,1112000.0,6963.375,,,0.7
1997-03-31,59.8,664500.0,6951.75,,,0.7
1997-04-30,54.1,1344500.0,6289.125,,,0.7
1997-05-31,57.1,1009500.0,6637.875,,,0.7
1997-06-30,70.0,597500.0,8137.5,,,0.7
1997-07-31,76.3,352500.0,8869.875,,,0.7
1997-08-31,58.45,701000.0,6794.8125,,,0.7
1997-09-30,57.0,1258500.0,6626.25,,,0.7
1997-10-31,50.8,3150500.0,6399.5625,,,0.7
1997-11-30,39.15,1375500.0,4551.1875,,,0.7
1997-12-31,34.8,707500.0,4045.5,,,0.7
1998-01-31,32.24,4660000.0,3747.9,,,0.7
1998-02-28,30.66,3187000.0,3564.225,,,0.7
1998-03-31,43.82,22652000.0,5094.075,,,0.7
1998-04-30,46.8,14882250.0,5440.5,,,0.7
1998-05-31,43.14,8198500.0,5015.025,,,0.7
1998-06-30,26.34,5824750.0,3062.025,,,0.7
1998-07-31,36.96,17750750.0,4296.6,,,0.7
1998-08-31,38.82,10364500.0,4512.825,,,0.7
1998-09-30,35.98,3215500.0,4182.675,,,0.7
1998-10-31,26.54,2129500.0,3085.275,,,0.7
1998-11-30,27.52,1837000.0,3199.2,,,0.7
1998-12-31,28.6,2047500.0,3324.75,,,0.7
1999-01-31,32.42,7849000.0,3768.825,,,0.7
1999-02-28,33.6,1818400.0,3906.0,,,0.7
1999-03-31,29.2,4581085.0,3394.5,,,0.7
1999-04-30,22.86,2706865.0,2657.475,,,0.7
1999-05-31,26.42,6406010.0,3071.325,,,0.7
1999-06-30,37.8,21670825.0,4394.25,,,0.7
1999-07-31,41.0,14739005.0,4766.25,,,0.7
1999-08-31,55.2,13292715.0,6417.0,,,0.7
1999-09-30,45.0,3743975.0,5231.25,,,0.7
1999-10-31,38.6,3657060.0,4487.25,,,0.7
1999-11-30,27.6,4898970.0,3208.5,,,0.7
1999-12-31,27.43,5455730.0,3188.7375,,,0.7
2000-01-31,27.0,4907665.0,3138.75,,,0.7
2000-02-29,21.0,2311725.0,2441.25,,,0.7
2000-03-31,16.5,2693355.0,1918.125,,,0.7
2000-04-30,20.2,5178450.0,2348.25,,,0.7
2000-05-31,19.6,2338075.0,2278.892,,,0.7
2000-06-30,18.86,4031870.0,2192.8522,,,0.7
2000-07-31,18.0,2364605.0,2092.86,,,0.7
2000-08-31,16.98,1324690.0,1974.2646,,,0.7
2000-09-30,14.82,899510.0,1723.1214,,,0.7
2000-10-31,12.68,1090235.0,1474.3036,,,0.7
2000-11-30,14.51,2481485.0,1687.0777,,,0.7
2000-12-31,19.76,26254635.0,2297.1,,,0.7
2001-01-31,18.99,34516875.0,2207.5875,,,0.7
2001-02-28,18.47,35665985.0,2147.1375,,,0.7
