KVB IN Equity,price,volume,mc,pe,bm,div
2002-04-30,3.72,599385.0,2365.2,,,0.0
2002-05-31,4.0,6231575.0,2540.1,,,0.0
2002-06-30,4.87,12772739.0,3095.1,,,0.0661
2002-07-31,4.04,10292429.0,2568.3,,,0.0661
2002-08-31,4.28,1294346.0,2718.0,,,0.0661
2002-09-30,4.56,3862505.0,2898.9,,,0.0661
2002-10-31,4.51,4186893.0,2866.4807,,,0.0661
2002-11-30,4.04,521873.0,2567.3294,,,0.0661
2002-12-31,4.19,1966881.0,2661.7982,,,0.0661
2003-01-31,5.43,5554305.0,3447.1862,,,0.0661
2003-02-28,5.22,7176322.0,3317.5231,,,0.0661
2003-03-31,4.76,5335812.0,3020.2241,1.9084,,0.0661
2003-04-30,5.03,1982343.0,3193.4169,2.0179,,0.0661
2003-05-31,5.71,14154825.0,3623.1575,2.2894,,0.0661
2003-06-30,5.47,6891421.0,3471.2665,2.054,,0.0661
2003-07-31,6.84,19608198.0,4344.6401,2.5708,,0.2042
2003-08-31,8.28,14733233.0,5104.0676,3.1117,,0.2042
2003-09-30,7.64,5471132.0,4706.7449,2.5412,,0.2042
2003-10-31,8.82,12211840.0,5434.8701,2.9343,,0.2042
2003-11-30,9.09,4451761.0,5604.766,3.026,,0.2042
2003-12-31,10.95,6445419.0,6747.2932,3.9622,,0.2042
2004-01-31,10.69,6361662.0,6586.3866,3.8677,,0.2042
2004-02-29,9.67,3298854.0,5958.0415,3.4987,,0.2042
2004-03-31,10.42,3348361.0,6420.9853,3.949,,0.2042
2004-04-30,11.46,2486732.0,7065.5109,4.3454,,0.2042
2004-05-31,8.84,2508982.0,5449.2528,3.3514,,0.2042
2004-06-30,9.19,1310888.0,5665.8925,3.4405,,0.2042
2004-07-31,8.71,2572613.0,5366.5522,3.2587,,0.2917
2004-08-31,7.79,7858405.0,4803.8283,2.917,,0.2917
2004-09-30,9.33,2483338.0,5750.391,4.1144,,0.2917
2004-10-31,8.66,2081973.0,5337.7867,3.8191,,0.2917
2004-11-30,9.31,2897284.0,5736.0083,4.1041,,0.2917
2004-12-31,14.03,32919187.0,8649.4079,7.4612,,0.2917
2005-01-31,14.26,101207506.0,8791.4372,7.5837,,0.2917
2005-02-28,13.0,23351820.0,8012.9726,6.9122,,0.2917
2005-03-31,11.96,19897487.0,7373.8405,7.0003,0.9691,0.2917
2005-04-30,11.29,11813492.0,6960.3373,6.6078,0.9148,0.2917
2005-05-31,11.79,32497252.0,7266.869,6.8988,0.9551,0.2917
2005-06-30,12.54,13695315.0,7730.7117,7.1016,1.0179,0.2917
2005-07-31,13.72,23029309.0,8457.9379,7.7696,,0.2917
2005-08-31,13.88,17209576.0,8555.0213,7.8588,,0.2917
2005-09-30,16.66,27803102.0,10271.0595,8.8601,,0.2917
2005-10-31,13.63,34546038.0,8399.5081,7.2457,,0.2917
2005-11-30,15.1,17034967.0,9307.4173,8.0288,,0.2917
2005-12-31,15.68,21375065.0,9665.1875,7.9846,,0.2917
2006-01-31,15.43,11693121.0,9509.6743,7.8561,,0.2917
2006-02-28,14.68,12331320.0,9046.7305,7.4736,,0.2917
2006-03-31,14.41,19898824.0,8879.5314,6.56,1.0188,0.2917
2006-04-30,14.31,8157466.0,8833.6865,6.5155,1.0119,0.2917
2006-05-31,17.41,86796955.0,10733.1044,7.9293,1.2314,0.2917
2006-06-30,16.73,41169837.0,10313.3087,7.5759,1.1681,0.2917
2006-07-31,16.94,23502945.0,10443.6821,7.6717,,0.35
2006-08-31,16.01,9487416.0,9868.3716,7.2491,,0.35
2006-09-30,18.24,13131752.0,11245.521,7.4376,,0.35
2006-10-31,19.28,9799573.0,11881.9581,7.8585,,0.35
2006-11-30,20.83,16966313.0,12836.6139,8.4899,,0.35
2006-12-31,21.56,29353750.0,14508.5954,8.2395,,0.35
2007-01-31,21.62,12188728.0,14546.3501,8.2609,,0.35
2007-02-28,21.19,9533672.0,14257.7963,8.0971,,0.35
2007-03-31,20.68,11886513.0,13915.3071,6.8276,1.3085,0.35
2007-04-30,21.84,7396750.0,14694.6722,7.21,1.3818,0.35
2007-05-31,23.3,17979873.0,15676.2946,7.6916,1.4741,0.35
2007-06-30,25.07,10988588.0,16868.2647,8.0324,1.5742,0.35
2007-07-31,27.06,15251556.0,18205.8602,8.6694,,0.8016
