CEAT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,145.13,,3738.0,,,0.0
1995-02-28,130.02,,3348.625,,,0.0
1995-03-31,123.97,,3192.875,,,3.3865
1995-04-30,95.24,,2453.0625,,,3.3865
1995-05-31,96.15,,2476.425,,,3.3865
1995-06-30,89.5,,2305.1,,,3.3865
1995-07-31,93.13,,2398.55,,,3.3865
1995-08-31,87.08,,2242.8,,,3.3865
1995-09-30,84.66,,2180.5,,,3.3865
1995-10-31,86.48,,2227.225,,,3.3865
1995-11-30,78.01,,2009.175,,,3.3865
1995-12-31,78.61,,2024.75,,,3.3865
1996-01-31,74.99,,1931.3,,,3.3865
1996-02-29,82.85,,2133.775,,,3.3865
1996-03-31,97.97,,2523.15,,,3.3865
1996-04-30,105.22,,2710.05,,,3.3865
1996-05-31,107.64,52875.0,2772.35,,,0.0
1996-06-30,114.9,173302.0,2959.25,,,0.0
1996-07-31,109.46,447601.0,3186.7766,,,0.0
1996-08-31,104.31,51388.0,3037.1214,,,4.8378
1996-09-30,94.34,94115.0,2746.6141,,,4.8378
1996-10-31,78.61,21131.0,2288.8451,,,4.8378
1996-11-30,75.29,50613.0,2192.0093,,,4.8378
1996-12-31,70.15,16206.0,2042.3541,,,4.8378
1997-01-31,72.57,40551.0,2112.7801,,,4.8378
1997-02-28,71.36,12677.0,2077.5671,,,4.8378
1997-03-31,57.45,62144.0,1672.6176,,,4.8378
1997-04-30,54.12,25320.0,1575.7818,,,4.8378
1997-05-31,38.1,73452.0,1109.2095,,,4.8378
1997-06-30,37.19,290618.0,1082.7998,,,4.8378
1997-07-31,46.26,506058.0,1346.8973,,,2.4189
1997-08-31,36.28,444198.0,1056.39,,,2.4189
1997-09-30,31.45,217458.0,915.538,,,2.4189
1997-10-31,30.24,119795.0,880.325,,,2.4189
1997-11-30,22.98,187405.0,669.047,,,2.4189
1997-12-31,28.42,647594.0,827.5055,,,2.4189
1998-01-31,24.13,578518.0,702.4994,,,2.4189
1998-02-28,24.98,267422.0,727.1485,,,2.4189
1998-03-31,28.85,2568954.0,839.8301,,,2.4189
1998-04-30,33.5,2612197.0,975.4001,,,2.4189
1998-05-31,35.07,1913600.0,1021.177,,,2.4189
1998-06-30,25.64,1333589.0,746.5156,,,2.4189
1998-07-31,26.91,1608845.0,783.4893,,,2.4189
1998-08-31,22.68,446595.0,660.2438,,,2.4189
1998-09-30,24.79,536022.0,721.8665,,,2.4189
1998-10-31,23.34,291046.0,679.6109,,,2.4189
1998-11-30,24.31,485179.0,707.7813,,,2.4189
1998-12-31,27.82,623352.0,809.899,,,2.4189
1999-01-31,27.94,958426.0,813.4203,,,2.4189
1999-02-28,24.98,316478.0,727.1485,,,2.4189
1999-03-31,24.49,400537.0,713.0633,,,2.4189
1999-04-30,21.53,288284.0,626.7914,,,2.4189
