RVNL IN Equity,price,volume,mc,pe,bm,div
2019-04-30,22.05,490850136.0,45974.6932,6.6818,1.0459,0.0
2019-05-31,27.0,291911426.0,56295.5427,8.1818,1.2807,0.0
2019-06-30,27.8,173341116.0,57963.5588,8.4242,1.3187,0.0
2019-07-31,23.4,110499959.0,48789.4703,7.0909,1.11,0.0
2019-08-31,24.7,64279111.0,51499.9965,7.4848,1.1716,0.0
2019-09-30,24.1,84283930.0,50248.9844,7.303,1.1432,0.09
2019-10-31,23.8,159254866.0,49623.4784,7.2121,1.1289,0.09
2019-11-30,23.95,135058171.0,49936.2314,7.2576,1.1361,0.09
2019-12-31,22.95,45650071.0,47851.2113,6.9545,1.0886,0.09
2020-01-31,27.35,209309205.0,57025.2997,8.2879,1.2973,0.09
2020-02-29,21.0,130914423.0,43785.4221,6.3636,0.9961,0.09
2020-03-31,12.8,115303530.0,26688.2573,3.5262,0.5213,0.09
2020-04-30,17.05,102319919.0,35549.5927,4.697,0.6944,0.09
2020-05-31,17.0,88501684.0,35445.3417,4.6832,0.6924,0.09
2020-06-30,18.85,156910119.0,39302.6289,5.1928,0.7677,0.09
2020-07-31,19.2,158373299.0,40032.384,5.2893,0.782,0.09
2020-08-31,21.55,224589625.0,44932.181,5.9366,0.8777,0.09
2020-09-30,19.4,74645784.0,40449.3899,5.3444,0.7901,0.09
2020-10-31,18.2,39694689.0,37947.3661,5.0138,0.7413,0.09
2020-11-30,21.85,71684086.0,45557.6896,6.0193,0.8899,0.0
2020-12-31,24.0,237323659.0,50040.4828,6.6116,0.9775,1.14
2021-01-31,31.3,664026129.0,65261.1297,8.6226,1.2748,1.14
2021-02-28,31.75,207541819.0,66199.3887,8.7466,1.2931,1.14
2021-03-31,29.1,275739493.0,60674.0854,6.1134,1.0765,1.14
2021-04-30,27.2,128112048.0,56712.5472,5.7143,1.0062,2.28
2021-05-31,29.5,108120709.0,61508.0935,6.1975,1.0913,2.28
2021-06-30,33.7,246829893.0,70265.1779,7.0798,1.2467,2.28
2021-07-31,29.6,80118123.0,61716.595,6.2185,1.095,2.28
2021-08-31,28.2,51354376.0,58797.5668,5.9244,1.0432,2.28
2021-09-30,30.2,119049462.0,62967.607,6.3445,1.1172,2.28
2021-10-31,35.3,559968569.0,73601.2095,7.416,1.3059,2.28
2021-11-30,33.45,151945159.0,69743.9223,7.0273,1.2375,2.72
2021-12-31,34.75,84408474.0,72454.4485,7.3004,1.2855,1.58
2022-01-31,36.0,140615733.0,75060.7236,7.563,1.3318,1.58
2022-02-28,30.95,86133922.0,64531.3721,6.5021,1.145,1.58
2022-03-31,32.7,86827229.0,68180.1573,6.1466,1.078,3.16
2022-04-30,33.65,103313384.0,70160.9264,6.3252,1.1093,2.02
2022-05-31,32.4,32450603.0,67554.6512,6.0902,1.0681,2.02
2022-06-30,30.0,32818743.0,62550.603,5.6391,0.989,2.02
2022-07-31,30.95,27136098.0,64531.3721,5.8177,1.0203,2.02
2022-08-31,32.9,62997508.0,68597.1613,6.1842,1.0846,2.02
2022-09-30,33.7,111439977.0,70265.1774,6.3346,1.111,2.27
2022-10-31,40.0,251840604.0,83400.804,7.5188,1.3187,2.27
2022-11-30,74.1,1424542913.0,154499.9894,13.9286,2.4428,1.83
2022-12-31,68.25,403462220.0,142302.6218,12.8289,2.25,1.83
2023-01-31,76.1,265440343.0,158670.0296,14.3045,2.5087,1.83
2023-02-28,57.45,171494854.0,119784.4047,10.7989,1.8939,1.83
2023-03-31,68.6,355040314.0,143032.3789,10.0734,1.9526,0.25
2023-04-30,107.55,1298326811.0,224243.9118,15.793,3.0613,2.02
2023-05-31,120.0,933392122.0,250202.412,17.6211,3.4157,2.02
2023-06-30,121.9,366027467.0,254163.9502,17.9001,3.4698,2.02
2023-07-31,124.1,683486269.0,258750.9944,18.2232,3.5324,2.02
2023-08-31,131.05,492191851.0,273241.8841,19.2438,3.7302,2.02
2023-09-30,169.45,1509507577.0,353306.6559,24.8825,4.8232,0.72
2023-10-31,154.15,369031890.0,321405.8484,22.6358,4.3877,0.72
2023-11-30,164.2,271087614.0,342360.3004,24.1116,4.6738,0.72
2023-12-31,181.55,471949561.0,378535.3992,26.6593,5.1676,0.72
2024-01-31,308.25,1245468535.0,642707.4458,45.2643,8.774,0.72
2024-02-29,244.25,502612044.0,509266.1594,35.8664,6.9523,0.72
2024-03-31,252.9,353155614.0,527301.5833,33.9919,6.0458,0.72
2024-04-30,286.4,293433121.0,597149.7566,38.4946,6.8466,0.72
2024-05-31,381.7,726111776.0,795852.1722,51.3038,9.1248,0.72
2024-06-30,416.6,695561234.0,868619.3737,55.9946,9.9591,0.36
2024-07-31,601.5,1426351996.0,1254139.59,80.8468,14.3793,0.36
2024-08-31,607.4,562960243.0,1266441.209,81.6398,14.5204,0.36
