IOB IN Equity,price,volume,mc,pe,bm,div
2000-12-31,9.25,392023.0,,,,0.0
2001-01-31,9.0,80209.0,,,,0.0
2001-02-28,8.55,215502.0,,,,0.0
2001-03-31,7.65,111453.0,,,,0.0
2001-04-30,7.95,64462.0,,,,0.0
2001-05-31,8.6,74876.0,,,,0.0
2001-06-30,9.0,105842.0,4003.1999,,,0.0
2001-07-31,8.25,101323.0,3669.5999,,,1.0
2001-08-31,8.0,55341.0,3558.3999,,,1.0
2001-09-30,7.4,75437.0,3291.5199,,,1.0
2001-10-31,7.9,30224.0,3513.9199,,,1.0
2001-11-30,7.8,43356.0,3469.4399,,,1.0
2001-12-31,7.3,44890.0,3247.0399,,,1.0
2002-01-31,7.65,101941.0,3402.7199,,,1.0
2002-02-28,8.8,335543.0,3914.2399,,,1.0
2002-03-31,9.0,177528.0,4003.1999,,,1.0
2002-04-30,10.1,260523.0,4492.4799,,,1.0
2002-05-31,11.05,642757.0,4915.0399,,,1.0
2002-06-30,12.4,3119448.0,5515.5198,,,1.2
2002-07-31,11.55,1228872.0,5137.4399,,,1.2
2002-08-31,11.1,276046.0,4937.2799,,,1.2
2002-09-30,10.9,239794.0,4848.3199,,,1.2
2002-10-31,12.35,567835.0,5493.2798,,,1.2
2002-11-30,13.5,649858.0,6004.7998,,,1.2
2002-12-31,15.15,1739244.0,6738.7198,,,1.2
2003-01-31,17.5,3477213.0,7783.9998,,,1.2
2003-02-28,16.45,1661335.0,7316.9598,,,1.2
2003-03-31,15.75,800559.0,7005.5998,,,1.2
2003-04-30,19.1,2895675.0,8495.6798,,,1.2
2003-05-31,27.1,9130980.0,12054.0797,,,1.2
2003-06-30,22.25,4568670.0,9896.7997,,,1.6
2003-07-31,26.3,8930582.0,11698.2397,,,1.6
2003-08-31,28.95,5525360.0,12876.9596,,,1.6
2003-09-30,27.0,4908437.0,12009.5997,,,1.6
2003-10-31,32.25,14907444.0,17569.7996,,,1.6
2003-11-30,29.2,5496861.0,15908.1596,,,1.6
2003-12-31,34.1,11485300.0,18577.6796,,,1.6
2004-01-31,37.45,16173464.0,20402.7595,,,2.4
2004-02-29,40.1,17631957.0,21846.4795,,,2.4
2004-03-31,56.05,28038370.0,30536.0393,,,2.4
2004-04-30,63.4,25489056.0,34540.3192,,,2.4
2004-05-31,37.3,18945875.0,20321.0395,,,2.4
2004-06-30,42.7,8445000.0,23262.9595,,,2.0
2004-07-31,44.15,6125237.0,24052.9195,,,2.0
2004-08-31,44.6,3887848.0,24298.0795,,,2.0
2004-09-30,51.85,7779228.0,28247.8794,,,2.0
2004-10-31,48.5,3112809.0,26422.7994,,,2.0
2004-11-30,65.25,6572157.0,35548.1992,,,2.2
2004-12-31,77.9,12523933.0,42439.919,,,2.2
2005-01-31,68.65,23590148.0,37400.5192,,,2.2
