BHARTI IN Equity,price,volume,mc,pe,bm,div
2007-08-31,396.37,64439887.0,1668731.766,35.837,,0.0
2007-09-30,423.55,53990543.0,1783217.014,32.9004,,0.0
2007-10-31,453.6,241646171.0,1910232.881,35.2352,,0.0
2007-11-30,423.37,240631880.0,1783017.437,32.8864,,0.0
2007-12-31,449.01,160614434.0,1891004.823,32.512,,0.0
2008-01-31,387.02,229832671.0,1629996.863,28.0238,,0.0
2008-02-29,372.33,117780531.0,1568135.659,26.9601,,0.0
2008-03-31,372.33,155435608.0,1568146.048,24.5142,,0.0
2008-04-30,404.78,165913661.0,1704784.201,26.6504,,0.0
2008-05-31,394.73,222156198.0,1662489.157,25.9888,,0.0
2008-06-30,325.02,210636343.0,1368947.643,19.1752,,0.0
2008-07-31,359.92,252997830.0,1515949.37,21.2343,,0.0
2008-08-31,377.4,155868201.0,1589624.379,22.2658,,0.0
2008-09-30,353.68,294266576.0,1489725.395,20.7947,,0.0
2008-10-31,294.6,310217753.0,1240907.678,17.3212,,0.0
2008-11-30,302.39,235728469.0,1273745.464,17.7796,,0.0
2008-12-31,322.43,206335663.0,1358173.682,17.6133,,0.0
2009-01-31,285.68,247802725.0,1203373.997,15.6058,,0.0
2009-02-28,287.73,135191930.0,1212021.168,15.7178,,0.0
2009-03-31,281.98,289658581.0,1187823.674,15.1136,4.078,0.0
2009-04-30,339.21,207880160.0,1428900.153,18.181,4.9056,0.0
2009-05-31,369.92,348080337.0,1558323.529,19.8271,5.3497,0.0
2009-06-30,361.47,227457360.0,1522741.36,18.2572,5.2608,0.0
2009-07-31,369.61,182494305.0,1557084.921,18.6681,,0.9013
2009-08-31,382.67,194977116.0,1612139.131,19.3281,,0.9013
2009-09-30,377.4,185672280.0,1589927.605,17.8112,,0.9013
2009-10-31,263.93,616811704.0,1111905.192,12.4561,,0.9013
2009-11-30,269.97,281523702.0,1137344.033,12.7411,,0.9013
2009-12-31,297.19,219543381.0,1252044.89,13.628,,0.9013
2010-01-31,276.15,123620686.0,1163386.064,12.663,,0.9013
2010-02-28,251.77,213379436.0,1060763.22,11.5451,,0.9013
2010-03-31,281.69,145592498.0,1186832.014,12.9198,2.813,0.9013
2010-04-30,269.07,146803513.0,1133752.59,12.3411,2.687,0.9013
2010-05-31,236.94,194681577.0,998370.6447,10.8675,2.3661,0.9013
2010-06-30,236.85,188267701.0,997990.8917,12.1391,2.2941,0.9013
2010-07-31,276.51,235117343.0,1165082.213,14.1716,2.6782,0.9013
