GLXO IN Equity,price,volume,mc,pe,bm,div
1995-01-31,121.25,,14495.6802,,,0.0
1995-02-28,115.0,,13748.4802,,,0.0
1995-03-31,110.0,,13150.7202,,,0.0
1995-04-30,97.5,,11656.3202,,,0.0
1995-05-31,97.5,,11656.3202,,,0.45
1995-06-30,88.0,,10520.5762,,,0.45
1995-07-31,99.5,,11895.4242,,,0.45
1995-08-31,88.5,,10580.3522,,,0.45
1995-09-30,98.5,,11775.8722,,,0.45
1995-10-31,100.0,,11955.2002,,,0.45
1995-11-30,87.5,,10460.8002,,,1.45
1995-12-31,94.5,,11297.6642,,,1.45
1996-01-31,94.0,,11237.8882,,,1.45
1996-02-29,107.0,,12791.8503,,,1.875
1996-03-31,113.0,,13509.1503,,,1.875
1996-04-30,118.0,,14106.9004,,,1.875
1996-05-31,112.75,100200.0,13479.2628,,,1.875
1996-06-30,118.63,417000.0,14181.6191,,,1.875
1996-07-31,123.0,494600.0,14704.6504,,,1.875
1996-08-31,120.5,260638.0,14405.7754,,,1.875
1996-09-30,107.13,793204.0,12806.7941,,,1.875
1996-10-31,114.38,1516408.0,13673.5316,,,1.875
1996-11-30,121.13,625402.0,14480.4941,,,1.875
1996-12-31,125.0,427736.0,14943.7504,,,1.625
1997-01-31,130.0,1711194.0,15541.5004,,,1.625
1997-02-28,139.38,621936.0,16662.2817,,,1.625
1997-03-31,127.75,773616.0,15272.5129,,,1.625
1997-04-30,158.25,1009400.0,18918.788,,,0.75
1997-05-31,163.38,2422206.0,19531.4817,,,2.0
1997-06-30,185.25,2844354.0,22146.6381,,,2.0
1997-07-31,237.63,2683090.0,28408.0695,,,2.0
1997-08-31,204.25,1841490.0,24418.0881,,,2.0
1997-09-30,220.25,1311852.0,26330.8882,,,2.0
1997-10-31,211.88,565098.0,25807.8569,,,2.0
1997-11-30,183.0,859538.0,21877.6506,,,2.0
1997-12-31,204.0,1490140.0,24388.2006,,,2.0
1998-01-31,167.13,3423800.0,19979.7943,,,2.0
1998-02-28,179.25,7558376.0,21429.338,,,2.0
1998-03-31,205.0,8389876.0,24507.7506,,,2.0
1998-04-30,191.5,9465642.0,22893.8256,,,2.0
1998-05-31,195.0,7696256.0,23312.2506,,,2.0
1998-06-30,183.63,3901366.0,21952.3693,,,2.0
1998-07-31,186.13,3289314.0,22251.2443,,,2.0
1998-08-31,198.75,4396860.0,23760.5631,,,2.0
1998-09-30,230.0,5387138.0,27496.5007,,,2.0
1998-10-31,239.63,3460266.0,28647.1695,,,2.0
1998-11-30,277.63,11319416.0,33190.0696,,,2.0
1998-12-31,307.5,16773920.0,36761.6259,,,2.0
1999-01-31,311.38,11579232.0,37224.8822,,,2.0
1999-02-28,372.5,17127638.0,44532.3761,,,1.25
1999-03-31,458.5,9019480.0,54813.6764,,,2.5
1999-04-30,326.0,6411754.0,38973.301,,,2.5
1999-05-31,384.48,8407828.0,45963.9874,,,2.5
1999-06-30,364.0,3437744.0,43516.2011,,,2.5
1999-07-31,351.5,7549888.0,42021.8261,,,2.5
1999-08-31,352.5,9742350.0,42141.3761,,,2.5
1999-09-30,387.5,9055112.0,46325.6262,,,2.5
1999-10-31,369.5,6010296.0,44173.7261,,,2.5
1999-11-30,394.0,3126110.0,47102.7012,,,2.5
1999-12-31,365.38,3110448.0,43680.5824,,,2.5
2000-01-31,317.5,4205738.0,37957.126,,,2.5
2000-02-29,236.45,4915162.0,28267.5982,,,2.5
2000-03-31,225.0,2538270.0,26898.7507,,,3.0
