SCI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,27.41,,14962.0061,,,0.0
1995-02-28,24.57,,13409.3451,,,0.0
1995-03-31,23.92,,13056.4676,,,0.0
1995-04-30,24.31,,13268.1941,,,0.0
1995-05-31,19.65,,10727.4761,,,0.0
1995-06-30,16.55,,9033.6641,,,0.0
1995-07-31,15.26,,8327.9091,,,0.0
1995-08-31,15.52,,8469.0601,,,0.0
1995-09-30,16.03,,8751.3621,,,1.0
1995-10-31,16.03,,8751.3621,,,1.0
1995-11-30,15.13,,8257.3336,,,1.0
1995-12-31,15.52,,8469.0601,,,1.0
1996-01-31,16.03,,8751.3621,,,1.0
1996-02-29,16.55,,9033.6641,,,1.0
1996-03-31,16.03,,8751.3621,,,1.0
1996-04-30,20.17,,11009.7781,,,1.0
1996-05-31,19.91,4800.0,10868.6271,,,1.0
1996-06-30,19.14,462750.0,10445.1741,,,1.0
1996-07-31,17.07,1750200.0,9315.9661,,,1.0
1996-08-31,16.03,4650.0,8751.3621,,,1.3333
1996-09-30,15.52,227400.0,8469.0601,,,1.3333
1996-10-31,12.77,7950.0,6972.8594,,,1.3333
1996-11-30,12.93,6300.0,7057.55,,,1.3333
1996-12-31,13.19,2100.0,7198.701,,,1.3333
1997-01-31,17.58,358950.0,9598.2681,,,1.3333
1997-02-28,18.1,125700.0,9880.5701,,,1.3333
1997-03-31,18.62,5016750.0,10162.8721,,,1.3333
1997-04-30,23.53,4744800.0,12844.7411,,,1.3333
1997-05-31,23.53,1663800.0,12844.7411,,,1.3333
1997-06-30,25.21,2282850.0,13762.2226,,,1.3333
1997-07-31,26.25,24150.0,14326.8266,,,1.3333
1997-08-31,27.02,4201350.0,14750.2796,,,1.3333
1997-09-30,28.45,1907550.0,15526.6101,,,1.3333
1997-10-31,26.38,325350.0,14397.4021,,,0.0
1997-11-30,25.21,241350.0,13762.2226,,,1.3333
1997-12-31,23.27,6000.0,12703.5901,,,1.3333
1998-01-31,20.95,768000.0,11433.2311,,,1.3333
1998-02-28,18.88,3450.0,10304.0231,,,1.3333
1998-03-31,20.69,230400.0,11292.0801,,,1.3333
1998-04-30,27.41,1318800.0,14962.0061,,,1.3333
1998-05-31,22.27,921150.0,12153.1012,,,1.3333
1998-06-30,20.09,2432400.0,10967.4328,,,1.3333
1998-07-31,17.15,21450.0,9358.3114,,,1.3333
1998-08-31,16.29,6450.0,8892.5131,,,1.3333
1998-09-30,14.77,750.0,8059.7222,,,1.3333
1998-10-31,12.41,9300.0,6775.248,,,1.3333
1998-11-30,11.07,128400.0,6041.2628,,,1.3333
1998-12-31,10.86,10950.0,5928.342,,,1.3333
1999-01-31,9.72,122850.0,5307.2776,,,1.3333
1999-02-28,8.79,183000.0,4799.134,,,1.3333
1999-03-31,10.24,967800.0,5589.5796,,,1.3333
1999-04-30,9.44,4129950.0,5152.0115,,,1.3333
1999-05-31,10.89,2460150.0,5942.4147,,,1.3333
1999-06-30,10.71,1444800.0,5843.6097,,,1.3333
1999-07-31,12.9,2764950.0,7043.3847,,,1.3333
1999-08-31,15.62,1939800.0,8525.4596,,,1.3333
1999-09-30,12.41,874950.0,6775.1997,,,1.3333
1999-10-31,16.34,2368200.0,8920.6796,,,1.0
1999-11-30,12.93,608850.0,7057.4997,,,1.0
1999-12-31,11.77,592200.0,6422.3247,,,1.0
2000-01-31,8.97,625500.0,4897.9048,,,1.0
2000-02-29,9.52,2770350.0,5194.3198,,,1.0
2000-03-31,7.24,1104750.0,3952.1998,,,1.0
2000-04-30,6.67,179250.0,3641.6698,,,1.0
2000-05-31,6.88,476850.0,3754.5898,,,1.0
2000-06-30,8.07,1497527.0,4403.8798,,,1.0
2000-07-31,8.09,315345.0,4417.9948,,,1.0
2000-08-31,9.57,1115880.0,5222.5498,,,1.0
2000-09-30,8.28,474000.0,4516.7998,,,1.0667
2000-10-31,9.15,218697.0,4996.7098,,,1.0667
2000-11-30,12.72,6222482.0,6944.5797,,,1.0667
2000-12-31,13.81,12470829.0,7537.4635,,,1.0667
2001-01-31,17.53,8696144.0,9570.0379,,,1.0667
2001-02-28,22.37,21000264.0,12209.5616,,,1.0667
2001-03-31,15.77,7800434.0,8610.2111,,,1.0667
2001-04-30,19.29,6444524.0,10529.8647,,,1.0667
2001-05-31,22.37,11694411.0,12209.5616,,,1.0667
2001-06-30,15.8,6037461.0,8624.3262,,,3.3333
2001-07-31,15.52,1925666.0,8469.0601,,,3.3333
2001-08-31,13.24,842178.0,7226.9313,,,3.3333
2001-09-30,12.08,974121.0,6591.7517,,,2.0
2001-10-31,12.88,794055.0,7029.3198,,,2.0
2001-11-30,16.19,2156318.0,8836.0527,,,2.0
2001-12-31,15.57,935883.0,8497.2903,,,2.0
2002-01-31,17.9,2278776.0,9767.6493,,,2.0
