LIIL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,137.39,,,,,0.0
1995-02-28,128.23,,,,,0.0
1995-03-31,123.65,,,,,0.0
1995-04-30,119.07,,,,,0.0
1995-05-31,98.0,,,,,0.0
1995-06-30,96.17,,,,,0.0
1995-07-31,103.5,,,,,0.0
1995-08-31,97.09,,,,,0.0
1995-09-30,96.17,,,,,0.0
1995-10-31,101.67,,,,,0.0
1995-11-30,81.97,,,,,0.0
1995-12-31,89.76,,,,,0.0
1996-01-31,77.85,,,,,0.0
1996-02-29,89.3,,,,,2.7478
1996-03-31,89.3,,,,,2.7478
1996-04-30,84.26,,,,,2.7478
1996-05-31,72.13,1310.0,,,,2.2898
1996-06-30,70.07,33737.0,,,,2.2898
1996-07-31,64.11,12447.0,,,,2.2898
1996-08-31,65.49,3758.0,,,,2.2898
1996-09-30,51.29,8549.0,,,,2.2898
1996-10-31,43.96,2565.0,,,,2.2898
1996-11-30,45.34,46643.0,,,,2.2898
1996-12-31,45.61,43885.0,,,,2.2898
1997-01-31,54.96,33184.0,,,,2.2898
1997-02-28,49.46,15523.0,,,,2.2898
1997-03-31,42.59,391120.0,,,,2.2898
1997-04-30,52.67,7509.0,,,,2.2898
1997-05-31,63.2,1031332.0,,,,2.2898
1997-06-30,73.0,175481.0,,,,2.2898
1997-07-31,82.5,31743.0,,,,1.3739
1997-08-31,70.75,206707.0,,,,1.3739
1997-09-30,66.5,27382.0,,,,1.3739
1997-10-31,57.0,32735.0,,,,1.3739
1997-11-30,43.7,36928.0,2144.9708,,,1.3739
1997-12-31,57.25,69895.0,2810.059,,,2.0
1998-01-31,40.1,23246.0,1968.2684,,,2.0
1998-02-28,44.0,18043.0,2159.696,,,2.0
1998-03-31,60.1,80946.0,2949.9484,,,2.0
1998-04-30,62.0,105797.0,3043.208,,,2.0
1998-05-31,49.35,21814.0,2422.2954,,,2.0
1998-06-30,42.8,20853.0,2100.7952,,,2.0
1998-07-31,39.9,12974.0,1958.4516,,,2.0
1998-08-31,38.0,8988.0,1865.192,,,2.0
1998-09-30,37.8,23803.0,1855.3752,,,2.0
1998-10-31,37.65,13251.0,1848.0126,,,2.0
1998-11-30,31.0,29081.0,1521.604,,,2.0
1998-12-31,40.25,42131.0,1975.631,,,2.0
1999-01-31,37.0,38921.0,1816.108,,,2.0
1999-02-28,51.8,102523.0,2542.5512,,,0.0
1999-03-31,54.8,110540.0,2689.8032,,,0.0
1999-04-30,40.0,24534.0,1963.36,,,0.0
