APTY IN Equity,price,volume,mc,pe,bm,div
1995-01-31,14.25,,3972.7575,,,0.0
1995-02-28,13.75,,3833.3625,,,0.0
1995-03-31,12.5,,3484.875,,,0.0
1995-04-30,11.5,,3206.085,,,0.0
1995-05-31,13.1,,3652.149,,,0.0
1995-06-30,12.2,,3401.238,,,0.0
1995-07-31,12.9,,3596.391,,,0.35
1995-08-31,12.4,,3456.996,,,0.35
1995-09-30,14.2,,3958.818,,,0.35
1995-10-31,14.0,,3903.06,,,0.35
1995-11-30,12.6,,3512.754,,,0.35
1995-12-31,14.5,,4042.455,,,0.35
1996-01-31,12.9,,3596.391,,,0.35
1996-02-29,16.0,,4460.64,,,0.35
1996-03-31,17.9,,4990.3409,,,0.35
1996-04-30,17.6,,4906.7039,,,0.35
1996-05-31,17.6,459500.0,4906.7039,,,0.35
1996-06-30,18.13,6524000.0,5339.2625,,,0.35
1996-07-31,16.75,3004000.0,4934.215,,,0.35
1996-08-31,16.88,1216040.0,4971.0375,,,0.4
1996-09-30,11.5,1852420.0,3387.67,,,0.4
1996-10-31,12.05,1079720.0,3549.689,,,0.4
1996-11-30,10.28,385380.0,3026.8095,,,0.4
1996-12-31,11.5,533470.0,3387.67,,,0.4
1997-01-31,13.0,3810760.0,3829.54,,,0.4
1997-02-28,12.35,1692640.0,3638.063,,,0.4
1997-03-31,10.78,2571120.0,3174.0995,,,0.4
1997-04-30,11.15,1741380.0,3284.567,,,0.4
1997-05-31,10.07,2317310.0,2967.8935,,,0.4
1997-06-30,11.1,3165430.0,3316.125,,,0.4
1997-07-31,12.18,2024180.0,3637.2813,,,0.4
1997-08-31,9.82,3443070.0,2935.2187,,,0.4
1997-09-30,7.63,2207370.0,2277.9688,,,0.4
1997-10-31,7.98,2628200.0,2390.0,,,0.4
1997-11-30,8.28,16313230.0,2472.1563,,,0.4
1997-12-31,7.95,1470930.0,2375.0625,,,0.4
1998-01-31,7.27,1734920.0,2171.9125,,,0.4
1998-02-28,6.48,5112260.0,1935.9,,,0.4
1998-03-31,8.15,31894860.0,2433.3187,,,0.4
1998-04-30,11.57,78839870.0,3456.5375,,,0.4
1998-05-31,11.42,70149330.0,3411.725,,,0.4
1998-06-30,8.8,26547350.0,2629.0,,,0.4
1998-07-31,6.87,8753800.0,2062.2461,,,0.4
1998-08-31,6.03,3912340.0,1809.9101,,,0.4
1998-09-30,6.91,21524750.0,2075.7641,,,0.4
1998-10-31,6.31,6909620.0,1895.5241,,,0.4
1998-11-30,6.15,9913260.0,1847.4601,,,0.4
1998-12-31,6.46,9343530.0,1940.5841,,,0.4
1999-01-31,6.03,21855740.0,1809.9101,,,0.4
1999-02-28,5.08,8537820.0,1524.53,,,0.4
1999-03-31,5.16,11967440.0,1550.064,,,0.4
1999-04-30,4.01,4852300.0,1203.102,,,0.4
1999-05-31,4.85,18674650.0,1603.119,,,0.4
1999-06-30,6.51,34691300.0,2150.1628,,,0.4
1999-07-31,10.38,64081740.0,3429.3526,,,0.4
1999-08-31,17.96,86035480.0,5936.4986,,,0.4
1999-09-30,23.08,223226650.0,7628.8634,,,0.4
1999-10-31,18.31,144917060.0,6050.5349,,,0.4
1999-11-30,20.52,101316380.0,6782.681,,,0.4
1999-12-31,15.91,53451070.0,5257.2388,,,0.4
2000-01-31,20.3,85225990.0,6709.9622,,,0.4
2000-02-29,13.21,58077100.0,4364.7808,,,0.4
2000-03-31,11.77,37461070.0,3888.8032,,,0.4
2000-04-30,9.6,26416530.0,3173.1841,,,1.0
2000-05-31,10.51,17873750.0,3816.3613,,,1.0
2000-06-30,9.36,15279530.0,3400.3943,,,1.0
2000-07-31,9.35,10992910.0,3393.6366,,,1.0
2000-08-31,7.93,12733410.0,2877.9636,,,1.0
2000-09-30,7.43,14119260.0,2698.2044,,,1.0
2000-10-31,7.82,7959550.0,2839.8329,,,1.0
2000-11-30,8.5,13298060.0,3087.9649,,,1.0
2000-12-31,8.86,47695500.0,3216.9328,,,1.0
2001-01-31,8.05,35761130.0,2924.4844,,,1.0
2001-02-28,7.43,49032020.0,2697.4281,,,1.0
2001-03-31,5.0,16785450.0,1814.6335,,,1.0
2001-04-30,4.9,8320790.0,1781.9374,,,1.0
2001-05-31,6.73,15952840.0,2444.9416,,,1.0
2001-06-30,5.9,17777950.0,2143.4109,,,0.0
2001-07-31,5.13,797670.0,1861.8612,,,0.0
2001-08-31,4.58,1037700.0,1663.8681,,,0.4
2001-09-30,4.01,1251730.0,1454.4357,,,0.4
2001-10-31,4.86,1168660.0,1764.9332,,,0.4
2001-11-30,6.22,9261310.0,2257.0082,,,0.4
2001-12-31,7.99,12951650.0,2901.6083,,,0.4
2002-01-31,7.4,2516610.0,2687.3469,,,0.4
2002-02-28,7.48,5144220.0,2716.3993,,,0.4
2002-03-31,7.85,4845310.0,2848.9508,7.0033,0.829,0.4
2002-04-30,7.44,9081120.0,2701.8731,6.6418,0.7862,0.0
2002-05-31,7.18,11335510.0,2605.637,6.4052,0.7582,0.0
2002-06-30,11.25,84013870.0,4085.4936,10.043,1.1887,0.0
2002-07-31,9.6,30880890.0,3486.2878,8.57,1.0144,0.0
2002-08-31,10.98,37988910.0,3985.6259,9.7975,1.1597,0.45
2002-09-30,11.35,22020040.0,4121.8091,10.1323,1.1993,0.45
2002-10-31,13.07,49969910.0,4746.4356,11.6677,1.3811,0.45
2002-11-30,13.81,18380610.0,5015.1703,12.3283,1.4593,0.45
2002-12-31,13.42,15008870.0,4873.5399,11.9802,1.418,0.45
2003-01-31,12.53,10829250.0,4550.3319,11.1857,1.324,0.45
2003-02-28,12.1,4476280.0,4394.1753,10.8018,1.2786,0.45
2003-03-31,12.33,3895180.0,4477.7009,3.602,0.9991,0.45
2003-04-30,11.81,1523910.0,4287.0446,3.4487,0.9566,0.45
2003-05-31,15.98,22024210.0,5801.4009,4.6669,1.2945,0.45
2003-06-30,18.68,36979330.0,6781.9193,5.4556,1.5132,0.45
2003-07-31,15.67,19701320.0,5690.6386,4.5778,1.2697,0.45
2003-08-31,18.83,15593260.0,6836.3926,5.4995,1.5254,0.45
2003-09-30,17.52,8295410.0,6360.6595,5.1168,1.4193,0.45
2003-10-31,20.04,37739970.0,7275.8101,5.853,1.6234,0.45
2003-11-30,23.84,72333310.0,8655.799,6.9631,1.9314,0.45
2003-12-31,25.81,19628780.0,9371.2143,7.5386,2.091,0.45
2004-01-31,24.34,16589820.0,8837.3765,7.1091,1.9719,0.45
2004-02-29,22.71,1304550.0,8245.4339,6.633,1.8398,0.45
2004-03-31,24.88,2806160.0,9033.4802,11.5435,1.5839,0.45
2004-04-30,24.86,4403240.0,9026.2171,11.5342,1.5826,0.45
2004-05-31,17.09,4527550.0,6206.3187,7.9308,1.0882,0.45
2004-06-30,17.3,2962160.0,6282.5812,8.0282,1.1015,0.45
2004-07-31,18.59,9057050.0,7813.0052,8.6269,1.1837,0.45
2004-08-31,21.05,18733360.0,8068.2324,9.7661,1.34,0.45
2004-09-30,21.63,23232050.0,8290.5928,10.0353,1.3769,0.45
2004-10-31,21.1,5367750.0,8089.3183,9.7917,1.3435,0.45
2004-11-30,23.12,7285930.0,8863.7459,10.7291,1.4721,0.45
2004-12-31,23.58,4945980.0,9038.1838,10.9402,1.5011,0.45
2005-01-31,26.43,13468300.0,10130.8168,12.2628,1.6826,0.45
2005-02-28,29.82,30605860.0,11430.4751,13.8359,1.8984,0.45
2005-03-31,28.75,62226360.0,11022.1754,17.841,1.8337,0.45
2005-04-30,26.93,12486990.0,10322.5068,16.7085,1.7173,0.45
2005-05-31,27.9,6649220.0,10696.3023,17.3135,1.7795,0.45
2005-06-30,23.65,12643270.0,9065.0204,14.6731,1.5081,0.45
2005-07-31,24.29,15598040.0,9312.3005,15.0733,1.5492,0.45
2005-08-31,28.84,31651110.0,11056.6796,17.8968,1.8394,0.45
2005-09-30,29.29,26914620.0,11229.2006,18.1761,1.8681,0.45
2005-10-31,25.66,25254290.0,9835.6142,15.9204,1.6363,0.45
2005-11-30,27.71,8508340.0,10623.4601,17.1956,1.7673,0.45
2005-12-31,27.94,21557100.0,10711.6375,17.3383,1.782,0.45
2006-01-31,31.0,15052970.0,11884.7804,19.2372,1.9772,0.45
2006-02-28,29.94,14015350.0,11478.3976,18.5795,1.9096,0.45
2006-03-31,29.1,11747040.0,11154.4415,12.5415,1.7594,0.45
2006-04-30,30.81,20947100.0,11501.4004,13.2808,1.8631,0.45
2006-05-31,24.85,14293930.0,9525.0764,10.7095,1.5024,0.45
2006-06-30,23.82,15312680.0,9132.1119,10.2677,1.4404,0.45
2006-07-31,25.33,20125280.0,9709.0988,10.9165,1.5314,0.45
2006-08-31,30.8,13259330.0,11808.1044,13.2765,1.8625,0.45
2006-09-30,32.55,27112850.0,12477.1025,14.0287,1.968,0.45
2006-10-31,33.48,47629190.0,12835.5628,14.4317,2.0246,0.45
2006-11-30,36.51,42714400.0,16941.5528,15.7378,2.2078,0.45
2006-12-31,34.96,15117770.0,16219.9939,15.0675,2.1138,0.45
2007-01-31,33.67,16980200.0,15623.7218,14.5136,2.0361,0.45
2007-02-28,30.56,5696960.0,14180.604,13.173,1.848,0.45
2007-03-31,27.99,11589560.0,12985.7397,9.9889,1.3891,0.9
2007-04-30,31.59,13398930.0,14658.5498,11.2757,1.5681,0.9
2007-05-31,35.89,30568480.0,16656.1774,12.8123,1.7818,0.9
2007-06-30,31.93,27378430.0,14813.9982,11.3953,1.5847,0.9
2007-07-31,37.92,28084320.0,17595.8281,13.5351,1.8823,0.9
2007-08-31,40.55,24555594.0,18816.2061,14.4739,2.0129,0.9
2007-09-30,39.2,24032573.0,18189.7798,13.992,1.9458,0.9
