APTY IN Equity,price,volume,mc,pe,bm,div
2007-10-31,38.95,31315790.0,18073.7735,13.9028,1.9334,0.9
2007-11-30,41.9,57188593.0,19442.6472,14.9557,2.0799,0.9
2007-12-31,53.85,125826295.0,24987.7459,19.2212,2.673,0.9
2008-01-31,44.6,208443384.0,21230.7147,15.9195,2.2139,0.9
2008-02-29,43.9,47641699.0,20897.4972,15.6696,2.1791,0.9
2008-03-31,41.3,25240351.0,19659.8322,7.2077,1.706,0.9
2008-04-30,45.85,19435692.0,21825.746,8.0017,1.8939,0.9
2008-05-31,42.3,26482746.0,20661.2238,7.3822,1.7473,0.0
2008-06-30,32.45,10387493.0,16355.6051,5.6632,1.3404,0.5
2008-07-31,30.35,12910684.0,15297.153,5.2967,1.2537,0.5
2008-08-31,39.35,46502122.0,19833.3763,6.8674,1.6254,0.5
2008-09-30,37.5,64097893.0,18900.9304,6.5445,1.549,0.5
2008-10-31,22.8,29919123.0,11491.7699,3.9791,0.9418,0.5
2008-11-30,21.05,38251715.0,10609.7261,3.6736,0.8695,0.5
2008-12-31,19.85,32688260.0,10004.8961,3.4642,0.8199,0.5
2009-01-31,17.55,17074053.0,8845.6386,3.0628,0.7249,0.5
2009-02-28,15.05,13406685.0,7585.5762,2.6265,0.6217,0.5
2009-03-31,18.25,50098577.0,9198.4561,6.6123,0.6816,0.5
2009-04-30,21.35,22198472.0,10760.9336,7.7355,0.7973,0.5
2009-05-31,31.35,58512055.0,15801.1836,11.3587,1.1708,0.5
2009-06-30,30.9,196994714.0,15574.3723,11.1957,1.154,0.45
2009-07-31,40.15,140893468.0,20236.6035,14.5471,1.4994,0.45
2009-08-31,42.4,89048528.0,21370.6597,15.3623,1.5834,0.45
2009-09-30,44.9,99157736.0,22630.7222,16.2681,1.6768,0.45
2009-10-31,48.05,122389833.0,24218.401,17.4094,1.7944,0.45
2009-11-30,47.65,82046859.0,24016.791,17.2645,1.7795,0.45
2009-12-31,49.0,83791715.0,24697.2247,17.7536,1.8299,0.45
2010-01-31,53.05,71298514.0,26738.5259,19.221,1.9812,0.45
2010-02-28,58.15,74489083.0,29309.0534,21.0688,2.1716,0.45
2010-03-31,70.9,203329203.0,35735.3721,5.4707,1.816,0.45
2010-04-30,69.6,143619899.0,35080.1396,5.3704,1.7827,0.45
2010-05-31,71.4,91098567.0,35987.3846,5.5093,1.8288,0.45
2010-06-30,64.9,102423439.0,32711.2221,5.0077,1.6623,0.45
2010-07-31,63.9,81192527.0,32207.1971,4.9306,1.6367,0.75
2010-08-31,71.55,121301016.0,36062.9883,5.5208,1.8326,0.75
2010-09-30,81.1,215457264.0,40876.427,6.2577,2.0772,0.75
2010-10-31,71.55,92469691.0,36062.9883,5.5208,1.8326,0.75
2010-11-30,66.1,151850706.0,33316.0521,5.1003,1.693,0.75
2010-12-31,66.7,81597145.0,33618.4671,5.1466,1.7084,0.75
2011-01-31,51.2,82354830.0,25806.0797,3.9506,1.3114,0.75
2011-02-28,52.45,82952996.0,26436.1109,4.0471,1.3434,0.75
2011-03-31,69.55,141527623.0,35054.9383,7.9668,1.453,0.75
2011-04-30,69.4,54997414.0,34979.3346,7.9496,1.4499,0.75
2011-05-31,68.9,90297473.0,34727.3221,7.8923,1.4395,0.75
2011-06-30,78.25,66539425.0,39439.9558,8.9633,1.6348,0.75
2011-07-31,73.2,61144763.0,36894.6296,8.3849,1.5293,0.5
2011-08-31,59.15,102221145.0,29813.0784,6.7755,1.2358,0.5
2011-09-30,55.25,40364978.0,27847.3809,6.3288,1.1543,0.5
2011-10-31,57.6,40861259.0,29031.8396,6.5979,1.2034,0.5
2011-11-30,66.05,50710473.0,33290.8508,7.5659,1.3799,0.5
2011-12-31,59.1,55838323.0,29787.8771,6.7698,1.2347,0.5
2012-01-31,72.45,45694496.0,36516.6108,8.299,1.5136,0.5
2012-02-29,85.4,70615572.0,43043.7345,9.7824,1.7842,0.5
2012-03-31,79.65,50810490.0,40145.5762,9.797,1.4172,0.5
2012-04-30,90.4,80376452.0,45563.8429,11.1193,1.6085,0.5
2012-05-31,86.6,67173992.0,43648.5486,10.6519,1.5408,0.5
2012-06-30,79.0,64130739.0,39817.9601,9.7171,1.4056,0.5
2012-07-31,77.75,57086938.0,39187.929,9.5633,1.3834,0.5
2012-08-31,93.8,88604251.0,47277.5273,11.5375,1.669,0.5
2012-09-30,92.65,90188128.0,46697.8987,11.3961,1.6485,0.5
2012-10-31,85.8,95259918.0,43245.3288,10.5535,1.5266,0.5
2012-11-30,84.6,97031797.0,42640.499,10.4059,1.5053,0.5
2012-12-31,89.0,54931885.0,44858.2082,10.9471,1.5835,0.5
2013-01-31,86.0,49563720.0,43346.1337,10.5781,1.5302,0.5
2013-02-28,82.7,41789176.0,41682.8519,10.1722,1.4715,0.5
2013-03-31,83.45,43392734.0,42060.8705,6.8683,1.2368,0.5
2013-04-30,96.6,27861063.0,48688.7967,7.9506,1.4317,0.5
2013-05-31,89.35,47253566.0,45034.6168,7.3539,1.3242,0.5
2013-06-30,56.5,285639217.0,28477.3984,4.6502,0.8374,0.5
2013-07-31,67.3,173757937.0,33920.8657,5.5391,0.9974,0.5
2013-08-31,62.95,87894735.0,31728.358,5.1811,0.9329,0.5
2013-09-30,66.65,70358695.0,33593.2496,5.4856,0.9878,0.5
2013-10-31,68.1,71320632.0,34324.0855,5.6049,1.0093,0.5
2013-11-30,80.5,137052751.0,40573.9924,6.6255,1.193,0.5
2013-12-31,107.2,304243317.0,54031.4532,8.823,1.5888,0.5
2014-01-31,113.3,296195918.0,57106.0041,9.3251,1.6792,0.5
2014-02-28,131.65,142071208.0,66354.8583,10.8354,1.9511,0.5
2014-03-31,159.6,148875214.0,80442.3501,8.004,1.7584,0.5
2014-04-30,159.05,80270820.0,80165.1364,7.9764,1.7524,0.5
2014-05-31,176.15,112775774.0,88783.9597,8.834,1.9408,0.5
2014-06-30,199.1,96472930.0,100351.3277,9.985,2.1937,0.5
2014-07-31,174.8,96191414.0,88103.5263,8.7663,1.9259,0.75
2014-08-31,165.3,94403504.0,83315.2911,8.2899,1.8212,0.75
2014-09-30,203.75,181142292.0,103713.7928,10.2182,2.2449,0.75
2014-10-31,219.1,120427500.0,111527.3227,10.988,2.414,0.75
2014-11-30,228.4,77298219.0,116261.2528,11.4544,2.5165,0.75
2014-12-31,223.2,63365188.0,113614.3241,11.1936,2.4592,0.75
2015-01-31,242.55,59739566.0,123463.9531,12.164,2.6724,0.75
2015-02-28,175.0,130391256.0,89079.3739,8.7763,1.9281,0.75
2015-03-31,168.25,83135678.0,85643.4141,8.7403,1.6985,0.75
2015-04-30,173.3,59775466.0,88213.9891,9.0026,1.7495,0.75
2015-05-31,189.85,57525234.0,96638.3487,9.8623,1.9166,0.75
2015-06-30,170.25,60465992.0,86661.4636,8.8442,1.7187,0.75
2015-07-31,202.55,64773221.0,103102.9631,10.5221,2.0448,0.75
2015-08-31,180.0,94293985.0,91624.455,9.3506,1.8171,2.0
2015-09-30,179.95,49471839.0,91599.0037,9.3481,1.8166,2.0
2015-10-31,171.05,40196947.0,87068.6834,8.8857,1.7268,2.0
2015-11-30,162.3,51348048.0,82614.7169,8.4312,1.6384,2.0
2015-12-31,156.2,39882371.0,79509.6659,8.1143,1.5769,2.0
2016-01-31,147.45,52032715.0,75055.6994,7.6597,1.4885,2.0
2016-02-29,157.85,87011318.0,80349.5567,8.2,1.5935,2.0
2016-03-31,174.9,55141105.0,89028.4287,7.9284,1.348,2.0
2016-04-30,160.15,38091671.0,81520.3137,7.2597,1.2343,2.0
2016-05-31,156.45,51820907.0,79636.9221,7.092,1.2058,2.0
2016-06-30,151.5,30291952.0,77117.2496,6.8676,1.1676,2.0
2016-07-31,163.3,43932217.0,83123.7416,7.4025,1.2586,2.0
2016-08-31,183.05,91215071.0,93176.9804,8.2978,1.4108,2.0
2016-09-30,219.95,98225616.0,111959.9937,9.9705,1.6952,2.0
2016-10-31,201.25,70490505.0,102441.2309,9.1228,1.5511,2.0
2016-11-30,190.9,64625335.0,97172.8247,8.6537,1.4713,2.0
2016-12-31,184.9,57223095.0,94118.6762,8.3817,1.425,2.0
2017-01-31,180.4,54073793.0,91828.0649,8.1777,1.3904,2.0
2017-02-28,187.6,59503754.0,95493.0431,8.5041,1.4459,2.0
2017-03-31,208.7,96985072.0,106233.4653,9.6665,1.4573,2.0
2017-04-30,244.0,87060776.0,124202.0389,11.3015,1.7037,2.0
2017-05-31,228.6,91291610.0,116363.0578,10.5882,1.5962,2.0
2017-06-30,240.7,102959421.0,122522.2573,11.1487,1.6807,3.0
2017-07-31,266.5,72908320.0,135655.0958,12.3437,1.8608,3.0
2017-08-31,253.4,126428789.0,128986.8716,11.7369,1.7694,3.0
2017-09-30,245.75,68106453.0,125092.8323,11.3826,1.716,3.0
2017-10-31,246.0,59412021.0,125220.0884,11.3942,1.7177,3.0
2017-11-30,250.7,74359208.0,143412.935,11.6119,1.7505,3.0
2017-12-31,268.25,61792848.0,153452.4125,12.4247,1.8731,3.0
2018-01-31,254.85,61822617.0,145786.9425,11.8041,1.7795,3.0
2018-02-28,274.55,75301792.0,157056.322,12.7165,1.9171,3.0
2018-03-31,277.05,47508630.0,158486.447,20.6292,1.6211,3.0
2018-04-30,294.35,68914613.0,168382.9116,21.9173,1.7223,3.0
2018-05-31,269.3,55798386.0,154053.0596,20.0521,1.5757,3.0
2018-06-30,254.0,46988407.0,145300.6949,18.9129,1.4862,3.0
2018-07-31,292.8,65907729.0,167496.2341,21.8019,1.7132,3.0
2018-08-31,251.4,84539673.0,143813.365,18.7193,1.471,3.0
2018-09-30,212.25,68602560.0,121417.6083,15.8042,1.2419,3.0
2018-10-31,218.8,65347364.0,125164.5356,16.2919,1.2802,3.0
2018-11-30,239.05,87159252.0,136748.5477,17.7997,1.3987,3.0
2018-12-31,235.95,52287996.0,134975.1928,17.5689,1.3806,3.0
2019-01-31,204.35,40772060.0,116898.4134,15.2159,1.1957,3.0
2019-02-28,217.45,57737000.0,124392.2682,16.1914,1.2723,3.0
2019-03-31,222.75,55234377.0,127424.133,18.75,1.2692,3.0
2019-04-30,206.05,46442846.0,117870.8984,17.3443,1.174,3.0
2019-05-31,194.5,63244201.0,111263.7211,16.3721,1.1082,3.0
2019-06-30,200.65,100783377.0,114781.8285,16.8897,1.1433,3.0
2019-07-31,157.5,66795517.0,90097.8719,13.2576,0.8974,3.25
2019-08-31,171.25,63420924.0,97963.5591,14.415,0.9758,3.25
2019-09-30,181.65,52377913.0,103912.8789,15.2904,1.035,3.25
2019-10-31,190.3,46638762.0,108861.1112,16.0185,1.0843,3.25
2019-11-30,168.05,67571318.0,96132.9991,14.1456,0.9575,3.25
2019-12-31,163.9,50986583.0,93758.9917,13.7963,0.9339,3.25
2020-01-31,166.5,52272782.0,95246.3217,14.0152,0.9487,3.25
2020-02-29,142.8,83241978.0,81688.7371,12.0202,0.8136,3.25
2020-03-31,79.4,106503742.0,45420.7684,9.5318,0.4574,3.0
2020-04-30,96.3,128800583.0,55088.4131,11.5606,0.5548,3.0
2020-05-31,97.1,196563376.0,55546.0531,11.6567,0.5594,3.0
2020-06-30,108.0,248780161.0,61781.3978,12.9652,0.6222,3.0
2020-07-31,108.25,144018943.0,61924.4103,12.9952,0.6236,3.0
2020-08-31,123.55,251740557.0,70676.775,14.8319,0.7117,3.0
2020-09-30,130.85,181633134.0,74852.7399,15.7083,0.7538,3.0
2020-10-31,139.9,150886900.0,80029.795,16.7947,0.8059,3.0
2020-11-30,184.45,174771888.0,105514.6225,22.1429,1.0626,3.0
2020-12-31,178.0,215761072.0,113047.965,21.3685,1.0254,3.0
2021-01-31,196.65,389680364.0,124892.5973,23.6074,1.1329,3.0
2021-02-28,232.1,347040129.0,147406.9252,27.8631,1.3371,3.0
2021-03-31,223.7,177623617.0,142072.0774,39.3838,1.2415,3.0
2021-04-30,216.35,146636061.0,137404.0856,38.0898,1.2008,3.0
2021-05-31,222.05,169174991.0,141024.1608,39.0933,1.2324,0.0
2021-06-30,225.0,119684154.0,142897.7086,39.6127,1.2488,0.0
2021-07-31,223.45,94116906.0,141913.3064,39.3398,1.2402,3.5
2021-08-31,212.95,87762726.0,135244.7465,37.4912,1.1819,3.5
2021-09-30,225.7,90336526.0,143342.2835,39.7359,1.2526,3.5
2021-10-31,212.9,92934145.0,135212.9914,37.4824,1.1816,3.5
2021-11-30,204.55,61813457.0,129909.8985,36.0123,1.1353,3.5
2021-12-31,219.15,47276713.0,139182.3723,38.5827,1.2163,3.5
2022-01-31,216.65,63366399.0,137594.62,38.1426,1.2024,3.5
2022-02-28,184.7,90843765.0,117303.1447,32.5176,1.0251,3.5
2022-03-31,191.0,83426021.0,121304.2807,18.9861,1.0322,3.5
2022-04-30,205.0,78186498.0,130195.6939,20.3777,1.1078,3.5
2022-05-31,218.35,87730317.0,138674.2916,21.7048,1.18,3.5
2022-06-30,185.1,74058830.0,117557.1851,18.3996,1.0003,3.25
2022-07-31,219.9,40042259.0,139658.698,21.8588,1.1884,3.25
2022-08-31,251.7,81754597.0,159854.9081,25.0199,1.3602,3.25
2022-09-30,278.7,119040191.0,177002.6337,27.7038,1.5061,3.25
2022-10-31,290.7,57420352.0,184623.845,28.8966,1.571,3.25
2022-11-30,316.45,125067834.0,200977.6944,31.4563,1.7101,3.25
2022-12-31,324.3,62591230.0,205963.2368,32.2366,1.7526,3.25
2023-01-31,321.2,69963380.0,203994.4239,31.9284,1.7358,3.25
2023-02-28,313.35,58906327.0,199008.8814,31.1481,1.6934,3.25
2023-03-31,319.9,35068376.0,203168.7926,18.3956,1.5777,3.25
2023-04-30,346.9,32331328.0,220316.5182,19.9482,1.7108,3.25
2023-05-31,390.8,81049925.0,248197.4497,22.4727,1.9273,3.25
2023-06-30,406.7,46572659.0,258295.5547,23.387,2.0057,3.25
2023-07-31,432.8,45332843.0,274871.6894,24.8879,2.1345,4.5
2023-08-31,388.4,50106755.0,246673.2074,22.3347,1.9155,4.5
2023-09-30,368.65,52234550.0,234129.9637,21.199,1.8181,4.5
2023-10-31,381.3,45399656.0,242163.9907,21.9264,1.8805,4.5
2023-11-30,427.4,57849192.0,271442.1443,24.5773,2.1078,4.5
2023-12-31,454.05,95633739.0,288367.5845,26.1098,2.2393,4.5
2024-01-31,540.5,62811389.0,343272.0613,31.0811,2.6656,4.5
2024-02-29,518.5,33397483.0,329299.8405,29.816,2.5571,4.5
2024-03-31,466.45,41192690.0,296242.8363,17.2058,2.1309,4.5
2024-04-30,510.1,46735306.0,323964.9926,18.8159,2.3303,4.5
2024-05-31,463.5,108767586.0,294369.2885,17.097,2.1174,4.5
2024-06-30,541.9,76151496.0,344161.2026,19.9889,2.4756,4.5
2024-07-31,555.7,84745440.0,352925.5957,20.498,2.5386,6.0
2024-08-31,492.9,46053713.0,313041.2563,18.1815,2.2517,6.0
2024-09-30,547.85,46097511.0,347940.0533,20.2084,2.5028,6.0
2024-10-31,504.95,34306613.0,320694.2227,18.626,2.3068,6.0
2024-11-30,509.65,25007644.0,323679.1971,18.7993,2.3283,6.0
2024-12-31,529.4,29052837.0,336222.4408,19.5278,2.4185,6.0
2025-01-31,437.3,38623847.0,277729.6437,16.1306,1.9977,6.0
2025-02-28,374.3,31621156.0,237718.2841,13.8067,1.7099,6.0
2025-03-31,426.05,30065041.0,270584.758,24.1251,1.8325,6.0
2025-04-30,471.9,28864229.0,299704.1364,26.7214,2.0297,6.0
2025-05-31,470.55,40906351.0,298846.7501,26.645,2.0239,6.0
2025-06-30,448.8,21138195.0,285033.3046,25.4134,1.9304,6.0
2025-07-31,449.7,29195187.0,285604.8954,25.4643,1.9342,5.0
2025-08-31,462.2,12829930.0,293543.6572,26.1721,1.988,5.0
2025-09-30,472.95,33418507.0,300370.9924,26.7809,2.0342,5.0
2025-10-31,501.5,23664268.0,318503.1244,28.3975,2.157,5.0
2025-11-30,514.0,17474762.0,326441.8862,29.1053,2.2108,5.0
2025-12-31,500.0,15855389.0,317550.473,28.3126,2.1506,5.0
2026-01-31,492.15,19242263.0,312564.9306,27.8681,2.1168,5.0
2026-02-28,454.05,25762719.0,288367.5845,25.7106,1.953,8.5
2026-03-31,444.4,4611424.0,282238.8565,25.1642,1.9114,8.5
