UBBL IN Equity,price,volume,mc,pe,bm,div
2002-10-31,11.26,6128994.0,2016.4009,,23.9719,0.0
2002-11-30,12.04,354164.0,2156.2927,,25.635,0.0
2002-12-31,11.27,6668873.0,2018.183,,23.9931,0.0
2003-01-31,9.72,3575842.0,1739.2906,,20.6775,0.0
2003-02-28,8.83,800216.0,1581.5783,,18.8025,0.0
2003-03-31,7.07,1551549.0,1265.2626,,14.8937,0.0
2003-04-30,8.31,1233952.0,1487.1291,,,0.0
2003-05-31,8.91,533028.0,1594.9437,,,0.0
2003-06-30,9.35,537248.0,1673.3544,,,0.0
2003-07-31,9.86,390780.0,1766.0215,,,0.0
2003-08-31,9.59,1978002.0,1716.1238,,,0.0
2003-09-30,10.15,613324.0,1817.7013,,,0.0
2003-10-31,9.56,1921535.0,1711.6687,,,0.0
2003-11-30,11.1,4717965.0,1986.997,,,0.0
2003-12-31,12.56,1092206.0,2248.9598,,,0.0
2004-01-31,9.52,3450892.0,1704.5404,,,0.0
2004-02-29,9.34,904330.0,1671.5723,,,0.0
2004-03-31,9.63,1429412.0,1724.1431,,,0.0
2004-04-30,9.77,548901.0,1748.2009,,,0.0
2004-05-31,8.96,1064309.0,1603.854,,,0.0
2004-06-30,8.14,2738647.0,1457.7251,,,0.0
2004-07-31,8.6,170597.0,1538.8089,,,0.0
2004-08-31,10.94,747184.0,1959.375,,,0.0
2004-09-30,12.5,1526364.0,2237.3764,,,0.0
2004-10-31,13.22,743126.0,2366.5757,,,0.0
2004-11-30,38.68,8313687.0,6924.1943,,,0.0
2004-12-31,43.3,15243540.0,7751.9612,,,0.0
2005-01-31,42.32,2218307.0,7575.5373,,,0.0
2005-02-28,37.72,12832897.0,6753.1166,,,0.0
2005-03-31,32.2,2855731.0,5764.0732,,,0.0
2005-04-30,40.73,7243120.0,7292.1897,,,0.0
2005-05-31,43.8,1894632.0,7841.0642,,,0.0
2005-06-30,46.98,1106762.0,8411.3234,,,0.0
2005-07-31,50.8,833116.0,9093.8524,,,0.0
2005-08-31,64.41,609577.0,11529.9285,,,0.0
2005-09-30,64.76,2582205.0,11593.1917,,,0.0
2005-10-31,67.19,498782.0,14580.0672,,,0.1493
2005-11-30,67.7,229797.0,14689.1477,,,0.1493
2005-12-31,75.26,545234.0,16330.7553,,,0.1493
2006-01-31,87.65,1036402.0,19018.8877,,,0.1493
2006-02-28,109.92,564160.0,23850.8286,,,0.1493
2006-03-31,148.84,666055.0,32297.5489,,16.1701,0.1493
2006-04-30,173.73,1294337.0,34270.718,,18.8737,0.1493
2006-05-31,147.74,1632206.0,32058.8664,,16.0506,0.1493
2006-06-30,123.39,606790.0,26773.3608,,13.4043,0.1493
2006-07-31,104.22,671330.0,22615.3358,,11.3226,0.1493
2006-08-31,115.12,643070.0,24980.55,,12.5067,0.1493
2006-09-30,136.97,5586236.0,29721.7785,,14.8805,0.0747
2006-10-31,178.58,4600255.0,38750.6327,,19.4009,0.0747
2006-11-30,179.23,3972319.0,38891.0335,,19.4711,0.0747
2006-12-31,177.84,3350481.0,38588.6317,,19.3197,0.0747
2007-01-31,209.14,2043823.0,45390.7175,,22.7208,0.0747
2007-02-28,249.46,4544624.0,54140.475,,27.1006,0.2986
2007-03-31,265.29,6809576.0,57575.565,82.2539,20.0772,0.2986
2007-04-30,268.82,218186.0,58342.5191,83.3496,20.3446,0.2986
2007-05-31,314.36,2237389.0,68226.5045,97.4701,23.7913,0.2986
2007-06-30,301.57,3501360.0,65450.3468,93.504,22.8232,0.2986
2007-07-31,326.11,688559.0,70775.8165,101.1121,24.6803,0.2986
2007-08-31,293.11,4510444.0,63613.978,90.8805,22.1829,0.2986
2007-09-30,379.96,639570.0,82463.6128,117.8098,28.756,0.2489
2007-10-31,364.13,24141987.0,79028.5291,112.9023,27.5581,0.2489
2007-11-30,329.84,237677.0,71585.8478,102.2695,24.9628,0.2489
2007-12-31,328.94,378042.0,71391.4091,101.9917,24.895,0.2489
2008-01-31,305.85,1409205.0,66379.2115,94.8312,23.1472,0.2489
2008-02-29,255.73,855567.0,55501.4465,79.2909,19.354,0.2489
2008-03-31,185.7,305765.0,40302.8215,88.4123,12.7984,0.2489
2008-04-30,222.9,230510.0,53506.7001,106.1233,15.3622,0.0995
2008-05-31,179.85,6487223.0,43172.6335,85.6271,12.3952,0.0995
2008-06-30,145.1,227517.0,34830.9942,69.0825,10.0003,0.0995
2008-07-31,153.8,927415.0,36919.4135,73.2246,10.5999,0.0995
2008-08-31,172.45,633561.0,41396.3125,82.1039,11.8852,0.0995
2008-09-30,130.0,2001242.0,31206.2663,61.8934,8.9596,0.0995
2008-10-31,92.35,1761007.0,22168.4332,43.9681,6.3647,0.15
2008-11-30,84.45,650620.0,20272.054,40.2069,5.8203,0.15
2008-12-31,78.0,795199.0,18723.7443,37.136,5.3757,0.15
2009-01-31,72.55,377284.0,17415.4827,34.5413,5.0001,0.15
2009-02-28,91.55,11212787.0,21976.3948,43.5872,6.3096,0.15
2009-03-31,88.7,3502579.0,21292.258,56.4968,2.7696,0.15
2009-04-30,110.1,25709408.0,26429.2853,70.1274,3.4378,0.15
2009-05-31,143.3,12228633.0,34398.879,91.2739,4.4744,0.15
2009-06-30,115.9,4469012.0,27821.5637,73.8217,3.6189,0.15
2009-07-31,147.0,6808313.0,35287.0566,93.6306,4.59,0.15
2009-08-31,159.2,4466243.0,38215.6423,101.4013,4.9709,0.15
2009-09-30,148.05,1113244.0,35539.107,94.2994,4.6228,0.15
2009-10-31,132.85,10635720.0,31890.3774,84.6178,4.1481,0.15
2009-11-30,148.75,6509072.0,35707.1406,94.7452,4.6446,0.15
2009-12-31,168.35,9612101.0,40412.0815,107.2293,5.2566,0.15
2010-01-31,148.75,1447866.0,35707.1406,94.7452,4.6446,0.15
2010-02-28,180.15,7317810.0,43244.6479,114.7452,5.6251,0.15
2010-03-31,191.9,2376809.0,46065.212,56.0196,5.486,0.15
2010-04-30,200.5,1784281.0,48129.6248,58.5301,5.7319,0.15
2010-05-31,198.15,1341130.0,47565.512,57.8441,5.6647,0.15
2010-06-30,222.55,3644647.0,53422.6833,64.967,6.3623,0.15
2010-07-31,319.2,23584153.0,76623.3229,93.1811,9.1253,0.15
2010-08-31,398.85,15693051.0,95743.1465,116.4326,11.4023,0.36
2010-09-30,412.6,13281952.0,99043.8065,120.4465,11.7954,0.36
2010-10-31,447.3,4024303.0,107373.4723,130.5762,12.7874,0.36
2010-11-30,378.2,4474036.0,90786.1552,110.4045,10.812,0.36
2010-12-31,504.35,7221397.0,121068.2109,147.2303,14.4184,0.36
2011-01-31,474.0,2943007.0,113782.754,138.3705,13.5507,0.36
2011-02-28,405.8,1985462.0,97411.4801,118.4615,11.601,0.36
2011-03-31,480.05,4587302.0,115235.0444,91.0911,11.6546,0.36
2011-04-30,463.3,2023149.0,111214.2403,87.9127,11.248,0.36
