RHIM IN Equity,price,volume,mc,pe,bm,div
2012-03-31,26.0,1169708.0,3123.6192,,,0.0
2012-04-30,33.7,3731622.0,4048.691,,,0.0
2012-05-31,31.3,3514804.0,3760.3569,,,1.0
2012-06-30,36.7,2097003.0,4409.1086,,,1.0
2012-07-31,29.95,1453019.0,3598.169,,,1.0
2012-08-31,29.5,375496.0,3544.1063,,,1.0
2012-09-30,29.2,758924.0,3508.0646,,,1.0
2012-10-31,37.65,3138521.0,4523.2408,,,1.0
2012-11-30,37.0,1484885.0,4445.1503,,,1.0
2012-12-31,38.4,2289735.0,4613.3452,,,1.0
2013-01-31,37.6,12309540.0,4517.2339,,,1.0
2013-02-28,38.8,10038420.0,4661.4009,,,1.0
2013-03-31,38.55,8390625.0,4631.3661,,,1.0
2013-04-30,31.35,7279015.0,3766.3639,,,1.0
2013-05-31,31.0,3881768.0,3724.3151,,,1.0
2013-06-30,26.2,522925.0,3147.647,,,1.0
2013-07-31,25.55,244915.0,3069.5565,,,0.0
2013-08-31,25.0,239189.0,3003.48,,,0.0
2013-09-30,25.9,252240.0,3111.6052,,,1.0
2013-10-31,31.05,500336.0,3730.3221,,,1.0
2013-11-30,37.25,1487599.0,4475.1851,,,1.0
2013-12-31,42.05,1018727.0,5051.8533,,,1.0
2014-01-31,44.45,1012184.0,5340.1874,,,1.0
2014-02-28,48.8,863353.0,5862.7929,,,1.0
2014-03-31,62.75,4555981.0,7538.7347,,,1.0
2014-04-30,62.05,2409342.0,7454.6373,,,1.0
2014-05-31,66.3,1879364.0,7965.2288,,,1.0
2014-06-30,89.55,2610622.0,10758.4652,,,1.0
2014-07-31,94.45,2042454.0,11347.1473,,,1.0
2014-08-31,87.8,1123346.0,10548.2216,,,1.0
2014-09-30,88.25,2505571.0,10602.2843,,,1.25
2014-10-31,98.35,1046695.0,11815.6902,,,1.25
2014-11-30,102.15,1804616.0,12272.2191,,,1.25
2014-12-31,95.0,787997.0,11413.2238,,,1.25
2015-01-31,101.2,823669.0,12158.0869,,,1.25
2015-02-28,98.2,1577226.0,11797.6498,,,1.25
2015-03-31,86.9,1584304.0,10440.0963,19.75,6.1484,1.25
2015-04-30,88.35,1074844.0,10614.2982,20.0795,6.251,1.25
2015-05-31,87.95,551261.0,10566.2425,19.9886,6.2227,1.25
2015-06-30,89.35,1930255.0,10734.4374,20.3068,6.3217,1.25
2015-07-31,90.15,2955312.0,10830.5487,20.4886,6.3783,1.25
2015-08-31,83.5,1078627.0,10031.6231,18.9773,5.9078,1.25
2015-09-30,79.5,461623.0,9551.0663,18.0682,5.6248,1.4
2015-10-31,80.05,248034.0,9617.1428,18.1932,5.6637,1.4
2015-11-30,79.2,828288.0,9515.0245,18.0,5.6036,1.4
2015-12-31,89.85,473948.0,10794.507,20.4205,6.3571,1.4
2016-01-31,80.2,684683.0,9635.1637,18.2273,5.6743,1.4
2016-02-29,75.25,276008.0,9040.4747,17.1023,5.3241,1.4
2016-03-31,77.05,272845.0,9256.7252,16.5699,4.5231,1.4
2016-04-30,84.0,273863.0,10091.6927,18.0645,4.9311,1.4
2016-05-31,83.45,378297.0,10025.6161,17.9462,4.8988,1.4
2016-06-30,89.4,3093952.0,10740.4443,19.2258,5.2481,1.4
2016-07-31,91.1,1040312.0,10944.681,19.5914,5.3479,1.4
2016-08-31,104.7,2166172.0,12578.5741,22.5161,6.1462,1.4
2016-09-30,113.95,2127926.0,13689.8616,24.5054,6.6893,1.45
2016-10-31,131.25,1523921.0,15768.2698,28.2258,7.7048,1.45
2016-11-30,119.3,1979215.0,14332.6064,25.6559,7.0033,1.45
2016-12-31,114.9,795639.0,13803.9939,24.7097,6.745,1.45
2017-01-31,115.5,1534081.0,13876.0774,24.8387,6.7802,1.45
2017-02-28,135.4,2899507.0,16266.8475,29.1183,7.9484,1.45
2017-03-31,128.9,2087763.0,15485.9427,27.7204,7.5669,1.45
2017-04-30,135.85,2090657.0,16320.9101,29.2151,7.9749,1.45
2017-05-31,135.05,2118458.0,16224.7987,29.043,7.9279,1.45
2017-06-30,137.85,1007375.0,16561.1885,29.6452,8.0923,1.45
2017-07-31,148.4,1968001.0,17828.657,31.914,8.7116,1.45
2017-08-31,150.2,1664521.0,18044.9076,32.3011,8.8173,1.45
2017-09-30,142.05,2520216.0,17065.7731,30.5484,8.3388,2.5
2017-10-31,159.8,1821824.0,19198.2439,34.3656,9.3808,2.5
2017-11-30,163.05,1982393.0,19588.6961,35.0645,9.5716,2.5
2017-12-31,166.45,1155377.0,19997.1693,35.7957,9.7712,2.5
2018-01-31,170.05,2324067.0,20429.6704,36.5699,9.9825,2.5
2018-02-28,167.4,858443.0,20111.3021,36.0,9.827,2.5
2018-03-31,159.3,834312.0,19138.1746,22.3109,5.9286,2.5
2018-04-30,163.4,547754.0,19630.7453,22.8852,6.0812,2.5
2018-05-31,182.75,2724563.0,21955.4388,25.5952,6.8013,2.5
2018-06-30,170.7,527063.0,20507.7614,23.9076,6.3528,2.5
2018-07-31,210.0,989231.0,25229.232,29.4118,7.8154,2.5
2018-08-31,275.5,13041909.0,33098.3496,38.5854,10.2531,2.5
2018-09-30,232.9,2338185.0,27980.4197,32.619,8.6677,2.5
