BOMH IN Equity,price,volume,mc,pe,bm,div
2004-04-30,38.65,40425367.0,16639.5976,,,0.0
2004-05-31,29.35,10668941.0,12635.7617,,,0.0
2004-06-30,26.15,3973437.0,11258.0977,,,1.6
2004-07-31,26.6,3229788.0,11451.8317,,,1.6
2004-08-31,24.0,2994522.0,10332.4797,,,1.6
2004-09-30,24.95,2966780.0,10741.4737,,,1.6
2004-10-31,23.95,2651002.0,10310.9537,,,1.6
2004-11-30,26.7,4151968.0,11494.8837,,,1.6
2004-12-31,40.15,29275201.0,17285.3776,,,1.6
2005-01-31,33.5,47566247.0,14422.4196,,,1.6
2005-02-28,35.45,31858935.0,15261.9336,,,1.6
2005-03-31,32.8,43670671.0,14121.0556,,,1.6
2005-04-30,30.05,9946031.0,12937.1257,,,1.6
2005-05-31,32.6,17840898.0,14034.9516,,,1.6
2005-06-30,32.0,15457726.0,13776.6396,,,1.4
2005-07-31,33.7,12483714.0,14508.5236,,,1.4
2005-08-31,35.95,32279253.0,15477.1936,,,1.4
2005-09-30,36.65,23914891.0,15778.5576,,,1.4
2005-10-31,32.1,10295745.0,13819.6916,,,1.4
2005-11-30,31.4,5086791.0,13518.3277,,,1.4
2005-12-31,32.4,10500311.0,13948.8476,,,1.4
2006-01-31,32.65,19065566.0,14056.4776,,,1.4
2006-02-28,31.2,8516666.0,13432.2237,,,1.4
2006-03-31,30.45,11938214.0,13109.3337,,,1.4
2006-04-30,30.2,11574144.0,12807.9697,,,1.4
2006-05-31,25.7,17771777.0,11064.3637,,,1.4
2006-06-30,20.15,9112481.0,8674.9778,,,0.4
2006-07-31,21.25,7776562.0,9148.5498,,,0.4
2006-08-31,26.35,9681486.0,11344.2017,,,0.4
2006-09-30,31.2,18141221.0,13432.2237,,,0.4
2006-10-31,37.1,27736300.0,15972.2916,,,0.4
2006-11-30,40.0,19591589.0,17220.7996,,,0.4
2006-12-31,40.0,18408807.0,17220.7996,,,0.4
2007-01-31,44.6,12239837.0,19201.1915,,,0.4
2007-02-28,38.75,5796180.0,16682.6496,,,0.4
2007-03-31,39.05,2524056.0,16811.8056,,,0.4
2007-04-30,41.35,4229192.0,17802.0015,,,0.4
2007-05-31,48.15,9592641.0,20729.5375,,,2.0
2007-06-30,50.45,9365947.0,21719.7334,,,2.0
2007-07-31,54.95,10028144.0,23657.0734,,,2.0
2007-08-31,53.05,10492217.0,22839.0854,,,2.0
2007-09-30,61.65,7192551.0,26541.5573,,,2.0
2007-10-31,58.85,9433567.0,25336.1014,,,2.0
2007-11-30,76.85,11725385.0,33085.4612,,,2.0
2007-12-31,80.65,5329753.0,34721.4371,,,2.0
2008-01-31,76.7,10991908.0,33020.8832,,,2.0
2008-02-29,55.6,8206014.0,23936.9114,,,2.0
2008-03-31,50.45,5213807.0,21719.7334,,,2.0
2008-04-30,49.0,16226551.0,21095.4795,,,2.0
2008-05-31,44.9,12506830.0,19330.3475,,,2.0
2008-06-30,34.15,12036296.0,14702.2576,,,2.0
