CUBK IN Equity,price,volume,mc,pe,bm,div
2006-11-30,10.23,55400123.0,4084.8,7.2456,1.4275,0.2403
2006-12-31,9.81,36473986.0,3919.2,6.9519,1.3697,0.2403
2007-01-31,10.18,32611170.0,4066.8,7.2137,1.4212,0.2403
2007-02-28,9.48,12250153.0,3788.4,6.7199,1.3239,0.2403
2007-03-31,9.72,20273880.0,3883.2,5.4078,1.1149,0.2403
2007-04-30,10.23,7598082.0,4084.8,5.6885,1.1728,0.2403
2007-05-31,11.98,16321764.0,4786.8,6.6661,1.3744,0.2403
2007-06-30,12.76,10600336.0,5098.8,7.1006,1.4639,0.2403
2007-07-31,13.94,9945556.0,5846.4002,7.754,1.5987,0.2403
2007-08-31,12.69,10617081.0,5323.5002,7.0605,1.4557,0.2403
2007-09-30,13.3,11532472.0,5579.2802,7.3997,1.5256,0.2403
2007-10-31,13.64,14653338.0,5722.9202,7.5902,1.5649,0.2403
2007-11-30,13.97,10486551.0,5859.0002,7.7707,1.6021,0.2403
2007-12-31,24.08,49430618.0,12825.6,13.3957,2.7618,0.2403
2008-01-31,26.04,25284328.0,13872.0,14.4886,2.9871,0.2403
2008-02-29,23.19,10216282.0,12352.0,12.9011,2.6598,0.2403
2008-03-31,17.0,13756835.0,9056.0,7.9494,1.5976,0.3605
2008-04-30,20.1,7987435.0,10704.0,9.3961,1.8883,0.3605
2008-05-31,17.66,7356670.0,9408.0,8.2584,1.6597,0.3605
2008-06-30,14.09,7263138.0,7504.0,6.5871,1.3238,0.3605
2008-07-31,14.63,8992005.0,7792.0,6.8399,1.3746,0.3605
2008-08-31,16.25,7275948.0,8656.0,7.5983,1.527,0.3605
2008-09-30,13.97,5288061.0,7440.0,6.5309,1.3125,0.3004
2008-10-31,9.67,12413216.0,5152.0,4.5225,0.9089,0.3004
2008-11-30,7.9,7770962.0,4208.0,3.6938,0.7423,0.3004
2008-12-31,8.77,7997553.0,4672.0,4.1011,0.8242,0.3004
2009-01-31,8.08,8644573.0,4304.0,3.7781,0.7593,0.3004
2009-02-28,7.36,5093687.0,3920.0,3.441,0.6915,0.3004
2009-03-31,7.33,5186113.0,3904.0,3.1937,0.5907,0.3004
2009-04-30,10.0,21260245.0,5328.0,4.3586,0.8062,0.3004
2009-05-31,14.66,33147200.0,7808.0,6.3874,1.1814,0.1202
2009-06-30,13.91,35008206.0,7408.0,6.0602,1.1209,0.1202
