JSWINFRA IN Equity,price,volume,mc,pe,bm,div
2023-10-31,169.55,330514405.0,356055.2657,,,0.0
2023-11-30,210.5,160258552.0,442050.3299,,,0.0
2023-12-31,208.3,131134351.0,437430.3264,,,0.0
2024-01-31,215.0,83126876.0,451500.3369,,,0.0
2024-02-29,256.5,165790238.0,538650.4019,,,0.0
2024-03-31,245.35,104765653.0,515235.3845,44.574,6.2711,0.0
2024-04-30,250.0,81192783.0,525000.3917,45.4188,6.3899,0.0
2024-05-31,283.05,115299552.0,594405.4435,51.4232,7.2347,0.0
2024-06-30,328.4,128782446.0,689640.5146,59.6621,8.3938,0.0
2024-07-31,338.95,72973122.0,711795.5311,61.5788,8.6634,0.55
2024-08-31,324.6,38771078.0,681660.5086,58.9718,8.2967,0.55
2024-09-30,345.1,77446309.0,724710.5408,62.6961,8.8206,0.55
2024-10-31,314.9,69864244.0,661290.4934,57.2095,8.0487,0.55
2024-11-30,311.55,30920175.0,654255.4882,56.6009,7.9631,0.55
2024-12-31,318.0,42918667.0,667800.4983,57.7727,8.128,0.55
2025-01-31,275.0,37052933.0,577500.4309,49.9607,7.0289,0.55
2025-02-28,254.75,53604166.0,534975.3992,46.2818,6.5113,0.55
2025-03-31,319.8,59242871.0,671580.5011,44.6803,6.8382,0.55
2025-04-30,293.65,37193738.0,616665.4601,41.0268,6.2791,0.55
2025-05-31,290.85,97193405.0,610785.4558,40.6356,6.2192,0.55
2025-06-30,313.1,62631245.0,657510.4906,43.7442,6.695,0.55
2025-07-31,304.75,47843937.0,639975.4775,42.5776,6.5164,0.8
2025-08-31,296.0,16585342.0,621600.4638,41.3551,6.3293,0.8
2025-09-30,315.25,52110926.0,662025.494,44.0446,6.741,0.8
2025-10-31,289.85,28754008.0,608685.4542,40.4958,6.1978,0.8
2025-11-30,270.35,24761706.0,567735.4236,37.7714,5.7809,0.8
2025-12-31,284.8,22276449.0,598080.4463,39.7903,6.0898,0.8
2026-01-31,258.5,36338295.0,542850.4051,36.1158,5.5275,0.8
2026-02-28,254.8,28370625.0,535080.3993,35.5989,5.4484,0.8
2026-03-31,262.4,6028782.0,551040.3984,36.6607,5.6109,0.8
