MANYAVAR IN Equity,price,volume,mc,pe,bm,div
2022-02-28,892.2,30283436.0,216532.2774,166.4552,10.1312,0.0
2022-03-31,966.95,8743278.0,234673.7117,74.9574,21.6748,0.0
2022-04-30,1091.55,5196555.0,264913.4806,84.6163,24.4677,0.0
2022-05-31,1006.4,3262161.0,244248.0206,78.0155,22.5591,0.0
2022-06-30,965.9,2298301.0,234418.8822,74.876,21.6512,0.0
2022-07-31,1077.3,2323274.0,261455.08,83.5116,24.1483,0.0
2022-08-31,1287.45,4586820.0,312457.3868,99.8023,28.859,5.0
2022-09-30,1408.8,4349288.0,341920.1118,109.2093,31.5791,5.0
2022-10-31,1449.05,1802811.0,351688.9111,112.3295,32.4813,5.0
2022-11-30,1368.2,1589999.0,332137.1434,106.062,30.669,5.0
2022-12-31,1338.1,1718187.0,324830.2233,103.7287,29.9943,5.0
2023-01-31,1191.6,3221097.0,289266.6423,92.3721,26.7104,5.0
2023-02-28,1203.7,1731149.0,292203.9756,93.3101,26.9817,5.0
2023-03-31,1139.15,1676994.0,276560.7751,64.4316,19.7562,5.0
2023-04-30,1272.15,1926796.0,308852.5643,71.9542,22.0628,5.0
2023-05-31,1287.5,8606749.0,312579.2371,72.8224,22.329,5.0
2023-06-30,1239.0,5140154.0,300807.2945,70.0792,21.4879,5.0
2023-07-31,1265.75,3926539.0,307301.7215,71.5922,21.9518,5.0
2023-08-31,1260.45,4774222.0,306018.1869,71.2924,21.8599,9.0
2023-09-30,1338.55,3039374.0,324979.6851,75.7098,23.2144,9.0
2023-10-31,1292.15,2050952.0,313734.847,73.0854,22.4096,9.0
2023-11-30,1370.45,5206150.0,332774.6013,77.5141,23.7676,9.0
2023-12-31,1267.9,5348397.0,307873.2657,71.7138,21.9891,9.0
2024-01-31,1003.5,9266211.0,243680.9266,56.759,17.4036,9.0
2024-02-29,1029.15,6954573.0,249934.3951,58.2098,17.8485,9.0
2024-03-31,926.5,6956127.0,225017.6866,54.3083,14.0472,9.0
2024-04-30,953.6,5520795.0,231600.7014,55.8968,14.4581,9.0
2024-05-31,1043.25,8497697.0,253376.8483,61.1518,15.8173,9.0
2024-06-30,1051.65,4235687.0,255419.7998,61.6442,15.9446,9.0
2024-07-31,1150.55,3462661.0,279440.7931,67.4414,17.4441,9.0
2024-08-31,1250.4,3397727.0,303720.4182,73.2943,18.958,8.5
2024-09-30,1350.3,5099592.0,327999.1666,79.1501,20.4726,8.5
2024-10-31,1401.65,6332865.0,340472.5112,82.16,21.2512,8.5
2024-11-30,1434.2,2556292.0,348385.2968,84.068,21.7447,8.5
2024-12-31,1289.65,3891438.0,313284.8383,75.595,19.5531,8.5
2025-01-31,933.8,5393385.0,226840.9119,54.7362,14.1579,8.5
2025-02-28,843.15,7118121.0,204819.9988,49.4226,12.7835,8.5
2025-03-31,775.85,4856839.0,188473.5777,45.4777,11.7631,8.5
2025-04-30,781.95,4320321.0,189970.0678,45.8353,11.8556,8.5
2025-05-31,797.3,8039540.0,193699.2584,46.7351,12.0883,8.5
2025-06-30,811.25,7995055.0,197092.7202,47.5528,12.2998,8.5
2025-07-31,749.4,6435606.0,182066.2983,43.9273,11.3621,8.5
2025-08-31,740.95,2473232.0,180016.2136,43.432,11.234,8.0
2025-09-30,690.15,6456990.0,167676.8453,40.4543,10.4637,8.0
2025-10-31,645.75,3571710.0,156889.5499,37.8517,9.7906,8.0
2025-11-30,608.15,5167047.0,147761.4666,35.6477,9.2205,8.0
2025-12-31,582.1,3044217.0,141434.6433,34.1208,8.8255,8.0
2026-01-31,485.35,3023029.0,117926.9955,28.4496,7.3587,8.0
2026-02-28,389.95,4909480.0,94747.3615,22.8576,5.9122,8.0
2026-03-31,382.0,1756013.0,92815.7253,22.3916,5.7917,8.0
