IPCA IN Equity,price,volume,mc,pe,bm,div
1998-09-30,7.71,4574000.0,1926.25,,,0.125
1998-10-31,6.19,1874000.0,1547.5,,,0.125
1998-11-30,5.9,5114000.0,1473.75,,,0.25
1998-12-31,4.97,8148000.0,1242.5,,,0.25
1999-01-31,5.55,15406000.0,1386.25,,,0.25
1999-02-28,5.65,9580000.0,1413.75,,,0.25
1999-03-31,6.93,16284000.0,1732.5,,,0.25
1999-04-30,5.29,2348000.0,1321.25,,,0.25
1999-05-31,5.55,5944000.0,1387.5,,,0.25
1999-06-30,6.38,8660000.0,1595.625,,,0.25
1999-07-31,6.72,10792000.0,1680.0,,,0.25
1999-08-31,7.71,18090000.0,1928.125,,,0.25
1999-09-30,9.52,27628000.0,2378.75,,,0.25
1999-10-31,9.55,66568000.0,2386.25,,,0.25
1999-11-30,12.22,23294000.0,3055.0,,,0.275
1999-12-31,11.86,26736000.0,2963.75,,,0.275
2000-01-31,12.29,12688000.0,3071.875,,,0.275
2000-02-29,9.65,14028000.0,2411.875,,,0.275
2000-03-31,7.45,6074000.0,1862.5,,,0.275
2000-04-30,6.46,4788000.0,1614.375,,,0.275
2000-05-31,5.92,2790000.0,1480.625,,,0.275
2000-06-30,5.83,5306000.0,1456.25,,,0.275
2000-07-31,6.14,5368060.0,1535.625,,,0.275
2000-08-31,6.11,4445140.0,1526.875,,,0.275
2000-09-30,5.2,3733780.0,1299.375,,,0.275
2000-10-31,5.2,1653660.0,1299.375,,,0.275
2000-11-30,5.75,4349800.0,1438.125,,,0.3
2000-12-31,5.87,9130220.0,1467.5,,,0.3
2001-01-31,5.15,4364540.0,1288.125,,,0.3
2001-02-28,4.95,6735020.0,1236.875,,,0.3
2001-03-31,3.53,3761700.0,881.25,,,0.3
2001-04-30,3.35,2086280.0,837.5,,,0.3
2001-05-31,3.69,4262080.0,922.5,,,0.3
2001-06-30,3.13,848700.0,781.25,,,0.175
2001-07-31,3.2,950020.0,801.25,,,0.25
2001-08-31,3.23,554260.0,808.125,,,0.25
2001-09-30,3.18,5174320.0,794.375,,,0.25
2001-10-31,3.41,2038760.0,852.5,,,0.25
2001-11-30,4.49,6073240.0,1121.875,,,0.25
2001-12-31,4.05,2905420.0,1012.5,,,0.25
2002-01-31,4.37,1081280.0,1093.125,,,0.075
2002-02-28,4.46,2796580.0,1113.75,,,0.075
2002-03-31,4.63,1556520.0,1158.125,3.6606,0.742,0.075
2002-04-30,5.94,5378700.0,1484.375,4.6918,0.951,0.075
2002-05-31,5.56,3466360.0,1388.75,4.3896,0.8897,0.075
2002-06-30,6.41,9140940.0,1601.875,5.0632,1.0262,0.075
2002-07-31,6.53,11843100.0,1631.25,5.1561,1.0451,0.075
2002-08-31,6.46,3370940.0,1615.625,5.1067,1.0351,0.275
2002-09-30,5.78,1242780.0,1445.0,4.5674,0.9257,0.275
2002-10-31,6.78,3188440.0,1695.625,5.3595,1.0863,0.275
2002-11-30,7.26,3379360.0,1815.0,5.7369,1.1628,0.275
2002-12-31,9.04,7765100.0,2258.75,7.1395,1.4471,0.275
2003-01-31,9.79,10159020.0,2446.875,7.7341,1.5676,0.275
2003-02-28,9.04,2833020.0,2260.625,7.1454,1.4483,0.275
2003-03-31,8.22,3318080.0,2053.75,3.2965,1.0363,0.275
2003-04-30,8.98,3383960.0,2244.375,3.6025,1.1324,0.275
2003-05-31,13.85,14302340.0,3461.25,5.5558,1.7464,0.275
2003-06-30,18.23,13353180.0,4558.125,7.3164,2.2999,0.275
2003-07-31,17.21,9076720.0,4302.5,6.9061,2.1709,0.725
2003-08-31,25.15,10942900.0,6287.5,10.0923,3.1725,0.725
2003-09-30,26.17,15173540.0,6542.5,10.5016,3.3011,0.725
2003-10-31,24.5,11546060.0,6125.0,9.8315,3.0905,0.45
2003-11-30,24.3,8284520.0,6075.0,9.7512,3.0652,0.7
2003-12-31,31.28,9366060.0,7820.0,12.5522,3.9457,0.7
2004-01-31,26.0,7811240.0,6500.625,10.4344,3.28,0.7
2004-02-29,32.42,15867580.0,8105.0,13.0096,4.0895,0.7
2004-03-31,32.79,11566220.0,8197.5,11.0845,3.248,0.7
2004-04-30,32.95,7913060.0,8237.5,11.1386,3.2638,0.7
2004-05-31,31.53,4871560.0,7882.5,10.6586,3.1232,0.7
2004-06-30,28.69,5825440.0,7173.125,9.6993,2.8421,0.7
2004-07-31,30.51,5534080.0,7628.125,10.3146,3.0224,0.55
2004-08-31,32.01,2514740.0,8001.25,10.8191,3.1702,0.55
2004-09-30,32.37,2050900.0,8093.125,10.9434,3.2066,0.55
2004-10-31,36.31,9917800.0,9076.25,12.2727,3.5961,0.55
2004-11-30,37.96,5397640.0,9491.25,12.8339,3.7606,0.55
2004-12-31,45.09,5015860.0,11272.5,15.2424,4.4663,0.55
2005-01-31,39.83,7986080.0,9957.5,13.4643,3.9453,0.55
2005-02-28,36.8,7163370.0,9198.75,12.4384,3.6447,0.55
2005-03-31,30.02,17286660.0,7499.1762,10.1316,2.302,0.55
2005-04-30,32.05,9204120.0,8006.2824,10.8167,2.4577,0.55
2005-05-31,33.61,3245640.0,8394.7307,11.3415,2.5769,0.55
2005-06-30,36.01,8574940.0,8995.5142,12.1532,2.7613,0.55
2005-07-31,44.99,11785270.0,11238.7721,15.1839,3.4499,0.55
2005-08-31,45.32,11289460.0,11321.2081,15.2953,3.4752,0.55
2005-09-30,44.53,5530120.0,11131.25,15.027,3.4143,0.55
2005-10-31,40.15,4037600.0,10037.5,13.5505,3.0788,0.55
2005-11-30,41.61,8202170.0,10402.5,14.0432,3.1907,0.55
2005-12-31,41.04,5637560.0,10260.0,13.8508,3.147,0.55
2006-01-31,33.82,6108860.0,8453.75,11.4124,2.593,0.55
2006-02-28,33.76,8191300.0,8440.0,11.3939,2.5888,0.55
2006-03-31,35.08,9659180.0,8770.0,14.2591,2.3671,0.55
2006-04-30,33.03,5651990.0,8476.25,13.4238,2.2284,0.55
2006-05-31,32.05,7895210.0,8011.25,13.0254,2.1623,0.55
2006-06-30,26.15,14052830.0,6533.4001,10.6273,1.7642,0.55
2006-07-31,32.7,6035490.0,8170.1861,13.2897,2.2062,0.55
2006-08-31,38.8,5710830.0,9694.5212,15.7691,2.6178,0.55
2006-09-30,36.92,3665350.0,9227.225,15.009,2.4916,0.55
2006-10-31,43.33,11735080.0,10827.7768,17.6125,2.9238,0.55
2006-11-30,48.27,10712580.0,12060.9889,19.6185,3.2568,0.65
2006-12-31,59.84,13028590.0,14952.2277,24.3214,4.0375,0.65
2007-01-31,63.42,13900170.0,15848.0869,25.7786,4.2794,0.65
2007-02-28,61.85,6861880.0,15454.5086,25.1384,4.1731,0.65
2007-03-31,60.19,3200110.0,15040.4116,12.0053,3.1757,0.65
2007-04-30,66.61,3054030.0,16647.2878,13.2879,3.515,0.65
2007-05-31,63.02,9491430.0,15748.8866,12.5708,3.3253,0.65
2007-06-30,72.9,8612160.0,18216.6786,14.5406,3.8464,0.65
2007-07-31,70.6,18818510.0,17644.211,14.0828,3.7253,0.75
2007-08-31,69.34,13625330.0,17329.3143,13.8315,3.6588,0.75
2007-09-30,66.02,16397460.0,16499.7188,13.1692,3.4836,0.75
2007-10-31,63.98,21481090.0,15989.882,12.7623,3.376,0.75
2007-11-30,59.96,3494450.0,14983.9539,11.9594,3.1636,0.75
2007-12-31,68.6,4409380.0,17206.8196,13.6849,3.62,0.75
2008-01-31,63.01,11638070.0,15802.2837,12.5678,3.3245,0.75
2008-02-29,62.1,2708000.0,15574.0466,12.3863,3.2765,0.75
2008-03-31,61.71,4891250.0,15476.9098,11.0742,2.6273,0.75
2008-04-30,63.57,4994890.0,15944.6279,11.409,2.7067,0.75
2008-05-31,59.54,682940.0,14932.5691,10.6848,2.5349,0.75
2008-06-30,56.18,5008980.0,14091.068,10.0827,2.392,0.75
2008-07-31,55.1,15747770.0,13818.9829,9.8879,2.3458,0.8
2008-08-31,58.84,3417070.0,14758.3076,10.5601,2.5053,0.8
2008-09-30,56.5,662080.0,14171.4996,10.1401,2.4057,0.8
2008-10-31,38.58,890370.0,9676.6359,6.924,1.6427,0.8
2008-11-30,33.05,6352120.0,8323.8075,5.9315,1.4072,0.85
2008-12-31,36.98,1281870.0,9312.3383,6.6359,1.5743,0.85
2009-01-31,35.05,6637090.0,8826.434,6.2896,1.4922,0.9
2009-02-28,33.0,3809070.0,8311.3803,5.9225,1.4051,0.9
2009-03-31,33.05,6071910.0,8322.714,8.6922,1.3088,0.9
2009-04-30,40.2,2708900.0,10124.7723,10.5743,1.5922,0.9
2009-05-31,56.83,2721770.0,14313.2043,14.9487,2.2508,0.9
2009-06-30,52.29,6354330.0,13168.5005,13.7531,2.0708,0.9
2009-07-31,61.3,4009040.0,15438.773,16.1244,2.4278,1.05
2009-08-31,69.03,3464330.0,17384.3606,18.1564,2.7338,1.05
2009-09-30,80.69,3482060.0,20321.0016,21.2235,3.1956,1.05
2009-10-31,90.22,2507340.0,22721.1893,23.7303,3.5731,1.2
2009-11-30,94.08,5361980.0,23459.6012,24.7469,3.7261,1.2
2009-12-31,104.04,9831590.0,26041.3125,27.3655,4.1204,1.2
2010-01-31,113.68,13932340.0,28454.3298,29.9012,4.5022,1.3
2010-02-28,109.53,2190990.0,27431.0837,28.8096,4.3378,1.3
2010-03-31,134.6,9113900.0,33711.2966,3.3005,3.8951,1.3
2010-04-30,130.85,1822610.0,32772.0889,3.2085,3.7866,1.3
2010-05-31,137.13,3839026.0,34343.6965,3.3624,3.9682,1.3
2010-06-30,145.95,12370022.0,36553.9654,3.5788,4.2236,1.3
2010-07-31,140.1,19802782.0,35088.8013,3.4354,4.0543,1.4
2010-08-31,142.57,6842944.0,35708.6784,3.4961,4.1259,1.4
2010-09-30,155.0,7324322.0,38820.5868,3.8007,4.4855,1.4
2010-10-31,162.88,9745972.0,40792.923,3.9938,4.7134,1.4
2010-11-30,158.88,5109788.0,39903.4892,3.8957,4.5976,1.4
2010-12-31,172.75,3335766.0,43388.373,4.236,4.9992,1.4
2011-01-31,151.98,4119890.0,38170.4659,3.7265,4.398,1.4
2011-02-28,137.48,4850244.0,34562.9741,3.371,3.9783,1.5
2011-03-31,150.3,5158300.0,37787.3432,2.8634,3.5911,1.5
2011-04-30,151.4,3876576.0,38064.0498,2.8844,3.6174,1.5
2011-05-31,166.5,3589960.0,41860.3982,3.1721,3.9782,1.5
2011-06-30,172.15,5530504.0,43280.8862,3.2797,4.1132,1.5
2011-07-31,164.0,4894544.0,41231.8637,3.1244,3.9184,1.6
2011-08-31,155.25,5804724.0,39031.9929,2.9577,3.7094,1.6
2011-09-30,128.6,4955428.0,32331.8151,2.45,3.0726,1.6
2011-10-31,127.15,9868688.0,31967.2651,2.4224,3.038,1.6
2011-11-30,128.9,10755782.0,32407.2392,2.4557,3.0798,1.6
2011-12-31,137.93,6378208.0,34676.2488,2.6277,3.2954,1.6
2012-01-31,149.23,2973118.0,37517.2248,2.843,3.5654,1.6
2012-02-29,172.03,12138544.0,43291.1927,3.2773,4.1102,1.6
2012-03-31,167.6,6799598.0,42167.2225,15.2502,3.372,1.6
2012-04-30,180.73,7391790.0,45469.399,16.4445,3.6361,1.6
2012-05-31,171.48,6151984.0,43142.1508,15.6028,3.45,1.6
2012-06-30,179.35,4433094.0,45239.2094,16.3194,3.6084,1.6
2012-07-31,200.38,9162516.0,50542.5514,18.2325,4.0314,1.6
2012-08-31,220.63,10124312.0,55650.4074,20.0751,4.4389,1.6
2012-09-30,242.13,10913334.0,61073.5633,22.0314,4.8714,1.6
2012-10-31,229.55,11155468.0,57901.6477,20.8872,4.6184,1.6
2012-11-30,228.73,13666566.0,57693.5499,20.8121,4.6018,2.1
2012-12-31,259.3,12568800.0,65405.782,23.5942,5.217,2.1
2013-01-31,246.15,6410186.0,62088.8285,22.3976,4.9524,2.1
2013-02-28,248.03,4705280.0,62585.935,22.5682,4.9901,2.1
2013-03-31,264.7,6283366.0,66793.6579,20.6394,4.2998,2.1
2013-04-30,254.15,4705062.0,64131.5004,19.8168,4.1284,1.6
2013-05-31,297.27,9784796.0,75013.5423,23.1793,4.829,1.6
2013-06-30,327.6,14347916.0,82665.668,25.5439,5.3216,1.6
2013-07-31,333.45,8571550.0,84141.8407,26.0,5.4166,2.6
2013-08-31,309.98,8848014.0,78219.1566,24.1696,5.0353,2.6
2013-09-30,357.7,8935388.0,90262.0931,27.8908,5.8105,2.0
2013-10-31,341.68,8580458.0,86218.3412,26.6413,5.5502,3.25
2013-11-30,329.6,2498662.0,83171.3332,25.6998,5.3541,3.25
2013-12-31,362.18,4352754.0,91391.3155,28.2398,5.8832,2.25
2014-01-31,414.53,4865874.0,104601.3255,32.3216,6.7336,2.25
2014-02-28,443.4,2784268.0,111887.6491,34.5731,7.2027,2.25
2014-03-31,422.43,4660682.0,106594.8132,22.2798,5.4407,2.25
2014-04-30,418.0,3185168.0,105478.2078,22.0464,5.3837,2.25
2014-05-31,394.3,5673652.0,99497.7448,20.7964,5.0785,2.25
2014-06-30,438.93,4142428.0,110758.4267,23.1501,5.6532,2.25
2014-07-31,353.23,19055130.0,89132.8707,18.63,4.5494,2.5
2014-08-31,373.1,14538786.0,94148.1323,19.6783,4.8054,2.5
2014-09-30,395.98,8685380.0,99920.4146,20.8848,5.1,2.5
2014-10-31,365.65,5995394.0,92268.1978,19.2853,4.7095,2.5
2014-11-30,342.13,18295776.0,86331.8943,18.0446,4.4065,2.5
2014-12-31,365.68,8699410.0,92274.5063,19.2867,4.7098,2.5
2015-01-31,319.15,14112460.0,80534.378,16.8328,4.1106,2.5
2015-02-28,328.43,9326584.0,82874.7633,17.322,4.23,2.5
2015-03-31,317.93,33925608.0,80225.2613,31.5558,3.6335,2.5
2015-04-30,321.05,10959856.0,81014.1477,31.866,3.6692,2.5
2015-05-31,327.35,5468730.0,82603.8974,32.4913,3.7412,2.5
2015-06-30,354.83,9088018.0,89536.9723,35.2184,4.0552,2.5
2015-07-31,338.13,7809884.0,85322.874,33.5608,3.8644,0.5
2015-08-31,395.83,15704330.0,99883.3548,39.2878,4.5238,0.5
2015-09-30,370.9,6306330.0,93593.7253,36.8139,4.239,0.5
2015-10-31,389.58,10241128.0,98306.216,38.6675,4.4524,0.5
2015-11-30,395.35,6779642.0,99763.4923,39.2407,4.5184,0.5
2015-12-31,370.95,8621908.0,93606.3424,36.8189,4.2395,0.5
2016-01-31,334.48,8715260.0,84402.1603,33.1985,3.8227,0.5
2016-02-29,282.38,21687522.0,71255.1312,28.0273,3.2272,0.5
2016-03-31,291.08,8744062.0,73450.5084,78.8821,3.2519,0.5
2016-04-30,248.88,23931462.0,62801.6672,67.4458,2.7804,0.5
2016-05-31,214.95,12883066.0,54240.9578,58.252,2.4014,0.5
2016-06-30,244.33,17476800.0,61653.5102,66.2127,2.7296,0.5
2016-07-31,257.88,19467692.0,65072.7471,69.8848,2.881,0.5
2016-08-31,270.6,15610360.0,68283.8017,73.3333,3.0232,0.0
2016-09-30,299.75,10470376.0,75639.5771,81.2331,3.3488,0.0
2016-10-31,310.4,3976340.0,78327.0216,84.1192,3.4678,0.0
2016-11-30,290.5,6339558.0,73305.4117,78.7263,3.2455,0.0
2016-12-31,266.52,2968072.0,67255.5072,72.229,2.9776,0.0
2017-01-31,267.4,3487846.0,67476.3066,72.4661,2.9874,0.0
2017-02-28,276.85,9073020.0,69860.9405,75.0271,3.093,0.0
2017-03-31,311.93,7417854.0,78711.8435,40.4572,3.2066,0.0
2017-04-30,299.02,7344114.0,75456.629,38.784,3.0739,0.0
2017-05-31,245.35,4510576.0,61912.1609,31.8223,2.5222,0.0
2017-06-30,246.23,29253512.0,62133.4526,31.9358,2.5312,0.0
2017-07-31,239.3,6468504.0,60385.9689,31.0376,2.46,0.5
2017-08-31,208.7,9615986.0,52664.2362,27.0687,2.1454,0.5
2017-09-30,243.83,26601352.0,61527.8265,31.6245,2.5065,0.5
2017-10-31,266.65,13027976.0,67287.583,34.585,2.7411,0.5
2017-11-30,270.52,12089042.0,68265.4185,35.0875,2.781,0.5
2017-12-31,299.15,13515140.0,75488.7716,38.8003,3.0752,0.5
2018-01-31,287.25,7345932.0,72485.8755,37.2568,2.9529,0.5
2018-02-28,336.43,24178654.0,84913.0705,43.6349,3.4584,0.5
2018-03-31,327.83,9161678.0,82742.4458,34.5625,3.0776,0.5
2018-04-30,375.85,9274438.0,94863.8702,39.6257,3.5284,0.5
2018-05-31,335.2,6239100.0,84603.8827,35.34,3.1468,0.5
2018-06-30,349.8,7758022.0,88395.9355,36.8793,3.2839,0.5
2018-07-31,379.83,6115144.0,95983.3796,40.0448,3.5657,0.5
2018-08-31,385.8,9661694.0,97493.2873,40.6747,3.6218,0.5
2018-09-30,339.73,6812766.0,85849.9405,35.8171,3.1893,0.5
2018-10-31,340.93,5597690.0,86153.1855,35.9436,3.2005,0.5
2018-11-30,398.23,11251756.0,100633.1372,41.9847,3.7385,0.5
2018-12-31,401.05,5913106.0,101347.0266,42.2826,3.765,0.5
2019-01-31,384.73,5041952.0,97221.6303,40.5614,3.6117,0.5
2019-02-28,404.9,11777978.0,102319.9379,42.6885,3.8011,0.5
2019-03-31,490.93,12022830.0,124058.8182,27.8834,3.9732,0.5
2019-04-30,476.25,7748494.0,120350.3838,27.0499,3.8544,0.5
2019-05-31,469.08,6623918.0,118537.2311,26.6424,3.7964,0.5
2019-06-30,458.88,4360538.0,115959.648,26.063,3.7138,0.5
2019-07-31,477.9,5300790.0,120767.3458,27.1436,3.8678,0.5
2019-08-31,479.53,9544726.0,121177.9901,27.2359,3.8809,1.5
2019-09-30,451.5,7175300.0,114095.9544,25.6442,3.6541,1.5
2019-10-31,490.38,8924730.0,123919.8309,27.8522,3.9687,1.5
2019-11-30,571.3,13190816.0,144369.9197,32.4485,4.6237,1.5
2019-12-31,568.13,6737542.0,143567.5839,32.2682,4.598,1.5
2020-01-31,628.23,6933382.0,158755.1074,35.6817,5.0844,1.5
2020-02-29,680.68,13272756.0,172009.4436,38.6608,5.5089,2.5
2020-03-31,696.13,25075736.0,175913.7238,29.0173,4.8495,2.5
2020-04-30,809.35,39454700.0,204526.1588,33.737,5.6382,2.5
2020-05-31,747.3,15051252.0,188845.8621,31.1505,5.206,2.5
2020-06-30,837.2,17463138.0,211563.9713,34.8979,5.8323,2.5
2020-07-31,937.3,12270832.0,236859.6635,39.0704,6.5296,2.5
2020-08-31,943.8,20323122.0,238502.2409,39.3414,6.5749,2.5
2020-09-30,1083.22,14173544.0,273735.5265,45.1532,7.5462,2.5
2020-10-31,1156.55,14574550.0,293364.9493,48.2097,8.057,2.5
2020-11-30,1083.38,47824090.0,274803.7283,45.1594,7.5472,6.5
2020-12-31,1094.4,16292470.0,277601.3737,45.619,7.624,6.5
2021-01-31,926.03,10812276.0,234892.0067,38.6005,6.451,6.5
2021-02-28,924.78,11955480.0,234574.9364,38.5484,6.4423,4.0
2021-03-31,951.88,10231794.0,241449.0201,21.1481,5.1364,4.0
2021-04-30,1052.65,11513816.0,267011.2263,23.387,5.6802,4.0
2021-05-31,1035.3,14204484.0,262610.2908,23.0016,5.5865,4.0
2021-06-30,1013.2,10855974.0,257004.4882,22.5106,5.4673,4.0
2021-07-31,1052.2,6655550.0,266947.5782,23.377,5.6777,4.0
