MRPL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,55.0,,,,,0.0
1995-02-28,51.0,,,,,0.0
1995-03-31,48.5,,,,,0.0
1995-04-30,45.0,,,,,0.0
1995-05-31,46.0,,,,,0.0
1995-06-30,42.75,,,,,0.0
1995-07-31,43.25,,,,,0.0
1995-08-31,38.5,,,,,0.0
1995-09-30,36.25,,,,,0.0
1995-10-31,35.25,,,,,0.0
1995-11-30,27.75,,,,,0.0
1995-12-31,29.0,,,,,0.0
1996-01-31,26.25,,,,,0.0
1996-02-29,27.5,,,,,0.0
1996-03-31,27.25,,,,,0.0
1996-04-30,32.5,,,,,0.0
1996-05-31,29.25,237700.0,,,,0.0
1996-06-30,28.25,632700.0,,,,0.0
1996-07-31,25.5,584200.0,,,,0.0
1996-08-31,23.35,398501.0,,,,0.0
1996-09-30,19.35,398036.0,,,,0.0
1996-10-31,18.0,476130.0,,,,0.0
1996-11-30,16.1,240920.0,,,,0.0
1996-12-31,20.6,471000.0,,,,0.0
1997-01-31,18.85,802600.0,,,,0.0
1997-02-28,21.15,393450.0,,,,0.0
1997-03-31,17.65,777150.0,,,,0.0
1997-04-30,18.7,362425.0,,,,0.0
1997-05-31,16.8,483985.0,,,,0.0
1997-06-30,18.1,843800.0,,,,0.0
1997-07-31,23.1,690300.0,9650.0941,,,0.0
1997-08-31,21.05,1583775.0,8793.7005,,,0.0
1997-09-30,21.6,504410.0,9023.4646,,,0.0
1997-10-31,21.9,705522.0,9023.4646,,,0.0
1997-11-30,20.9,237275.0,8731.0375,,,0.0
1997-12-31,19.85,327125.0,8292.3969,,,0.0
1998-01-31,18.4,466500.0,7686.655,,,0.0
1998-02-28,18.65,542975.0,7791.0933,,,0.0
1998-03-31,19.25,1019225.0,8041.7451,,,0.0
1998-04-30,19.1,1231725.0,7979.0821,,,0.0
1998-05-31,17.95,366550.0,7498.6662,,,0.0
1998-06-30,16.15,482250.0,6746.7108,,,0.0
1998-07-31,15.35,573550.0,6412.5393,,,0.0
1998-08-31,15.55,168400.0,6496.0903,,,0.0
1998-09-30,13.9,218500.0,5806.7946,,,0.0
1998-10-31,13.6,215250.0,5681.4681,,,0.0
1998-11-30,12.75,175450.0,5326.3763,,,0.0
1998-12-31,12.9,478625.0,5389.0396,,,0.0
1999-01-31,12.6,336850.0,5263.7131,,,0.0
1999-02-28,12.85,322500.0,5368.1518,,,0.0
1999-03-31,10.3,420825.0,4302.8766,,,0.0
1999-04-30,9.45,212000.0,3947.7848,,,0.0
1999-05-31,12.6,980563.0,10013.2455,,,0.0
1999-06-30,19.0,1747582.0,15099.3385,,,0.0
1999-07-31,18.75,1286583.0,14900.663,,,0.0
1999-08-31,22.5,2431283.0,17880.7956,,,0.0
1999-09-30,21.0,1219661.0,16688.7426,,,0.0
1999-10-31,17.9,1272651.0,14225.1663,,,0.0
1999-11-30,17.1,678145.0,13589.4047,,,0.0
1999-12-31,16.7,858783.0,13271.5238,,,0.0
2000-01-31,14.65,1168253.0,11642.3847,,,0.0
2000-02-29,14.25,836128.0,11324.5039,,,0.0
2000-03-31,13.15,560271.0,10450.3316,,,0.0
2000-04-30,10.95,188715.0,8701.9872,,,0.0
2000-05-31,10.0,230044.0,7947.0203,,,0.0
2000-06-30,9.9,227755.0,7867.5501,,,0.0
2000-07-31,9.1,213680.0,7231.7884,,,0.0
2000-08-31,8.45,295495.0,6715.2295,,,0.0
2000-09-30,8.8,388955.0,6993.3751,,,0.0
2000-10-31,8.55,135967.0,6794.6997,,,0.0
2000-11-30,8.85,249607.0,7033.1102,,,0.0
2000-12-31,8.8,263931.0,6993.3751,,,0.0
2001-01-31,8.8,375877.0,6993.3751,,,0.0
2001-02-28,8.3,453634.0,6596.0243,,,0.0
2001-03-31,7.7,582114.0,6119.2033,,,0.0
2001-04-30,7.65,260066.0,6079.4682,,,0.0
2001-05-31,7.2,178901.0,5721.8524,,,0.0
2001-06-30,6.85,211058.0,5443.7068,,,0.0
2001-07-31,5.95,294444.0,4728.4752,,,0.0
2001-08-31,5.8,233291.0,4609.27,,,0.0
2001-09-30,6.3,319859.0,5006.6208,,,0.0
2001-10-31,7.0,283239.0,5562.912,,,0.0
2001-11-30,8.0,439592.0,6357.6138,,,0.0
2001-12-31,6.8,392286.0,5403.9717,,,0.0
2002-01-31,6.7,371273.0,5324.5015,,,0.0
2002-02-28,8.05,1011141.0,6397.3489,,,0.0
2002-03-31,6.8,1354053.0,5403.9717,,,0.0
2002-04-30,7.2,916937.0,5721.8524,,,0.0
2002-05-31,8.4,2153139.0,6675.4945,,,0.0
2002-06-30,10.0,4435434.0,7947.0172,,,0.0
2002-07-31,8.4,6385486.0,6675.4945,,,0.0
2002-08-31,7.7,929327.0,6119.2033,,,0.0
2002-09-30,7.65,732194.0,6079.4682,,,0.0
2002-10-31,7.35,489587.0,5841.0577,,,0.0
2002-11-30,7.9,553332.0,6278.1436,,,0.0
2002-12-31,7.05,656089.0,5602.6471,,,0.0
2003-01-31,7.55,1519033.0,5999.998,,,0.0
2003-02-28,8.1,957374.0,6437.0839,,,0.0
2003-03-31,8.1,1252888.0,6437.0839,,,0.0
2003-04-30,9.55,1175134.0,7589.4014,,,0.0
2003-05-31,19.15,10752350.0,15218.538,,,0.0
2003-06-30,24.05,17687437.0,42608.1537,,,0.0
2003-07-31,24.4,7110736.0,43228.2308,,,0.0
2003-08-31,42.1,30354743.0,74586.4146,,,0.0
2003-09-30,37.8,14386265.0,66968.334,,,0.0
2003-10-31,37.6,9255378.0,66614.0042,,,0.0
2003-11-30,45.7,33510687.0,80964.3615,,,0.0
2003-12-31,51.05,23532843.0,90442.6839,,,0.0
2004-01-31,54.25,35317026.0,96111.9608,,,0.0
2004-02-29,53.5,14449489.0,94783.2241,,,0.0
2004-03-31,54.6,17981386.0,96732.038,,,0.0
2004-04-30,56.6,14860765.0,100275.3361,,,0.0
2004-05-31,43.75,14416337.0,77509.6458,,,0.0
2004-06-30,37.8,6263990.0,66968.334,,,0.0
2004-07-31,47.55,14138610.0,84241.9122,,,0.0
2004-08-31,44.3,10006754.0,78484.0528,,,0.0
2004-09-30,44.9,12601605.0,78705.3152,,,0.0
2004-10-31,45.4,10554912.0,79581.7664,,,0.0
2004-11-30,45.05,5509352.0,78968.2506,,,0.0
2004-12-31,54.3,25217770.0,95182.5973,,,0.0
2005-01-31,51.75,59121609.0,90712.6963,,,0.0
2005-02-28,50.35,43667451.0,88258.633,,,0.0
2005-03-31,47.4,37830691.0,83087.5711,,,0.0
2005-04-30,45.95,16115812.0,80545.8459,,,0.0
2005-05-31,47.2,14622024.0,82736.9733,,,0.0
2005-06-30,44.55,26421537.0,78091.7831,,,0.0
2005-07-31,50.05,41887142.0,87732.744,,,0.0
2005-08-31,53.1,65346561.0,93079.1145,,,1.0
2005-09-30,52.6,59138507.0,92202.6633,,,1.0
2005-10-31,45.55,26901248.0,79844.7018,,,1.0
2005-11-30,47.95,18440840.0,84051.6674,,,1.0
2005-12-31,47.0,20982510.0,82386.4102,,,1.0
2006-01-31,45.3,22471626.0,79406.4762,,,1.0
2006-02-28,43.45,16927170.0,76163.6068,,,1.0
2006-03-31,42.45,18284693.0,74410.7045,,,1.0
2006-04-30,52.15,61833333.0,92465.5986,,,1.0
2006-05-31,42.75,102927738.0,74936.5752,,,1.0
2006-06-30,35.95,28954438.0,63016.8393,,,1.0
2006-07-31,35.1,13064707.0,61526.8723,,,1.0
2006-08-31,41.6,29979759.0,72920.7375,,,0.7
2006-09-30,42.6,26585020.0,74673.6398,,,0.7
