ITI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,75.0,,,,,2.0
1995-02-28,70.0,,,,,2.0
1995-03-31,57.5,,,,,2.0
1995-04-30,47.5,,,,,2.0
1995-05-31,30.5,,2684.0,,,2.0
1995-06-30,27.0,,2376.0,,,2.0
1995-07-31,34.5,,3036.0,,,2.0
1995-08-31,32.0,,2816.0,,,2.0
1995-09-30,30.0,,2640.0,,,2.0
1995-10-31,26.0,,2288.0,,,2.0
1995-11-30,20.0,,1760.0,,,0.0
1995-12-31,17.6,,1548.8,,,0.0
1996-01-31,18.0,,1584.0,,,0.0
1996-02-29,17.5,,1540.0,,,0.0
1996-03-31,13.5,,1188.0,,,0.0
1996-04-30,13.75,,1210.0,,,0.0
1996-05-31,12.0,13200.0,1056.0,,,0.0
1996-06-30,10.2,53200.0,897.6,,,0.0
1996-07-31,10.15,236300.0,893.2,,,0.0
1996-08-31,10.75,568300.0,946.0,,,0.0
1997-01-31,7.0,6100.0,616.0,,,0.0
1997-02-28,7.25,10700.0,638.0,,,0.0
1997-03-31,7.0,392100.0,616.0,,,0.0
1997-04-30,14.5,3815800.0,1276.0,,,0.0
1997-05-31,16.0,1049300.0,1408.0,,,0.0
1997-06-30,19.25,599300.0,1694.0,,,0.0
1997-07-31,20.5,260100.0,1804.0,,,0.0
1997-08-31,17.6,185200.0,1548.8,,,0.0
1997-09-30,14.0,169000.0,1232.0,,,0.0
1997-10-31,13.0,65700.0,1144.0,,,0.0
1997-11-30,8.0,58500.0,704.0,,,0.0
1997-12-31,7.6,81800.0,668.8,,,0.0
1998-01-31,8.0,145400.0,704.0,,,0.0
1998-02-28,10.8,133100.0,950.4,,,0.0
1998-03-31,12.85,122900.0,1130.8,,,0.0
1998-04-30,11.0,80200.0,968.0,,,0.0
1998-05-31,16.9,104100.0,1487.2,,,0.0
1998-06-30,13.5,325250.0,1188.0,,,0.0
1998-07-31,10.0,55300.0,880.0,,,0.0
1998-08-31,10.0,42300.0,880.0,,,0.0
1998-09-30,12.15,43700.0,1069.2,,,0.0
1998-10-31,11.5,29200.0,1012.0,,,0.0
1998-11-30,8.4,32900.0,739.2,,,0.0
1998-12-31,11.5,42200.0,1012.0,,,0.0
1999-01-31,16.85,616000.0,1482.8,,,0.0
1999-02-28,24.7,2705800.0,2173.6,,,0.0
1999-03-31,22.4,1225000.0,1971.2,,,0.0
1999-04-30,21.2,1329000.0,1865.6,,,0.0
1999-05-31,15.55,869300.0,1368.4,,,0.0
1999-06-30,17.9,791900.0,1575.2,,,0.0
1999-07-31,25.75,4556100.0,2266.0,,,0.0
1999-08-31,34.2,4268800.0,3009.6,,,0.62
1999-09-30,32.65,2597200.0,2873.2,,,0.62
1999-10-31,47.65,4000000.0,4193.2,,,0.62
1999-11-30,44.05,1456000.0,3876.4,,,0.62
1999-12-31,61.35,2455200.0,5398.8,,,0.62
2000-01-31,56.0,1768600.0,4928.0,,,0.62
2000-02-29,50.75,1643900.0,4466.0,,,0.62
2000-03-31,34.65,2217900.0,3049.2,,,0.62
2000-04-30,28.6,403400.0,2516.8,,,0.62
2000-05-31,26.1,558900.0,2296.8,,,0.62
2000-06-30,29.7,926922.0,2613.6,,,0.62
2000-07-31,22.3,461510.0,1962.4,,,0.62
2000-08-31,24.85,946529.0,2186.8,,,0.62
2000-09-30,19.05,1251555.0,1676.4,,,0.6
2000-10-31,18.35,333972.0,1614.8,,,0.6
2000-11-30,23.35,657874.0,2054.8,,,0.6
2000-12-31,25.0,634374.0,2200.0,,,0.6
2001-01-31,23.05,383964.0,2028.4,,,0.6
2001-02-28,26.4,1978651.0,2323.2,,,0.6
2001-03-31,14.15,1327559.0,1245.2,,,0.6
2001-04-30,13.9,663507.0,1223.2,,,0.6
2001-05-31,14.65,618786.0,1289.2,,,0.6
2001-06-30,12.45,249291.0,1095.6,,,0.6
2001-07-31,10.65,486737.0,937.2,,,0.6
2001-08-31,8.65,115029.0,761.2,,,0.5
2001-09-30,8.5,86041.0,748.0,,,0.5
2001-10-31,9.9,102022.0,871.2,,,0.5
2001-11-30,13.0,731963.0,1144.0,,,0.5
2001-12-31,11.3,267642.0,994.4,,,0.5
2002-01-31,11.85,259588.0,1042.8,,,0.5
2002-02-28,15.85,3642394.0,1394.8,,,0.5
2002-03-31,20.25,1101753.0,1782.0,,,0.5
2002-04-30,18.7,991552.0,1645.6,,,0.5
2002-05-31,35.55,13754350.0,3128.4,,,0.5
2002-06-30,35.0,11626019.0,3080.0,,,0.5
2002-07-31,22.6,2456238.0,1988.8,,,0.5
2002-08-31,22.3,1044798.0,1962.4,,,0.5
2002-09-30,17.55,647305.0,1544.4,,,0.5
2002-10-31,18.65,800815.0,1641.2,,,0.5
2002-11-30,22.5,676902.0,1980.0,,,0.5
2002-12-31,21.55,1127067.0,1896.4,,,0.5
2003-01-31,18.0,361932.0,1584.0,,,0.5
2003-02-28,18.0,476025.0,1584.0,,,0.5
