RELIANCE IN Equity,price,volume,mc,pe,bm,div
1995-01-31,7.83,,87984.877,,,0.0
1995-02-28,7.62,,85585.2895,,,0.0
1995-03-31,7.44,,83585.6332,,,0.0
1995-04-30,7.08,,114515.0474,,,0.0
1995-05-31,7.73,,124988.2829,,,0.3405
1995-06-30,7.52,,121535.5679,,,0.3405
1995-07-31,7.6,,122916.6539,,,0.3405
1995-08-31,7.52,,121535.5679,,,0.3405
1995-09-30,7.86,,127059.9119,,,0.3405
1995-10-31,6.92,,111867.9659,,,0.3405
1995-11-30,6.09,,98517.4679,,,0.3405
1995-12-31,5.89,,95294.9339,,,0.3405
1996-01-31,4.98,,80563.3499,,,0.3405
1996-02-29,6.06,,97942.0154,,,0.3405
1996-03-31,5.92,,95755.2959,,,0.3405
1996-04-30,7.42,,119924.3009,,,0.3715
1996-05-31,6.81,686956926.0,110028.4288,,,0.3715
1996-06-30,6.04,1157102795.0,97598.439,,,0.3715
1996-07-31,6.08,3390135775.0,98288.994,,,0.3715
1996-08-31,6.01,1274978464.0,97138.069,,,0.3715
1996-09-30,5.42,551716167.0,87700.4841,,,0.3715
1996-10-31,5.77,1043000398.0,93224.924,,,0.3715
1996-11-30,5.15,816008528.0,83211.8766,,,0.3715
1996-12-31,5.79,715698844.0,93570.2015,,,0.3715
1997-01-31,7.53,2185842711.0,121767.8637,,,0.3715
1997-02-28,8.26,1841951977.0,133507.2986,,,0.3715
1997-03-31,7.31,2144655128.0,118199.9962,,,0.3715
1997-04-30,8.77,1863496117.0,141793.9585,,,0.4024
1997-05-31,8.65,1008304669.0,139837.386,,,0.4024
1997-06-30,10.59,2160098105.0,171142.5457,,,0.4024
1997-07-31,10.17,988851475.0,164467.1808,,,0.4024
1997-08-31,9.38,1786351279.0,151691.9134,,,0.4024
1997-09-30,10.26,1893577573.0,165848.2907,,,0.4024
1997-10-31,10.73,2300613182.0,184838.553,,,0.4024
1997-11-30,9.04,752081978.0,146167.4734,,,0.4024
1997-12-31,9.42,994773208.0,152382.4684,,,0.4024
1998-01-31,8.53,614409715.0,137972.8875,,,0.4024
1998-02-28,9.11,508458417.0,147318.3984,,,0.4024
1998-03-31,10.07,1165193285.0,162878.9043,,,0.4024
1998-04-30,10.89,1202951781.0,178626.1882,,,0.4334
1998-05-31,9.51,534871394.0,155936.0869,,,0.4334
1998-06-30,8.16,981752528.0,133806.2351,,,0.4334
1998-07-31,7.76,628381510.0,127176.617,,,0.4334
1998-08-31,6.13,785144563.0,100564.7698,,,0.4334
1998-09-30,6.77,1331093601.0,110929.384,,,0.4334
1998-10-31,6.25,922354081.0,102432.2679,,,0.4334
1998-11-30,6.39,1308346251.0,104766.6404,,,0.4334
1998-12-31,6.82,963355040.0,111863.133,,,0.4334
1999-01-31,7.55,1099587656.0,123815.1205,,,0.4334
1999-02-28,8.23,817142787.0,135020.1088,,,0.4334
1999-03-31,7.43,993109280.0,121760.8727,,,0.4334
1999-04-30,7.35,668287378.0,120453.624,,,0.4334
1999-05-31,9.53,1214608655.0,156262.8991,,,0.4643
1999-06-30,10.06,1463904988.0,164993.4524,,,0.4643
1999-07-31,10.13,1397859436.0,166113.9513,,,0.4643
1999-08-31,11.08,916261075.0,181614.1851,,,0.4643
1999-09-30,13.47,1275228193.0,220831.644,,,0.4643
1999-10-31,13.3,1289714144.0,218077.0844,,,0.4643
1999-11-30,12.64,756474738.0,207292.2832,,,0.4643
1999-12-31,13.31,883272351.0,218217.1468,,,0.4643
2000-01-31,18.74,1665607091.0,307203.4287,,,0.4643
2000-02-29,17.74,1060762108.0,290816.1333,,,0.4643
2000-03-31,17.91,1123177210.0,293664.0679,,,0.4643
2000-04-30,19.76,1652385298.0,323917.5362,,,0.4953
2000-05-31,19.57,951723903.0,362176.2665,,,0.4953
2000-06-30,19.41,944241419.0,359225.747,,,0.4953
2000-07-31,19.25,1075998894.0,356117.164,,,0.4953
2000-08-31,19.19,423021314.0,355168.7827,,,0.4953
2000-09-30,19.51,902991490.0,361017.1338,,,0.4953
2000-10-31,17.26,589496654.0,319446.4218,,,0.4953
2000-11-30,18.67,613106551.0,345421.5308,,,0.4953
2000-12-31,19.31,603145456.0,357223.6088,,,0.4953
2001-01-31,21.88,965399509.0,404800.7354,,,0.4953
2001-02-28,23.58,1204943491.0,436360.7563,,,0.4953
2001-03-31,22.26,616462616.0,411913.5949,,,0.4953
2001-04-30,19.53,472247112.0,361438.6366,,,0.5263
2001-05-31,22.38,336976207.0,414126.4845,,,0.5263
2001-06-30,21.04,274805633.0,389363.2411,,,0.5263
2001-07-31,18.21,237635437.0,336938.8264,,,0.5263
2001-08-31,17.66,259849370.0,326822.7584,,,0.5263
2001-09-30,15.14,435147959.0,280141.3197,,,0.5263
2001-10-31,14.54,574128886.0,269129.5583,,,0.5263
2001-11-30,16.5,262982550.0,305378.8018,,,0.5263
2001-12-31,17.38,204625263.0,321553.973,,,0.5263
2002-01-31,17.06,281528165.0,315705.6212,,,0.5263
2002-02-28,17.51,306767676.0,323977.6143,,,0.5263
2002-03-31,17.12,277763213.0,316864.754,,,0.5263
2002-04-30,15.87,223816800.0,293629.4104,,,0.0
2002-05-31,15.06,190350221.0,278666.0598,,,0.0
2002-06-30,15.35,188210060.0,283987.5331,,,0.0
2002-07-31,13.95,253660593.0,258117.7968,,,0.0
2002-08-31,14.54,241957016.0,269024.1825,,,0.0
2002-09-30,14.71,190072218.0,272132.7659,,,0.0
2002-10-31,15.19,357475640.0,372325.7341,,,0.5882
2002-11-30,16.4,654568656.0,402087.06,,,0.5882
2002-12-31,16.95,488591805.0,415701.746,,,0.5882
2003-01-31,15.68,332261164.0,384422.8776,,,0.5882
2003-02-28,16.74,258122692.0,410465.3283,,,0.5882
2003-03-31,15.74,275022501.0,386028.7124,,,0.5882
2003-04-30,15.65,329129139.0,383864.3264,,,0.5882
2003-05-31,17.02,201180509.0,417447.2186,,,0.6191
2003-06-30,18.49,391066280.0,453264.3156,,,0.6191
2003-07-31,20.34,442104925.0,498856.059,,,0.6191
2003-08-31,22.7,407341513.0,556526.4725,,,0.6191
2003-09-30,25.28,640068192.0,619991.855,,,0.6191
2003-10-31,27.69,547542456.0,679058.6466,,,0.6191
2003-11-30,27.78,434132133.0,681292.8515,,,0.6191
2003-12-31,32.63,676652156.0,800124.6237,,,0.6191
2004-01-31,31.87,665810206.0,781413.1578,,,0.6191
2004-02-29,31.59,640950752.0,774501.0864,,,0.6191
2004-03-31,30.64,659022663.0,751321.2107,,,0.6191
2004-04-30,29.98,419798411.0,735053.4064,,,0.6191
2004-05-31,24.52,745523918.0,601140.7513,,,0.6501
2004-06-30,24.46,564228877.0,599884.011,,,0.6501
2004-07-31,27.84,605718376.0,682689.2295,,,0.6501
2004-08-31,27.08,494963830.0,664047.5825,,,0.6501
2004-09-30,29.51,393730061.0,723603.1064,,,0.6501
2004-10-31,30.14,452030987.0,739033.0839,,,0.6501
2004-11-30,29.43,474415570.0,721578.3582,,,0.6501
2004-12-31,30.4,691562783.0,745386.604,,,0.6501
2005-01-31,30.31,1485389092.0,743292.037,,,0.6501
2005-02-28,31.68,1037187761.0,776735.2913,,,0.6501
2005-03-31,31.1,1509702902.0,760925.0743,,,0.6501
2005-04-30,30.07,1044225348.0,735841.9293,,,0.6501
2005-05-31,30.47,895249973.0,745526.8103,,,0.9287
2005-06-30,36.59,2014201803.0,895398.6018,,,0.9287
2005-07-31,40.05,1258438845.0,980123.8916,,,0.9287
2005-08-31,40.97,1983410335.0,1002489.696,,,0.9287
2005-09-30,45.19,1455342248.0,1105818.318,,,0.9287
2005-10-31,43.42,1430004712.0,1062549.893,,,0.9287
2005-11-30,47.42,1075703367.0,1160374.159,,,0.9287
2005-12-31,50.64,1435636305.0,1239246.715,,,0.9287
2006-01-31,80.53,2912640809.0,994825.4016,,,0.9287
2006-02-28,79.96,1051762215.0,987788.1859,,,0.9287
2006-03-31,89.72,1052854294.0,1108326.633,,,0.9287
2006-04-30,115.4,1283040930.0,1405910.278,,,0.9287
2006-05-31,107.64,2036004232.0,1329615.712,,,0.9287
2006-06-30,119.56,1894872468.0,1476909.514,,,1.2383
2006-07-31,110.42,1153118939.0,1363965.686,,,1.2383
2006-08-31,126.05,905052006.0,1557036.227,,,1.2383
2006-09-30,132.18,809683609.0,1632843.065,,,1.2383
2006-10-31,138.3,647032741.0,1708440.877,,,1.2383
2006-11-30,140.39,674708432.0,1734151.101,,,1.2383
2006-12-31,143.28,704327523.0,1769964.258,,,1.2383
2007-01-31,154.15,544835146.0,1904159.084,,,1.2383
2007-02-28,152.57,496329454.0,1884719.647,,,1.2383
2007-03-31,154.58,604545700.0,1909524.09,,,1.3621
2007-04-30,176.1,504693399.0,2175335.752,,,1.3621
2007-05-31,198.41,594885681.0,2450901.97,,,1.3621
2007-06-30,191.84,482967246.0,2369730.126,,,1.3621
2007-07-31,213.6,605203574.0,2638607.505,,,1.3621
2007-08-31,221.21,725884148.0,2732529.948,,,1.3621
2007-09-30,259.24,530868746.0,3202351.19,,,1.3621
2007-10-31,314.04,1230694736.0,4046668.219,,,1.3621
2007-11-30,321.69,776703550.0,4145298.307,,,1.3621
2007-12-31,325.19,527977178.0,4190434.11,,,1.3621
2008-01-31,279.64,983610373.0,3603450.625,,,1.3621
2008-02-29,277.9,574930057.0,3580991.747,,,1.3621
2008-03-31,255.6,679785603.0,3293678.013,,,1.3621
2008-04-30,294.94,627281937.0,3800565.436,,,1.3621
2008-05-31,271.14,519065061.0,3493845.487,,,1.6097
2008-06-30,236.35,1052022677.0,3045612.621,,,1.6097
2008-07-31,249.03,1010646620.0,3208930.273,,,1.6097
2008-08-31,240.98,668019552.0,3105423.212,,,1.6097
2008-09-30,219.9,1042505325.0,2833867.563,,,1.6097
2008-10-31,155.16,1485268842.0,2164666.557,,,1.6097
2008-11-30,127.98,1586570335.0,1785383.657,,,1.6097
2008-12-31,139.07,1623666282.0,1940099.452,,,1.6097
2009-01-31,149.31,1316765048.0,2083078.998,,,1.6097
2009-02-28,142.82,903929151.0,1992507.023,,,1.6097
2009-03-31,172.01,1210682323.0,2399648.46,,,1.6097
2009-04-30,203.76,930032009.0,2842672.59,,,1.6097
2009-05-31,256.29,911514085.0,3575511.42,,,1.6097
2009-06-30,228.26,993446220.0,3184469.502,,,1.6097
2009-07-31,220.59,1025208153.0,3077543.479,,,0.0
2009-08-31,226.19,703684364.0,3155764.769,,,0.0
2009-09-30,248.37,907130289.0,3465108.528,,,0.0
2009-10-31,217.85,708905462.0,3173113.065,,,1.6097
2009-11-30,239.94,716459135.0,3494918.307,,,1.6097
2009-12-31,246.05,384527477.0,3566191.092,,,1.6097
2010-01-31,236.04,734621274.0,3421162.682,,,1.6097
2010-02-28,220.87,371935434.0,3201370.129,,,1.6097
2010-03-31,242.37,454306857.0,3513151.3,,,1.6097
2010-04-30,233.2,415493266.0,3380257.329,,,1.6097
2010-05-31,235.91,531273587.0,3419582.469,,,1.7336
2010-06-30,245.89,451460421.0,3564514.071,,,1.7336
2010-07-31,227.8,370455449.0,3302275.27,,,1.7336
2010-08-31,207.39,523737459.0,3006920.433,,,1.7336
2010-09-30,222.74,524197438.0,3230055.916,,,1.7336
2010-10-31,247.33,521063058.0,3587107.98,,,1.7336
2010-11-30,222.37,482878921.0,3225258.575,,,1.7336
2010-12-31,238.86,397239592.0,3464707.981,,,1.7336
2011-01-31,207.41,490771965.0,3008770.596,,,1.7336
2011-02-28,217.55,592826844.0,3156042.276,,,1.7336
2011-03-31,236.7,468531248.0,3434095.151,,,1.7336
2011-04-30,221.95,296682509.0,3220310.669,,,1.7336
2011-05-31,214.75,332457427.0,3115963.239,,,1.9812
2011-06-30,202.72,401429467.0,2941518.557,,,1.9812
2011-07-31,186.8,389838806.0,2710810.985,,,1.9812
2011-08-31,176.57,415608354.0,2562447.156,,,1.9812
2011-09-30,182.38,590453333.0,2646862.148,,,1.9812
2011-10-31,197.99,352833991.0,2873547.545,,,1.9812
2011-11-30,175.59,384120988.0,2548418.386,,,1.9812
2011-12-31,156.34,469878107.0,2269150.21,,,1.9812
2012-01-31,184.35,520368936.0,2675752.143,,,1.9812
2012-02-29,185.18,481589247.0,2687727.618,,,1.9812
2012-03-31,169.35,439343144.0,2458005.91,,,1.9812
2012-04-30,168.11,291498164.0,2439868.333,,,1.9812
2012-05-31,159.2,350120960.0,2310523.548,,,2.105
