VEDL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,1.22,,,,,0.0
1995-02-28,1.28,,,,,0.0
1995-03-31,1.28,,,,,0.0
1995-04-30,1.19,,,,,0.0
1995-05-31,1.0,,,,,0.0
1995-06-30,0.93,,,,,0.0
1995-07-31,0.92,,,,,0.0
1995-08-31,9.75,,,,,0.0
1995-09-30,9.9,,,,,0.0412
1995-10-31,10.05,,,,,0.0412
1995-11-30,10.0,,,,,0.0412
1995-12-31,11.13,,,,,0.0412
1996-01-31,9.81,,,,,0.0412
1996-02-29,9.75,,,,,0.0412
1996-03-31,10.0,,,,,0.0412
1996-04-30,10.38,,,,,0.0412
1996-05-31,9.88,1410000.0,,,,0.0412
1996-06-30,10.26,3810000.0,,,,0.0412
1996-07-31,8.45,5034000.0,6636.2923,,,0.0412
1996-08-31,8.87,7273440.0,6965.1618,,,0.0412
1996-09-30,4.74,11232560.0,3720.6431,,,0.0412
1996-10-31,5.56,5449280.0,4363.6567,,,0.0412
1996-11-30,5.36,2106120.0,4206.5847,,,0.0625
1996-12-31,6.13,501720.0,4810.3302,,,0.0625
1997-01-31,5.68,9603920.0,4456.9182,,,0.0625
1997-02-28,6.75,1547760.0,5301.1802,,,0.0625
1997-03-31,5.38,7361920.0,4221.3102,,,0.0625
1997-04-30,5.5,441840.0,4319.4802,,,0.0625
1997-05-31,4.63,583360.0,3632.2901,,,0.0625
1997-06-30,4.94,949240.0,3877.7152,,,0.0625
1997-07-31,4.01,6399160.0,3158.3189,,,0.0625
1997-08-31,4.55,41794400.0,3581.3959,,,0.0625
1997-09-30,4.11,107296440.0,3232.1114,,,0.0625
1997-10-31,4.36,7935920.0,3438.7304,,,0.0625
1997-11-30,4.51,20746640.0,3551.8789,,,0.0625
1997-12-31,4.56,108658400.0,3591.2349,,,0.0625
1998-01-31,5.75,104453880.0,4525.9399,,,0.0625
1998-02-28,7.09,74150960.0,5582.6485,,,0.0625
1998-03-31,6.76,39827760.0,5316.9955,,,0.0625
1998-04-30,7.83,56852520.0,6165.1172,,,0.0625
1998-05-31,8.57,91753760.0,6749.5538,,,0.0625
1998-06-30,4.08,146186120.0,3213.9073,,,0.0625
1998-07-31,4.51,130615960.0,3546.5162,,,0.0625
1998-08-31,3.83,58600280.0,3013.1611,,,0.0625
1998-09-30,3.77,60003120.0,2969.8629,,,0.0625
1998-10-31,2.83,44480960.0,2225.9211,,,0.0625
1998-11-30,2.81,31171080.0,2212.1444,,,0.0625
1998-12-31,3.2,33673080.0,2521.1361,,,0.0625
1999-01-31,3.22,78566320.0,2536.8809,,,0.0625
1999-02-28,3.35,70033360.0,2641.1902,,,0.0625
1999-03-31,3.03,93341000.0,2387.3053,,,0.0625
1999-04-30,2.1,38106680.0,1654.188,,,0.0625
1999-05-31,2.54,67655560.0,2002.5417,,,0.0625
1999-06-30,3.01,72413920.0,2371.5605,,,0.0625
1999-07-31,3.22,107966000.0,2532.9447,,,0.0625
1999-08-31,5.35,162161240.0,4211.7339,,,0.0625
1999-09-30,4.09,64351480.0,3217.8435,,,0.0625
1999-10-31,3.23,46577360.0,2538.849,,,0.0625
1999-11-30,3.14,23468200.0,2467.9974,,,0.0625
1999-12-31,2.69,20403840.0,2117.6756,,,0.0625
2000-01-31,2.38,23961040.0,1874.6152,,,0.0625
2000-02-29,1.75,21583840.0,1377.67,,,0.0625
2000-03-31,1.64,23452040.0,1289.1055,,,0.0625
2000-04-30,1.38,15084160.0,1082.455,,,0.0375
2000-05-31,1.36,8067080.0,1066.7102,,,0.0375
2000-06-30,1.36,12890560.0,1069.6623,,,0.0375
2000-07-31,1.25,12016800.0,987.0021,,,0.0375
2000-08-31,1.12,8677880.0,884.6609,,,0.0375
2000-09-30,1.08,12594520.0,853.1713,,,0.0375
2000-10-31,1.0,4715520.0,787.24,,,0.0375
2000-11-30,1.84,21356800.0,1447.5375,,,0.0375
2000-12-31,1.84,88779120.0,1451.4737,,,0.0375
2001-01-31,2.5,90974200.0,1968.1,,,0.0375
2001-02-28,2.08,114571120.0,1638.4432,,,0.0375
2001-03-31,1.31,30251200.0,1027.3482,,,0.0375
2001-04-30,1.56,13865480.0,1228.0944,,,0.0375
2001-05-31,1.54,79850000.0,1215.3017,,,0.0375
2001-06-30,1.24,90542440.0,980.1138,,,0.0
2001-07-31,1.31,6576920.0,1027.3482,,,0.075
2001-08-31,1.38,2772560.0,1088.3593,,,0.075
2001-09-30,1.23,4879120.0,969.2892,,,0.075
2001-10-31,1.15,5945040.0,901.3898,,,0.075
2001-11-30,1.39,17070320.0,1092.2955,,,0.075
2001-12-31,1.25,13262160.0,987.0021,,,0.075
2002-01-31,1.19,5809440.0,938.7837,,,0.075
2002-02-28,1.19,5745600.0,934.8475,,,0.075
2002-03-31,1.21,4303680.0,952.5604,,,0.075
2002-04-30,1.44,23629560.0,1134.6096,,,0.075
2002-05-31,1.71,50744080.0,1344.2123,,,0.075
2002-06-30,2.98,201842760.0,2342.039,,,0.075
2002-07-31,1.93,65235280.0,1518.3891,,,0.075
2002-08-31,2.09,15814480.0,1645.3316,,,0.075
2002-09-30,1.98,30845760.0,1555.783,,,0.075
2002-10-31,1.61,15620040.0,1269.4245,,,0.075
2002-11-30,1.69,20226560.0,1326.4994,,,0.075
2002-12-31,1.72,22920560.0,1352.0847,,,0.075
2003-01-31,1.63,30411760.0,1285.1693,,,0.075
2003-02-28,1.78,12510120.0,1404.2393,,,0.075
2003-03-31,1.54,6783080.0,1210.3815,,,0.075
2003-04-30,2.05,25056000.0,1613.842,,,0.075
2003-05-31,3.34,87318920.0,2628.3975,,,0.075
2003-06-30,4.18,79896360.0,3286.727,,,0.075
2003-07-31,4.29,105309440.0,3373.3234,,,0.075
