ONESOURC IN Equity,price,volume,mc,pe,bm,div
2025-01-31,1581.5,12599241.0,180980.5672,,,0.0
2025-02-28,1238.2,8089648.0,141694.6812,,,0.0
2025-03-31,1752.25,3789952.0,200520.5178,,3.4097,0.0
2025-04-30,1625.5,3356736.0,186015.7521,,3.1631,0.0
2025-05-31,1922.0,5917590.0,219946.0324,,3.74,0.0
2025-06-30,2197.8,7441377.0,251507.487,,4.2767,0.0
2025-07-31,1974.0,4283161.0,225955.9255,,3.8412,0.0
2025-08-31,1892.2,3200337.0,216592.6049,,3.682,0.0
2025-09-30,1840.4,3774447.0,210772.2075,,3.5812,0.0
2025-10-31,1854.1,2242200.0,212341.203,,3.6079,0.0
2025-11-30,1532.2,3111165.0,175532.1048,,2.9815,0.0
2025-12-31,1810.6,4885225.0,207467.8472,,3.5232,0.0
2026-01-31,1194.5,8694548.0,136871.945,,2.3244,0.0
2026-02-28,1346.8,7456378.0,154371.8335,,2.6207,0.0
2026-03-31,1424.9,796297.0,163323.7521,,2.7727,0.0
