INOXINDI IN Equity,price,volume,mc,pe,bm,div
2023-12-31,882.6,40545176.0,80107.8651,52.4421,,0.0
2024-01-31,915.6,12128975.0,83103.0606,54.4029,,0.0
2024-02-29,1190.6,31622247.0,108063.0231,70.7427,,0.0
2024-03-31,1222.65,9993596.0,110971.9933,56.6304,17.0971,0.0
2024-04-30,1352.2,15398354.0,122730.4047,62.6308,18.9087,0.0
2024-05-31,1259.95,9799479.0,114357.4718,58.358,17.6187,0.0
2024-06-30,1315.5,6181821.0,119399.3843,60.931,18.3955,0.0
2024-07-31,1294.75,6962119.0,117516.0416,59.9699,18.1054,0.0
2024-08-31,1176.15,4511505.0,106751.4905,54.4766,16.4469,0.0
2024-09-30,1168.1,5026953.0,106020.8443,54.1038,16.3343,0.0
2024-10-31,1137.35,2882038.0,103229.8667,52.6795,15.9043,0.0
2024-11-30,1135.45,3621771.0,103057.4161,52.5915,15.8778,0.0
2024-12-31,1106.85,1865054.0,100461.58,51.2668,15.4778,0.0
2025-01-31,916.5,3238989.0,83184.7478,42.4502,12.816,0.0
2025-02-28,959.0,21719420.0,87042.1965,44.4187,13.4103,0.0
2025-03-31,1000.55,8538032.0,90813.4199,40.1827,10.3942,0.0
2025-04-30,988.8,1773861.0,89746.9488,39.7108,10.2721,0.0
2025-05-31,1193.95,2883053.0,108367.0808,47.9498,12.4033,0.0
2025-06-30,1230.0,2070275.0,111639.105,49.3976,12.7778,2.0
2025-07-31,1170.6,1880399.0,106247.7531,47.012,12.1608,2.0
2025-08-31,1119.1,1410124.0,101573.4328,44.9438,11.6258,2.0
2025-09-30,1178.1,2068347.0,106928.4793,47.3133,12.2387,2.0
2025-10-31,1187.0,1199229.0,107736.2745,47.6707,12.3311,2.0
2025-11-30,1169.6,2315616.0,106156.9896,46.9719,12.1504,2.0
2025-12-31,1134.1,1358468.0,102934.8853,45.5462,11.7816,2.0
2026-01-31,1115.8,1100387.0,101273.9133,44.8112,11.5915,2.0
2026-02-28,1163.0,1160749.0,105557.9505,46.7068,12.0818,2.0
2026-03-31,1178.0,168490.0,106919.403,47.3092,12.2376,2.0
