WLCO IN Equity,price,volume,mc,pe,bm,div
2008-12-31,102.57,38405705.0,20402.1151,4.9146,1.1633,1.5
2009-01-31,66.47,36452555.0,13222.2117,3.1851,0.7539,1.5
2009-02-28,58.22,47922152.0,11581.0909,2.7897,0.6604,1.5
2009-03-31,69.8,97271670.0,13884.2548,6.0643,0.8346,1.5
2009-04-30,94.32,142571986.0,18760.9943,8.1944,1.1277,1.5
2009-05-31,158.45,153727469.0,31516.9785,13.7659,1.8945,1.5
2009-06-30,180.62,153166389.0,35955.946,15.6923,2.1596,1.5
2009-07-31,212.78,155294792.0,42357.6535,18.4863,2.5442,1.5
2009-08-31,219.76,76230108.0,43768.5525,19.0931,2.6277,1.5
2009-09-30,243.81,84994047.0,48581.0311,21.1824,2.9152,1.5
2009-10-31,241.14,64148420.0,48105.866,20.9503,2.8833,1.5
2009-11-30,260.12,62436317.0,51923.1867,22.5997,3.1103,1.5
2009-12-31,253.19,28424328.0,55060.7086,21.997,3.0273,1.5
2010-01-31,246.06,28633125.0,53533.4486,21.3779,2.9421,1.5
2010-02-28,225.29,25438122.0,49015.3846,19.5737,2.6938,1.5
2010-03-31,256.14,42795086.0,55803.1218,8.0826,1.804,1.5
2010-04-30,255.34,46204095.0,55647.2064,8.0575,1.7983,1.5
2010-05-31,208.04,27656958.0,45367.3223,6.5649,1.4652,2.0
2010-06-30,218.45,25987418.0,47636.7106,6.8933,1.5385,2.0
2010-07-31,232.09,18005999.0,50628.232,7.3238,1.6346,2.0
2010-08-31,218.54,12933861.0,47672.9585,6.8963,1.5392,2.0
2010-09-30,252.48,21924325.0,55089.4086,7.9672,1.7782,2.0
2010-10-31,233.22,14742405.0,50885.5937,7.3593,1.6425,2.0
2010-11-30,196.79,14992105.0,42948.7729,6.2099,1.386,2.0
2010-12-31,158.96,92979892.0,34692.5414,5.0161,1.1195,2.0
2011-01-31,142.04,26998269.0,31005.1422,4.4821,1.0004,2.0
2011-02-28,178.93,26638547.0,39058.2929,5.6463,1.2602,2.0
2011-03-31,194.49,16355397.0,42458.5632,6.2842,1.1473,2.0
2011-04-30,179.59,12223180.0,39204.3277,5.8025,1.0594,2.0
2011-05-31,165.34,8238012.0,36108.5451,5.3421,0.9753,2.0
2011-06-30,162.1,18420484.0,35402.1403,5.2376,0.9562,2.0
