GPL IN Equity,price,volume,mc,pe,bm,div
2010-01-31,221.32,43665217.0,33245.1068,,,0.0
2010-02-28,220.46,975553.0,33115.8843,,,0.0
2010-03-31,237.88,4467382.0,35731.7667,,4.3721,0.0
2010-04-30,232.9,2374963.0,34984.3717,,4.2806,0.0
2010-05-31,243.23,3593077.0,36535.0417,,4.4704,0.0
2010-06-30,293.87,5383272.0,44141.7065,,5.3045,0.0
2010-07-31,310.49,8618265.0,46638.844,,,1.8601
2010-08-31,340.95,12509875.0,51214.0189,,,1.8601
2010-09-30,341.86,5530356.0,51350.2264,39.317,5.8846,1.8601
2010-10-31,338.81,3355434.0,50892.7089,38.9667,5.8322,1.8601
2010-11-30,297.52,2225922.0,44690.029,34.2175,5.1214,1.8601
2010-12-31,286.03,1862488.0,42964.7341,33.4118,4.7171,1.8601
2011-01-31,263.5,2340596.0,39580.5016,30.7801,,1.8601
2011-02-28,281.82,3180990.0,42332.5916,32.9202,,1.8601
2011-03-31,310.3,1787107.0,46610.904,35.5964,5.1131,1.8601
2011-04-30,320.37,521778.0,48123.1564,36.7513,5.279,1.8601
2011-05-31,314.44,826093.0,47232.569,36.0712,5.1813,1.8601
2011-06-30,342.81,806275.0,51493.4189,43.4253,5.6748,1.8601
2011-07-31,358.94,3678896.0,53917.2138,45.4694,,2.0926
2011-08-31,318.26,939899.0,47805.339,40.3151,,2.0926
2011-09-30,308.19,2707540.0,46293.0865,44.0475,4.9159,2.0926
2011-10-31,320.32,1525055.0,48116.1714,45.7821,5.1094,2.0926
2011-11-30,308.68,887954.0,46366.429,44.1173,4.9236,2.0926
2011-12-31,283.59,1711050.0,42598.0216,36.0645,4.5965,2.0926
2012-01-31,306.54,928290.0,46045.119,38.9829,,2.0926
2012-02-29,307.19,1383077.0,46142.909,39.0656,,2.0926
2012-03-31,285.05,1911573.0,47836.5563,43.8484,3.3154,2.0926
2012-04-30,275.78,1297572.0,46279.7222,42.4213,3.2075,2.0926
2012-05-31,269.94,588909.0,45300.3604,41.5236,3.1397,2.0926
2012-06-30,245.2,661101.0,41148.8028,35.777,2.8773,2.0926
2012-07-31,237.11,1823569.0,39795.4013,34.5964,,1.395
2012-08-31,239.83,1270512.0,40251.9675,34.9934,,1.395
2012-09-30,277.54,1955410.0,46581.4577,36.983,3.1197,1.395
2012-10-31,269.52,2835446.0,45235.1728,35.9141,3.0296,1.395
2012-11-30,297.45,2767925.0,49922.1858,39.635,3.3435,1.395
2012-12-31,297.33,1737754.0,49902.6743,38.5447,3.3403,1.395
2013-01-31,288.82,2152069.0,48474.4307,37.4416,,1.395
2013-02-28,249.81,1208654.0,41926.3632,32.3839,,1.395
2013-03-31,245.32,3458709.0,41173.2184,29.7236,2.8814,1.395
2013-04-30,288.15,889526.0,48361.2639,34.9128,3.3844,1.395
2013-05-31,264.48,1714224.0,44388.7176,32.0449,3.1064,1.395
2013-06-30,247.64,1258149.0,41567.4266,25.8394,2.9106,1.395
2013-07-31,222.56,459999.0,37367.4859,23.2217,,1.8601
2013-08-31,196.73,1329641.0,39193.5269,20.5265,,1.8601
2013-09-30,171.53,2020840.0,34173.3228,17.8576,1.5557,1.8601
2013-10-31,183.13,2265926.0,36484.4177,19.0652,1.6609,1.8601
2013-11-30,167.15,2403510.0,33301.8881,17.4021,1.516,1.8601
2013-12-31,165.4,2732133.0,32953.2697,17.6533,1.4929,1.8601
2014-01-31,162.4,8295432.0,32355.5683,17.3331,,1.8601
2014-02-28,167.3,3406990.0,33331.8139,17.8561,,1.8601
2014-03-31,213.85,13624275.0,42606.1993,24.7857,2.3757,1.8601
2014-04-30,219.8,7217256.0,43791.6418,25.4753,2.4418,1.8601
2014-05-31,243.15,9698283.0,48443.7567,28.1816,2.7012,1.8601
2014-06-30,243.65,6611752.0,48547.0097,28.4472,2.6951,1.8601
2014-07-31,228.5,4894029.0,45550.8383,26.6783,,2.0
2014-08-31,224.2,2647268.0,44693.6453,26.1763,,2.0
2014-09-30,236.9,9892538.0,47225.3549,26.4989,2.5032,2.0
2014-10-31,244.15,2170645.0,48670.6222,27.3098,2.5798,2.0
2014-11-30,250.65,6029954.0,49966.6966,28.0369,2.6485,2.0
2014-12-31,257.55,8029190.0,51342.26,27.3118,2.7188,2.0
2015-01-31,279.5,4302568.0,55717.9642,29.6394,,2.0
2015-02-28,296.2,4146208.0,59047.1735,31.4104,,2.0
2015-03-31,251.15,7617167.0,50068.7085,26.2161,2.711,2.0
2015-04-30,241.95,3062981.0,48234.6168,25.2557,2.6117,2.0
2015-05-31,268.05,3038174.0,53437.8551,27.9802,2.8934,2.0
2015-06-30,246.85,1997487.0,49211.47,26.543,2.6468,2.0
2015-07-31,268.1,3301685.0,53489.5336,28.828,,2.0
2015-08-31,309.4,9921808.0,61729.4357,33.2688,,2.0
2015-09-30,329.1,8933975.0,65659.849,27.0419,3.3558,2.0
2015-10-31,343.5,6160093.0,68532.8415,28.2251,3.5026,2.0
2015-11-30,336.5,4516057.0,67136.2479,27.65,3.4313,2.0
2015-12-31,336.25,7549490.0,67086.7082,30.1299,3.4353,2.0
2016-01-31,300.25,3708458.0,59904.1907,26.9041,,2.0
2016-02-29,267.35,3563196.0,53340.1678,23.9561,,2.0
2016-03-31,295.85,3191140.0,63980.6322,31.44,2.9508,2.0
2016-04-30,340.05,5048583.0,73539.3409,36.1371,3.3917,2.0
2016-05-31,329.5,4266939.0,71257.7939,35.0159,3.2865,2.0
2016-06-30,363.65,4369184.0,78643.0857,38.604,4.3382,2.0
2016-07-31,361.3,4249770.0,78134.8738,38.3546,4.3102,2.0
2016-08-31,359.65,4521115.0,77778.0442,38.1794,4.2905,0.0
2016-09-30,347.2,5053255.0,75085.6025,65.3861,4.0872,0.0
2016-10-31,364.35,2668462.0,78794.468,68.6158,4.2891,0.0
2016-11-30,300.6,6539429.0,65007.869,56.6102,3.5386,0.0
2016-12-31,303.2,4648300.0,65601.5597,40.2122,3.4243,0.0
2017-01-31,330.65,1393471.0,71540.751,43.8528,3.7343,0.0
2017-02-28,364.1,6382313.0,78778.1263,48.2891,4.1121,0.0
2017-03-31,385.05,10421760.0,83311.2279,40.0676,7.426,0.0
2017-04-30,464.3,8219312.0,100458.1304,48.3143,8.9544,0.0
2017-05-31,490.65,21873119.0,106159.3402,51.0562,9.4625,0.0
2017-06-30,520.0,9014731.0,112509.6442,59.9769,5.5501,0.0
2017-07-31,522.15,4378418.0,112977.7364,60.2249,5.5731,0.0
2017-08-31,579.5,5140104.0,125444.6133,66.8397,6.1852,0.0
2017-09-30,619.75,7731244.0,134161.3307,81.7612,6.473,0.0
2017-10-31,679.3,3973062.0,147052.5082,89.6174,7.095,0.0
2017-11-30,728.2,5896769.0,157639.5308,96.0686,7.6057,0.0
2017-12-31,692.55,4029664.0,149922.0778,474.3493,7.1406,0.0
2018-01-31,799.6,7943492.0,173096.0847,547.6712,8.2443,0.0
2018-02-28,780.2,4280367.0,168897.0851,534.3836,8.0443,0.0
2018-03-31,722.9,2998854.0,156493.3371,1417.451,12.9291,0.0
2018-04-30,805.25,4383310.0,174320.6231,1578.9216,14.4019,0.0
2018-05-31,731.05,7912207.0,158257.7976,1433.4314,13.0748,0.0
2018-06-30,719.05,3151982.0,155714.5594,726.3131,6.5239,0.0
2018-07-31,714.75,4397111.0,163907.8509,721.9697,6.4849,0.0
2018-08-31,687.7,3038549.0,157704.6926,694.6465,6.2395,0.0
2018-09-30,590.9,3646150.0,135506.3296,314.3085,5.3161,0.0
2018-10-31,599.2,5459231.0,137409.7017,318.7234,5.3908,0.0
2018-11-30,663.2,3595303.0,152086.3053,352.766,5.9666,0.0
2018-12-31,652.7,7561373.0,149678.425,104.7673,5.7754,0.0
2019-01-31,741.9,8136315.0,170133.9414,119.0851,6.5647,0.0
2019-02-28,709.45,3308295.0,162693.0626,113.8764,6.2776,0.0
2019-03-31,813.15,8705278.0,186474.5772,73.1908,7.5526,0.0
2019-04-30,829.9,20305385.0,190315.7494,74.6985,7.7082,0.0
2019-05-31,887.1,8316316.0,203433.0658,79.847,8.2395,0.0
2019-06-30,1002.3,8238954.0,229851.1575,74.4651,5.4675,0.0
2019-07-31,952.95,18573721.0,240165.6857,70.7987,5.1983,0.0
2019-08-31,900.65,4964917.0,226984.8626,66.9131,4.913,0.0
2019-09-30,1038.7,7132623.0,261776.691,75.199,5.6272,0.0
2019-10-31,997.3,4751294.0,251342.9229,72.2018,5.403,0.0
2019-11-30,908.8,7382840.0,229038.8532,65.7946,4.9235,0.0
