GPL IN Equity,price,volume,mc,pe,bm,div
2019-12-31,988.3,5019508.0,249074.7124,71.3951,5.2973,0.0
2020-01-31,1080.3,5662982.0,272260.8639,78.0413,5.7905,0.0
2020-02-29,1003.05,6603946.0,252792.3783,72.4607,5.3764,0.0
2020-03-31,603.25,8555693.0,152033.4243,54.4809,3.1622,0.0
2020-04-30,677.6,7729891.0,170771.4021,61.1957,3.552,0.0
2020-05-31,688.4,14552990.0,173493.2603,62.171,3.6086,0.0
2020-06-30,867.1,17041500.0,218529.9332,135.4277,4.5685,0.0
2020-07-31,926.6,9100743.0,233578.0137,144.7207,4.882,0.0
2020-08-31,913.25,22792827.0,230212.7358,142.6356,4.8117,0.0
2020-09-30,860.45,11738301.0,216902.8727,158.4622,4.5225,0.0
2020-10-31,1034.45,29506219.0,260764.9184,190.5064,5.437,0.0
2020-11-30,1165.45,51066203.0,293787.4949,214.6317,6.1255,0.0
2020-12-31,1432.15,33531672.0,361018.1278,345.1576,7.5034,0.0
2021-01-31,1257.2,20653014.0,316916.5173,302.9935,6.5868,0.0
2021-02-28,1540.55,25329764.0,388343.7327,371.2827,8.0713,0.0
2021-03-31,1406.75,21236616.0,390996.7176,325.8891,4.6997,0.0
2021-04-30,1368.35,13783804.0,380323.6954,,4.5714,0.0
2021-05-31,1369.7,19238209.0,380698.9188,,4.5759,0.0
2021-06-30,1397.8,13871980.0,388551.3387,,4.6605,0.0
2021-07-31,1602.35,20744804.0,445410.8265,,5.3425,0.0
2021-08-31,1489.0,20456355.0,413902.5311,,4.9646,0.0
2021-09-30,2311.9,53139926.0,642678.9406,,7.6741,0.0
2021-10-31,2233.3,35770467.0,620829.1354,,7.4132,0.0
2021-11-30,1996.7,45815604.0,555057.3298,,6.6278,0.0
2021-12-31,1871.8,22169323.0,520337.1653,,6.1839,0.0
2022-01-31,1715.15,20754895.0,476790.4098,,5.6663,0.0
2022-02-28,1502.15,42236838.0,417579.7748,,4.9627,0.0
2022-03-31,1672.2,25094195.0,464851.6456,132.0195,5.3583,0.0
2022-04-30,1573.45,10125512.0,437400.324,124.2232,5.0419,0.0
2022-05-31,1399.5,18924600.0,389044.2998,110.49,4.4845,0.0
2022-06-30,1182.95,14955394.0,328860.5117,86.3867,3.7707,0.0
2022-07-31,1507.6,12366568.0,419113.3246,110.0947,4.8055,0.0
2022-08-31,1407.7,18440643.0,391341.0899,102.7994,4.4871,0.0
2022-09-30,1193.9,15729694.0,331929.2289,82.9462,3.7814,0.0
2022-10-31,1263.0,9345267.0,351140.4775,87.747,4.0003,0.0
2022-11-30,1305.15,16722642.0,362859.0612,90.6753,4.1338,0.0
2022-12-31,1224.7,11840709.0,340492.2746,81.5454,3.853,0.0
2023-01-31,1181.6,7169493.0,328509.5711,78.6756,3.7174,0.0
2023-02-28,1100.4,10812882.0,305934.2688,73.269,3.462,0.0
2023-03-31,1031.05,10025854.0,286654.0098,50.3722,3.0942,0.0
2023-04-30,1315.25,15707711.0,365667.7042,64.2569,3.9471,0.0
2023-05-31,1390.3,17732974.0,386533.2136,67.9235,4.1723,0.0
2023-06-30,1568.45,18645358.0,436074.7388,67.2504,4.6438,0.0
2023-07-31,1740.5,16838441.0,483909.6451,74.6274,5.1533,0.0
2023-08-31,1645.8,16688993.0,457580.2895,70.567,4.8729,0.0
2023-09-30,1554.1,11104975.0,432101.4014,65.4564,4.5683,0.0
2023-10-31,1659.65,14180360.0,461448.4852,69.902,4.8786,0.0
2023-11-30,1876.7,17732105.0,521796.9886,79.0438,5.5166,0.0
2023-12-31,2013.35,14504358.0,559791.1052,84.051,5.8789,0.0
2024-01-31,2377.15,21018089.0,660941.9255,99.2385,6.9412,0.0
2024-02-29,2398.05,14699838.0,666752.9539,100.1111,7.0022,0.0
2024-03-31,2300.1,13509858.0,639523.1943,88.1808,6.4,0.0
2024-04-30,2647.6,18910405.0,736142.6066,101.5032,7.3669,0.0
2024-05-31,2778.7,25759221.0,772593.8438,106.5293,7.7317,0.0
2024-06-30,3207.9,16539455.0,891978.938,79.6203,8.4844,0.0
2024-07-31,3219.55,20183318.0,895218.3017,79.9094,8.5153,0.0
2024-08-31,2909.25,16481537.0,808937.2254,72.2077,7.6946,0.0
2024-09-30,3160.95,17403585.0,878940.4329,63.2823,8.1011,0.0
2024-10-31,2875.7,16092707.0,799623.2155,57.5716,7.37,0.0
2024-11-30,2776.15,12789997.0,771942.1322,55.5786,7.1149,0.0
2024-12-31,2786.5,22218509.0,839247.82,52.1719,4.9559,0.0
2025-01-31,2329.45,18667737.0,701591.9017,43.6145,4.143,0.0
2025-02-28,1936.3,23739183.0,583181.6091,36.2535,3.4438,0.0
2025-03-31,2129.6,18643608.0,641403.3162,43.3374,3.7049,0.0
2025-04-30,2161.5,20934112.0,651011.1138,43.9866,3.7604,0.0
2025-05-31,2243.8,22546455.0,675798.6293,45.6614,3.9035,0.0
2025-06-30,2343.1,22464820.0,705706.2876,46.527,3.9399,0.0
2025-07-31,2102.9,18258506.0,633406.3624,41.7573,3.536,0.0
2025-08-31,1947.7,16761474.0,586659.1716,38.6755,3.275,0.0
2025-09-30,1968.8,12481549.0,593015.0501,38.0444,3.2385,0.0
2025-10-31,2288.0,13149357.0,689160.1151,44.2126,3.7635,0.0
2025-11-30,2114.6,8895242.0,636930.935,40.8618,3.4783,0.0
2025-12-31,2004.4,9897567.0,603737.9959,38.1572,3.2531,0.0
2026-01-31,1576.8,32725529.0,474942.1632,30.0171,,0.0
2026-02-28,1731.0,35997829.0,521388.1815,32.9526,,0.0
2026-03-31,1746.1,5989031.0,525936.3899,33.2401,,0.0
