UNOMINDA IN Equity,price,volume,mc,pe,bm,div
2004-08-31,4.97,112585.0,,,,0.0
2004-09-30,3.23,1501200.0,,,,0.0
2004-10-31,3.21,444821.0,,,,0.0
2004-11-30,2.95,508832.0,,,,0.0
2004-12-31,3.46,2672998.0,,,,0.0
2005-01-31,3.0,1004006.0,,,,0.0
2005-02-28,4.01,5576502.0,,,,0.0
2005-03-31,4.04,2987626.0,,,,0.0
2005-04-30,3.78,749891.0,,,,0.0
2005-05-31,4.74,2992601.0,,,,0.0
2005-06-30,4.31,2064877.0,,,,0.0
2005-07-31,4.63,2194920.0,,,,0.0829
2005-08-31,5.52,8801991.0,,,,0.0829
2005-09-30,7.34,18975622.0,,,,0.0829
2005-10-31,5.72,1870553.0,,,,0.0829
2005-11-30,7.03,1216994.0,,,,0.0829
2005-12-31,7.67,4134489.0,,,,0.0829
2006-01-31,7.41,5153902.0,,,,0.0829
2006-02-28,6.62,2996822.0,,,,0.0829
2006-03-31,6.27,3575424.0,,15.7798,,0.0829
2006-04-30,5.99,748565.0,,15.0865,,0.0829
2006-05-31,5.74,1750973.0,,14.4516,,0.0829
2006-06-30,5.14,1623614.0,,12.9354,,0.0829
2006-07-31,5.08,601668.0,,12.7892,,0.0829
2006-08-31,5.44,479133.0,,13.6956,,0.0829
2006-09-30,5.17,781822.0,,13.0231,,0.0829
2006-10-31,5.24,462007.0,,13.1944,,0.0829
2006-11-30,5.12,1734963.0,,12.8895,,0.0829
2006-12-31,5.37,2219553.0,,13.5327,,0.0829
2007-01-31,5.11,1102269.0,,12.8811,,0.0829
2007-02-28,4.82,1983861.0,,12.1502,,0.0829
2007-03-31,4.84,1950966.0,,12.192,,0.0829
2007-04-30,5.09,734153.0,,12.8143,,0.0829
2007-05-31,4.91,676835.0,,12.359,,0.0829
2007-06-30,4.74,553848.0,,11.9455,,0.0829
2007-07-31,4.49,650453.0,,11.3065,,0.0829
2007-08-31,4.31,213863.0,,10.8596,,0.0829
2007-09-30,5.46,1516788.0,1730.1735,13.7582,,0.0829
2007-10-31,6.83,25328367.0,2162.9795,17.1999,,0.0829
2007-11-30,7.37,22805734.0,2335.7868,18.5741,,0.0829
2007-12-31,7.5,2832166.0,2376.231,18.8957,,0.0829
2008-01-31,5.97,3229861.0,1890.9,15.0363,,0.0829
2008-02-29,5.58,1713857.0,1767.4663,14.0548,,0.0829
2008-03-31,4.77,5713358.0,1511.6695,12.0207,,0.0829
2008-04-30,8.18,7827020.0,2592.1088,20.6123,,0.0829
2008-05-31,10.49,18426688.0,3323.2568,26.4264,,0.0829
2008-06-30,9.31,4620285.0,2948.2283,23.4442,,0.0829
2008-07-31,10.94,5604934.0,3464.549,27.5499,,0.0829
2008-08-31,10.34,4944140.0,3273.8833,26.0337,,0.0829
2008-09-30,6.55,1255317.0,2074.7375,16.4982,,0.0829
2008-10-31,4.57,4571742.0,1448.1143,11.5153,,0.0829
2008-11-30,4.48,2435557.0,1418.175,11.2773,,0.0829
2008-12-31,2.94,4452494.0,932.3188,7.4137,,0.0829
2009-01-31,3.18,1000117.0,1007.9548,8.0152,,0.0829
2009-02-28,2.83,1047846.0,896.6018,7.1297,,0.0829
2009-03-31,3.05,3080130.0,966.46,6.5064,1.3055,0.0829
2009-04-30,3.77,466349.0,1193.8933,8.0375,1.6127,0.0829
2009-05-31,5.5,1141405.0,1741.2038,11.7221,2.3519,0.0829
2009-06-30,4.76,1019263.0,1508.518,10.1556,2.0376,0.0829
2009-07-31,5.2,596723.0,1646.1335,11.082,2.2235,0.0829
2009-08-31,5.21,1057313.0,1649.285,11.1033,2.2278,0.0829
2009-09-30,5.73,1232402.0,1815.7893,12.2242,2.4527,0.0829
2009-10-31,5.98,11474928.0,1895.6273,12.7617,2.5605,0.0829
2009-11-30,6.26,1256673.0,1981.7683,13.3416,2.6769,0.0829
