SCHFL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,29.0,,1967.7226,,,0.0
1995-02-28,24.8,,1682.742,,,0.0
1995-03-31,22.0,,1492.755,,,0.0
1995-04-30,19.5,,1323.1238,,,0.0
1995-05-31,17.0,,1153.4925,,,0.0
1995-06-30,14.2,,963.541,,,0.0
1995-07-31,17.0,,1153.535,,,0.0
1995-08-31,14.0,,949.97,,,0.3
1995-09-30,14.2,,963.541,,,0.3
1995-10-31,13.6,,922.828,,,0.3
1995-11-30,12.8,,868.544,,,0.3
1995-12-31,13.8,,936.399,,,0.3
1996-01-31,12.7,,861.7585,,,0.3
1996-02-29,17.0,,1153.535,,,0.3
1996-03-31,17.25,,1170.4988,,,0.3
1996-04-30,17.25,,1170.4988,,,0.3
1996-05-31,18.0,167250.0,1221.39,,,0.3
1996-06-30,23.2,1170750.0,1574.236,,,0.3
1996-07-31,22.9,356000.0,1553.8795,,,0.4
1996-08-31,20.25,619350.0,1374.0638,,,0.4
1996-09-30,16.34,29575.0,1108.7507,,,0.4
1996-10-31,18.0,56275.0,1221.39,,,0.4
1996-11-30,17.2,202075.0,1167.106,,,0.4
1996-12-31,16.4,222850.0,1112.822,,,0.4
1997-01-31,16.05,451700.0,1089.0728,,,0.4
1997-02-28,16.2,199825.0,1099.251,,,0.4
1997-03-31,16.25,653225.0,1102.6438,,,0.4
1997-04-30,16.6,79350.0,1126.393,,,0.4
1997-05-31,13.3,122725.0,902.4715,,,0.4
1997-06-30,15.45,1811650.0,1048.3598,,,0.4
1997-07-31,16.6,635965.0,1126.393,,,0.4
1997-08-31,14.0,214625.0,949.97,,,0.4
1997-09-30,12.2,187975.0,827.831,,,0.4
1997-10-31,10.2,33500.0,719.263,,,0.4
1997-11-30,9.2,264175.0,624.266,,,0.4
1997-12-31,9.8,20950.0,664.979,,,0.4
1998-01-31,8.55,15875.0,580.1603,,,0.4
1998-02-28,8.29,35825.0,562.518,,,0.4
1998-03-31,9.7,55775.0,658.1935,,,0.4
1998-04-30,8.6,59850.0,583.553,,,0.4
1998-05-31,6.01,580675.0,407.8086,,,0.4
1998-06-30,6.19,158575.0,420.0163,,,0.4
1998-07-31,5.5,177850.0,373.197,,,0.4
1998-08-31,5.2,64635.0,352.8408,,,0.4
1998-09-30,6.4,62450.0,434.2656,,,0.4
1998-10-31,5.48,115250.0,371.8399,,,0.4
1998-11-30,5.3,288350.0,359.6262,,,0.4
1998-12-31,6.3,88550.0,427.4802,,,0.4
1999-01-31,7.05,349025.0,478.3707,,,0.4
1999-02-28,8.3,263350.0,563.1882,,,0.4
1999-03-31,8.45,531750.0,573.3663,,,0.36
1999-04-30,6.51,332500.0,441.7295,,,0.36
1999-05-31,7.39,917275.0,501.4411,,,0.36
1999-06-30,8.05,1894825.0,546.2247,,,0.36
1999-07-31,10.55,1013650.0,715.8597,,,0.36
1999-08-31,12.42,1186675.0,842.7467,,,0.36
1999-09-30,11.25,668150.0,763.3575,,,0.36
1999-10-31,10.17,429925.0,690.0752,,,0.36
1999-11-30,10.97,518025.0,744.3584,,,0.36
1999-12-31,13.88,879400.0,941.8135,,,0.36
2000-01-31,12.23,496850.0,829.8544,,,0.36
2000-02-29,8.65,483000.0,718.6853,,,0.36
2000-03-31,7.17,753600.0,595.7195,,,0.54
2000-04-30,8.28,194050.0,687.9438,,,0.54
