NARH IN Equity,price,volume,mc,pe,bm,div
2016-01-31,333.65,83024061.0,68184.984,,,0.0
2016-02-29,279.9,9129605.0,57200.5905,,,0.0
2016-03-31,286.3,1850339.0,58508.4997,,6.5975,0.0
2016-04-30,296.95,1612578.0,60684.9423,,6.8429,0.0
2016-05-31,315.15,1566364.0,64404.3091,,7.2624,0.0
2016-06-30,313.6,711134.0,64087.5498,,7.2831,0.0
2016-07-31,291.05,1783640.0,59479.2136,,,0.0
2016-08-31,309.75,2307923.0,63300.7607,,,0.0
2016-09-30,333.55,6096724.0,68164.548,133.42,7.3754,0.0
2016-10-31,355.9,1140714.0,72732.012,142.36,7.8696,0.0
2016-11-30,345.2,838173.0,70545.3514,138.08,7.633,0.0
2016-12-31,342.9,3342521.0,70075.3215,108.5127,7.4086,0.0
2017-01-31,339.75,883349.0,69431.585,107.5158,,0.0
2017-02-28,325.0,3524817.0,66417.263,102.8481,,0.0
2017-03-31,313.85,913688.0,64138.64,76.5488,6.5946,0.0
2017-04-30,322.0,1860192.0,65804.1806,78.5366,6.7658,0.0
2017-05-31,330.85,2454031.0,67612.7738,80.6951,6.9518,0.0
2017-06-30,314.25,4614679.0,64220.3843,82.9156,6.6124,0.0
2017-07-31,307.0,8100596.0,62738.7685,81.0026,,0.0
2017-08-31,297.85,2224664.0,60868.8671,78.5884,,0.0
2017-09-30,303.1,2773249.0,61941.7613,91.8485,6.2311,0.0
2017-10-31,307.0,718439.0,62738.7685,93.0303,6.3113,0.0
2017-11-30,298.95,1097653.0,61093.6621,90.5909,6.1458,0.0
2017-12-31,298.25,1938640.0,60950.6095,94.3829,6.1458,0.0
2018-01-31,285.4,1521690.0,58324.5732,90.3165,,0.0
2018-02-28,300.25,5563352.0,61359.3314,95.0158,,0.0
2018-03-31,279.25,2089002.0,57067.7545,109.9409,5.4614,0.0
2018-04-30,275.2,1007535.0,56240.0933,108.3465,5.3822,0.0
2018-05-31,232.95,4968960.0,47605.8493,91.7126,4.5559,0.0
2018-06-30,233.85,1629860.0,47789.774,130.6425,4.5344,0.0
2018-07-31,259.8,757827.0,53092.9369,145.1397,,0.0
2018-08-31,252.3,1049860.0,51560.2308,140.9497,,0.0
2018-09-30,244.95,1110558.0,50058.1789,149.3598,4.7442,0.0
2018-10-31,227.35,967482.0,46461.4288,138.628,4.4033,0.0
2018-11-30,221.85,410438.0,45337.4444,135.2744,4.2968,0.0
2018-12-31,195.1,2327202.0,39870.7929,124.2675,3.7855,0.0
2019-01-31,189.45,611450.0,38716.1543,120.6688,,0.0
2019-02-28,205.95,1669484.0,42088.1076,131.1783,,0.0
2019-03-31,212.65,1322208.0,43457.325,72.8253,3.989,0.0
2019-04-30,202.4,1274676.0,41362.6267,69.3151,3.7967,0.0
2019-05-31,237.85,4597935.0,48607.2172,81.4555,4.4617,0.0
2019-06-30,242.75,1110813.0,49608.5852,52.5433,4.5958,0.0
2019-07-31,222.3,1894568.0,45429.4067,48.1169,,0.0
2019-08-31,235.75,5097655.0,48178.0595,51.0281,,1.0
2019-09-30,224.1,1006942.0,45797.2562,36.2621,4.123,1.0
2019-10-31,265.85,1284321.0,54329.3197,43.0178,4.8911,1.0
2019-11-30,296.2,13627732.0,60531.6701,47.9288,5.4495,1.0
2019-12-31,307.3,5161065.0,62800.0751,43.2817,5.6482,1.0
2020-01-31,377.85,17334732.0,77217.7298,53.2183,,1.0
2020-02-29,333.7,5895645.0,68195.2003,47.0,,1.0
2020-03-31,247.5,21902148.0,50579.299,42.2355,4.4211,2.0
2020-04-30,279.6,3539355.0,57139.2808,47.7133,4.9945,2.0
2020-05-31,272.8,1881940.0,55749.6273,46.5529,4.873,2.0
2020-06-30,268.0,5731373.0,54768.6955,45.1451,4.7256,2.0
2020-07-31,289.95,5397702.0,59254.4151,,,2.0
2020-08-31,323.5,7178576.0,66110.7201,,,1.0
2020-09-30,358.0,3751950.0,73161.238,,7.2469,1.0
2020-10-31,341.95,3305234.0,69881.2439,,6.922,1.0
2020-11-30,386.45,6363411.0,78975.3085,,7.8228,1.0
2020-12-31,448.15,5666172.0,91584.2939,,9.088,1.0
2021-01-31,445.6,6030018.0,91063.1738,,,1.0
2021-02-28,431.35,6929392.0,88151.0324,,,1.0
2021-03-31,405.85,8361504.0,82939.8319,,7.3512,1.0
2021-04-30,406.95,3494847.0,83164.6288,,7.3711,1.0
2021-05-31,438.4,7353194.0,89591.776,,7.9408,0.0
2021-06-30,492.25,27788019.0,100596.6053,55.0615,8.7332,0.0
2021-07-31,489.85,8248685.0,100106.1398,54.7931,,0.0
2021-08-31,540.55,9193395.0,110467.2326,60.4642,,0.0
