NARH IN Equity,price,volume,mc,pe,bm,div
2021-09-30,502.3,5045632.0,102650.4318,35.8786,7.895,0.0
2021-10-31,521.35,2442907.0,106543.5052,37.2393,8.1944,0.0
2021-11-30,596.3,18430777.0,121860.3474,42.5929,9.3724,0.0
2021-12-31,639.5,6833404.0,130688.7342,38.0881,9.5815,0.0
2022-01-31,645.4,6351736.0,131894.4629,38.4395,,0.0
2022-02-28,685.4,3851176.0,140068.8951,40.8219,,0.0
2022-03-31,745.35,4980695.0,152320.3253,44.3329,10.1619,0.0
2022-04-30,700.15,3474042.0,143083.2169,41.6445,9.5456,0.0
2022-05-31,654.7,2973392.0,133795.0184,38.9411,8.926,0.0
2022-06-30,632.55,2726512.0,129268.4266,34.2411,8.6274,0.0
2022-07-31,658.95,3369373.0,134663.5518,35.6702,,0.0
2022-08-31,699.55,7450231.0,142960.6004,37.868,,1.0
2022-09-30,719.95,6655134.0,147129.5608,32.8843,8.174,1.0
2022-10-31,791.45,7996963.0,161741.3583,36.1502,8.9858,1.0
2022-11-30,742.7,6096838.0,151778.7691,33.9235,8.4323,1.0
2022-12-31,760.45,6428467.0,155406.1734,30.8331,8.6265,1.0
2023-01-31,726.4,2059118.0,148447.688,29.4526,,1.0
2023-02-28,749.1,3938575.0,153086.6783,30.3729,,1.0
2023-03-31,774.15,3752891.0,158205.9164,26.0102,7.3758,1.0
2023-04-30,761.85,3387428.0,155692.2785,25.597,7.2586,1.0
2023-05-31,893.45,9793321.0,182586.1603,30.0185,8.5124,1.0
2023-06-30,993.25,9920142.0,202981.3686,29.7792,9.3804,1.0
2023-07-31,1010.5,4048969.0,206506.5924,30.2964,,2.5
2023-08-31,1039.5,4942873.0,212433.0558,31.1658,,2.5
2023-09-30,1085.5,7960579.0,221833.6527,30.0433,8.8673,2.5
2023-10-31,996.0,4495468.0,203543.3608,27.5662,8.1361,2.5
2023-11-30,1225.6,11169913.0,250464.6014,33.9208,10.0117,2.5
2023-12-31,1201.95,6447056.0,245631.4684,31.8299,9.7875,2.5
2024-01-31,1316.85,8541058.0,269112.5247,34.8727,,2.5
2024-02-29,1341.95,9359467.0,274241.9809,35.5374,,2.5
2024-03-31,1283.8,8482082.0,262358.4002,33.241,9.0419,2.5
2024-04-30,1287.1,6125279.0,263032.7908,33.3264,9.0651,2.5
2024-05-31,1189.25,6859296.0,243036.0862,30.7928,8.376,2.5
2024-06-30,1204.75,11069982.0,246203.6786,35.5702,8.4605,2.5
2024-07-31,1256.25,10151840.0,256728.26,37.0907,,2.5
2024-08-31,1268.95,6987612.0,259323.6422,37.4657,,4.0
2024-09-30,1251.05,10163304.0,255665.5838,38.4915,7.9755,4.0
2024-10-31,1272.8,5229722.0,260110.4313,39.1607,8.1141,4.0
2024-11-30,1266.7,5819516.0,258863.8304,38.973,8.0752,4.0
2024-12-31,1272.8,6979170.0,260110.4313,38.7676,8.1211,4.0
2025-01-31,1387.15,6688680.0,283479.0893,42.2505,,4.0
2025-02-28,1444.5,12640002.0,295199.1814,43.9973,,4.0
2025-03-31,1692.05,42213017.0,345788.6984,51.1213,9.4766,4.0
2025-04-30,1760.5,13014881.0,359777.1954,53.1894,9.86,4.0
2025-05-31,1743.9,10846578.0,356384.8061,52.6879,9.767,4.0
2025-06-30,2170.4,13104106.0,443544.689,56.4492,12.6754,4.0
2025-07-31,1915.2,10641277.0,391391.8118,49.8118,,4.0
2025-08-31,1753.8,6848886.0,358407.9781,45.614,,4.5
2025-09-30,1737.6,7030956.0,355097.333,42.0098,8.7466,4.5
2025-10-31,1757.4,7677370.0,359143.6769,42.4885,8.8463,4.5
2025-11-30,1945.5,32675465.0,397583.9442,47.0362,9.7931,4.5
2025-12-31,1892.0,7471062.0,386650.6412,49.6174,9.2112,4.5
2026-01-31,1767.9,7267018.0,361289.4654,46.3629,,4.5
2026-02-28,1830.9,6572956.0,374164.196,48.0151,,4.5
2026-03-31,1768.6,767242.0,361432.513,46.3813,,4.5
