IRCON IN Equity,price,volume,mc,pe,bm,div
2018-09-30,41.53,64310950.0,39059.6187,9.9283,1.0385,0.0
2018-10-31,34.74,47974670.0,32673.5168,8.305,0.8687,0.0
2018-11-30,42.98,32671750.0,40418.6639,10.2737,1.0746,0.0
2018-12-31,44.56,42603220.0,41904.6788,10.6514,1.1141,0.0
2019-01-31,38.98,15626530.0,36656.601,9.3175,0.9746,0.0
2019-02-28,40.05,8352400.0,37662.9528,9.5733,1.0013,1.072
2019-03-31,40.23,12355460.0,37832.2456,8.4065,0.9543,1.072
2019-04-30,39.88,7129710.0,37503.0651,8.3333,0.946,1.072
2019-05-31,40.86,14378430.0,38429.4731,8.5392,0.9694,1.072
2019-06-30,40.15,4764570.0,37761.707,8.3908,0.9526,1.072
2019-07-31,35.83,7573420.0,33693.9764,7.4869,0.85,1.072
2019-08-31,33.89,7039970.0,31869.3758,7.0815,0.8039,2.1545
2019-09-30,37.54,13371860.0,35306.9609,7.8454,0.8906,2.1545
2019-10-31,42.93,28051470.0,40371.6381,8.9707,1.0184,2.1545
2019-11-30,41.79,40205400.0,39299.4502,8.7325,0.9914,2.1545
2019-12-31,40.2,10607560.0,37804.0302,8.4002,0.9536,2.1545
2020-01-31,47.3,60541380.0,44486.3945,9.8851,1.1222,2.1545
2020-02-29,50.31,211377170.0,47312.6443,10.5131,1.1935,2.69
2020-03-31,38.11,88824360.0,35838.3523,7.3847,0.8592,2.69
2020-04-30,42.73,47217904.0,40183.535,8.28,0.9633,2.69
2020-05-31,42.73,29980848.0,40183.535,8.28,0.9633,2.69
2020-06-30,44.0,51209960.0,41382.6926,8.5271,0.9921,2.69
2020-07-31,45.68,115607358.0,42958.0564,8.8517,1.0299,2.69
2020-08-31,44.7,66830040.0,42041.0536,8.6628,1.0079,2.69
2020-09-30,39.78,39734810.0,37409.0136,7.7083,0.8968,2.375
2020-10-31,37.95,24936516.0,35692.5723,7.3547,0.8557,2.375
2020-11-30,42.8,25017792.0,40254.0737,8.2946,0.965,2.375
2020-12-31,43.75,63888290.0,41147.5636,8.4787,0.9864,2.375
2021-01-31,41.98,75988208.0,39478.1482,8.1347,0.9464,2.375
2021-02-28,47.13,195625362.0,44321.8042,9.1328,1.0625,1.68
2021-03-31,44.15,361846796.0,41523.7699,21.2365,1.8861,1.68
2021-04-30,44.78,101473416.0,42111.5923,21.5372,1.9128,1.68
2021-05-31,47.75,148101157.0,44909.6266,22.9682,2.0399,1.68
2021-06-30,48.8,92835016.0,45897.1681,23.4732,2.0848,1.68
2021-07-31,43.95,50111547.0,41335.6668,21.1403,1.8776,1.68
2021-08-31,43.05,57641997.0,40489.2026,20.7074,1.8391,1.1
2021-09-30,45.2,59425522.0,42511.3114,21.7416,1.931,2.8
2021-10-31,47.25,144334029.0,44439.3687,22.7276,2.0185,2.8
2021-11-30,44.95,52914391.0,42276.1825,21.6213,1.9203,3.5
2021-12-31,45.15,33524212.0,42464.2857,21.7175,1.9288,3.5
2022-01-31,45.5,36532922.0,42793.4662,21.8859,1.9438,3.5
2022-02-28,40.45,28677610.0,38043.8617,19.4568,1.728,2.8
2022-03-31,39.8,24900609.0,37432.5265,6.3194,0.8023,2.8
2022-04-30,41.35,25355001.0,38890.3258,6.5655,0.8336,2.8
2022-05-31,40.05,14738347.0,37667.6554,6.3591,0.8073,2.8
2022-06-30,36.05,12906856.0,33905.5924,5.724,0.7267,2.8
2022-07-31,37.6,8313571.0,35363.3918,5.9701,0.758,2.8
2022-08-31,40.85,27009171.0,38420.068,6.4862,0.8235,2.8
2022-09-30,39.5,37809557.0,37150.3717,6.2718,0.7963,2.7
2022-10-31,44.25,57748171.0,41617.8215,7.026,0.892,2.7
2022-11-30,58.6,431345276.0,55114.2224,9.3045,1.1813,2.7
2022-12-31,59.75,333534890.0,56195.8155,9.4871,1.2045,2.7
2023-01-31,60.3,175307361.0,56713.0991,9.5744,1.2156,1.35
2023-02-28,51.7,92011589.0,48624.6638,8.2089,1.0422,3.15
2023-03-31,56.0,77311967.0,52668.8814,6.8796,1.0106,3.15
2023-04-30,74.3,335057959.0,69880.3195,9.1278,1.3409,2.45
2023-05-31,81.15,704675849.0,76322.8523,9.9693,1.4645,2.45
2023-06-30,83.5,334547040.0,78533.0643,10.258,1.5069,2.45
2023-07-31,97.3,334334003.0,91512.1815,11.9533,1.756,2.45
2023-08-31,114.0,436515404.0,107218.7944,14.0049,2.0574,2.45
2023-09-30,144.85,633431112.0,136233.7049,17.7948,2.6141,2.4
2023-10-31,138.75,387621850.0,130496.5589,17.0455,2.504,2.4
2023-11-30,165.6,307145609.0,155749.4065,20.344,2.9886,2.4
2023-12-31,171.4,560910047.0,161204.3978,21.0565,3.0932,2.4
2024-01-31,237.35,1106642011.0,223231.4109,29.1585,4.2834,2.4
2024-02-29,229.15,442968979.0,215519.1818,28.1511,4.1355,3.0
2024-03-31,219.65,236011738.0,206584.2823,22.2318,3.5188,3.0
2024-04-30,250.55,248013064.0,235646.2187,25.3593,4.0138,3.0
2024-05-31,270.8,358454537.0,254691.6624,27.4089,4.3382,3.0
2024-06-30,269.65,312413958.0,253610.0693,27.2925,4.3198,3.0
2024-07-31,288.75,705952816.0,271573.9199,29.2257,4.6257,3.0
2024-08-31,261.1,165951014.0,245568.6597,26.4271,4.1828,3.0
2024-09-30,227.95,114266878.0,214390.5629,23.0719,3.6517,3.1
2024-10-31,217.64,124180231.0,204693.8457,22.0283,3.4866,3.1
2024-11-30,209.75,104910084.0,197273.1765,21.2298,3.3602,3.1
2024-12-31,215.01,118631806.0,202220.2893,21.7621,3.4444,3.1
2025-01-31,221.43,242273173.0,208258.4003,22.4119,3.5473,3.1
2025-02-28,141.66,203008407.0,133233.4597,14.3381,2.2694,2.95
2025-03-31,156.48,174286436.0,147171.903,20.2432,2.3263,2.95
2025-04-30,152.65,86200111.0,143569.7277,19.7477,2.2694,2.95
2025-05-31,190.91,213979799.0,179553.8599,24.6973,2.8382,2.95
2025-06-30,202.94,327033104.0,190868.2643,26.2536,3.017,2.95
2025-07-31,177.36,76041833.0,166809.8716,22.9444,2.6367,2.95
2025-08-31,160.32,44870216.0,150783.4834,20.74,2.3834,2.95
2025-09-30,170.98,100999363.0,160809.3812,22.119,2.5419,2.65
2025-10-31,169.62,51608260.0,159530.2798,21.9431,2.5217,2.65
2025-11-30,160.92,47306835.0,151347.7929,20.8176,2.3923,2.65
2025-12-31,177.65,198110443.0,167082.6212,22.9819,2.6411,2.65
2026-01-31,164.0,85903614.0,154244.5814,21.216,2.4381,2.65
2026-02-28,143.61,54272168.0,135067.4654,18.5783,2.135,2.2
2026-03-31,134.39,10262011.0,126395.9097,17.3855,1.9979,2.2
