PI IN Equity,price,volume,mc,pe,bm,div
2000-09-30,0.98,24000.0,104.5391,,,0.06
2000-10-31,0.89,6000.0,94.6168,,,0.06
2001-02-28,0.77,30000.0,81.5051,,,0.06
2001-05-31,0.71,3000.0,75.3036,,,0.06
2001-06-30,0.62,6000.0,65.5584,,,0.06
2001-07-31,0.45,12000.0,47.8399,,,0.06
2001-10-31,0.54,756000.0,57.4079,,,0.0167
2001-11-30,0.48,24000.0,50.4977,,,0.0167
2001-12-31,0.62,414000.0,65.9128,,,0.0167
2002-01-31,0.63,15000.0,67.3303,,,0.0167
2002-02-28,1.0,12000.0,105.9566,,,0.0167
2002-03-31,0.77,24000.0,81.5051,,,0.0167
2002-04-30,0.92,6000.0,97.8061,2.4317,0.2368,0.0167
2002-05-31,0.44,12000.0,46.4225,1.1542,0.1124,0.0167
2002-06-30,0.42,3000.0,44.2962,1.1013,0.1073,0.0167
2002-07-31,0.42,,44.2962,1.1013,0.1073,0.0167
2002-08-31,0.42,,44.2962,1.1013,0.1073,0.0167
2002-09-30,0.5,3000.0,53.1555,1.3216,0.1287,0.0167
2002-10-31,0.5,15000.0,53.1555,1.3216,0.1287,0.0167
2002-11-30,0.53,60000.0,56.3448,1.4009,0.1364,0.0167
2002-12-31,0.53,105000.0,56.6992,1.4097,0.1373,0.0167
2003-01-31,0.55,90000.0,58.471,1.4537,0.1416,0.0167
2003-02-28,0.56,195000.0,59.1798,1.4714,0.1433,0.0167
2003-03-31,0.56,,59.1798,12.6515,0.1419,0.0167
2003-04-30,0.56,,59.1798,12.6515,0.1419,0.0167
2003-05-31,0.56,168000.0,59.7113,12.7652,0.1432,0.0167
2003-06-30,0.67,123000.0,71.4056,15.2652,0.1713,0.0167
2003-07-31,0.57,60000.0,60.7745,12.9924,0.1458,0.0167
2003-08-31,0.58,60000.0,62.0147,13.2576,0.1487,0.0167
2003-09-30,0.56,183000.0,59.5342,12.7273,0.1428,0.0167
2003-10-31,0.67,6000.0,71.4056,15.2652,0.1713,0.0
2003-11-30,0.81,3000.0,85.5804,18.2955,0.2053,0.0
2003-12-31,0.81,,85.5804,18.2955,0.2053,0.0
2004-01-31,0.81,,85.5804,18.2955,0.2053,0.0
2004-02-29,0.68,3000.0,71.7599,15.3409,0.1721,0.0
2004-03-31,0.68,,71.7599,1.1933,0.1529,0.0
2004-04-30,0.68,,71.7599,1.1933,0.1529,0.0
2004-05-31,0.68,,71.7599,1.1933,0.1529,0.0
2004-06-30,0.81,6000.0,86.1119,1.4319,0.1835,0.0
2004-07-31,0.81,,86.1119,1.4319,0.1835,0.06
2004-08-31,0.81,,86.1119,1.4319,0.1835,0.06
2004-09-30,0.81,,86.1119,1.4319,0.1835,0.06
2004-10-31,0.97,15000.0,102.7673,1.7089,0.219,0.06
2004-11-30,0.97,,102.7673,1.7089,0.219,0.06
2004-12-31,3.22,27000.0,342.4986,5.6953,0.7299,0.06
2005-01-31,3.84,30000.0,407.7027,6.7796,0.8688,0.06
2005-02-28,3.9,60000.0,414.6129,6.8945,0.8836,0.06
2005-03-31,4.33,45000.0,460.681,4.5904,0.82,0.12
2005-04-30,4.38,30000.0,465.1106,4.6345,0.8279,0.12
2005-05-31,4.34,6000.0,461.3897,4.5975,0.8212,0.12
2005-06-30,4.12,36000.0,437.8241,4.3626,0.7793,0.12
2005-07-31,4.27,18000.0,453.5936,4.5198,0.8074,0.12
2005-08-31,5.67,15000.0,602.429,6.0028,1.0723,0.12
2005-09-30,6.0,6000.0,637.866,6.3559,1.1353,0.06
2005-10-31,5.7,3000.0,606.1499,6.0399,1.0789,0.06
2005-11-30,5.42,3000.0,575.8512,5.738,1.025,0.06
2005-12-31,5.42,,575.8512,5.738,1.025,0.06
2006-01-31,5.42,,575.8512,5.738,1.025,0.06
2006-02-28,5.42,,575.8512,5.738,1.025,0.06
2006-03-31,5.42,,575.8512,14.9632,0.96,0.06
2006-04-30,5.9,12000.0,627.2349,16.2983,1.0457,0.06
2006-05-31,5.87,6000.0,623.6912,16.2063,1.0397,0.0
2006-06-30,5.87,,623.6912,16.2063,1.0397,0.0
2006-07-31,5.58,3000.0,592.6838,15.4006,0.9881,0.0
2006-08-31,5.58,,592.6838,15.4006,0.9881,0.0
2006-09-30,5.58,,592.6838,15.4006,0.9881,0.0
2006-10-31,5.58,,592.6838,15.4006,0.9881,0.0
2006-11-30,5.58,,592.6838,15.4006,0.9881,0.0
2006-12-31,5.58,,592.6838,15.4006,0.9881,0.0
2007-01-31,5.58,,592.6838,15.4006,0.9881,0.0
2007-02-28,5.58,,592.6838,15.4006,0.9881,0.0
2007-03-31,5.58,,592.6838,13.8002,0.9227,0.0
2007-04-30,5.58,,592.6838,13.8002,0.9227,0.0
2007-05-31,5.3,3000.0,563.0939,13.1113,0.8766,0.0
2007-06-30,5.29,6000.0,561.8536,13.0824,0.8747,0.0
2007-07-31,5.55,3000.0,589.8489,13.7342,0.9183,0.0
2007-08-31,5.55,,589.8489,13.7342,0.9183,0.0
2007-09-30,5.55,,589.8988,13.7342,0.9183,0.0
2007-10-31,5.83,9000.0,619.314,14.4191,0.9641,0.0
2007-11-30,6.12,3000.0,650.1468,15.1369,1.0121,0.0
2007-12-31,6.12,,650.1468,15.1369,1.0121,0.0
2008-01-31,6.12,,650.1468,15.1369,1.0121,0.0
2008-02-29,6.42,3000.0,682.5744,15.8919,1.0625,0.0
2008-03-31,6.71,15000.0,713.0528,22.5814,1.014,0.0
2008-04-30,6.05,9000.0,643.5904,20.3816,0.9152,0.0
2008-05-31,6.67,54000.0,709.3316,22.4635,1.0087,0.0
2008-06-30,6.65,6000.0,707.5596,22.4074,1.0062,0.0
2008-07-31,6.65,,707.5596,22.4074,1.0062,0.0
2008-08-31,7.34,6000.0,779.8572,24.697,1.109,0.0
2008-09-30,8.09,1065000.0,859.7744,27.2278,1.2226,0.0
2008-10-31,8.09,,859.7744,27.2278,1.2226,0.0
2008-11-30,8.0,111000.0,850.56,26.936,1.2095,0.0
2008-12-31,8.0,,850.56,26.936,1.2095,0.0
2009-01-31,8.0,,850.56,26.936,1.2095,0.0
2009-02-28,9.25,9000.0,983.46,31.1448,1.3985,0.0
2009-03-31,11.2,21000.0,1190.784,4.9108,0.6341,0.0
2009-04-30,11.2,,1190.784,4.9108,0.6341,0.0
2009-05-31,10.5,22500.0,1116.36,4.6039,0.5945,0.0
2009-06-30,10.13,34500.0,1077.376,4.4431,0.5737,0.0
2009-07-31,9.0,15000.0,956.88,3.9462,0.5096,0.0
2009-08-31,10.01,76500.0,1064.2632,4.3891,0.5668,0.0
2009-09-30,18.68,216000.0,1986.0575,8.1906,1.0577,0.0
2009-10-31,15.0,148500.0,1594.8,6.577,0.8493,0.0
2009-11-30,14.67,114000.0,1559.36,6.4309,0.8304,0.0
2009-12-31,17.73,141000.0,1885.408,7.7755,1.0041,0.0
2010-01-31,17.94,222000.0,1907.0264,7.8647,1.0156,0.0
2010-02-28,19.77,102000.0,2102.3007,8.67,1.1196,0.0
2010-03-31,28.08,1053000.0,2985.8199,7.1253,1.9314,0.0
2010-04-30,29.26,457500.0,3110.9231,7.4239,2.0123,0.0
2010-05-31,33.34,424500.0,3544.7087,8.4591,2.2929,0.0
2010-06-30,41.93,540000.0,4457.9975,10.6385,2.8837,0.0
2010-07-31,54.61,882865.0,6110.0531,13.857,3.7561,0.1333
2010-08-31,49.18,702930.0,5502.0125,12.478,3.3823,0.1333
2010-09-30,52.23,534620.0,5843.2313,13.2519,3.592,0.1333
2010-10-31,46.75,335820.0,5229.5969,11.8602,3.2148,0.1333
2010-11-30,48.3,1442380.0,5403.5625,12.2547,3.3218,0.1333
2010-12-31,49.08,336170.0,5490.825,12.4526,3.3754,0.1333
2011-01-31,59.73,783410.0,6681.7344,15.1535,4.1075,0.1333
2011-02-28,52.2,1064810.0,5839.875,13.2442,3.59,0.1333
2011-03-31,58.47,764720.0,6541.3313,19.4075,3.1811,0.1333
2011-04-30,73.17,2082010.0,8185.8938,24.2868,3.9809,0.1333
2011-05-31,70.71,374420.0,8855.8621,23.4702,3.847,0.1333
2011-06-30,70.2,530410.0,8791.9887,23.301,3.8193,0.1333
2011-07-31,108.63,6645120.0,13605.0397,36.0567,5.9101,0.4
2011-08-31,114.66,12161370.0,14360.2482,38.0582,6.2382,0.4
2011-09-30,115.95,1628730.0,14521.8104,38.4864,6.3084,0.4
2011-10-31,115.95,1331025.0,14521.8104,38.4864,6.3084,0.4
2011-11-30,103.11,1403525.0,12913.7031,34.2245,5.6098,0.8
2011-12-31,101.8,1748345.0,12749.636,33.7897,5.5385,0.8
2012-01-31,91.72,959575.0,11487.1966,30.4439,4.9901,0.8
2012-02-29,102.23,1683215.0,12803.4901,33.9324,5.5619,0.8
