SUMICHEM IN Equity,price,volume,mc,pe,bm,div
2020-01-31,228.7,4060311.0,114154.6298,,,0.0
2020-02-29,256.9,13520007.0,128230.5396,,,0.0
2020-03-31,184.7,8639390.0,92192.2174,45.0488,7.5459,0.0
2020-04-30,243.15,7021713.0,121367.2857,59.3049,9.9339,0.0
2020-05-31,259.95,6390047.0,129752.9341,63.4024,10.6202,0.0
2020-06-30,273.8,18338241.0,136666.1025,66.7805,11.1861,0.0
2020-07-31,267.15,10222985.0,133346.7834,65.1585,10.9144,0.0
2020-08-31,268.45,14206654.0,133995.6728,65.4756,10.9675,0.0
2020-09-30,288.0,23099779.0,143753.972,70.2439,11.7662,0.55
2020-10-31,267.2,14184393.0,133371.7449,65.1707,10.9164,0.55
2020-11-30,282.85,6714202.0,141183.376,68.9878,11.5558,0.55
2020-12-31,292.55,15688910.0,146025.0897,71.3537,11.9521,0.55
2021-01-31,313.1,18645333.0,156282.535,76.3659,12.7917,0.55
2021-02-28,294.35,9939890.0,146923.5521,71.7927,12.0256,0.55
2021-03-31,290.7,11809284.0,145101.6701,42.0087,9.4148,0.55
2021-04-30,299.2,11023937.0,149344.409,43.237,9.6901,0.55
2021-05-31,323.55,14720388.0,161498.6081,46.7558,10.4788,0.55
2021-06-30,386.25,34718665.0,192795.0467,55.8165,12.5094,0.55
2021-07-31,423.55,24546270.0,211413.1765,61.2066,13.7174,1.35
2021-08-31,425.55,16054576.0,212411.468,61.4957,13.7822,1.35
2021-09-30,402.15,9775273.0,200731.4577,58.1142,13.0244,0.8
2021-10-31,376.2,11094717.0,187778.6259,54.3642,12.1839,0.8
2021-11-30,371.65,7373878.0,185507.5128,53.7066,12.0366,0.8
2021-12-31,386.05,5477447.0,192695.2114,55.7876,12.5029,0.8
2022-01-31,390.2,10072036.0,194766.6662,56.3873,12.6373,0.8
2022-02-28,376.65,8520233.0,188003.2415,54.4292,12.1985,0.8
2022-03-31,448.5,9107631.0,223866.8626,52.8269,11.6161,0.8
2022-04-30,429.45,6766948.0,214358.1363,50.583,11.1227,0.8
2022-05-31,463.5,16048865.0,231354.0486,54.5936,12.0046,0.8
2022-06-30,424.15,9276028.0,211712.6639,49.9588,10.9854,0.8
2022-07-31,451.65,9595124.0,225439.1717,53.1979,11.6977,1.0
2022-08-31,489.95,9807903.0,244556.4534,57.7091,12.6897,1.0
2022-09-30,502.95,13555842.0,251045.3479,59.2403,13.0264,1.0
2022-10-31,492.6,10824388.0,245879.1896,58.0212,12.7583,1.0
2022-11-30,473.1,12633578.0,236145.8477,55.7244,12.2532,1.0
2022-12-31,488.2,5936315.0,243682.9483,57.5029,12.6443,1.0
2023-01-31,454.55,4127286.0,226886.6943,53.5395,11.7728,1.0
2023-02-28,447.3,12431588.0,223267.8877,52.6855,11.585,1.0
2023-03-31,426.1,5139521.0,212685.9981,42.3559,8.9297,1.0
2023-04-30,402.8,5192995.0,201055.9025,40.0398,8.4414,1.0
2023-05-31,398.35,11676044.0,198834.7039,39.5974,8.3482,1.0
2023-06-30,436.3,9175881.0,217777.2846,43.3698,9.1435,1.0
2023-07-31,412.8,5750529.0,206047.3598,41.0338,8.651,1.2
2023-08-31,440.5,8361805.0,219873.6967,43.7873,9.2315,1.2
2023-09-30,422.4,5953922.0,210839.1589,41.9881,8.8522,1.2
2023-10-31,373.25,7385444.0,186306.146,37.1024,7.8221,1.2
2023-11-30,406.95,4357765.0,203127.3573,40.4523,8.5284,1.2
2023-12-31,404.05,6102351.0,201679.8346,40.164,8.4676,1.2
2024-01-31,415.6,14564451.0,207444.9679,41.3121,8.7097,1.2
2024-02-29,374.15,5862689.0,186755.3771,37.1918,7.841,6.2
2024-03-31,347.75,7800591.0,173577.9297,46.9932,7.1093,6.2
2024-04-30,401.1,8200304.0,200207.3547,54.2027,8.2,6.2
2024-05-31,463.65,29848105.0,231428.9205,62.6554,9.4787,6.2
2024-06-30,480.0,17189072.0,239589.9533,64.8649,9.813,6.2
2024-07-31,518.75,24644605.0,258931.8506,70.1014,10.6052,5.9
2024-08-31,511.35,15529195.0,255238.1721,69.1014,10.4539,5.9
2024-09-30,556.8,30045323.0,277924.3458,75.2432,11.383,5.9
2024-10-31,573.3,14270839.0,286160.2504,77.473,11.7204,5.9
2024-11-30,551.65,9086904.0,275353.7453,74.5473,11.2777,5.9
2024-12-31,532.7,8104833.0,265894.9336,71.9865,10.8903,5.9
2025-01-31,511.7,14040322.0,255412.8731,69.1486,10.461,5.9
2025-02-28,460.6,8329815.0,229906.526,62.2432,9.4164,0.9
2025-03-31,559.35,6293890.0,279197.1674,55.2172,9.6237,0.9
2025-04-30,508.6,9358171.0,253865.5213,50.2073,8.7505,0.9
2025-05-31,506.75,7065826.0,252942.1017,50.0247,8.7187,0.9
2025-06-30,529.6,6244802.0,264347.5818,52.2804,9.1118,0.9
2025-07-31,648.7,20099898.0,323795.8389,64.0375,11.161,1.2
2025-08-31,566.15,10578950.0,282591.3584,55.8885,9.7407,1.2
2025-09-30,533.25,7000474.0,266169.4637,52.6407,9.1746,1.2
2025-10-31,502.2,6761979.0,250670.9886,49.5755,8.6404,1.2
2025-11-30,466.0,6359385.0,232601.913,46.002,8.0176,1.2
2025-12-31,471.0,4281404.0,235097.6417,46.4956,8.1036,1.2
2026-01-31,409.65,7204606.0,204475.0508,40.4393,7.0481,1.2
2026-02-28,401.15,7225272.0,200232.312,39.6002,6.9018,1.2
2026-03-31,398.7,606196.0,199009.411,39.3583,6.8597,1.2
