GMDC IN Equity,price,volume,mc,pe,bm,div
2015-03-31,112.15,12844076.0,35663.7,7.1206,1.0997,3.0
2015-04-30,101.05,3152915.0,32133.9,6.4159,0.9908,3.0
2015-05-31,99.4,7769906.0,31609.2,6.3111,0.9747,3.0
2015-06-30,93.5,3328697.0,29733.0,5.9365,0.9168,3.0
2015-07-31,91.1,2949712.0,28969.8,5.7841,0.8933,3.0
2015-08-31,74.9,5676174.0,23818.2,4.7556,0.7344,3.0
2015-09-30,71.6,9180227.0,22768.8,4.546,0.7021,3.0
2015-10-31,73.25,11964258.0,23293.5,4.6508,0.7182,3.0
2015-11-30,87.05,8034370.0,27681.9,5.527,0.8536,3.0
2015-12-31,84.75,2897285.0,26950.5,5.381,0.831,3.0
2016-01-31,62.0,6067292.0,19716.0,3.9365,0.6079,3.0
2016-02-29,56.7,5893468.0,18030.6,3.6,0.556,3.0
2016-03-31,65.4,5518415.0,20797.2,9.492,0.5626,3.0
2016-04-30,69.35,7479495.0,22053.3,10.0653,0.5966,3.0
2016-05-31,66.1,3643494.0,21019.8,9.5936,0.5687,3.0
2016-06-30,78.85,14786020.0,25074.3,11.4441,0.6784,3.0
2016-07-31,79.35,10910422.0,25233.3,11.5167,0.6827,3.0
2016-08-31,96.85,21361318.0,30798.3,14.0566,0.8332,3.0
2016-09-30,84.15,16112354.0,26759.7,12.2134,0.724,3.0
2016-10-31,113.25,24775017.0,36013.5,16.4369,0.9743,3.0
2016-11-30,106.3,20406418.0,33803.4,15.4282,0.9145,3.0
2016-12-31,91.5,13621355.0,29097.0,13.2801,0.7872,3.0
2017-01-31,116.8,30435872.0,37142.4,16.9521,1.0049,3.0
2017-02-28,119.5,11432525.0,38001.0,17.344,1.0281,3.0
2017-03-31,122.35,10562044.0,38907.3,11.9716,0.9725,3.0
2017-04-30,124.9,7166940.0,39718.2,12.2211,0.9928,3.0
2017-05-31,132.35,32778844.0,42087.3,12.9501,1.052,3.0
2017-06-30,147.0,20558426.0,46746.0,14.3836,1.1685,3.0
2017-07-31,142.3,10314205.0,45251.4,13.9237,1.1311,3.0
2017-08-31,141.9,10157241.0,45124.2,13.8845,1.1279,3.0
2017-09-30,138.5,8914875.0,44043.0,13.5519,1.1009,3.0
2017-10-31,175.05,19976078.0,55665.9,17.1282,1.3915,3.0
2017-11-30,166.6,10124485.0,52978.8,16.3014,1.3243,3.0
2017-12-31,167.15,7724454.0,53153.7,16.3552,1.3287,3.0
2018-01-31,146.9,10501027.0,46714.2,14.3738,1.1677,3.0
2018-02-28,140.7,5359698.0,44742.6,13.7671,1.1184,3.0
2018-03-31,123.05,4395688.0,39129.9,11.289,0.8993,3.0
2018-04-30,135.6,3727448.0,43120.8,12.4404,0.991,3.0
2018-05-31,116.15,4399735.0,36935.7,10.656,0.8489,3.0
2018-06-30,106.65,5604452.0,33914.7,9.7844,0.7794,3.0
2018-07-31,114.7,2267494.0,36474.6,10.5229,0.8383,3.0
2018-08-31,114.85,4288093.0,36522.3,10.5367,0.8394,3.0
2018-09-30,93.45,6320662.0,29717.1,8.5734,0.683,3.5
2018-10-31,86.15,8823609.0,27395.7,7.9037,0.6296,3.5
2018-11-30,86.25,4029962.0,27427.5,7.9128,0.6304,3.5
2018-12-31,89.2,2634994.0,28365.6,8.1835,0.6519,3.5
2019-01-31,85.2,1517146.0,27093.6,7.8165,0.6227,3.5
2019-02-28,76.95,2806394.0,24470.1,7.0596,0.5624,3.5
2019-03-31,81.3,5640392.0,25853.4,11.7656,0.5988,3.5
2019-04-30,73.65,3331471.0,23420.7,10.6585,0.5425,3.5
2019-05-31,80.35,6976185.0,25551.3,11.6281,0.5918,3.5
2019-06-30,75.1,2251682.0,23881.8,10.8683,0.5532,3.5
2019-07-31,71.5,2391183.0,22737.0,10.3473,0.5266,3.5
2019-08-31,64.05,1879233.0,20367.9,9.2692,0.4718,3.5
2019-09-30,61.25,3270519.0,19477.5,8.864,0.4512,2.0
2019-10-31,63.45,4654283.0,20177.1,9.1823,0.4674,2.0
2019-11-30,57.85,3008557.0,18396.3,8.3719,0.4261,2.0
2019-12-31,61.55,4793594.0,19572.9,8.9074,0.4534,2.0
2020-01-31,61.2,8322576.0,19461.6,8.8567,0.4508,2.0
2020-02-29,51.0,2863577.0,16218.0,7.3806,0.3757,2.0
2020-03-31,31.55,7754241.0,10032.9,6.8438,0.2449,2.0
2020-04-30,39.45,18096239.0,12545.1,8.5575,0.3063,2.0
2020-05-31,37.9,9352242.0,12052.2,8.2213,0.2942,2.0
2020-06-30,39.95,38027393.0,12704.1,8.6659,0.3102,2.0
2020-07-31,41.0,55504250.0,13038.0,8.8937,0.3183,2.0
2020-08-31,46.25,68669185.0,14707.5,10.0325,0.3591,2.0
2020-09-30,42.05,11948014.0,13371.9,9.1215,0.3265,2.0
2020-10-31,42.65,16890089.0,13562.7,9.2516,0.3311,2.0
2020-11-30,46.95,20177634.0,14930.1,10.1844,0.3645,0.0
2020-12-31,52.6,49765534.0,16726.8,11.41,0.4084,2.0
2021-01-31,55.05,78048171.0,17505.9,11.9414,0.4274,2.0
2021-02-28,62.05,54924919.0,19731.9,13.4599,0.4817,2.0
2021-03-31,55.25,39999117.0,17569.5,12.1258,0.432,2.0
2021-04-30,58.8,29356819.0,18698.4,,0.4598,2.0
2021-05-31,73.15,150132542.0,23261.7,,0.572,2.0
2021-06-30,67.85,62597598.0,21576.3,,0.5305,2.0
2021-07-31,69.7,31634186.0,22164.6,,0.545,2.0
2021-08-31,70.15,34260942.0,22307.7,,0.5485,2.0
2021-09-30,74.95,37549824.0,23834.1,,0.5861,2.0
2021-10-31,73.45,53784592.0,23357.1,,0.5743,2.0
2021-11-30,64.8,11062892.0,20606.4,,0.5067,0.2
2021-12-31,73.85,19666819.0,23484.3,,0.5775,0.2
2022-01-31,114.0,158185911.0,36252.0,,0.8914,0.2
2022-02-28,132.65,130762051.0,42182.7,,1.0372,0.2
2022-03-31,189.75,208651437.0,60340.5,13.5342,1.2515,0.2
2022-04-30,186.9,118725915.0,59434.2,13.331,1.2327,0.2
2022-05-31,155.1,145248463.0,49321.8,11.0628,1.0229,0.2
2022-06-30,135.25,53108687.0,43009.5,9.6469,0.892,0.2
2022-07-31,160.8,41574113.0,51134.4,11.4693,1.0605,0.2
2022-08-31,166.3,57646555.0,52883.4,11.8616,1.0968,0.2
2022-09-30,135.75,43667574.0,43168.5,9.6826,0.8953,4.3
2022-10-31,141.25,20970736.0,44917.5,10.0749,0.9316,4.3
2022-11-30,157.25,25468025.0,50005.5,11.2161,1.0371,4.3
2022-12-31,146.65,28322506.0,46634.7,10.4601,0.9672,4.3
2023-01-31,141.4,24571059.0,44965.2,10.0856,0.9326,4.3
2023-02-28,133.5,24313137.0,42453.0,9.5221,0.8805,4.3
2023-03-31,126.6,18680521.0,40258.8,3.3421,0.6959,4.3
2023-04-30,156.55,45977387.0,49782.9,4.1328,0.8605,4.3
2023-05-31,167.75,52297223.0,53344.5,4.4285,0.9221,4.3
2023-06-30,165.45,34722076.0,52613.1,4.3677,0.9094,4.3
2023-07-31,181.65,46388643.0,57764.7,4.7954,0.9985,4.3
2023-08-31,248.75,166928021.0,79102.5,6.5668,1.3673,4.3
2023-09-30,317.15,197014266.0,100853.7,8.3725,1.7433,11.45
2023-10-31,357.7,244074191.0,113748.6,9.443,1.9662,11.45
2023-11-30,411.6,189032806.0,130888.8,10.8659,2.2625,11.45
2023-12-31,407.0,101960444.0,129426.0,10.7445,2.2372,11.45
2024-01-31,458.0,129936427.0,145644.0,12.0908,2.5175,11.45
2024-02-29,389.9,79047119.0,123988.2,10.293,2.1432,11.45
2024-03-31,343.95,39134502.0,109376.1,18.3147,1.7931,11.45
2024-04-30,420.1,69944978.0,133591.8,22.3695,2.1901,11.45
2024-05-31,392.35,57876972.0,124767.3,20.8919,2.0455,11.45
2024-06-30,392.95,37273641.0,124958.1,20.9239,2.0486,11.45
2024-07-31,400.7,64935406.0,127422.6,21.3365,2.089,11.45
2024-08-31,369.05,21484508.0,117357.9,19.6512,1.924,11.45
2024-09-30,359.65,22536365.0,114368.7,19.1507,1.875,9.55
2024-10-31,370.45,52332826.0,117803.1,19.7258,1.9313,9.55
2024-11-30,345.3,19196461.0,109805.4,18.3866,1.8002,9.55
2024-12-31,321.8,15284153.0,102332.4,17.1353,1.6777,9.55
2025-01-31,322.05,61369014.0,102411.9,17.1486,1.679,9.55
2025-02-28,241.4,18584805.0,76765.2,12.8541,1.2585,9.55
2025-03-31,265.22,23743204.0,84339.96,12.2958,1.3154,9.55
2025-04-30,304.15,41354306.0,96719.7,14.1006,1.5085,9.55
2025-05-31,357.3,30844425.0,113621.4,16.5647,1.7721,9.55
2025-06-30,411.6,68748937.0,130888.8,19.0821,2.0414,9.55
2025-07-31,393.8,140769834.0,125228.4,18.2568,1.9531,9.55
2025-08-31,403.85,89872609.0,128424.3,18.7228,2.003,9.55
2025-09-30,599.05,334108801.0,190497.9,27.7724,2.9711,10.1
2025-10-31,594.3,99740919.0,188987.4,27.5522,2.9475,10.1
2025-11-30,539.3,126349245.0,171497.4,25.0023,2.6747,10.1
2025-12-31,598.75,135618446.0,190402.5,27.7585,2.9696,10.1
2026-01-31,577.75,108322333.0,183724.5,26.7849,2.8654,10.1
2026-02-28,569.4,90697812.0,181069.2,26.3978,2.824,10.1
2026-03-31,545.75,7667918.0,173548.5,25.3013,2.7067,10.1
