GMDC IN Equity,price,volume,mc,pe,bm,div
1998-01-31,11.45,13285500.0,,,,0.0
1998-02-28,10.31,950000.0,,,,0.0
1998-03-31,10.5,2349500.0,,,,0.0
1998-04-30,12.4,8473000.0,,,,0.0
1998-05-31,11.22,1201000.0,,,,0.0
1998-06-30,6.92,3138000.0,,,,0.0
1998-07-31,7.17,11019000.0,2278.4699,,,0.0
1998-08-31,7.28,2470500.0,2313.4499,,,0.45
1998-09-30,6.15,2494500.0,1954.11,,,0.45
1998-10-31,5.73,1424500.0,1820.55,,,0.45
1998-11-30,5.79,904500.0,1841.22,,,0.45
1998-12-31,5.28,1575000.0,1679.04,,,0.45
1999-01-31,6.1,6781500.0,1939.8,,,0.45
1999-02-28,4.95,2339500.0,1574.1,,,0.45
1999-03-31,5.67,3742500.0,1803.06,,,0.45
1999-04-30,4.23,1437500.0,1345.14,,,0.45
1999-05-31,6.71,3089500.0,2133.7799,,,0.45
1999-06-30,5.65,600500.0,1796.7,,,0.45
1999-07-31,6.82,2421500.0,2168.7599,,,0.45
1999-08-31,8.06,6404000.0,2563.0799,,,0.5
1999-09-30,6.3,1970000.0,2003.4,,,0.5
1999-10-31,6.95,4460500.0,2210.0999,,,0.5
1999-11-30,6.26,2592000.0,1989.09,,,0.5
1999-12-31,6.78,1896000.0,2157.6299,,,0.5
2000-01-31,5.8,1427000.0,1844.4,,,0.5
2000-02-29,4.55,1574500.0,1446.9,,,0.5
2000-03-31,4.0,4259900.0,1272.0,,,0.5
2000-04-30,3.99,627320.0,1268.82,,,0.5
2000-05-31,3.7,211930.0,1176.6,,,0.5
2000-06-30,3.55,234400.0,1128.9,,,0.5
2000-07-31,3.1,297610.0,985.8,,,0.5
2000-08-31,4.3,1081470.0,1365.81,,,0.5
2000-09-30,2.94,760630.0,933.33,,,0.4
2000-10-31,2.62,315170.0,833.16,,,0.4
2000-11-30,3.63,2502620.0,1152.75,,,0.4
2000-12-31,3.77,3296590.0,1198.86,,,0.4
2001-01-31,3.54,1393750.0,1125.72,,,0.4
2001-02-28,3.73,1484180.0,1184.55,,,0.4
2001-03-31,3.33,1320670.0,1057.35,,,0.4
2001-04-30,4.0,545680.0,1272.0,,,0.4
2001-05-31,5.06,4694040.0,1607.49,,,0.4
2001-06-30,4.38,936210.0,1392.84,,,0.4
2001-07-31,4.21,249520.0,1338.78,,,0.4
2001-08-31,4.94,496910.0,1570.92,,,0.4
2001-09-30,3.67,458730.0,1165.47,,,0.45
2001-10-31,4.1,1054350.0,1303.8,,,0.45
2001-11-30,4.41,421820.0,1402.38,,,0.45
2001-12-31,4.0,371980.0,1272.0,,,0.45
2002-01-31,4.41,3387380.0,1402.38,,,0.45
2002-02-28,5.89,6723920.0,1871.43,,,0.45
2002-03-31,6.05,2829940.0,1923.9,,,0.45
2002-04-30,9.51,16185470.0,3024.1799,,,0.45
2002-05-31,8.96,7594840.0,2847.6899,,,0.45
2002-06-30,12.28,30212730.0,3903.4499,,,0.45
2002-07-31,9.87,2674390.0,3138.6599,,,0.45
2002-08-31,8.85,990560.0,2814.2999,,,0.45
2002-09-30,8.65,514940.0,2750.6999,,,0.4
2002-10-31,7.5,743930.0,2384.9999,,,0.4
2002-11-30,8.12,473320.0,2582.1599,,,0.4
2002-12-31,9.37,3364840.0,2979.6599,,,0.4
2003-01-31,8.79,1069010.0,2793.6299,,,0.4
2003-02-28,8.9,396490.0,2828.6099,,,0.4
2003-03-31,7.53,420770.0,2394.5399,,,0.4
2003-04-30,8.4,2994120.0,2669.6099,,,0.4
2003-05-31,10.57,4904840.0,3361.2599,,,0.4
2003-06-30,12.23,7002560.0,3887.5499,,,0.4
2003-07-31,10.02,5749680.0,3184.7699,,,0.4
2003-08-31,10.99,5781390.0,3494.8199,,,0.4
2003-09-30,11.21,5417310.0,3563.1899,,,0.45
2003-10-31,11.9,14983920.0,3782.6099,,,0.45
2003-11-30,17.24,22773410.0,5482.3199,,,0.45
2003-12-31,25.43,34452420.0,8086.7398,,,0.45
2004-01-31,22.3,14084730.0,7089.8098,,,0.45
2004-02-29,20.26,3323860.0,6441.0898,,,0.45
2004-03-31,18.43,3038570.0,5862.3299,,,0.45
2004-04-30,19.08,5876840.0,6067.4399,,,0.45
2004-05-31,13.01,5902220.0,4135.5899,,,0.45
2004-06-30,14.35,6364800.0,4563.2999,,,0.45
2004-07-31,18.97,6141320.0,6032.4599,,,0.45
2004-08-31,22.01,11961620.0,6997.5898,,,0.45
2004-09-30,25.19,9674280.0,8010.4198,,,0.45
2004-10-31,25.66,6243450.0,8158.2898,,,0.45
2004-11-30,30.49,11885130.0,9697.4098,,,0.45
2004-12-31,32.08,5105340.0,10199.8498,,,0.45
2005-01-31,31.49,9592220.0,10013.8198,,,0.45
2005-02-28,35.66,11376190.0,11338.2897,,,0.45
2005-03-31,30.43,13220790.0,9676.7398,,,0.45
2005-04-30,31.59,5733690.0,10045.6198,,,0.45
2005-05-31,34.84,12402580.0,11079.1197,,,0.45
2005-06-30,35.21,8830310.0,11195.1897,,,0.45
2005-07-31,38.36,11469360.0,12200.0697,,,0.45
2005-08-31,43.43,13333770.0,13809.1497,,,0.45
2005-09-30,45.63,10440230.0,14510.3397,,,0.5
2005-10-31,39.21,6300740.0,12467.1897,,,0.5
2005-11-30,42.57,3568700.0,13535.6697,,,0.5
2005-12-31,41.72,4839720.0,13266.9597,,,0.5
2006-01-31,42.04,4855040.0,13367.1297,,,0.5
2006-02-28,40.76,8786000.0,12961.6797,,,0.5
2006-03-31,44.93,4270190.0,14286.1497,,,0.5
2006-04-30,43.64,1602350.0,12293.8797,,,0.5
2006-05-31,31.8,6091920.0,10110.8098,,,0.5
2006-06-30,31.41,1627900.0,9986.7898,,,0.5
2006-07-31,28.8,245650.0,9158.3998,,,0.5
2006-08-31,34.35,11933600.0,10923.2997,,,0.5
2006-09-30,34.92,2529140.0,11106.1497,,,0.5
2006-10-31,35.01,1049240.0,11131.5897,,,0.5
2006-11-30,36.33,2197290.0,11551.3497,,,0.0
2006-12-31,36.51,689840.0,11608.5897,,,0.6
2007-01-31,42.65,2913330.0,13561.1097,,,0.6
2007-02-28,43.69,9501840.0,13891.8297,,,0.6
2007-03-31,47.88,11835370.0,15224.2496,,,0.6
2007-04-30,53.55,1488900.0,17027.3096,,,0.6
2007-05-31,67.05,26896540.0,21323.4895,,,0.6
2007-06-30,83.4,8285810.0,26521.1994,,,0.6
2007-07-31,98.18,9012660.0,31219.6493,,,0.6
2007-08-31,91.09,5257580.0,28965.0293,,,0.6
2007-09-30,109.14,6053790.0,34704.9292,,,1.0
2007-10-31,252.66,43867050.0,80344.2881,,,1.0
2007-11-30,238.55,25851732.0,75858.9,,,1.0
2007-12-31,259.6,9784194.0,82552.8,,,1.0
2008-01-31,192.68,9264906.0,61270.65,,,1.0
2008-02-29,210.73,6676524.0,67010.55,,,1.0
2008-03-31,145.5,8078848.0,46269.0,,,1.0
2008-04-30,160.68,12358312.0,51094.65,,,1.0
2008-05-31,132.4,12184692.0,42103.2,,,1.0
2008-06-30,124.58,20059558.0,39614.85,,,1.0
2008-07-31,126.33,12063470.0,40171.35,,,1.0
2008-08-31,124.08,11135404.0,39455.85,,,1.0
2008-09-30,70.85,34752784.0,22530.3,,,1.0
2008-10-31,49.2,10731979.0,15645.6,,,1.0
2008-11-30,26.65,5462473.0,8474.7,,,1.0
2008-12-31,42.5,22624184.0,13515.0,,,1.0
2009-01-31,41.1,14362314.0,13069.8,,,1.0
2009-02-28,35.75,4271174.0,11368.5,,,1.0
2009-03-31,39.55,12965759.0,12576.9,5.4327,1.032,1.0
2009-04-30,52.7,32477158.0,16758.6,7.239,1.3751,1.0
2009-05-31,89.85,54634709.0,28572.3,12.342,2.3445,1.0
2009-06-30,83.45,50821183.0,26537.1,11.4629,2.1775,1.0
2009-07-31,90.25,58980153.0,28699.5,12.397,2.3549,1.0
2009-08-31,116.6,67071486.0,37078.8,16.0165,3.0425,1.0
2009-09-30,115.75,50678684.0,36808.5,15.8997,3.0203,2.0
2009-10-31,103.9,25800069.0,33040.2,14.272,2.7111,2.0
2009-11-30,138.55,71575866.0,44058.9,19.0316,3.6152,2.0
2009-12-31,150.75,47256604.0,47938.5,20.7074,3.9336,2.0
2010-01-31,145.6,64855490.0,46300.8,20.0,3.7992,2.0
2010-02-28,137.9,37155318.0,43852.2,18.9423,3.5983,2.0
2010-03-31,141.9,27875149.0,45124.2,19.4918,3.7026,2.0
2010-04-30,137.25,11991169.0,43645.5,18.853,3.5813,2.0
2010-05-31,125.65,16536424.0,39956.7,17.2596,3.2786,2.0
2010-06-30,128.35,23936131.0,40815.3,17.6305,3.3491,2.0
2010-07-31,120.85,16423473.0,38430.3,16.6003,3.1534,2.0
2010-08-31,119.8,16668834.0,38096.4,16.456,3.126,2.0
2010-09-30,130.7,21421659.0,41562.6,17.9533,3.4104,2.5
2010-10-31,135.15,18345013.0,42977.7,18.5646,3.5265,2.5
2010-11-30,132.7,39238797.0,42198.6,18.228,3.4626,2.5
2010-12-31,139.7,12862149.0,44424.6,19.1896,3.6452,2.5
2011-01-31,121.45,7262485.0,38621.1,16.6827,3.169,2.5
2011-02-28,114.5,7311928.0,36411.0,15.728,2.9877,2.5
2011-03-31,135.7,15467262.0,43152.6,11.5098,2.5843,2.5
2011-04-30,139.75,8201884.0,44440.5,11.8533,2.6615,2.5
2011-05-31,144.4,7939818.0,45919.2,12.2477,2.75,2.5
2011-06-30,149.95,9249603.0,47684.1,12.7184,2.8557,2.5
2011-07-31,160.1,11698876.0,50911.8,13.5793,3.049,2.5
2011-08-31,180.1,10655034.0,57271.8,15.2757,3.4299,2.5
2011-09-30,169.55,12029316.0,53916.9,14.3808,3.229,3.0
2011-10-31,176.25,5651279.0,56047.5,14.9491,3.3566,3.0
2011-11-30,177.8,10071267.0,56540.4,15.0806,3.3861,3.0
2011-12-31,161.7,4523026.0,51420.6,13.715,3.0795,3.0
2012-01-31,179.35,4674236.0,57033.3,15.212,3.4156,3.0
2012-02-29,205.2,18452695.0,65253.6,17.4046,3.9079,3.0
2012-03-31,182.05,7992819.0,57891.9,11.8909,2.8299,3.0
2012-04-30,185.5,4200789.0,58989.0,12.1163,2.8836,3.0
2012-05-31,178.2,3998654.0,56667.6,11.6395,2.7701,3.0
2012-06-30,186.2,5617450.0,59211.6,12.162,2.8945,3.0
2012-07-31,186.3,4547341.0,59243.4,12.1685,2.896,3.0
2012-08-31,190.2,4177465.0,60483.6,12.4233,2.9566,3.0
2012-09-30,197.6,5436113.0,62836.8,12.9066,3.0717,3.0
2012-10-31,211.15,6466362.0,67145.7,13.7916,3.2823,3.0
2012-11-30,209.95,4886804.0,66764.1,13.7133,3.2636,3.0
2012-12-31,216.35,4537871.0,68799.3,14.1313,3.3631,3.0
2013-01-31,192.65,4443365.0,61262.7,12.5833,2.9947,3.0
2013-02-28,185.0,3664765.0,58830.0,12.0836,2.8758,3.0
2013-03-31,167.0,2426053.0,53106.0,8.8387,2.0949,3.0
2013-04-30,154.6,4246867.0,49162.8,8.1824,1.9394,3.0
2013-05-31,138.45,2820174.0,44027.1,7.3276,1.7368,3.0
2013-06-30,126.65,1920073.0,40274.7,6.7031,1.5888,3.0
2013-07-31,86.85,7766068.0,27618.3,4.5966,1.0895,3.0
2013-08-31,82.85,4546910.0,26346.3,4.3849,1.0393,3.0
2013-09-30,89.9,7287874.0,28588.2,4.7581,1.1278,3.0
2013-10-31,103.4,4655829.0,32881.2,5.4726,1.2971,3.0
2013-11-30,106.75,3151699.0,33946.5,5.6499,1.3391,3.0
2013-12-31,118.7,7052092.0,37746.6,6.2823,1.489,3.0
2014-01-31,115.0,2613261.0,36570.0,6.0865,1.4426,3.0
2014-02-28,105.65,1486252.0,33596.7,5.5916,1.3253,3.0
2014-03-31,131.9,8866101.0,41944.2,9.551,1.4654,3.0
2014-04-30,132.0,5296511.0,41976.0,9.5583,1.4665,3.0
2014-05-31,150.75,12757854.0,47938.5,10.916,1.6749,3.0
2014-06-30,168.75,11215057.0,53662.5,12.2194,1.8748,3.0
2014-07-31,154.25,4144347.0,49051.5,11.1694,1.7137,3.0
2014-08-31,145.45,3973153.0,46253.1,10.5322,1.616,3.0
2014-09-30,144.8,8801722.0,46046.4,10.4852,1.6087,3.0
2014-10-31,152.45,4145636.0,48479.1,11.0391,1.6937,3.0
2014-11-30,133.3,4877029.0,42389.4,9.6524,1.481,3.0
2014-12-31,129.2,7297791.0,41085.6,9.3555,1.4354,3.0
2015-01-31,123.2,4135509.0,39177.6,8.9211,1.3688,3.0
2015-02-28,116.85,2339596.0,37158.3,8.4613,1.2982,3.0
