SUNP IN Equity,price,volume,mc,pe,bm,div
2005-03-31,43.21,25341270.0,86541.0673,18.3259,,0.325
2005-04-30,46.24,22063160.0,92625.8412,19.6144,,0.325
2005-05-31,48.63,20590870.0,97412.0353,20.628,,0.325
2005-06-30,54.0,31473880.0,108153.1452,20.7068,,0.325
2005-07-31,57.56,27347960.0,115295.3341,22.0742,,0.325
2005-08-31,58.04,23055080.0,116259.9933,22.2589,,0.325
2005-09-30,61.96,24997090.0,124116.401,21.7603,,0.375
2005-10-31,55.54,21278460.0,111251.1856,19.5047,,0.375
2005-11-30,61.42,34987480.0,123033.8107,21.57,,0.375
2005-12-31,63.13,28101710.0,126447.294,21.3267,,0.375
2006-01-31,64.44,37125400.0,129081.6126,21.771,,0.375
2006-02-28,72.04,62684730.0,144303.1509,24.3383,,0.375
2006-03-31,79.61,46916260.0,159459.7587,25.7631,,0.375
2006-04-30,80.21,38429680.0,162029.147,25.9595,,0.375
2006-05-31,74.59,67851660.0,149414.1,24.1401,,0.375
2006-06-30,72.95,54101460.0,146565.4457,22.0404,,0.375
2006-07-31,75.62,40298740.0,151914.8891,22.8448,,0.375
2006-08-31,84.2,42055610.0,169163.3553,25.4386,,0.375
2006-09-30,86.26,28961290.0,173294.0559,24.5749,,0.55
2006-10-31,83.89,21873450.0,169401.067,23.8994,,0.55
2006-11-30,94.02,64267810.0,190649.8356,26.7861,,0.55
2006-12-31,90.98,51189770.0,186702.3957,24.0691,,0.55
2007-01-31,95.45,58213630.0,196171.5831,25.2501,,0.55
2007-02-28,86.07,51091040.0,178334.7204,22.7693,,0.55
2007-03-31,97.84,51325010.0,203406.345,16.2532,,0.675
2007-04-30,102.63,81774740.0,198478.7012,17.0473,,0.675
2007-05-31,111.93,48453720.0,217612.8522,18.593,,0.675
2007-06-30,102.55,59337560.0,199907.9994,16.4343,,0.675
2007-07-31,93.17,65772740.0,182561.8471,14.9303,,0.675
2007-08-31,92.94,55648640.0,184063.7729,14.8942,,0.675
2007-09-30,96.48,43909100.0,191074.7859,15.2177,,0.675
2007-10-31,105.5,53032710.0,208928.6332,16.6396,,0.675
2007-11-30,110.26,48603440.0,220253.7212,17.3912,,0.675
2007-12-31,120.38,29023890.0,240710.3991,17.5218,,0.675
2008-01-31,113.28,57515010.0,226907.7773,16.4891,,0.675
2008-02-29,122.7,43696560.0,245813.9927,17.8603,,0.675
2008-03-31,122.93,87523360.0,250120.4829,16.5681,,0.675
2008-04-30,144.78,79594850.0,298212.0627,19.5121,,0.675
2008-05-31,140.27,49243090.0,288922.5194,18.9043,,0.0
2008-06-30,140.09,102215320.0,288562.0614,16.1586,,0.0
2008-07-31,141.1,70676040.0,290632.1331,16.2745,,0.0
2008-08-31,147.23,48612540.0,303258.4746,16.9815,,1.05
2008-09-30,148.33,63746030.0,305534.4965,14.7597,,1.05
2008-10-31,111.83,99529290.0,230332.6597,11.1269,,1.05
2008-11-30,108.22,97992460.0,222896.9262,10.7677,,1.05
