GDSP IN Equity,price,volume,mc,pe,bm,div
1995-03-31,11.59,,,,,0.3553
1995-04-30,10.14,,,,,0.3553
1995-05-31,9.85,,,,,0.3553
1995-06-30,9.27,,6381.7603,,,0.3553
1995-07-31,8.69,,5982.9002,,,0.3553
1995-08-31,6.14,,4227.9162,,,0.3553
1995-09-30,9.48,,6521.3608,,,0.3553
1995-10-31,9.3,,6401.7028,,,0.3553
1995-11-30,7.74,,5324.7809,,,0.3553
1995-12-31,5.69,,3918.7994,,,0.3553
1996-01-31,4.96,,3410.2529,,,0.3553
1996-02-29,6.52,,4487.1749,,,0.3553
1996-03-31,5.82,,4008.5429,,,0.3553
1996-04-30,5.91,,4068.3719,,,0.3664
1996-05-31,4.52,296037.0,3111.1079,,,0.3664
1996-06-30,4.52,410128.0,3111.1079,,,0.3664
1996-07-31,3.87,1103682.0,2662.3904,,,0.3664
1996-08-31,4.63,1098776.0,3185.8942,,,0.3664
1996-09-30,3.41,3416023.0,2348.2882,,,0.3664
1996-10-31,3.48,150732.0,2393.1599,,,0.3664
1996-11-30,3.37,154269.0,2318.3737,,,0.3664
1996-12-31,3.11,489397.0,2138.8867,,,0.3664
1997-01-31,2.91,408777.0,2004.2715,,,0.3664
1997-02-28,2.98,223150.0,2049.1432,,,0.3664
1997-03-31,2.63,1459383.0,1809.8272,,,0.3664
1997-04-30,2.56,231629.0,1764.9555,,,0.3664
1997-05-31,2.11,168579.0,1450.8532,,,0.3664
1997-06-30,2.0,510858.0,1376.067,,,0.0
1997-07-31,3.91,6113259.0,2692.3049,,,0.0
1997-08-31,3.35,2049030.0,2303.4164,,,0.0
1997-09-30,3.17,875043.0,2183.7584,,,0.0
1997-10-31,3.93,1042860.0,2707.2622,,,0.0
1997-11-30,3.35,2306726.0,2303.4164,,,0.0
1997-12-31,2.96,2190449.0,2034.186,,,0.0
1998-01-31,2.69,1676991.0,1854.699,,,0.0
1998-02-28,3.2,3700290.0,2201.7071,,,0.0
1998-03-31,3.93,35789407.0,2707.2622,,,0.0
1998-04-30,4.73,40430529.0,3257.689,,,0.0
1998-05-31,4.68,39146132.0,3221.7916,,,0.0
1998-06-30,2.96,27725128.0,2037.1774,,,0.0
1998-07-31,2.32,11245657.0,1597.4343,,,0.0
1998-08-31,2.69,10232377.0,1848.7161,,,0.2165
1998-09-30,2.74,2502554.0,1884.6135,,,0.2165
1998-10-31,2.33,273519.0,1603.4172,,,0.2165
1998-11-30,2.09,2935681.0,1435.896,,,0.2165
1998-12-31,2.34,9106976.0,1609.4001,,,0.2165
1999-01-31,2.22,13070408.0,1525.6395,,,0.2165
1999-02-28,2.08,4827775.0,1432.9045,,,0.2165
1999-03-31,3.33,15983042.0,2288.4592,,,0.2165
1999-04-30,2.52,7426581.0,1732.0495,,,0.2165
1999-05-31,2.7,8845533.0,1860.6819,,,0.2165
1999-06-30,2.89,11166550.0,1986.3228,,,0.2165
1999-07-31,4.08,38213400.0,2805.98,,,0.2165
1999-08-31,5.83,37106295.0,4014.5258,,,0.2165
1999-09-30,5.56,15048281.0,3829.0559,,,0.2165
1999-10-31,4.5,11661286.0,3099.1421,,,0.0
1999-11-30,4.7,6530268.0,3233.7574,,,0.0
1999-12-31,5.1,8981283.0,3511.9622,,,0.0
2000-01-31,5.32,7061411.0,3658.5433,,,0.0
2000-02-29,4.0,3125967.0,2755.1254,,,0.0
2000-03-31,4.14,2435457.0,2850.8518,,,0.0
2000-04-30,3.22,2255823.0,2213.6729,,,0.8993
2000-05-31,3.31,1609094.0,2276.4934,,,0.8993
