BHE IN Equity,price,volume,mc,pe,bm,div
1995-03-31,1.52,,,,,0.0162
1995-05-31,1.54,,,,,0.0162
1997-03-31,1.25,29700.0,9920.0,,,0.0162
1997-04-30,0.92,79200.0,7280.0,,,0.0162
1997-05-31,0.75,39600.0,5920.0,,,0.0162
1997-06-30,0.47,1306800.0,3760.0,,,0.0162
1997-07-31,0.56,10731600.0,4460.0,,,0.0162
1997-08-31,0.53,19602000.0,4200.0,,,0.0364
1997-09-30,0.43,4544100.0,3380.0,,,0.0202
1997-10-31,0.33,3039300.0,2600.0,,,0.0202
1997-11-30,0.24,1564200.0,1880.0,,,0.0202
1997-12-31,0.26,732600.0,2080.0,,,0.0202
1998-01-31,0.25,3712500.0,1960.0,,,0.0202
1998-02-28,0.24,1673100.0,1880.0,,,0.0202
1998-03-31,0.28,2475000.0,2240.0,,,0.0202
1998-04-30,0.47,16127100.0,3740.0,,,0.0202
1998-05-31,0.69,47856600.0,5452.0,,,0.0202
1998-06-30,0.44,16948800.0,3504.0,,,0.0202
1998-07-31,0.28,12820500.0,2216.0,,,0.0202
1998-08-31,0.26,9781200.0,2072.0,,,0.0202
1998-09-30,0.3,21027600.0,2400.0,,,0.0202
1998-10-31,0.28,5078700.0,2224.0,,,0.0202
1998-11-30,0.21,8137800.0,1680.0,,,0.0202
1998-12-31,0.23,9593100.0,1800.0,,,0.0202
1999-01-31,0.19,28333800.0,1508.0,,,0.0202
1999-02-28,0.32,245718000.0,2508.0,,,0.0202
1999-03-31,0.3,256479300.0,2344.0,,,0.0202
1999-04-30,0.2,80655300.0,1600.0,,,0.0202
1999-05-31,0.19,86981400.0,1508.0,,,0.0202
1999-06-30,0.27,135451800.0,2160.0,,,0.0202
1999-07-31,0.47,448455150.0,3700.0,,,0.0202
1999-08-31,0.58,421027200.0,4588.0,,,0.0202
1999-09-30,0.52,188327700.0,4084.0,,,0.0202
1999-10-31,0.72,337164300.0,5692.0,,,0.0202
1999-11-30,0.68,227561400.0,5348.0,,,0.0202
1999-12-31,0.81,259548300.0,6452.0,,,0.0202
2000-01-31,1.21,416017800.0,9616.0,,,0.0202
2000-02-29,0.91,473873400.0,7200.0,,,0.0202
2000-03-31,0.6,279249300.0,4772.0,,,0.0202
2000-04-30,0.78,293010300.0,6200.0,,,0.0202
2000-05-31,0.75,149707800.0,5924.0,,,0.0202
2000-06-30,0.68,199150479.0,5400.0,,,0.0202
2000-07-31,0.68,93978324.0,5380.0,,,0.0202
2000-08-31,0.68,157792140.0,5408.0,,,0.0202
2000-09-30,0.52,122155605.0,4112.0,,,0.0253
2000-10-31,0.52,91465209.0,4080.0,,,0.0253
