TRID IN Equity,price,volume,mc,pe,bm,div
1995-01-31,1.0,,,,,0.0
1995-02-28,0.88,,,,,0.0
1995-03-31,0.65,,,,,0.0
1995-04-30,0.8,,,,,0.0
1995-05-31,0.55,,,,,0.0
1995-06-30,0.63,,,,,0.0
1995-07-31,0.68,,,,,0.0
1995-08-31,0.63,,,,,0.0
1995-09-30,0.6,,,,,0.0
1995-10-31,0.53,,,,,0.0
1995-11-30,0.5,,,,,0.0
1995-12-31,0.5,,,,,0.0
1996-01-31,0.54,,,,,0.0
1996-02-29,0.6,,,,,0.0
1996-03-31,0.55,,,,,0.0
1996-04-30,0.55,,,,,0.0
1996-05-31,0.57,182000.0,,,,0.0
1996-06-30,0.5,995000.0,,,,0.0
1996-07-31,0.51,567000.0,,,,0.0
1996-08-31,0.4,362000.0,,,,0.0
1996-09-30,0.35,120000.0,,,,0.0
1996-10-31,0.37,53000.0,,,,0.0
1996-11-30,0.44,94000.0,,,,0.0
1996-12-31,0.44,452000.0,,,,0.0
1997-01-31,0.63,1714000.0,,,,0.0
1997-02-28,0.6,406000.0,,,,0.1
1997-03-31,0.55,220000.0,,,,0.1
1997-04-30,0.59,138000.0,,,,0.1
1997-05-31,0.57,142000.0,,,,0.1
1997-06-30,0.45,152000.0,,,,0.1
1997-07-31,0.57,224000.0,,,,0.1
1997-08-31,0.65,396000.0,,,,0.1
1997-09-30,0.65,340000.0,,,,0.1
1997-10-31,0.7,175000.0,,,,0.1
1997-11-30,0.65,172000.0,,,,0.1
1997-12-31,0.65,120000.0,,,,0.1
1998-01-31,0.57,163000.0,,,,0.1
1998-02-28,0.69,323000.0,,,,0.1
1998-03-31,0.5,941000.0,,,,0.1
1998-04-30,0.5,2459000.0,,,,0.0
1998-05-31,0.4,613000.0,,,,0.0
1998-06-30,0.38,3669000.0,,,,0.0
1998-07-31,0.28,2733000.0,,,,0.0
1998-08-31,0.25,976000.0,,,,0.0
1998-09-30,0.3,186000.0,,,,0.0
1998-10-31,0.26,10000.0,,,,0.0
1998-11-30,0.3,111000.0,,,,0.0
1998-12-31,0.14,18000.0,,,,0.0
1999-01-31,0.28,106000.0,,,,0.0
1999-02-28,0.3,97000.0,,,,0.0
1999-03-31,0.25,139000.0,,,,0.0
1999-04-30,0.36,114000.0,,,,0.0
1999-05-31,0.28,53000.0,,,,0.0
1999-06-30,0.25,28000.0,,,,0.0
1999-07-31,0.25,282000.0,,,,0.0
1999-08-31,0.27,600000.0,,,,0.0
1999-09-30,0.27,321000.0,,,,0.0
1999-10-31,0.3,284000.0,,,,0.0
1999-11-30,0.22,83000.0,,,,0.0
1999-12-31,0.32,87000.0,,,,0.0
2000-01-31,0.22,162000.0,,,,0.0
2000-02-29,0.37,274000.0,,,,0.0
2000-03-31,0.32,112000.0,,,,0.0
2000-04-30,0.4,62000.0,,,,0.0
2000-05-31,0.28,206000.0,,,,0.0
2000-06-30,0.5,417000.0,,,,0.0
2000-07-31,0.37,231000.0,,,,0.0
2000-08-31,0.51,348000.0,,,,0.0
2000-09-30,0.5,377000.0,,,,0.0
2000-10-31,0.8,653000.0,,,,0.0
2000-11-30,0.8,713000.0,,,,0.0
2000-12-31,0.53,109000.0,,,,0.0
2001-01-31,0.53,24000.0,270.2548,,,0.0
2001-02-28,0.69,179000.0,355.192,,,0.0
2001-03-31,0.52,92000.0,265.1071,,,0.0
2001-04-30,0.58,7000.0,298.5672,,,0.0
2001-05-31,0.66,98000.0,337.175,,,0.0
2001-06-30,0.52,11000.0,265.1071,,,0.0
2001-07-31,0.53,27000.0,270.2548,,,0.0
2001-08-31,0.4,30990.0,205.9084,,,0.0
2001-09-30,0.4,10510.0,205.9084,,,0.0
2001-10-31,0.33,76000.0,167.3006,,,0.0
2001-11-30,0.32,42000.0,164.7267,,,0.0
2001-12-31,0.35,38500.0,180.1699,,,0.0
2002-01-31,0.37,36010.0,190.4653,,,0.0
2002-02-28,0.37,83510.0,317.4493,,,0.0
2002-03-31,0.31,78100.0,261.6811,,,0.0
2002-04-30,0.58,703530.0,497.6232,,,0.0
2002-05-31,1.29,1187000.0,1106.7825,,,0.0
2002-06-30,1.14,1252760.0,973.797,,,0.0
2002-07-31,0.68,10170000.0,579.1304,,,0.0
2002-08-31,0.65,3052610.0,1157.7408,,,0.0
2002-09-30,0.78,5458650.0,1391.084,,,0.0
2002-10-31,0.68,2409710.0,1220.564,,,0.0
