THELEELA IN Equity,price,volume,mc,pe,bm,div
2025-05-31,435.0,,,,3.3813,0.0
2025-06-30,405.15,27011794.0,135303.0343,,3.1493,0.0
2025-07-31,413.8,19730667.0,138191.7699,,3.2166,0.0
2025-08-31,399.45,6380020.0,133399.4744,,3.105,0.0
2025-09-30,413.0,12563220.0,137924.6036,,3.2103,0.0
2025-10-31,433.7,17218766.0,144837.5317,,3.3712,0.0
2025-11-30,411.75,8417199.0,137507.1563,,3.2006,0.0
2025-12-31,433.55,4042653.0,144787.438,,3.3701,0.0
2026-01-31,421.0,14926670.0,140596.2666,,3.2725,0.0
2026-02-28,453.55,3664909.0,151466.5956,,3.5255,0.0
2026-03-31,434.7,819119.0,145171.4936,,3.379,0.0
