ALOK IN Equity,price,volume,mc,pe,bm,div
1995-01-31,181.11,,,,,0.0
1995-02-28,172.06,,,,,0.0
1995-03-31,160.74,,,,,0.0
1995-04-30,113.2,,,,,0.0
1995-05-31,90.56,,,,,0.0
1995-06-30,88.75,,,,,0.0
1995-07-31,97.35,,,,,0.0
1995-08-31,86.03,,,,,0.0
1995-09-30,82.41,,,,,0.0
1995-10-31,81.5,,,,,0.0
1995-11-30,67.01,,,,,0.0
1995-12-31,66.56,,,,,0.0
1996-01-31,45.28,,,,,0.0
1996-02-29,54.33,,,,,0.0
1996-03-31,54.33,,,,,0.0
1996-04-30,54.33,,,,,0.0
1996-05-31,52.07,26723.0,,,,0.0
1996-06-30,53.52,49030.0,,,,0.0
1996-07-31,53.52,81606.0,,,,1.8111
1996-08-31,49.35,40008.0,,,,1.8111
1996-09-30,44.28,30367.0,,,,1.8111
1996-10-31,39.12,65594.0,,,,1.8111
1996-11-30,42.83,17227.0,,,,1.8111
1996-12-31,24.9,7178.0,,,,1.8111
1997-01-31,24.45,49582.0,,,,1.8111
1997-02-28,19.47,34232.0,,,,1.8111
1997-03-31,16.3,4969.0,,,,1.8111
1997-04-30,19.02,552.0,,,,1.8111
1997-05-31,14.49,994.0,,,,1.8111
1997-06-30,13.13,3975.0,,,,1.8111
1997-07-31,13.04,164426.0,,,,1.8111
1997-08-31,12.68,67250.0,,,,1.8111
1997-09-30,12.45,5742.0,,,,1.8111
1997-10-31,11.77,3202.0,,,,1.8111
1997-11-30,10.19,12810.0,,,,1.8111
1997-12-31,10.87,5521.0,,,,1.8111
1998-01-31,10.87,4969.0,,,,1.8111
1998-02-28,10.32,4196.0,,,,1.8111
1998-03-31,13.13,10491.0,,,,1.8111
1998-04-30,12.0,31361.0,,,,1.8111
1998-05-31,11.36,3755.0,,,,1.8111
1998-06-30,11.82,21533.0,,,,1.8111
1998-07-31,11.41,17668.0,,,,1.8111
1998-08-31,10.41,7951.0,,,,1.8111
1998-09-30,10.41,27496.0,,,,1.8111
1998-10-31,11.41,7067.0,,,,1.8111
1998-11-30,11.32,7730.0,,,,1.8111
1998-12-31,12.59,2209.0,,,,1.8111
1999-01-31,13.13,16343.0,,,,1.8111
1999-02-28,12.0,11043.0,,,,1.8111
1999-03-31,14.04,8392.0,,,,1.8111
1999-04-30,9.1,10491.0,,,,1.8111
1999-05-31,13.09,7619.0,,,,1.8111
1999-06-30,13.13,82047.0,,,,1.8111
1999-07-31,14.26,72771.0,,,,1.8111
1999-08-31,24.04,201530.0,,,,1.8111
1999-09-30,20.74,425034.0,,,,1.8111
1999-10-31,17.21,225713.0,,,,1.8111
1999-11-30,19.97,158353.0,,,,1.8111
1999-12-31,18.47,172266.0,,,,1.8111
2000-01-31,31.92,819811.0,,,,1.8111
2000-02-29,72.63,8761621.0,,,,1.8111
2000-03-31,50.85,4430950.0,,,,1.8111
2000-04-30,25.45,1490571.0,,,,1.8111
2000-05-31,22.59,946368.0,595.5066,,,0.9056
2000-06-30,21.87,1569022.0,576.4122,,,0.9056
2000-07-31,18.61,1251770.0,582.5925,,,0.9056
2000-08-31,17.79,1091327.0,557.0775,,,0.9056
2000-09-30,16.03,707496.0,501.795,,,0.9056
2000-10-31,16.21,444405.0,507.465,,,0.9056
2000-11-30,17.34,1023980.0,542.9025,,,0.9056
2000-12-31,16.84,1732365.0,527.31,,,0.9056
2001-01-31,14.94,835027.0,467.775,,,0.9056
2001-02-28,13.81,1180399.0,432.3375,,,0.9056
2001-03-31,10.19,391613.0,319.6463,,,0.9056
2001-04-30,9.42,472168.0,295.4952,,,0.9056
2001-05-31,10.32,1096136.0,323.9082,,,0.9056
2001-06-30,8.83,1353114.0,277.0268,,,0.9056
2001-07-31,7.24,191528.0,227.304,,,0.0
2001-08-31,8.38,384174.0,262.8203,,,0.0
2001-09-30,5.71,799006.0,179.0019,,,0.9056
2001-10-31,6.66,281193.0,208.8356,,,0.9056
2001-11-30,11.73,519246.0,367.9484,,,0.9056
2001-12-31,9.19,450478.0,288.392,,,0.9056
2002-01-31,7.29,185529.0,228.7247,,,0.9056
2002-02-28,8.06,500094.0,252.8757,,,0.9056
2002-03-31,7.92,1023312.0,248.6138,,,0.9056
2002-04-30,8.56,344948.0,268.5029,,,0.9056
2002-05-31,8.47,1462752.0,265.6616,,,0.9056
2002-06-30,12.27,4453273.0,384.1493,,,0.9056
2002-07-31,12.0,8519366.0,375.6441,,,0.9056
2002-08-31,12.5,651495.0,391.2369,,,0.9056
2002-09-30,10.64,448572.0,333.1184,,,0.9056
2002-10-31,11.64,423096.0,364.3039,,,0.9056
2002-11-30,12.68,1357854.0,592.9448,,,0.9056
2002-12-31,11.23,1084578.0,525.1797,,,0.9056
2003-01-31,11.09,834057.0,518.8267,,,0.9056
2003-02-28,10.28,1035613.0,995.302,,,0.9056
2003-03-31,8.78,412663.0,850.6105,,,0.9056
2003-04-30,10.23,825102.0,990.9174,,,0.9056
2003-05-31,14.44,11008113.0,1398.6843,,,0.9056
2003-06-30,17.84,10883121.0,1727.5285,,,0.9056
2003-07-31,26.49,25857673.0,2564.9852,,,0.9056
2003-08-31,24.27,12691387.0,2350.1403,,,0.9056
2003-09-30,24.99,15895935.0,2420.2938,,,0.9056
2003-10-31,34.86,28081841.0,3376.1344,,,0.9056
2003-11-30,46.95,13848251.0,4546.82,,,0.9056
2003-12-31,53.07,9211047.0,5138.7397,,,0.9056
2004-01-31,55.24,5554190.0,5349.2,,,0.9056
2004-02-29,47.09,2226608.0,4559.9738,,,0.9056
2004-03-31,46.5,2104844.0,4502.9741,,,0.9056
2004-04-30,51.89,1587697.0,5024.7403,,,0.9056
2004-05-31,49.31,3250781.0,4774.8187,,,0.9056
2004-06-30,45.41,2665676.0,4424.7848,,,0.9056
2004-07-31,52.03,10354302.0,5068.8711,,,0.9056
2004-08-31,53.52,10873174.0,6034.5649,,,0.9056
2004-09-30,53.47,19046749.0,6199.7774,,,0.9056
2004-10-31,52.89,6218134.0,6614.0277,,,0.9056
2004-11-30,65.11,21693533.0,8142.9553,,,0.9056
2004-12-31,64.43,16238697.0,8505.7124,,,0.9056
2005-01-31,58.18,31093722.0,7680.8436,,,0.9056
2005-02-28,60.9,57535628.0,8800.1739,,,0.9056
2005-03-31,55.06,29476507.0,7989.8739,,,0.9056
2005-04-30,54.79,22349632.0,7950.4502,,,0.9056
2005-05-31,61.04,56063955.0,9032.7529,,,0.9056
2005-06-30,56.15,47210473.0,8309.0605,,,0.9056
2005-07-31,56.96,29340997.0,8593.5052,,,0.9056
2005-08-31,73.99,89192405.0,12064.5005,,,0.9056
2005-09-30,70.45,44185307.0,11659.3953,,,1.0867
2005-10-31,63.84,23776749.0,11018.1132,,,1.0867
2005-11-30,67.01,15837128.0,11650.3829,,,1.0867
2005-12-31,61.71,18414598.0,10731.4787,,,1.0867
2006-01-31,68.82,27437899.0,11967.6064,,,1.0867
2006-02-28,68.19,21913459.0,11857.3785,,,1.0867
2006-03-31,66.74,20201864.0,11605.4289,,,1.0867
2006-04-30,74.62,29084078.0,12880.9238,,,1.0867
2006-05-31,70.54,39878121.0,12375.8561,,,1.0867
2006-06-30,51.21,20555713.0,9634.5363,,,1.0867
2006-07-31,56.87,21522610.0,10699.3612,,,1.0867
2006-08-31,56.69,77022067.0,10665.2868,,,1.0867
2006-09-30,60.72,27092362.0,11423.4422,,,1.0867
2006-10-31,65.84,20705138.0,12386.044,,,1.0867
2006-11-30,63.66,18067335.0,11977.1512,,,1.0867
2006-12-31,61.76,15687814.0,11619.37,,,1.0867
2007-01-31,62.62,10339353.0,11781.2234,,,1.0867
2007-02-28,55.51,22306773.0,10443.8032,,,1.0867
2007-03-31,51.66,14286991.0,9719.7223,5.877,0.9501,1.0867
2007-04-30,58.0,9857907.0,10912.3262,6.598,1.0667,1.0867
2007-05-31,52.75,19379697.0,9924.1687,6.0006,0.9701,1.0867
2007-06-30,52.25,12612919.0,9830.4641,5.9439,0.9609,1.0867
2007-07-31,61.76,39442693.0,11619.37,7.0256,1.1358,1.0867
2007-08-31,61.44,42808818.0,11559.7398,6.9895,1.1299,1.0867
2007-09-30,64.48,46125290.0,12130.486,7.3346,1.1857,1.2678
2007-10-31,61.49,65043034.0,11568.2584,6.9947,1.1308,1.2678
2007-11-30,69.14,90001740.0,13216.4138,7.8651,1.2715,1.2678
2007-12-31,93.68,163299374.0,18088.7398,10.6568,1.7228,1.2678
2008-01-31,60.49,68330915.0,11795.9447,6.8813,1.1125,1.2678
2008-02-29,62.89,37934887.0,12591.3541,7.1543,1.1566,1.2678
2008-03-31,51.89,33480985.0,10671.6205,5.2642,0.7497,1.2678
2008-04-30,59.36,39611413.0,12269.3215,6.0222,0.8577,1.2678
2008-05-31,56.96,56806276.0,11773.3077,5.7787,0.823,1.2678
2008-06-30,35.91,23729436.0,7810.059,3.6427,0.5188,1.2678
2008-07-31,37.31,27281173.0,8115.3703,3.7851,0.5391,1.2678
2008-08-31,36.99,18319145.0,8046.429,3.7529,0.5345,1.2678
2008-09-30,25.99,16630406.0,5653.1827,2.6367,0.3755,1.0867
2008-10-31,14.9,25541053.0,3240.2389,1.5113,0.2152,1.0867
2008-11-30,13.22,24736505.0,2875.8351,1.3413,0.191,1.0867
2008-12-31,16.35,25872083.0,3555.3989,1.6583,0.2362,1.0867
2009-01-31,14.13,19652700.0,3072.8101,1.4332,0.2041,1.0867
2009-02-28,14.58,18268539.0,3171.2976,1.4791,0.2107,1.0867
2009-03-31,12.48,49862636.0,7571.2265,3.3128,0.1275,1.0867
2009-04-30,13.42,213256461.0,8146.6397,3.5646,0.1372,0.7485
2009-05-31,23.9,560355885.0,14506.47,6.3473,0.2444,0.7485
2009-06-30,21.21,658309429.0,12871.0851,5.6318,0.2168,0.7485
2009-07-31,20.81,329230610.0,12628.8058,5.5257,0.2127,0.7485
2009-08-31,22.31,329820556.0,13537.353,5.9233,0.228,0.7485
2009-09-30,23.75,278642291.0,14415.6153,6.3076,0.2428,0.7485
2009-10-31,19.21,122183751.0,11659.6888,5.1017,0.1964,0.7485
2009-11-30,19.91,87726357.0,12083.6775,5.2872,0.2035,0.7485
