TMKN IN Equity,price,volume,mc,pe,bm,div
2016-07-31,600.4,1059573.0,40827.1908,44.4741,7.7,0.0
2016-08-31,559.05,417778.0,38015.3915,41.4111,7.1697,1.0
2016-09-30,552.4,835511.0,37563.1916,40.9185,7.0844,1.0
2016-10-31,588.65,847838.0,40028.191,43.6037,7.5493,1.0
2016-11-30,559.45,1075493.0,38042.5915,41.4407,7.1748,1.0
2016-12-31,597.2,857771.0,40609.5909,44.237,7.659,1.0
2017-01-31,645.65,1637989.0,43904.1901,47.8259,8.2803,1.0
2017-02-28,609.3,1042931.0,41432.3907,45.1333,7.8141,1.0
2017-03-31,645.05,605808.0,43863.3902,45.1084,7.0966,1.0
2017-04-30,723.75,1115079.0,49214.989,50.6119,7.9624,1.0
2017-05-31,678.2,627039.0,46117.5897,47.4266,7.4613,1.0
2017-06-30,668.4,616867.0,45451.1898,46.7413,7.3535,1.0
2017-07-31,719.95,2991543.0,48956.589,50.3462,7.9206,1.0
2017-08-31,719.65,475930.0,48936.189,50.3252,7.9173,1.0
2017-09-30,772.2,754416.0,52509.5882,54.0,8.4955,1.0
2017-10-31,774.8,314796.0,52686.3882,54.1818,8.5241,1.0
2017-11-30,869.7,918795.0,59139.5843,60.8182,9.5681,1.0
2017-12-31,879.95,561428.0,59836.5842,61.535,9.6809,1.0
2018-01-31,893.8,1146654.0,60778.3839,62.5035,9.8333,1.0
2018-02-28,786.4,600233.0,53475.1874,54.993,8.6517,1.0
2018-03-31,705.45,1059909.0,47970.5887,52.1397,6.8278,1.0
2018-04-30,688.15,547320.0,46794.189,50.861,6.6604,1.0
2018-05-31,713.55,710769.0,48521.3886,52.7384,6.9062,1.0
2018-06-30,720.7,762049.0,49007.5885,53.2668,6.9754,1.0
2018-07-31,726.8,648070.0,49422.3884,53.7177,7.0344,1.0
2018-08-31,692.65,545959.0,47100.1889,51.1936,6.7039,1.0
2018-09-30,600.65,782404.0,45180.1326,44.3939,5.8135,1.0
2018-10-31,523.6,360634.0,39384.5291,38.6992,5.0677,1.0
2018-11-30,531.75,976473.0,39997.5618,39.3016,5.1466,1.0
2018-12-31,581.0,440741.0,43702.0845,42.9416,5.6233,1.0
2019-01-31,565.2,440394.0,42513.6285,41.7738,5.4704,1.0
2019-02-28,570.5,344026.0,42912.2877,42.1656,5.5217,1.0
2019-03-31,587.25,370738.0,44172.2015,29.4804,3.2936,1.0
2019-04-30,550.5,270608.0,41407.9131,27.6355,3.0875,1.0
2019-05-31,678.95,2955494.0,51069.7594,34.0838,3.8079,1.0
2019-06-30,734.15,577955.0,55221.8336,36.8549,4.1174,1.0
2019-07-31,678.8,497549.0,51058.4766,34.0763,3.807,1.0
2019-08-31,691.5,436064.0,52013.7546,34.7139,3.8782,1.0
2019-09-30,770.35,1034731.0,57944.7517,38.6722,4.3205,1.0
2019-10-31,891.0,980439.0,67019.892,44.7289,4.9971,1.0
2019-11-30,859.3,594033.0,64635.4581,43.1376,4.8193,1.0
2019-12-31,922.0,1131019.0,69351.6727,46.2851,5.171,1.0
2020-01-31,992.3,989203.0,74639.5497,49.8143,5.5653,1.0
2020-02-29,949.25,1466249.0,71401.3832,47.6531,5.3238,1.0
2020-03-31,767.2,1085088.0,57707.8127,23.4474,3.659,1.0
2020-04-30,902.15,1018792.0,67858.5809,27.5718,4.3026,1.0
2020-05-31,851.3,1075020.0,64033.7083,26.0177,4.0601,1.0
2020-06-30,950.15,812599.0,71469.0801,29.0388,4.5315,1.0
2020-07-31,969.95,1268151.0,72958.411,29.6439,4.6259,50.0
2020-08-31,1109.85,1273212.0,83481.5119,33.9196,5.2932,50.0
2020-09-30,1106.4,1601347.0,83222.0073,33.8142,5.2767,50.0
2020-10-31,1078.75,995631.0,81142.2071,32.9691,5.1448,50.0
2020-11-30,1201.45,945492.0,90371.5456,36.7191,5.73,50.0
2020-12-31,1329.65,1879508.0,100014.587,40.6372,6.3414,50.0
2021-01-31,1197.55,891246.0,90078.1925,36.5999,5.7114,50.0
2021-02-28,1273.6,1107209.0,95798.5771,38.9242,6.0741,50.0
2021-03-31,1296.5,532611.0,97521.086,68.1293,7.2587,50.0
2021-04-30,1404.15,1294117.0,105618.3825,73.7861,7.8614,50.0
2021-05-31,1346.95,1001275.0,101315.8711,70.7803,7.5411,50.0
2021-06-30,1469.35,2335016.0,110522.6439,77.2123,8.2264,50.0
2021-07-31,1566.3,1782612.0,117815.1031,82.3069,8.7692,1.5
2021-08-31,1660.65,2018250.0,124911.9906,87.2648,9.2974,1.5
2021-09-30,1694.95,1837086.0,127491.9932,89.0673,9.4895,1.5
2021-10-31,1797.95,1636370.0,135239.5228,94.4798,10.0661,1.5
2021-11-30,2020.9,1454883.0,152009.5395,106.1955,11.3143,1.5
2021-12-31,1988.15,1570152.0,149546.126,104.4745,11.131,1.5
2022-01-31,1928.15,1197403.0,145033.002,101.3216,10.7951,1.5
2022-02-28,2027.45,950024.0,152502.2222,106.5397,11.351,1.5
2022-03-31,2141.1,1473531.0,161050.8314,49.232,9.7198,1.5
2022-04-30,1984.15,696917.0,149245.2511,45.6231,9.0073,1.5
2022-05-31,2280.15,2300156.0,171509.9963,52.4293,10.351,1.5
2022-06-30,2377.3,3233548.0,178817.4963,54.6631,10.792,1.5
2022-07-31,2971.5,2359367.0,223512.4681,68.3261,13.4895,1.5
2022-08-31,3016.2,1310921.0,226874.7455,69.3539,13.6924,1.5
2022-09-30,3068.2,1743764.0,230786.1197,70.5496,13.9284,1.5
2022-10-31,3000.55,909520.0,225697.5723,68.994,13.6213,1.5
2022-11-30,3306.0,9050720.0,248673.1346,76.0175,15.008,1.5
2022-12-31,3103.85,2952604.0,233467.6675,71.3693,14.0903,1.5
2023-01-31,3126.05,1203803.0,235137.5234,71.8797,14.1911,1.5
2023-02-28,2949.25,1346705.0,221838.8512,67.8144,13.3885,1.5
2023-03-31,2755.45,2046702.0,207261.4606,53.0404,10.174,1.5
2023-04-30,2983.35,1045434.0,224403.8101,57.4273,11.0155,1.5
2023-05-31,3304.95,1622409.0,248594.1549,63.6179,12.2029,1.5
2023-06-30,3423.55,15562683.0,257515.0968,65.9009,12.6408,1.5
2023-07-31,3517.0,1821728.0,264544.2875,67.6997,12.9859,1.5
2023-08-31,3251.25,1301667.0,244554.9089,62.5842,12.0046,1.5
2023-09-30,3095.5,1562580.0,232839.5911,59.5861,11.4295,1.5
2023-10-31,2900.8,1443047.0,218194.5036,55.8383,10.7107,1.5
2023-11-30,2942.15,4237313.0,221304.7982,56.6343,10.8633,1.5
2023-12-31,3251.95,1264379.0,244607.562,62.5977,12.0072,1.5
2024-01-31,3387.7,1047612.0,254818.5052,65.2108,12.5084,1.5
2024-02-29,2721.6,2009871.0,204715.3065,52.3888,10.049,1.5
2024-03-31,2859.5,1930956.0,215087.9699,54.8533,8.898,1.5
2024-04-30,3340.45,2121432.0,251264.42,64.0792,10.3946,1.5
2024-05-31,3953.5,11741616.0,297377.2649,75.8392,12.3022,1.5
2024-06-30,4277.55,3395918.0,321751.8956,82.0554,13.3106,1.5
2024-07-31,4267.95,2893798.0,321029.7958,81.8713,13.2807,2.5
2024-08-31,3846.35,2838676.0,289317.5775,73.7838,11.9688,2.5
2024-09-30,3761.15,1425837.0,282908.9414,72.1494,11.7037,2.5
2024-10-31,3388.75,905324.0,254897.4848,65.0058,10.5449,2.5
2024-11-30,3378.4,1678568.0,254118.9709,64.8072,10.5127,2.5
2024-12-31,3121.8,1074881.0,234817.8438,59.8849,9.7142,2.5
2025-01-31,2857.8,2237784.0,214960.098,54.8206,8.8927,2.5
2025-02-28,2474.2,3472899.0,186106.1917,47.4621,7.699,2.5
2025-03-31,2750.65,3354322.0,206900.4107,46.245,7.2742,2.5
2025-04-30,2452.5,1574148.0,184473.9451,41.2323,6.4858,2.5
2025-05-31,3124.6,8243774.0,235028.4563,52.5319,8.2632,2.5
2025-06-30,3498.3,3149666.0,263137.6972,58.8147,9.2514,2.5
2025-07-31,3318.9,2519732.0,249643.4563,55.7986,8.777,36.0
2025-08-31,2888.2,1744701.0,217246.7475,48.5575,7.638,36.0
2025-09-30,3009.9,2118733.0,226400.8675,50.6036,7.9598,36.0
2025-10-31,3144.0,1715919.0,236487.6997,52.8581,8.3145,36.0
2025-11-30,3154.4,1365021.0,237269.9745,53.033,8.342,36.0
2025-12-31,3003.1,850475.0,225889.3801,50.4892,7.9418,36.0
2026-01-31,2941.6,711619.0,221263.4279,49.4553,7.7792,36.0
2026-02-28,3472.9,1196595.0,261227.1413,58.3877,9.1843,36.0
2026-03-31,3350.0,174942.0,251982.7589,56.3215,8.8592,36.0
