AJP IN Equity,price,volume,mc,pe,bm,div
2000-06-30,16.57,616905.0,1641.4384,,,0.0
2000-07-31,14.67,248029.0,1452.99,,,0.0
2000-08-31,10.49,197865.0,1039.108,,,0.0
2000-09-30,10.37,753818.0,1027.2199,,,0.0
2000-10-31,10.76,229309.0,1065.526,,,0.0
2000-11-30,9.69,145496.0,1292.9362,,,0.0
2000-12-31,9.34,310196.0,1246.6752,,,0.0
2001-01-31,9.44,184433.0,1260.3163,,,0.0
2001-02-28,10.83,297113.0,1445.3604,,,0.0
2001-03-31,7.79,339143.0,1039.0937,,,0.0
2001-04-30,7.38,134629.0,984.5294,,,0.0
2001-05-31,6.49,176558.0,865.9114,,,0.0
2001-06-30,5.23,91046.0,698.0257,,,0.0
2001-07-31,4.84,60356.0,645.2439,,,0.0
2001-08-31,4.89,98753.0,652.3605,,,0.0
2001-09-30,4.83,96716.0,644.6508,,,0.1333
2001-10-31,7.53,146801.0,1004.6352,,,0.1333
2001-11-30,7.15,128768.0,954.2255,,,0.1333
2001-12-31,5.33,55069.0,711.696,,,0.1333
2002-01-31,4.71,653996.0,628.6648,,,0.1333
2002-02-28,4.88,1044203.0,650.6088,,,0.1333
2002-03-31,4.21,992644.0,562.2398,,0.4148,0.1333
2002-04-30,4.42,1542780.0,590.1146,,0.4354,0.1333
2002-05-31,4.4,1946464.0,586.5561,,0.4328,0.1333
2002-06-30,4.59,1718033.0,612.0586,,0.4516,0.1333
2002-07-31,4.04,1823344.0,539.7028,,0.3982,0.1333
2002-08-31,3.64,1438515.0,486.3256,,0.3588,0.1333
2002-09-30,3.36,1354331.0,447.7754,,0.3304,0.1333
2002-10-31,3.0,1329739.0,400.329,,0.2954,0.1333
2002-11-30,3.02,1181486.0,403.2944,,0.2975,0.0
2002-12-31,3.12,1373490.0,416.9352,,0.3076,0.1333
2003-01-31,2.84,1602248.0,378.385,,0.2792,0.1333
2003-02-28,2.68,1079685.0,357.0342,,0.2634,0.1333
2003-03-31,1.93,1082070.0,257.4011,31.6645,0.1802,0.1333
2003-04-30,2.49,922849.0,332.1304,40.8575,0.2326,0.1333
2003-05-31,2.76,1199633.0,368.3089,45.308,0.2579,0.1333
2003-06-30,3.03,4634123.0,404.4874,49.7586,0.2832,0.1333
2003-07-31,4.02,27984443.0,536.7465,66.0286,0.3758,0.1333
2003-08-31,4.86,14235739.0,648.2474,79.7451,0.4539,0.1333
2003-09-30,5.23,50359961.0,697.4739,85.8007,0.4884,0.1333
2003-10-31,4.5,6491734.0,600.8002,73.9083,0.4207,0.1333
2003-11-30,4.8,7047349.0,641.1303,78.8695,0.4489,0.1333
2003-12-31,5.96,27254723.0,795.3337,97.8391,0.5569,0.0
2004-01-31,4.41,6082785.0,588.9384,72.4491,0.4124,0.0
2004-02-29,4.12,3623096.0,550.3875,67.7067,0.3854,0.0
2004-03-31,3.7,2574686.0,487.0778,19.8255,0.3327,0.0
2004-04-30,4.23,6912248.0,556.7392,22.6611,0.3803,0.0
2004-05-31,3.21,3024866.0,422.6768,17.2044,0.2887,0.0
2004-06-30,3.72,2199938.0,489.4153,19.9208,0.3343,0.0
2004-07-31,3.84,3737993.0,505.8072,20.588,0.3455,0.0
2004-08-31,4.33,6224220.0,570.2039,23.2092,0.3895,0.0
2004-09-30,5.16,12915113.0,679.6784,27.6652,0.4643,0.0
2004-10-31,4.95,8398564.0,652.1634,26.5452,0.4455,0.0
2004-11-30,6.0,19588163.0,789.7383,32.145,0.5394,0.0
2004-12-31,6.25,17083339.0,823.1075,33.5032,0.5622,0.0
2005-01-31,5.36,27866171.0,706.608,28.7613,0.4827,0.0
2005-02-28,5.09,15376163.0,670.897,27.3078,0.4583,0.0
2005-03-31,5.06,48346088.0,666.7991,6.77,0.6832,0.0
2005-04-30,5.01,11969831.0,660.3594,6.7046,0.6766,0.0
2005-05-31,7.22,74951921.0,951.3156,9.6587,0.9747,0.0
2005-06-30,7.77,155292401.0,1023.3229,10.3898,1.0485,0.0
2005-07-31,7.92,24958901.0,1043.2273,10.5919,1.0689,0.0
2005-08-31,8.2,20405858.0,1080.6945,10.9723,1.1073,0.0
