BASF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,240.0,,,,,1.6667
1995-02-28,226.67,,,,,1.6667
1995-03-31,220.0,,,,,1.6667
1995-04-30,210.0,,,,,1.6667
1995-05-31,193.33,,,,,1.6667
1995-06-30,180.0,,,,,1.6667
1995-07-31,196.0,,,,,1.6667
1995-08-31,187.33,,,,,1.6667
1995-09-30,194.67,,,,,1.6667
1995-10-31,192.67,,,,,0.0
1995-11-30,176.0,,,,,0.0
1995-12-31,180.0,,,,,0.0
1996-01-31,160.0,,,,,0.0
1996-02-29,215.0,,,,,0.0
1996-03-31,220.0,,,,,0.0
1996-04-30,235.0,,,,,0.0
1996-05-31,223.33,62400.0,,,,0.0
1996-06-30,233.33,56550.0,4025.6999,,,0.0
1996-07-31,166.83,43650.0,2878.3755,,,2.0
1996-08-31,129.83,24750.0,2240.0145,,,2.0
1996-09-30,114.0,25095.0,1966.842,,,2.0
1996-10-31,129.33,12776.0,2231.388,,,2.0
1996-11-30,109.67,102737.0,1892.079,,,2.0
1996-12-31,121.33,103329.0,2093.364,,,2.0
1997-01-31,131.5,61607.0,2268.7695,,,2.0
1997-02-28,122.67,68862.0,2116.368,,,2.0
1997-03-31,115.5,13317.0,1992.7215,,,2.0
1997-04-30,121.67,9915.0,2099.115,,,2.0
1997-05-31,123.33,34100.0,2127.87,,,2.0
1997-06-30,146.33,106545.0,3534.3888,,,2.0
1997-07-31,178.0,115692.0,4299.2338,,,2.0
1997-08-31,142.17,43886.0,3433.7513,,,2.0
1997-09-30,148.0,37457.0,3574.6438,,,2.0
1997-10-31,153.33,17847.0,3703.4598,,,2.0
1997-11-30,155.17,182447.0,3747.7403,,,2.0
1997-12-31,170.67,32268.0,4122.1118,,,2.0
1998-01-31,150.67,27299.0,3639.0518,,,2.0
1998-02-28,158.0,50132.0,3816.1738,,,2.0
1998-03-31,177.8,75435.0,4294.4032,,,2.0
1998-04-30,173.47,202248.0,4189.7402,,,2.0
1998-05-31,152.73,96102.0,3688.968,,,2.0
1998-06-30,162.87,217491.0,3933.7184,,,2.3333
1998-07-31,147.0,412475.0,3550.4908,,,2.3333
1998-08-31,152.93,144285.0,3693.7986,,,2.3333
1998-09-30,175.9,215329.0,4248.5127,,,2.3333
1998-10-31,148.6,180503.0,3589.1358,,,2.3333
1998-11-30,149.4,67203.0,3608.4582,,,2.3333
1998-12-31,149.4,82850.0,3608.4582,,,2.3333
1999-01-31,168.1,1118563.0,4060.1193,,,2.3333
1999-02-28,176.6,1295064.0,4265.4198,,,2.3333
1999-03-31,193.7,1111377.0,4678.4361,,,2.3333
1999-04-30,170.5,439136.0,4118.0865,,,2.3333
1999-05-31,206.35,522281.0,4984.1778,,,2.3333
1999-06-30,225.1,466220.0,5437.0652,,,3.5
1999-07-31,184.45,366208.0,4455.2052,,,3.5
1999-08-31,191.75,2480395.0,4631.5294,,,3.5
1999-09-30,173.25,1360215.0,4184.6804,,,3.5
1999-10-31,145.0,1663200.0,3502.3299,,,3.5
1999-11-30,134.0,761221.0,3236.6359,,,3.5
