JSAW IN Equity,price,volume,mc,pe,bm,div
2002-09-30,5.08,10585250.0,2451.8547,4.9181,,0.1
2002-10-31,4.91,2747080.0,2369.9963,4.7539,,0.1
2002-11-30,6.79,30563300.0,3276.286,6.5718,,0.1
2002-12-31,7.13,63282410.0,3443.9008,6.908,,0.15
2003-01-31,6.43,53603320.0,3104.7731,6.2277,,0.15
2003-02-28,6.06,13433250.0,2927.4131,5.872,,0.15
2003-03-31,5.13,7606480.0,2477.1918,4.9689,,0.15
2003-04-30,6.09,16430910.0,2941.0562,5.8994,,0.15
2003-05-31,8.48,69574180.0,4092.9212,8.2098,,0.15
2003-06-30,12.61,132021180.0,6088.7075,12.2131,,0.15
2003-07-31,13.04,104825150.0,6295.3026,12.6275,,0.15
2003-08-31,13.65,76710380.0,6589.6031,13.2178,,0.15
2003-09-30,17.42,109770830.0,8409.9785,8.8209,2.2613,0.15
2003-10-31,18.56,59886810.0,8961.5484,9.3994,2.4096,0.15
2003-11-30,17.76,53190370.0,8573.4974,8.9926,2.3053,0.25
2003-12-31,23.33,86446710.0,11263.0692,11.8137,3.0285,0.25
2004-01-31,21.65,51623810.0,10454.2486,10.9653,2.811,0.25
2004-02-29,20.79,30304160.0,10039.1191,10.5299,2.6994,0.25
2004-03-31,17.07,17510800.0,8242.1733,8.6451,2.2162,0.25
2004-04-30,17.11,10986690.0,8263.6119,8.6676,2.222,0.25
2004-05-31,10.11,12405670.0,4882.1575,5.1208,1.3128,0.25
2004-06-30,11.34,46782270.0,5476.5919,5.7443,1.4726,0.25
2004-07-31,14.56,77120760.0,7029.917,7.3736,1.8903,0.25
2004-08-31,15.02,70085590.0,7254.048,7.6087,1.9505,0.25
2004-09-30,15.16,50985270.0,7320.3128,10.404,1.7258,0.25
2004-10-31,14.85,32348980.0,7168.2935,10.188,1.6899,0.25
2004-11-30,18.32,44162030.0,8846.3525,12.5729,2.0856,0.25
2004-12-31,18.9,26816380.0,9125.0545,12.969,2.1513,0.25
2005-01-31,19.54,124462450.0,9434.9399,13.4095,2.2243,0.25
2005-02-28,23.02,116978300.0,11114.9478,15.7972,2.6204,0.25
2005-03-31,21.58,68916630.0,10421.1162,14.8111,2.4568,0.25
2005-04-30,24.11,60693020.0,11639.2194,16.5423,2.744,0.25
2005-05-31,27.19,55427230.0,13128.2287,18.6586,3.095,0.25
2005-06-30,27.47,44440750.0,13262.7073,18.8497,3.1267,0.25
2005-07-31,30.34,15704180.0,14650.3705,20.8219,3.4539,0.25
2005-08-31,34.79,26715900.0,16796.181,23.8716,3.9597,0.25
2005-09-30,34.54,19405510.0,16675.3452,13.6543,2.3506,0.25
2005-10-31,29.91,34521350.0,17453.5658,11.8238,2.0355,0.25
2005-11-30,30.02,18716150.0,17986.7569,11.8701,2.0435,0.25
2005-12-31,32.13,31310100.0,19249.0703,12.7032,2.1869,0.4
2006-01-31,33.54,13821610.0,20090.6125,13.2585,2.2825,0.4
2006-02-28,35.74,21883750.0,21408.5451,14.1283,2.4322,0.4
2006-03-31,35.02,23378300.0,20980.5193,13.8458,2.3836,0.4
2006-04-30,35.2,23256420.0,20670.9865,13.916,2.3957,0.4
2006-05-31,29.66,14555470.0,17766.6984,11.7249,2.0185,0.4
2006-06-30,21.19,33627470.0,12695.6808,8.3784,1.4423,0.4
2006-07-31,20.43,26038920.0,12241.0545,8.0783,1.3907,0.4
2006-08-31,23.46,19185980.0,14054.7232,9.2752,1.5967,0.4
2006-09-30,25.93,27630320.0,15537.095,7.9066,1.4532,0.4
2006-10-31,29.64,33742110.0,17754.6073,9.035,1.6606,0.4
2006-11-30,32.64,36116300.0,19556.1848,9.9518,1.8291,0.4
2006-12-31,31.24,24725690.0,18717.0608,9.5248,1.7506,0.5
2007-01-31,37.12,27996040.0,22240.3233,11.3178,2.0802,0.5
2007-02-28,38.46,29770200.0,23038.3342,11.7239,2.1548,0.5
2007-03-31,40.79,10924810.0,24438.4807,12.4364,2.2858,0.5
2007-04-30,43.59,9457820.0,26111.8854,13.2879,2.4423,0.5
2007-05-31,46.32,10740570.0,27749.017,14.1211,2.5954,0.5
2007-06-30,55.74,17853120.0,33393.1308,16.9933,3.1233,0.5
2007-07-31,55.62,32030930.0,33323.0025,16.9576,3.1168,0.5
2007-08-31,47.26,40791840.0,28314.8793,14.409,2.6483,0.5
2007-09-30,53.36,23952910.0,31968.603,16.2684,2.9901,0.5
2007-10-31,63.46,31137670.0,38016.521,19.3462,3.5558,0.5
2007-11-30,68.41,58406900.0,40981.2341,20.8549,3.8331,0.5
2007-12-31,86.88,60785160.0,52160.1844,26.0652,4.7907,0.5
2008-01-31,70.54,71230260.0,42348.0404,,,0.5
2008-02-29,70.97,28828520.0,45818.0199,,,0.0
2008-03-31,52.35,40851190.0,33796.0345,,,0.625
2008-04-30,52.75,28609280.0,34059.122,,,0.625
2008-05-31,46.38,20773040.0,29941.4838,,,0.625
2008-06-30,40.39,23046460.0,26079.2435,,,0.625
2008-07-31,41.27,20557250.0,26644.7672,,,0.625
2008-08-31,47.03,12951020.0,30361.066,,,0.625
2008-09-30,46.09,59494650.0,29759.0568,,,0.625
2008-10-31,30.06,18671510.0,19405.0212,,,0.625
2008-11-30,21.16,15508530.0,13663.7827,,,0.625
2008-12-31,17.89,20302420.0,11550.2356,2.8569,0.3417,0.625
2009-01-31,15.45,20367800.0,9976.1511,2.4675,0.2951,0.625
2009-02-28,12.91,12790950.0,8336.9142,2.0621,0.2466,0.625
2009-03-31,14.27,45449090.0,9215.1699,2.2793,0.2726,0.625
2009-04-30,16.97,80614860.0,10958.6508,2.7105,0.3242,0.625
2009-05-31,29.56,180095560.0,19084.4709,4.7204,0.5646,0.0
2009-06-30,31.33,91228450.0,20228.5488,5.0034,0.5984,0.5
2009-07-31,39.31,91543210.0,25378.2026,6.2771,0.7508,0.5
2009-08-31,44.21,98663650.0,28544.6142,7.0603,0.8445,0.5
2009-09-30,60.9,264892530.0,39318.2319,9.7251,1.1632,0.5
2009-10-31,56.1,216486890.0,36219.5789,8.9586,1.0715,0.5
2009-11-30,74.98,251337870.0,48408.309,11.9734,1.4321,0.5
2009-12-31,76.05,162191602.0,51549.1619,12.1442,1.4526,0.5
2010-01-31,71.65,104726930.0,48566.7529,11.4416,1.3685,0.5
2010-02-28,78.35,116314470.0,53108.7703,12.5117,1.4965,0.5
2010-03-31,85.74,131690008.0,58115.9341,6.7641,1.308,0.5
2010-04-30,88.16,79543800.0,59757.6272,6.9552,1.3449,0.5
2010-05-31,76.13,54636008.0,51603.885,6.0062,1.1614,0.5
2010-06-30,81.3,35799744.0,55632.2202,6.4138,1.2402,0.5
2010-07-31,78.87,22742406.0,53974.8552,6.2227,1.2033,0.5
2010-08-31,81.52,40868824.0,55784.1454,6.4313,1.2436,0.0
2010-09-30,86.38,27256164.0,59112.6868,6.8151,1.3178,0.625
2010-10-31,87.77,40528174.0,60065.6717,6.925,1.3391,0.625
2010-11-30,75.72,24273312.0,51820.2806,5.9743,1.1552,0.625
2010-12-31,73.61,21339958.0,50370.0862,5.8072,1.1229,0.625
2011-01-31,84.61,51491492.0,57897.2858,6.675,1.2907,0.625
2011-02-28,80.06,22622284.0,54789.7263,6.3167,1.2214,0.625
2011-03-31,82.61,21039720.0,56529.9596,10.353,1.1215,0.625
2011-04-30,80.89,14174382.0,55355.9927,10.138,1.0982,0.625
2011-05-31,64.3,29007730.0,44003.0421,8.0588,0.8729,0.625
2011-06-30,63.88,23311252.0,43713.0032,8.0057,0.8672,0.625
2011-07-31,61.64,10164510.0,42179.9406,7.7249,0.8368,0.625
2011-08-31,47.97,18578412.0,32829.6394,6.0125,0.6513,0.625
2011-09-30,55.1,20466512.0,37705.0549,6.9054,0.748,0.5
2011-10-31,61.46,21413394.0,42055.6382,7.7021,0.8343,0.5
2011-11-30,57.11,22187724.0,33699.756,7.158,0.7754,0.5
2011-12-31,61.56,10171776.0,36323.9174,7.7154,0.8357,0.5
2012-01-31,67.06,8420966.0,39569.5906,8.4048,0.9104,0.5
2012-02-29,75.79,18062278.0,44721.2336,9.499,1.0289,0.5
2012-03-31,81.67,9537806.0,48187.8889,23.8447,1.212,0.5
2012-04-30,73.38,7049494.0,43298.662,21.4254,1.089,0.5
2012-05-31,58.0,10261006.0,34224.5883,16.9353,0.8608,0.5
2012-06-30,62.03,9865798.0,36600.1449,18.1108,0.9205,0.5
2012-07-31,56.11,7413220.0,33105.8669,16.3817,0.8327,0.5
2012-08-31,55.19,7596448.0,32567.2233,16.1152,0.8191,0.5
2012-09-30,55.62,11555720.0,32815.3531,16.2382,0.8254,0.5
2012-10-31,53.39,7458776.0,31503.2914,15.5889,0.7924,0.5
2012-11-30,61.75,38563558.0,36433.8811,18.0288,0.9164,0.5
2012-12-31,60.18,46920074.0,35508.5323,17.5709,0.8931,0.5
2013-01-31,50.82,20597294.0,29984.0621,14.8372,0.7542,0.5
2013-02-28,41.78,11923338.0,24652.9483,12.1991,0.6201,0.5
2013-03-31,38.43,8920290.0,22677.9502,10.9143,0.579,0.5
2013-04-30,37.17,6092190.0,21932.1468,,0.5599,0.5
2013-05-31,33.59,5682896.0,19819.0369,,0.506,0.5
2013-06-30,26.92,12734104.0,15882.8519,,0.4055,0.5
2013-07-31,19.66,4036868.0,11601.3875,,0.2962,0.5
2013-08-31,23.13,5935550.0,13645.4414,,0.3484,0.5
2013-09-30,20.9,6255976.0,12333.3798,,0.3149,0.5
2013-10-31,22.45,11157730.0,13244.9173,,0.3381,0.5
2013-11-30,21.58,9144644.0,12733.9038,,0.3251,0.5
2013-12-31,22.99,34513522.0,13562.5744,,0.3463,0.5
2014-01-31,24.13,111276046.0,14239.322,,0.3635,0.5
2014-02-28,22.0,15103158.0,12982.505,,0.3314,0.5
2014-03-31,26.47,26835612.0,15620.4395,,0.4099,0.5
2014-04-30,26.17,28351522.0,15440.8943,,0.4052,0.5
2014-05-31,41.83,56093102.0,24680.5707,,0.6476,0.5
2014-06-30,39.02,38386176.0,23023.2296,,0.6041,0.5
2014-07-31,36.12,62534292.0,21310.6439,,0.5592,0.5
2014-08-31,36.28,36379790.0,21407.3221,,0.5617,0.5
2014-09-30,37.66,63468344.0,22222.1814,,0.5831,0.5
2014-10-31,36.37,50630752.0,21462.5668,,0.5632,0.5
2014-11-30,51.96,364709820.0,30660.8097,,0.8045,0.5
2014-12-31,43.68,129252838.0,25771.6536,,0.6762,0.5
2015-01-31,37.71,86238496.0,22249.8038,,0.5838,0.5
2015-02-28,36.54,68663332.0,21559.2831,,0.5657,0.5
2015-03-31,30.78,55147774.0,18161.6958,,0.3313,0.5
2015-04-30,32.26,41895488.0,19983.1994,,0.3471,0.5
2015-05-31,28.77,39165484.0,18713.4078,,0.3096,0.5
2015-06-30,27.43,48748970.0,17845.4955,,0.2952,0.5
2015-07-31,35.74,119302522.0,23250.9143,,0.3847,0.5
2015-08-31,31.01,66492448.0,20175.1549,,0.3338,0.5
2015-09-30,29.89,24235036.0,19444.2813,,0.3217,0.5
2015-10-31,30.36,45119576.0,19748.812,,0.3267,0.5
2015-11-30,31.06,22893224.0,20205.6079,,0.3343,0.5
2015-12-31,29.33,23361276.0,19078.8446,,0.3156,0.5
2016-01-31,23.43,23723104.0,15241.7585,,0.2522,0.5
2016-02-29,16.83,22044242.0,10947.8765,,0.1811,0.5
2016-03-31,18.12,26017574.0,11785.3358,50.3742,0.2154,0.5
2016-04-30,20.04,39578294.0,13033.9114,55.711,0.2382,0.5
2016-05-31,18.84,23807788.0,12257.3582,52.3917,0.2241,0.5
2016-06-30,24.91,98535732.0,17010.9192,69.2482,0.2961,0.5
2016-07-31,23.95,52208624.0,16355.4232,66.5798,0.2847,0.5
2016-08-31,23.08,37564994.0,14756.6526,64.1589,0.2744,0.5
2016-09-30,27.43,46345944.0,17538.5135,76.2538,0.3261,0.5
2016-10-31,32.08,67594206.0,20512.2268,89.1829,0.3814,0.5
2016-11-30,27.73,31480698.0,17730.3659,77.088,0.3297,0.0
2016-12-31,27.68,18978892.0,17698.3905,76.949,0.3291,0.5
2017-01-31,28.93,21028352.0,18497.7758,80.4245,0.3439,0.5
2017-02-28,38.65,97209068.0,24716.9935,107.4644,0.4596,0.5
2017-03-31,41.7,76695452.0,26667.4936,13.6052,0.4951,0.5
2017-04-30,40.42,27435262.0,25852.1206,13.1892,0.48,0.5
2017-05-31,36.58,24210200.0,23390.0139,11.9331,0.4343,0.5
2017-06-30,42.0,63936028.0,26859.3461,13.7031,0.4987,0.5
2017-07-31,51.35,83153138.0,32838.7481,16.7537,0.6097,0.5
2017-08-31,48.53,63686650.0,31032.1373,15.832,0.5762,0.5
2017-09-30,56.2,111904772.0,35940.3631,18.3361,0.6673,0.5
2017-10-31,62.4,74077076.0,39905.3142,20.3589,0.7409,0.5
2017-11-30,62.9,66617984.0,40225.0691,20.522,0.7468,0.5
2017-12-31,69.93,75142880.0,44717.6145,22.814,0.8303,0.5
2018-01-31,74.53,178481018.0,47659.3525,24.3148,0.8849,0.5
2018-02-28,69.18,101469814.0,44237.9821,22.5693,0.8213,0.5
2018-03-31,59.38,54156354.0,37970.8014,20.0931,0.6908,0.5
2018-04-30,61.95,56005714.0,39617.5351,20.9645,0.7208,0.5
2018-05-31,51.58,67844924.0,32982.6372,17.4535,0.6001,0.5
2018-06-30,39.73,58065998.0,25404.4646,13.4433,0.4622,0.5
2018-07-31,44.2,51571404.0,28266.2639,14.9577,0.5143,0.5
2018-08-31,46.55,59417768.0,29769.1083,15.753,0.5416,0.5
2018-09-30,36.67,56637614.0,23453.9645,12.4112,0.4267,0.6
2018-10-31,42.58,45268966.0,27227.0631,14.4078,0.4954,0.6
2018-11-30,40.9,38313912.0,26155.8868,13.8409,0.4759,0.6
2018-12-31,42.43,23520486.0,27131.1368,14.357,0.4936,0.6
2019-01-31,43.85,29946330.0,28042.4361,14.8393,0.5102,0.6
2019-02-28,40.7,25313708.0,26027.9851,13.7733,0.4736,0.6
2019-03-31,43.2,40804882.0,27626.7557,3.2036,0.4398,0.6
2019-04-30,40.55,34083270.0,25932.0589,3.007,0.4128,0.6
2019-05-31,44.13,31018340.0,28218.3008,3.2722,0.4492,0.6
2019-06-30,41.63,16241828.0,26619.5302,3.0868,0.4237,0.6
2019-07-31,33.73,15388914.0,21567.4152,2.5009,0.3433,0.6
2019-08-31,34.7,18351298.0,22190.9357,2.5732,0.3532,1.0
2019-09-30,42.88,30544280.0,27418.9155,3.1795,0.4365,1.0
2019-10-31,44.35,18384782.0,28362.1902,3.2888,0.4515,1.0
2019-11-30,40.3,19693798.0,25772.1818,2.9885,0.4102,1.0
2019-12-31,36.53,16423338.0,23358.0382,2.7086,0.3718,1.0
2020-01-31,45.03,111564664.0,28793.8582,3.3389,0.4583,1.0
2020-02-29,38.0,44346472.0,24301.3129,2.8179,0.3868,1.0
2020-03-31,22.9,39155198.0,14644.7386,2.6398,0.2165,1.0
2020-04-30,27.9,33505850.0,17842.2797,3.2161,0.2638,1.0
2020-05-31,23.03,22503656.0,14724.6771,2.6542,0.2177,1.0
2020-06-30,28.95,117163180.0,18513.7634,3.3372,0.2737,1.0
2020-07-31,27.35,83881558.0,17490.5502,3.1527,0.2586,1.0
2020-08-31,31.15,97172700.0,19920.6815,3.5908,0.2945,1.0
2020-09-30,31.45,64806580.0,20112.534,3.6254,0.2974,1.0
2020-10-31,30.13,22871840.0,19265.1861,3.4726,0.2848,1.0
2020-11-30,34.88,39802890.0,22302.8503,4.0202,0.3298,1.0
2020-12-31,37.92,86644232.0,24253.3505,4.3718,0.3586,1.0
2021-01-31,35.42,60996434.0,22654.5798,4.0836,0.335,1.0
2021-02-28,39.8,82492134.0,25452.4284,4.5879,0.3763,1.0
2021-03-31,37.08,92886156.0,23709.7684,7.4002,0.3395,1.0
2021-04-30,42.78,89080290.0,27354.9655,8.5379,0.3917,1.0
2021-05-31,53.93,267829270.0,34485.4825,10.7635,0.4939,1.0
2021-06-30,58.5,231120120.0,37411.2327,11.6766,0.5358,1.0
2021-07-31,69.55,239122926.0,44477.7977,13.8822,0.637,1.0
2021-08-31,58.93,121459404.0,37683.0227,11.7615,0.5396,1.0
2021-09-30,57.03,63590630.0,36467.957,11.3822,0.5222,1.0
2021-10-31,58.0,77424906.0,37091.4776,11.5768,0.5312,1.0
2021-11-30,50.55,37716390.0,32327.1412,10.0898,0.4629,1.0
2021-12-31,49.43,52770998.0,31607.6945,9.8653,0.4526,1.0
2022-01-31,50.23,100882934.0,32119.3011,10.025,0.46,1.0
2022-02-28,43.43,56943078.0,27770.6451,8.6677,0.3977,1.0
2022-03-31,45.05,71901914.0,28809.8459,6.9522,0.3912,1.0
2022-04-30,46.18,47297898.0,29529.2927,7.1258,0.401,1.0
2022-05-31,43.43,42885230.0,27770.6451,6.7014,0.3771,1.0
2022-06-30,39.4,27062072.0,25196.6244,6.0802,0.3422,1.0
2022-07-31,42.95,22736344.0,27466.8787,6.6281,0.373,1.0
2022-08-31,43.48,32422616.0,27802.6205,6.7091,0.3775,1.0
2022-09-30,41.25,38059622.0,26379.7147,6.3657,0.3582,1.0
2022-10-31,38.9,16939172.0,24876.8703,6.0031,0.3378,1.0
2022-11-30,46.75,42426668.0,29897.0099,7.2145,0.406,1.0
2022-12-31,51.78,110839140.0,33110.5388,7.99,0.4496,1.0
2023-01-31,62.58,157837268.0,40017.2277,9.6566,0.5434,1.0
2023-02-28,75.08,163661838.0,48011.0807,11.5856,0.652,1.0
2023-03-31,72.95,141638864.0,46652.1257,7.1975,0.589,1.0
2023-04-30,81.78,71883440.0,52295.7858,8.0683,0.6602,1.0
2023-05-31,121.6,194096486.0,77764.2013,11.9976,0.9818,1.0
2023-06-30,127.95,95401524.0,81825.0785,12.6241,1.033,1.5
2023-07-31,162.18,93856278.0,103712.2478,16.0008,1.3094,1.5
2023-08-31,175.1,47525258.0,111977.8918,17.2761,1.4137,1.5
2023-09-30,173.3,40595114.0,110826.777,17.0985,1.3992,1.5
2023-10-31,221.45,70270830.0,141619.0984,21.8492,1.7879,1.5
2023-11-30,232.33,56416334.0,148573.7505,22.9221,1.8757,1.5
2023-12-31,206.03,44939110.0,131754.6839,20.3273,1.6634,1.5
2024-01-31,260.9,87242984.0,166847.6983,25.7415,2.1064,1.5
2024-02-29,238.48,49567754.0,152506.7261,23.5289,1.9254,1.5
2024-03-31,216.35,36823546.0,138357.6064,8.2144,1.3708,1.5
2024-04-30,277.5,46240840.0,177463.5349,10.5362,1.7583,1.5
2024-05-31,268.9,63143060.0,171963.7641,10.2097,1.7038,1.5
2024-06-30,271.93,42782246.0,173898.2765,10.3245,1.7229,2.0
2024-07-31,324.18,70847470.0,207312.5818,12.3084,2.054,2.0
2024-08-31,340.33,67113132.0,217640.6397,12.9216,2.1563,2.0
2024-09-30,371.65,43821040.0,237673.2352,14.1109,2.3548,2.0
2024-10-31,316.5,43929563.0,202404.3561,12.017,2.0054,2.0
2024-11-30,308.05,20724812.0,197000.5115,11.6961,1.9518,2.0
2024-12-31,291.4,27502732.0,186352.6994,11.064,1.8463,2.0
2025-01-31,250.05,33966153.0,159909.0339,9.494,1.5843,2.0
2025-02-28,246.45,32922403.0,157606.8043,9.3573,1.5615,2.0
2025-03-31,270.09,34560410.0,172724.7789,9.8898,1.5137,2.0
2025-04-30,248.0,21324098.0,158598.042,9.0809,1.3899,2.0
2025-05-31,211.9,45209044.0,135511.7948,7.7591,1.1876,2.0
2025-06-30,240.78,125106024.0,153980.7926,8.8166,1.3494,2.0
2025-07-31,210.43,28903329.0,134571.7177,7.7053,1.1793,2.0
2025-08-31,197.29,26101217.0,126168.5795,7.2241,1.1057,2.0
2025-09-30,202.82,50562845.0,129705.06,7.4266,1.1367,2.0
2025-10-31,175.25,60101765.0,112073.818,6.4171,0.9822,2.0
2025-11-30,162.77,39590513.0,104092.7552,5.9601,0.9122,2.0
2025-12-31,167.94,29196407.0,107399.0128,6.1494,0.9412,2.0
2026-01-31,175.77,299946817.0,112406.3623,6.4361,0.9851,2.0
2026-02-28,185.37,63411980.0,118545.6413,6.7876,1.0389,2.0
2026-03-31,169.13,6514290.0,108160.0307,6.193,0.9479,2.0
