BRIT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,20.67,,5755.7698,,,0.0
1995-02-28,19.67,,5477.2648,,,0.0
1995-03-31,19.0,,5291.5948,,,0.0
1995-04-30,16.47,,4586.0489,,,0.0
1995-05-31,15.33,,4270.4099,,,0.0
1995-06-30,13.33,,3713.3999,,,0.0
1995-07-31,13.4,,3731.9669,,,0.0
1995-08-31,12.4,,3453.4619,,,0.0
1995-09-30,12.67,,3527.7299,,,0.2667
1995-10-31,14.87,,4140.4409,,,0.2667
1995-11-30,10.67,,2970.7199,,,0.2667
1995-12-31,10.53,,2933.5859,,,0.2667
1996-01-31,10.25,,2854.6762,,,0.2667
1996-02-29,13.33,,3713.3999,,,0.2667
1996-03-31,13.6,,3787.6679,,,0.2667
1996-04-30,15.33,,4270.4099,,,0.2667
1996-05-31,13.73,1371000.0,3824.8019,,,0.2667
1996-06-30,13.35,447000.0,3718.0416,,,0.2667
1996-07-31,14.67,507000.0,4084.7399,,,0.2667
1996-08-31,14.08,56220.0,3922.2786,,,0.2667
1996-09-30,14.67,594690.0,4084.7399,,,0.2667
1996-10-31,15.33,664545.0,4270.4099,,,0.2667
1996-11-30,15.03,548745.0,4186.8584,,,0.2667
1996-12-31,15.33,234360.0,4270.4099,,,0.2667
1997-01-31,16.72,2906130.0,4655.6751,,,0.2667
1997-02-28,18.0,546960.0,5013.0898,,,0.2667
1997-03-31,16.0,194055.0,4456.0799,,,0.2667
1997-04-30,16.0,1304445.0,4456.0799,,,0.2667
1997-05-31,17.37,156960.0,4836.7034,,,0.2667
1997-06-30,16.73,242625.0,4660.3169,,,0.2667
1997-07-31,22.67,901905.0,6312.7798,,,0.2667
1997-08-31,21.33,2086365.0,5941.4398,,,0.2667
1997-09-30,21.63,534315.0,6024.9913,,,0.2667
1997-10-31,23.92,1280925.0,6591.2848,,,0.2667
1997-11-30,26.82,3811155.0,7468.5755,,,0.2667
1997-12-31,26.92,5756280.0,7496.426,,,0.2667
1998-01-31,25.42,4460025.0,7078.6685,,,0.2667
1998-02-28,29.57,4501155.0,8234.4642,,,0.2667
1998-03-31,31.3,9492975.0,8717.2062,,,0.2667
1998-04-30,38.65,12451095.0,10764.2179,,,0.2667
1998-05-31,39.55,11067690.0,11014.8724,,,0.2667
1998-06-30,37.75,7471005.0,10513.5634,,,0.2667
1998-07-31,47.28,5126775.0,13168.6443,,,0.3333
1998-08-31,47.67,14877765.0,13275.4046,,,0.3333
1998-09-30,47.22,4756425.0,13150.0774,,,0.3333
1998-10-31,47.38,2498895.0,13196.4948,,,0.3333
1998-11-30,51.5,2891775.0,14343.0071,,,0.3333
1998-12-31,58.13,9648525.0,16190.4235,,,0.3333
1999-01-31,72.52,7649400.0,20196.2536,,,0.3333
1999-02-28,77.95,4398765.0,21709.4641,,,0.3333
1999-03-31,97.37,7189515.0,27117.1027,,,0.3333
1999-04-30,95.8,8096625.0,26680.7782,,,0.3333
1999-05-31,89.41,8971905.0,24900.2029,,,0.3333
1999-06-30,83.67,4442265.0,23301.5843,,,0.3333
1999-07-31,86.67,7846815.0,24137.0993,,,0.3667
1999-08-31,100.03,5002710.0,27859.7827,,,0.3667
1999-09-30,101.65,2816975.0,28310.0334,,,0.3667
1999-10-31,83.05,2046190.0,23129.8403,,,0.3667
1999-11-30,80.63,1874850.0,22454.4657,,,0.3667
1999-12-31,69.5,4157520.0,19356.0976,,,0.3667
2000-01-31,74.93,4013680.0,20866.9872,,,0.3667
2000-02-29,61.0,2244620.0,16988.8051,,,0.3667
2000-03-31,62.0,4800150.0,17267.3101,,,0.45
2000-04-30,50.5,1109300.0,14064.5026,,,0.45
2000-05-31,61.5,3224820.0,17127.7502,,,0.45
2000-06-30,63.38,2906440.0,17649.9377,,,0.45
2000-07-31,70.87,3347250.0,19737.2953,,,0.45
2000-08-31,66.8,1607240.0,18605.1928,,,0.45
2000-09-30,65.95,2408420.0,18365.6828,,,0.45
2000-10-31,75.66,3278350.0,21069.9178,,,0.45
2000-11-30,83.0,5004180.0,23115.5003,,,0.45
2000-12-31,80.45,1918360.0,22405.3253,,,0.45
2001-01-31,79.82,1306250.0,22228.4778,,,0.45
2001-02-28,73.33,3838970.0,20421.0128,,,0.45
2001-03-31,69.02,2694600.0,19220.6778,,,0.45
2001-04-30,69.43,1113390.0,19334.8628,,,0.45
2001-05-31,64.8,804800.0,18045.4077,,,0.0
2001-06-30,62.14,1307130.0,17305.9902,,,0.0
2001-07-31,58.5,871820.0,16292.8349,,,0.55
2001-08-31,55.64,1815710.0,15496.2963,,,0.55
2001-09-30,50.88,3231240.0,14169.1962,,,0.55
2001-10-31,52.93,5342590.0,14326.2983,,,0.55
2001-11-30,57.5,1578120.0,15241.9845,,,0.55
2001-12-31,61.61,1135870.0,16542.5931,,,0.55
2002-01-31,57.5,1120540.0,15439.0376,,,0.55
2002-02-28,56.23,4133780.0,15098.0362,,,0.55
2002-03-31,54.12,2363250.0,14531.4907,,,0.55
2002-04-30,53.88,1583170.0,14465.7069,,,0.0
2002-05-31,52.5,1333410.0,14096.5126,,,0.0
2002-06-30,51.4,1134050.0,13801.1571,,,0.0
2002-07-31,50.95,1455730.0,13678.7327,,,0.75
2002-08-31,52.55,465180.0,14109.6752,,,0.75
2002-09-30,51.86,1683210.0,13923.0677,,,0.75
2002-10-31,52.44,3911850.0,14080.1402,,,0.75
2002-11-30,52.13,3413000.0,13995.5627,,,0.75
2002-12-31,51.5,613160.0,13827.7502,,,0.75
2003-01-31,50.8,354010.0,13639.8002,,,0.75
2003-02-28,51.99,256820.0,13959.3152,,,0.75
2003-03-31,50.0,285350.0,13425.0002,,,0.75
2003-04-30,51.42,2884580.0,13804.9277,,,0.75
2003-05-31,53.3,1833490.0,14311.0502,,,0.75
2003-06-30,52.0,823440.0,13058.2397,,,0.75
2003-07-31,54.78,395310.0,13755.0977,,,1.0
2003-08-31,56.0,1135080.0,14062.7197,,,1.0
2003-09-30,56.4,487050.0,14161.9121,,,1.0
2003-10-31,56.83,620370.0,14269.8937,,,1.0
2003-11-30,53.04,1290260.0,13318.1489,,,1.0
2003-12-31,68.53,2196820.0,17209.2533,,,1.0
2004-01-31,65.61,2687810.0,16477.2385,,,1.0
2004-02-29,66.01,921470.0,16575.1753,,,1.0
2004-03-31,62.5,1323290.0,15693.7441,,,1.0
2004-04-30,60.13,963620.0,15099.8453,,,1.0
2004-05-31,57.51,515650.0,14440.6553,,,1.0
2004-06-30,62.51,3037920.0,15697.5109,,,1.0
2004-07-31,62.6,3627430.0,14954.0705,,,1.0
2004-08-31,67.27,3046770.0,16070.9373,,,1.1
2004-09-30,66.65,1156600.0,15921.6236,,,1.1
2004-10-31,66.12,646180.0,15796.2,,,1.1
2004-11-30,75.16,1332910.0,17954.6796,,,1.1
2004-12-31,92.1,2689040.0,22001.6794,,,1.1
2005-01-31,87.65,4840110.0,20938.5655,,,1.1
2005-02-28,93.01,3316690.0,22219.0802,,,1.1
2005-03-31,84.92,4909640.0,20286.363,,,1.1
2005-04-30,85.31,1900410.0,20379.5348,,,1.1
2005-05-31,86.61,1161560.0,20691.3019,,,1.1
2005-06-30,90.63,2074460.0,21650.4934,,,1.1
2005-07-31,100.53,3397640.0,24015.6232,,,1.4
2005-08-31,115.21,4848900.0,27523.899,,,1.4
2005-09-30,125.75,7356740.0,30040.7316,,,1.4
2005-10-31,120.66,3458330.0,28824.7204,,,1.4
2005-11-30,124.87,5339770.0,29831.6923,,,1.4
2005-12-31,136.03,2314510.0,32496.6441,,,1.4
2006-01-31,147.32,2647450.0,35193.8476,,,1.4
2006-02-28,151.97,1788470.0,36305.9364,,,1.4
2006-03-31,178.33,4069290.0,42602.1985,,,1.4
2006-04-30,172.74,1498680.0,41222.5395,,,1.4
2006-05-31,145.58,840560.0,34780.5472,,,1.4
2006-06-30,119.87,1502870.0,28635.9878,,,1.4
2006-07-31,109.57,1585370.0,26175.2973,,,1.5
2006-08-31,107.54,1959180.0,25691.5207,,,1.5
2006-09-30,111.4,3245610.0,26612.4879,,,1.5
2006-10-31,114.38,3226740.0,27324.4159,,,1.5
2006-11-30,112.59,1669850.0,26896.7813,,,1.5
2006-12-31,109.43,2092750.0,26144.24,,,1.5
2007-01-31,115.49,2173460.0,27590.7916,,,1.5
2007-02-28,123.66,4366530.0,29541.4264,,,1.5
