SYNG IN Equity,price,volume,mc,pe,bm,div
2015-08-31,163.98,90750634.0,65590.0,35.6467,7.7281,0.0
2015-09-30,160.98,10352038.0,64390.0,34.9946,7.5867,0.0
2015-10-31,182.0,12654970.0,72800.0,39.5652,8.5776,0.0
2015-11-30,178.03,2864510.0,71210.0,38.7011,8.3903,0.0
2015-12-31,208.28,11095432.0,83310.0,45.2772,9.816,0.0
2016-01-31,201.1,8766172.0,80440.0,43.7174,9.4778,0.0
2016-02-29,197.75,3877746.0,79100.0,42.9891,9.3199,0.0
2016-03-31,192.63,6184244.0,77050.0,31.1187,7.5193,0.5
2016-04-30,194.43,11747854.0,77770.0,31.4095,7.5895,0.5
2016-05-31,194.93,10253402.0,77970.0,31.4903,7.6091,0.5
2016-06-30,201.13,4391500.0,80450.0,32.4919,7.8511,0.5
2016-07-31,208.95,7498230.0,83580.0,33.7561,8.1565,0.5
2016-08-31,236.38,9920968.0,94550.0,38.1866,9.2271,0.5
2016-09-30,237.43,7946096.0,94970.0,38.3562,9.2681,0.5
2016-10-31,290.05,10855178.0,116020.0,46.8578,11.3223,0.5
2016-11-30,292.8,5372092.0,117120.0,47.3021,11.4297,0.5
2016-12-31,280.93,22694814.0,112370.0,45.3837,10.9661,0.5
2017-01-31,273.02,6007982.0,109210.0,44.1074,10.6578,0.5
2017-02-28,251.58,8591914.0,100630.0,40.6422,9.8204,0.5
2017-03-31,260.38,7386332.0,104150.0,35.4011,7.3703,0.5
2017-04-30,258.35,4961206.0,103340.0,35.1258,7.313,0.5
2017-05-31,236.95,28845344.0,94780.0,32.2162,6.7072,0.0
2017-06-30,235.23,5745528.0,94090.0,31.9816,6.6584,0.0
2017-07-31,237.1,7913020.0,94840.0,32.2366,6.7115,0.5
2017-08-31,222.85,3234960.0,89140.0,30.2991,6.3081,0.5
2017-09-30,247.78,15914786.0,99110.0,33.688,7.0137,0.5
2017-10-31,252.65,4052462.0,101060.0,34.3508,7.1517,0.5
2017-11-30,277.0,13636714.0,110800.0,37.6615,7.8409,0.5
2017-12-31,270.68,6130738.0,108270.0,36.8015,7.6619,0.5
2018-01-31,299.85,15608484.0,119940.0,40.7682,8.4877,0.5
2018-02-28,295.1,3328914.0,118040.0,40.1224,8.3533,0.5
2018-03-31,298.6,5722004.0,119440.0,38.7297,6.9426,0.5
2018-04-30,312.0,5843152.0,124800.0,40.4677,7.2541,0.5
2018-05-31,299.83,17387926.0,119930.0,38.8886,6.9711,0.5
2018-06-30,304.98,4068342.0,121990.0,39.5566,7.0908,0.5
2018-07-31,297.77,3379024.0,119110.0,38.6227,6.9234,0.5
2018-08-31,297.45,3807384.0,118980.0,38.5805,6.9158,0.5
2018-09-30,300.38,10247142.0,120150.0,38.9599,6.9838,0.5
2018-10-31,289.55,2853018.0,115820.0,37.5559,6.7322,0.5
2018-11-30,270.13,2061316.0,108050.0,35.0364,6.2805,0.5
2018-12-31,280.1,3422976.0,112040.0,36.3302,6.5124,0.5
2019-01-31,289.1,6710168.0,115640.0,37.4975,6.7217,0.5
2019-02-28,295.1,3370434.0,118040.0,38.2757,6.8612,0.5
2019-03-31,297.65,3048412.0,119060.0,35.4979,6.0486,0.5
2019-04-30,306.85,9711136.0,122740.0,36.5951,6.2355,0.5
2019-05-31,334.93,11245586.0,133970.0,39.9434,6.806,0.5
