APAT IN Equity,price,volume,mc,pe,bm,div
2012-09-30,16.9,1001710.0,3707.6235,7.0095,1.2023,0.2
2012-10-31,16.04,876650.0,3517.8546,6.6508,1.1407,0.2
2012-11-30,18.52,4949850.0,4061.9319,7.6794,1.3171,0.2
2012-12-31,17.6,5000810.0,3861.1937,7.2999,1.2521,0.2
2013-01-31,22.2,31916930.0,4869.2724,9.2057,1.5789,0.2
2013-02-28,18.55,1495440.0,4069.6104,7.6939,1.3196,0.2
2013-03-31,16.77,6562520.0,3678.0064,5.3256,1.0177,0.2
2013-04-30,17.02,1356560.0,3735.0467,5.4082,1.0335,0.2
2013-05-31,17.54,3542580.0,3846.9336,5.5702,1.0644,0.2
2013-06-30,15.59,701170.0,3479.1385,4.9508,0.946,0.2
2013-07-31,15.23,1452380.0,3398.7734,4.8364,0.9242,0.2
2013-08-31,13.62,1065190.0,3191.1701,4.325,0.8265,0.5
2013-09-30,15.53,980230.0,3640.02,4.9333,0.9427,0.5
2013-10-31,14.64,1312730.0,3431.4161,4.6506,0.8887,0.5
2013-11-30,15.26,671720.0,3575.5637,4.8459,0.926,0.5
2013-12-31,14.41,17293050.0,3376.3354,4.5759,0.8744,0.5
2014-01-31,14.4,1444650.0,3375.1634,4.5743,0.8741,0.5
2014-02-28,15.67,13889390.0,3672.8341,4.9778,0.9512,0.5
2014-03-31,19.57,5543300.0,4585.7689,7.6336,1.0272,0.5
2014-04-30,20.66,9993300.0,4842.422,8.0609,1.0846,0.5
2014-05-31,25.59,12142470.0,5997.9467,9.9844,1.3435,0.5
2014-06-30,30.98,25173280.0,7260.1172,12.0854,1.6262,0.5
2014-07-31,33.01,7177090.0,7737.0934,12.8794,1.733,0.5
2014-08-31,32.23,15063710.0,7553.1001,12.5732,1.6918,0.5
2014-09-30,29.13,1351650.0,6827.6743,11.3656,1.5293,0.5
2014-10-31,31.1,2081440.0,7289.4154,12.1342,1.6327,0.5
2014-11-30,32.21,7153920.0,7548.4124,12.5654,1.6908,0.5
2014-12-31,34.16,7646840.0,8006.6377,13.3281,1.7934,0.5
2015-01-31,35.96,4496490.0,8428.5331,14.0304,1.8879,0.5
2015-02-28,35.44,1980130.0,8305.6094,13.8256,1.8603,0.5
2015-03-31,40.04,23035190.0,9384.8294,14.7213,1.8955,0.5
2015-04-30,43.56,8819810.0,10208.6974,16.0136,2.0619,0.5
2015-05-31,43.26,5081540.0,10138.3815,15.9033,2.0477,0.5
2015-06-30,38.01,2177020.0,8907.8532,13.9731,1.7992,0.5
2015-07-31,44.15,4366800.0,10348.1573,16.2324,2.0901,0.5
2015-08-31,43.16,3328640.0,10116.1148,15.8684,2.0432,0.6
2015-09-30,50.01,3203820.0,11720.4894,18.3851,2.3673,0.6
2015-10-31,51.16,3180920.0,11991.2056,18.8097,2.422,0.6
2015-11-30,58.27,2053640.0,13657.6925,21.4238,2.7586,0.6
2015-12-31,74.99,47892010.0,17576.6323,27.5712,3.5501,0.6
2016-01-31,67.91,17358360.0,15916.005,24.9663,3.2147,0.6
2016-02-29,56.25,4724880.0,13183.0602,20.6793,2.6627,0.6
2016-03-31,67.1,7715240.0,15728.4959,15.6385,2.7713,0.6
2016-04-30,79.28,9531740.0,18580.9778,18.4747,3.2739,0.6
2016-05-31,88.25,8436970.0,20684.5953,20.5663,3.6445,0.6
2016-06-30,94.55,4093910.0,22161.2293,22.0345,3.9047,0.6
2016-07-31,93.51,9013180.0,21916.2955,21.791,3.8616,0.6
2016-08-31,97.25,4588150.0,22794.0724,22.6637,4.0162,0.6
2016-09-30,86.91,3760620.0,20370.5176,20.254,3.5892,1.0
2016-10-31,88.91,2187330.0,20838.1183,20.7189,3.6716,1.0
2016-11-30,92.43,4164480.0,21664.3302,21.5404,3.8172,1.0
2016-12-31,91.53,11778760.0,21591.8852,21.3307,3.78,1.0
2017-01-31,104.64,6819930.0,24685.7063,24.3871,4.3216,1.0
2017-02-28,108.32,8927780.0,25551.4591,25.2424,4.4732,1.0
2017-03-31,117.44,11774980.0,27705.2204,18.1663,3.939,1.0
2017-04-30,146.83,5255320.0,34637.1315,22.7115,4.9245,1.0
2017-05-31,142.18,2577490.0,33539.0176,21.9915,4.7684,1.0
2017-06-30,154.91,3292100.0,36543.1983,23.9613,5.1955,1.0
2017-07-31,159.16,2476620.0,37544.5919,24.6179,5.3379,1.0
2017-08-31,157.2,2438710.0,37084.5878,24.3163,5.2725,1.0
2017-09-30,169.42,3890340.0,39966.1007,26.2057,5.6822,1.2
2017-10-31,186.43,2640230.0,43977.5724,28.836,6.2525,1.2
2017-11-30,197.99,7779700.0,46981.4544,30.6241,6.6402,1.2
2017-12-31,198.38,9607440.0,47074.0007,30.6845,6.6533,1.2
2018-01-31,214.34,22410440.0,50862.464,33.1539,7.1887,1.2
2018-02-28,205.29,7791280.0,48714.9167,31.7541,6.8852,1.2
2018-03-31,198.68,6481190.0,47146.3766,29.7247,5.6271,1.2
2018-04-30,219.42,16933760.0,52067.9381,32.8276,6.2145,1.2
2018-05-31,187.35,5379820.0,44457.7897,28.0296,5.3062,1.2
2018-06-30,165.65,6126390.0,39308.422,24.7831,4.6916,1.2
2018-07-31,162.01,5171740.0,38443.4706,24.2377,4.5883,1.2
2018-08-31,163.48,6598910.0,38793.4852,24.4584,4.6301,1.2
2018-09-30,126.6,5060220.0,30041.9331,18.9408,3.5856,1.4
2018-10-31,120.98,11948510.0,28708.3181,18.0999,3.4264,1.4
2018-11-30,129.14,6633960.0,30644.6702,19.3208,3.6575,1.4
2018-12-31,116.52,5764810.0,27648.7823,17.4319,3.3,1.4
2019-01-31,111.03,5416390.0,26347.2025,16.6113,3.1446,1.4
2019-02-28,119.9,4045400.0,28450.8497,17.9376,3.3957,1.4
2019-03-31,144.19,6285610.0,34242.9729,23.0807,3.5671,1.4
2019-04-30,158.89,8054690.0,37895.8704,25.4346,3.9309,1.4
2019-05-31,162.08,6483920.0,39306.23,25.9461,4.0099,1.4
2019-06-30,150.12,7952180.0,36403.4594,24.0299,3.7138,1.4
2019-07-31,139.29,6207460.0,33778.3557,22.2971,3.446,1.4
2019-08-31,132.53,5620090.0,32137.8174,21.2142,3.2786,1.4
2019-09-30,136.23,4386520.0,33037.5066,21.8081,3.3704,1.4
2019-10-31,145.3,6508500.0,35234.5911,23.2584,3.5945,1.4
2019-11-30,156.6,5916580.0,37974.8841,25.0672,3.8741,1.4
2019-12-31,187.77,6670290.0,46693.2635,30.0576,4.6453,1.4
2020-01-31,196.73,11851590.0,48920.1271,31.4911,4.8669,1.4
2020-02-29,194.35,11884870.0,48329.5295,31.1109,4.8081,1.4
2020-03-31,124.67,14416500.0,31000.7759,12.8296,2.2861,1.4
2020-04-30,142.88,8153370.0,35531.6052,14.7036,2.62,1.4
2020-05-31,151.78,9566320.0,37746.191,15.62,2.7833,1.4
2020-06-30,155.29,15470870.0,38619.0934,15.9813,2.8477,1.4
2020-07-31,184.1,17860560.0,45783.8566,18.9462,3.376,1.4
2020-08-31,240.31,16806370.0,59762.7299,24.7309,4.4068,1.4
2020-09-30,291.69,32217360.0,72704.838,30.0185,5.349,1.4
2020-10-31,314.43,15867740.0,78372.8629,32.3588,5.766,0.0
2020-11-30,337.89,11073860.0,84301.2776,34.7731,6.1962,0.0
2020-12-31,441.5,21511234.0,110151.2752,45.4358,8.0962,0.0
2021-01-31,453.33,19025794.0,113135.5324,46.6528,8.3131,0.0
2021-02-28,536.35,24798010.0,133855.9373,55.1971,9.8356,0.0
2021-03-31,700.43,20918678.0,174960.5546,48.4556,10.3242,0.0
2021-04-30,651.13,10588434.0,162645.8095,45.045,9.5975,0.0
2021-05-31,650.58,9458214.0,162508.4239,45.0069,9.5894,0.0
2021-06-30,814.65,23741226.0,203493.0447,56.3577,12.0079,0.0
2021-07-31,873.05,10436136.0,218080.9056,60.3978,12.8687,0.0
2021-08-31,830.05,8458280.0,207339.8496,57.423,12.2349,0.0
2021-09-30,821.8,11545684.0,205279.0656,56.8523,12.1133,0.0
2021-10-31,800.1,16314071.0,199858.5792,55.3511,11.7934,0.0
2021-11-30,924.0,17754163.0,230807.808,63.9225,13.6197,0.0
2021-12-31,999.8,14763949.0,249742.0416,69.1664,14.737,0.0
2022-01-31,864.3,13154350.0,215895.2256,59.7925,12.7397,0.0
2022-02-28,850.2,7879161.0,212373.1584,58.817,12.5319,0.0
2022-03-31,914.6,8382914.0,228906.5453,36.9237,9.29,0.0
2022-04-30,1023.3,10512475.0,256112.0357,41.3121,10.3941,0.0
2022-05-31,937.2,9737313.0,234562.8846,37.8361,9.5196,0.0
2022-06-30,849.95,8565041.0,212725.911,34.3137,8.6333,0.0
2022-07-31,955.75,6782380.0,239205.5869,38.585,9.708,0.0
2022-08-31,947.45,12100318.0,237128.2597,38.2499,9.6237,0.0
2022-09-30,1038.05,12057679.0,259803.673,41.9075,10.5439,3.5
2022-10-31,1078.95,7459930.0,270040.1455,43.5587,10.9594,3.5
2022-11-30,1120.45,10229234.0,280426.7862,45.2342,11.3809,3.5
2022-12-31,1092.0,12326499.0,302845.2489,44.0856,11.0919,3.5
2023-01-31,1143.65,9558897.0,317169.3854,46.1708,11.6166,3.5
2023-02-28,1189.25,12168093.0,329815.6705,48.0117,12.0797,3.5
2023-03-31,1205.35,11779260.0,334280.6967,52.067,11.1219,3.5
2023-04-30,1195.05,5931500.0,331424.1893,51.622,11.0269,3.5
2023-05-31,1135.3,12417047.0,314853.6731,49.041,10.4755,3.5
2023-06-30,1305.3,14756844.0,361999.9115,56.3844,12.0441,3.5
2023-07-31,1593.95,14371448.0,442051.451,68.8531,14.7075,3.5
2023-08-31,1675.7,24942621.0,464723.245,72.3844,15.4619,3.5
2023-09-30,1625.0,15648863.0,450662.5727,70.1944,14.994,5.0
2023-10-31,1565.3,14144078.0,434105.9232,67.6156,14.4432,5.0
2023-11-30,1687.65,45898139.0,468037.3482,72.9006,15.5721,5.0
2023-12-31,1536.8,15099377.0,426499.75,66.3844,14.1802,5.0
2024-01-31,1503.35,21254082.0,417216.5533,64.9395,13.8716,5.0
2024-02-29,1547.55,18182833.0,429483.139,66.8488,14.2794,5.0
2024-03-31,1495.95,16710040.0,415162.8715,56.6648,11.5175,5.0
2024-04-30,1557.25,9458742.0,432175.1273,58.9867,11.9895,5.0
2024-05-31,1504.9,14507738.0,417646.7164,57.0038,11.5864,5.0
2024-06-30,1555.3,16399775.0,431633.9544,58.9129,11.9745,5.0
2024-07-31,1485.5,13725750.0,412262.7398,56.2689,11.4371,5.0
2024-08-31,1462.1,11851628.0,405768.665,55.3826,11.2569,5.0
2024-09-30,1584.15,11092787.0,439640.5381,60.0057,12.1966,5.5
2024-10-31,1520.45,13426733.0,421962.2233,57.5928,11.7061,5.5
2024-11-30,1516.4,10751701.0,420838.2488,57.4394,11.675,5.5
2024-12-31,1568.25,11817384.0,435227.8975,59.4034,12.0742,5.5
2025-01-31,1509.55,12873682.0,418937.2056,57.1799,11.6222,5.5
2025-02-28,1438.95,15659976.0,399343.9714,54.5057,11.0787,5.5
2025-03-31,1525.25,11734425.0,423294.3412,55.9109,10.0576,5.5
2025-04-30,1619.8,10846092.0,449534.2888,59.3768,10.681,5.5
2025-05-31,1811.7,15740412.0,502791.2526,66.4113,11.9464,5.5
2025-06-30,1739.1,13681759.0,482642.9693,63.75,11.4677,5.5
2025-07-31,1601.2,20465257.0,444372.3319,58.695,10.5584,5.5
2025-08-31,1604.7,11484256.0,445522.5309,58.8233,10.5815,5.75
2025-09-30,1686.1,11002533.0,468122.1034,61.8072,11.1182,5.75
2025-10-31,1791.5,11190371.0,497384.9406,65.6708,11.8132,5.75
2025-11-30,1718.9,10691426.0,477228.5651,63.0095,11.3345,5.75
2025-12-31,1914.0,11077802.0,531395.3538,70.1613,12.621,5.75
2026-01-31,2045.7,18925005.0,567960.0184,74.989,13.4894,5.75
2026-02-28,2234.6,20969039.0,620405.4637,81.9135,14.7351,5.75
2026-03-31,2163.9,1513223.0,600776.5695,79.3218,14.2689,5.75
