APAT IN Equity,price,volume,mc,pe,bm,div
2006-09-30,4.57,1024900.0,,,,0.0
2006-10-31,3.93,2550320.0,,,,0.0
2006-11-30,5.71,42147980.0,,,,0.0
2006-12-31,5.26,71898860.0,,,,0.0
2007-01-31,5.61,101312720.0,,,,0.05
2007-02-28,5.29,69487880.0,,,,0.05
2007-03-31,5.53,58809600.0,,,,0.05
2007-04-30,7.66,84338400.0,,,,0.05
2007-05-31,8.23,25086930.0,,,,0.05
2007-06-30,13.34,29616700.0,,,,0.05
2007-07-31,14.34,24710210.0,,,,0.05
2007-08-31,14.91,6803610.0,,,,0.05
2007-09-30,12.75,6473540.0,,,,0.05
2007-10-31,13.24,26466120.0,,,,0.05
2007-11-30,15.63,28315480.0,,,,0.05
2007-12-31,21.23,40600090.0,,,,0.05
2008-01-31,15.91,26422790.0,,,,0.05
2008-02-29,13.97,14756220.0,,,,0.05
2008-03-31,13.85,21380190.0,,9.2067,2.1744,0.0
2008-04-30,15.18,30014320.0,,10.0945,2.3841,0.0
2008-05-31,19.9,123933210.0,,13.2299,3.1246,0.0
2008-06-30,15.84,16398630.0,,10.5334,2.4877,0.0
2008-07-31,14.9,48629990.0,,9.905,2.3393,0.0
2008-08-31,19.48,24753060.0,,12.9539,3.0594,0.0
2008-09-30,18.82,25741610.0,,12.5151,2.9557,0.0
2008-10-31,6.92,9664280.0,,4.6017,1.0868,0.0
2008-11-30,6.34,9482880.0,,4.216,0.9957,0.0
2008-12-31,5.27,17145410.0,,3.5012,0.8269,0.0
2009-01-31,3.75,3280050.0,,2.4904,0.5882,0.0
2009-02-28,3.52,1194370.0,,2.3408,0.5528,0.0
2009-03-31,3.49,17372320.0,,25.2865,0.426,0.0
2009-04-30,5.68,33099820.0,,41.1767,0.6938,0.0
2009-05-31,6.28,18182130.0,,45.5301,0.7671,0.0
2009-06-30,7.23,37556500.0,,52.4594,0.8839,0.0
2009-07-31,5.1,25854860.0,,36.9683,0.6229,0.0
2009-08-31,6.73,21395420.0,,48.7952,0.8221,0.0
2009-09-30,6.27,22521230.0,,45.4576,0.7659,0.0
2009-10-31,5.57,8719410.0,,40.4148,0.6809,0.0
2009-11-30,6.0,26859180.0,,43.5348,0.7335,0.0
2009-12-31,9.16,195043410.0,,66.4631,1.1198,0.0
2010-01-31,9.05,60419190.0,,65.665,1.1063,0.1
2010-02-28,8.7,17457100.0,,63.1254,1.0636,0.1
2010-03-31,11.12,55517280.0,,7.5768,1.1808,0.1
2010-04-30,12.27,52487090.0,,8.3607,1.303,0.1
2010-05-31,11.27,33387880.0,,7.679,1.1967,0.2
2010-06-30,10.75,12595120.0,,7.3279,1.142,0.2
2010-07-31,12.02,43467720.0,,8.1937,1.2769,0.2
2010-08-31,13.39,96518930.0,,9.1241,1.422,0.3
2010-09-30,15.75,44105880.0,,10.7329,1.6727,0.3
2010-10-31,15.37,36677650.0,,10.4773,1.6328,0.4
2010-11-30,13.42,32776950.0,,9.148,1.4257,0.4
2010-12-31,15.38,38124220.0,,10.4841,1.6339,0.4
2011-01-31,13.46,8491810.0,,9.1753,1.4299,0.3
2011-02-28,12.17,8906020.0,,8.2959,1.2929,0.3
2011-03-31,12.93,45123710.0,,6.0881,1.1086,0.3
2011-04-30,13.71,8941610.0,,6.4555,1.1755,0.3
2011-05-31,13.02,4563460.0,,6.1305,1.1163,0.2
2011-06-30,14.32,12817330.0,,6.7428,1.2278,0.2
2011-07-31,15.26,34809360.0,,7.1879,1.3088,0.2
2011-08-31,14.67,5866060.0,,6.9077,1.2578,0.1
2011-09-30,13.21,1631210.0,,6.2223,1.133,0.1
2011-10-31,15.54,5977550.0,,7.3222,1.3333,0.1
2011-11-30,13.93,5809320.0,,6.5638,1.1952,0.1
2011-12-31,14.04,6389220.0,2850.6714,6.6156,1.2046,0.0
2012-01-31,15.89,4667810.0,3224.1307,7.4823,1.3625,0.0
2012-02-29,18.48,22315700.0,3749.8152,8.7023,1.5846,0.0
2012-03-31,18.1,5779410.0,3672.6878,7.5052,1.2873,0.0
2012-04-30,17.36,3710170.0,3522.4922,7.1983,1.2346,0.0
2012-05-31,15.42,828350.0,3129.7511,6.3957,1.097,0.0
2012-06-30,15.0,2560880.0,3044.5049,6.2215,1.0671,0.0
2012-07-31,15.37,3685020.0,3371.9629,6.3749,1.0934,0.0
2012-08-31,15.2,1427880.0,3334.6673,6.3044,1.0813,0.0
